time,Golden State,pts.away,score,pts.home,New Orleans
7:29.0,K. Thompson misses 2-pt shot from 14 ft,,11-8,,
7:28.0,,,11-8,,Defensive rebound by S. Hill
7:24.0,,,11-8,,Turnover by S. Hill (bad pass; steal by K. Durant)
7:15.0,D. Green misses 3-pt shot from 25 ft (block by A. Davis),,11-8,,
7:13.0,,,11-8,,Defensive rebound by A. Davis
7:13.0,Jump ball: D. Green vs. E. Moore (Z. Pachulia gains possession),,,,Jump ball: D. Green vs. E. Moore (Z. Pachulia gains possession)
7:13.0,,,11-8,,Turnover by A. Davis (lost ball; steal by D. Green)
7:07.0,Turnover by S. Curry (bad pass; steal by S. Hill),,11-8,,
7:04.0,,,11-10,2,T. Frazier makes 2-pt shot from 2 ft (assist by S. Hill)
7:04.0,Golden State full timeout,,11-10,,
6:49.0,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson),2,13-10,,
6:36.0,,,13-10,,A. Davis misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by D. Green,,13-10,,
6:26.0,K. Durant misses 2-pt shot from 2 ft (block by O. Asik),,13-10,,
6:24.0,,,13-10,,Defensive rebound by O. Asik
6:24.0,,,13-10,,Turnover by O. Asik (bad pass)
6:12.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by S. Curry),2,15-10,,
5:59.0,,,15-10,,Shooting foul by D. Green (drawn by A. Davis)
5:59.0,,,15-11,1,A. Davis makes free throw 1 of 2
5:59.0,,,15-12,1,A. Davis makes free throw 2 of 2
5:59.0,A. Iguodala enters the game for K. Durant,,15-11,,
5:50.0,Turnover by S. Curry (bad pass),,15-12,,
5:35.0,,,15-12,,A. Davis misses 2-pt shot from 17 ft
5:34.0,Defensive rebound by Z. Pachulia,,15-12,,
5:24.0,K. Thompson makes 2-pt shot from 16 ft,2,17-12,,
5:08.0,,,17-12,,T. Frazier misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by Z. Pachulia,,17-12,,
5:00.0,K. Thompson misses 3-pt shot from 25 ft,,17-12,,
4:58.0,Offensive rebound by Z. Pachulia,,17-12,,
4:54.0,S. Curry misses 3-pt shot from 25 ft,,17-12,,
4:53.0,,,17-12,,Defensive rebound by E. Moore
4:31.0,,,17-12,,E. Moore misses 2-pt shot from 9 ft
4:30.0,Defensive rebound by D. Green,,17-12,,
4:24.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green),2,19-12,,
4:14.0,,,19-12,,New Orleans full timeout
4:14.0,P. McCaw enters the game for Z. Pachulia,,19-12,,
4:14.0,K. Durant enters the game for K. Thompson,,19-12,,
4:14.0,,,19-12,,T. Jones enters the game for O. Asik
4:14.0,,,19-12,,Violation by Team (jump ball)
3:55.0,,,19-12,,A. Davis misses 3-pt shot from 23 ft
3:54.0,Defensive rebound by K. Durant,,19-12,,
3:48.0,A. Iguodala misses 2-pt shot from 1 ft,,19-12,,
3:47.0,,,19-12,,Defensive rebound by T. Frazier
3:40.0,,,19-12,,S. Hill misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by K. Durant,,19-12,,
3:28.0,Turnover by D. Green (bad pass),,19-12,,
3:15.0,,,19-12,,A. Davis misses 2-pt shot from 3 ft
3:15.0,,,19-12,,Offensive rebound by A. Davis
3:15.0,,,19-12,,A. Davis misses 2-pt shot from 3 ft
3:15.0,,,19-12,,Offensive rebound by A. Davis
3:15.0,,,19-12,,Shooting foul by D. Green (drawn by A. Davis)
3:15.0,,,19-13,1,A. Davis makes free throw 1 of 2
3:15.0,,,19-14,1,A. Davis makes free throw 2 of 2
3:15.0,D. West enters the game for D. Green,,19-13,,
3:15.0,,,19-13,,L. Stephenson enters the game for S. Hill
3:02.0,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry),2,21-14,,
2:45.0,,,21-14,,Shooting foul by P. McCaw (drawn by A. Davis)
2:45.0,,,21-14,,A. Davis misses free throw 1 of 2
2:45.0,,,21-14,,Offensive rebound by Team
2:45.0,,,21-14,,A. Davis misses free throw 2 of 2
2:43.0,Defensive rebound by K. Durant,,21-14,,
2:30.0,D. West misses 2-pt shot from 17 ft,,21-14,,
2:29.0,,,21-14,,Defensive rebound by Team
2:29.0,,,21-14,,B. Hield enters the game for E. Moore
2:07.0,,,21-16,2,L. Stephenson makes 2-pt shot from 2 ft (assist by T. Frazier)
2:02.0,Shooting foul by L. Stephenson (drawn by K. Durant),,21-16,,
2:02.0,K. Durant makes free throw 1 of 2,1,22-16,,
2:02.0,K. Durant makes free throw 2 of 2,1,23-16,,
2:02.0,K. Thompson enters the game for S. Curry,,22-16,,
1:54.0,,,23-18,2,T. Frazier makes 2-pt shot from 2 ft
1:37.0,K. Durant makes 2-pt shot from 2 ft,2,25-18,,
1:37.0,Shooting foul by T. Frazier (drawn by K. Durant),,25-18,,
1:37.0,K. Durant makes free throw 1 of 1,1,26-18,,
1:37.0,,,25-18,,L. Galloway enters the game for T. Frazier
1:19.0,,,26-18,,Shooting foul by D. West (drawn by T. Jones)
1:19.0,,,26-19,1,T. Jones makes free throw 1 of 2
1:19.0,,,26-19,,T. Jones misses free throw 2 of 2
1:19.0,,,26-19,,D. Cunningham enters the game for A. Davis
1:19.0,S. Livingston enters the game for P. McCaw,,26-19,,
1:17.0,Defensive rebound by K. Durant,,26-19,,
1:00.0,K. Thompson makes 2-pt shot from 19 ft (assist by K. Durant),2,28-19,,
0:42.0,,,28-19,,L. Galloway misses 2-pt shot from 7 ft
0:41.0,Defensive rebound by A. Iguodala,,28-19,,
0:38.0,K. Durant makes 2-pt shot at rim (assist by A. Iguodala),2,30-19,,
0:22.0,,,30-21,2,L. Stephenson makes 2-pt shot from 1 ft (assist by B. Hield)
0:22.0,,,30-21,,Shooting foul by A. Iguodala (drawn by L. Stephenson)
0:22.0,,,30-22,1,L. Stephenson makes free throw 1 of 1
0:03.0,K. Thompson makes 2-pt shot from 4 ft,2,32-22,,
0:00.0,,,32-22,,L. Stephenson misses 2-pt shot from 16 ft
0:00.0,,,32-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by S. Livingston (drawn by L. Galloway),,32-22,,
11:35.0,,,32-22,,L. Galloway misses 2-pt shot from 19 ft
11:33.0,Defensive rebound by S. Livingston,,32-22,,
11:19.0,K. Thompson misses 3-pt shot from 28 ft,,32-22,,
11:19.0,,,32-22,,Defensive rebound by D. Cunningham
11:09.0,,,32-22,,L. Stephenson misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by K. Durant,,32-22,,
10:51.0,Shooting foul by T. Jones (drawn by D. West),,32-22,,
10:51.0,D. West makes free throw 1 of 2,1,33-22,,
10:51.0,D. West misses free throw 2 of 2,,33-22,,
10:49.0,,,33-22,,Defensive rebound by L. Stephenson
10:32.0,,,33-24,2,L. Stephenson makes 2-pt shot from 17 ft
10:14.0,Turnover by S. Livingston (bad pass; steal by L. Galloway),,33-24,,
10:04.0,,,33-24,,B. Hield misses 2-pt shot from 1 ft
10:01.0,,,33-24,,Offensive rebound by T. Jones
10:01.0,,,33-26,2,T. Jones makes 2-pt shot from 2 ft
10:01.0,Golden State full timeout,,33-26,,
9:45.0,S. Livingston misses 2-pt shot from 15 ft,,33-26,,
9:44.0,,,33-26,,Defensive rebound by T. Jones
9:35.0,,,33-26,,B. Hield misses 3-pt shot from 28 ft
9:34.0,Defensive rebound by K. Thompson,,33-26,,
9:25.0,D. West makes 2-pt shot from 3 ft (assist by K. Thompson),2,35-26,,
9:04.0,,,35-29,3,D. Cunningham makes 3-pt shot from 25 ft (assist by L. Stephenson)
8:49.0,Shooting foul by D. Cunningham (drawn by K. Durant),,35-29,,
8:49.0,K. Durant makes 2-pt shot from 7 ft,2,37-29,,
