time,Chicago,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Towns (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. K. Towns (T. Gibson gains possession)
11:45.0,R. Lopez makes 2-pt shot from 8 ft (assist by J. Grant),2,2-0,,
11:28.0,,,2-0,,G. Dieng misses 3-pt shot from 23 ft
11:27.0,Defensive rebound by M. Carter-Williams,,2-0,,
11:21.0,M. Carter-Williams misses 2-pt shot from 6 ft,,2-0,,
11:20.0,Offensive rebound by R. Lopez,,2-0,,
11:16.0,D. McDermott misses 3-pt shot from 25 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by A. Wiggins
10:57.0,,,2-2,2,A. Wiggins makes 2-pt shot from 12 ft
10:57.0,,,2-2,,Shooting foul by M. Carter-Williams (drawn by A. Wiggins)
10:57.0,,,2-2,,A. Wiggins misses free throw 1 of 1
10:57.0,Defensive rebound by D. McDermott,,2-2,,
10:38.0,R. Lopez makes 2-pt shot from 6 ft (assist by J. Grant),2,4-2,,
10:27.0,,,4-5,3,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns)
10:10.0,T. Gibson misses 2-pt shot from 3 ft,,4-5,,
10:09.0,,,4-5,,Defensive rebound by R. Rubio
10:01.0,,,4-5,,Turnover by R. Rubio (lost ball)
9:40.0,R. Lopez misses 2-pt shot from 18 ft,,4-5,,
9:39.0,,,4-5,,Defensive rebound by R. Rubio
9:32.0,,,4-7,2,R. Rubio makes 2-pt shot from 9 ft
9:32.0,,,4-7,,Shooting foul by R. Lopez (drawn by R. Rubio)
9:32.0,,,4-8,1,R. Rubio makes free throw 1 of 1
9:17.0,J. Grant misses 3-pt shot from 23 ft,,4-8,,
9:16.0,,,4-8,,Defensive rebound by G. Dieng
9:07.0,Personal foul by T. Gibson (drawn by K. Towns),,4-8,,
9:01.0,,,4-10,2,R. Rubio makes 2-pt shot from 15 ft
8:50.0,Offensive charge foul by D. McDermott,,4-10,,
8:50.0,Turnover by D. McDermott (offensive foul),,4-10,,
