time,Atlanta,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. D. Howard (D. Schroder gains possession),,,,Jump ball: R. Holmes vs. D. Howard (D. Schroder gains possession)
11:46.0,E. Ilyasova misses 2-pt shot from 16 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by T. Luwawu-Cabarrot
11:37.0,,,0-0,,D. Saric misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by D. Howard,,0-0,,
11:18.0,T. Waller-Prince misses 2-pt shot from 7 ft,,0-0,,
11:17.0,Offensive rebound by D. Howard,,0-0,,
11:16.0,D. Howard misses 2-pt shot from 2 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by Team
11:00.0,,,0-3,3,T. McConnell makes 3-pt shot from 24 ft (assist by J. Anderson)
10:42.0,D. Howard makes 2-pt shot from 19 ft,2,2-3,,
10:15.0,,,2-3,,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft
10:14.0,Defensive rebound by D. Howard,,2-3,,
9:58.0,T. Hardaway misses 3-pt shot from 24 ft,,2-3,,
9:57.0,Offensive rebound by D. Howard,,2-3,,
9:50.0,D. Howard misses 2-pt shot from 3 ft,,2-3,,
9:48.0,Offensive rebound by D. Howard,,2-3,,
9:46.0,T. Hardaway makes 3-pt shot from 23 ft (assist by D. Howard),3,5-3,,
9:27.0,,,5-3,,Turnover by J. Anderson (traveling)
9:17.0,Turnover by E. Ilyasova (bad pass; steal by R. Holmes),,5-3,,
9:12.0,,,5-3,,Turnover by T. McConnell (bad pass; steal by T. Waller-Prince)
9:06.0,T. Hardaway misses 3-pt shot from 26 ft,,5-3,,
9:03.0,,,5-3,,Defensive rebound by D. Saric
8:55.0,,,5-3,,R. Holmes misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by D. Howard,,5-3,,
8:41.0,D. Howard makes 2-pt shot from 11 ft (assist by D. Schroder),2,7-3,,
8:30.0,,,7-3,,D. Saric misses 2-pt shot from 19 ft
8:28.0,,,7-3,,Offensive rebound by T. McConnell
8:26.0,,,7-6,3,J. Anderson makes 3-pt shot from 25 ft (assist by T. McConnell)
8:09.0,,,7-6,,Personal block foul by T. McConnell (drawn by T. Waller-Prince)
8:03.0,D. Schroder misses 2-pt shot from 3 ft (block by D. Saric),,7-6,,
8:03.0,Offensive rebound by Team,,7-6,,
8:00.0,E. Ilyasova makes 2-pt shot from 10 ft (assist by T. Hardaway),2,9-6,,
7:37.0,,,9-6,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
