time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. J. McGee (K. Durant gains possession),,,,Jump ball: L. Aldridge vs. J. McGee (K. Durant gains possession)
11:38.0,K. Thompson misses 2-pt shot from 16 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Anderson
11:14.0,,,0-2,2,D. Green makes 2-pt shot from 3 ft (assist by L. Aldridge)
11:03.0,Shooting foul by D. Green (drawn by J. McGee),,0-2,,
11:03.0,J. McGee makes free throw 1 of 2,1,1-2,,
11:03.0,J. McGee makes free throw 2 of 2,1,2-2,,
10:50.0,,,2-2,,L. Aldridge misses 2-pt shot from 13 ft
10:49.0,Defensive rebound by D. Green,,2-2,,
10:41.0,K. Durant misses 2-pt shot from 20 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by D. Green
10:32.0,,,2-2,,P. Mills misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by K. Durant,,2-2,,
10:22.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,4-2,,
10:08.0,,,4-2,,Turnover by D. Green (bad pass; steal by S. Curry)
10:03.0,Offensive foul by J. McGee,,4-2,,
10:03.0,Turnover by J. McGee (offensive foul),,4-2,,
10:03.0,Violation by Team (jump ball),,4-2,,
9:41.0,,,4-4,2,J. Simmons makes 2-pt shot from 1 ft (assist by K. Anderson)
9:29.0,J. McGee makes 2-pt shot from 1 ft (assist by D. Green),2,6-4,,
9:29.0,Shooting foul by L. Aldridge (drawn by J. McGee),,6-4,,
9:29.0,J. McGee makes free throw 1 of 1,1,7-4,,
9:10.0,,,7-4,,Turnover by D. Green (lost ball; steal by S. Curry)
9:01.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Durant),3,10-4,,
8:46.0,,,10-6,2,L. Aldridge makes 2-pt shot from 5 ft (assist by P. Mills)
8:39.0,K. Thompson misses 2-pt shot from 1 ft (block by L. Aldridge),,10-6,,
8:37.0,Offensive rebound by D. Green,,10-6,,
8:33.0,K. Thompson misses 3-pt shot from 26 ft,,10-6,,
8:32.0,,,10-6,,Defensive rebound by K. Anderson
8:19.0,,,10-8,2,L. Aldridge makes 2-pt shot from 17 ft
8:08.0,Turnover by D. Green (bad pass),,10-8,,
7:57.0,,,10-8,,P. Mills misses 2-pt shot at rim
7:57.0,Defensive rebound by D. Green,,10-8,,
7:47.0,Turnover by S. Curry (lost ball; steal by D. Green),,10-8,,
7:40.0,,,10-8,,D. Green misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by S. Curry,,10-8,,
7:33.0,J. McGee misses 2-pt shot from 1 ft (block by K. Anderson),,10-8,,
7:31.0,,,10-8,,Defensive rebound by D. Green
7:16.0,,,10-8,,Turnover by Team (back court)
7:13.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,12-8,,
7:13.0,,,12-8,,San Antonio full timeout
7:02.0,,,12-10,2,J. Simmons makes 2-pt shot from 19 ft
6:44.0,S. Curry makes 3-pt shot from 25 ft,3,15-10,,
6:27.0,,,15-12,2,K. Anderson makes 2-pt shot from 7 ft (assist by D. Green)
6:14.0,J. McGee makes 2-pt shot from 5 ft (assist by K. Thompson),2,17-12,,
5:57.0,,,17-12,,J. Simmons misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by Team,,17-12,,
5:53.0,K. Durant misses 3-pt shot from 24 ft,,17-12,,
5:50.0,,,17-12,,Defensive rebound by K. Anderson
5:43.0,,,17-14,2,P. Mills makes 2-pt shot from 16 ft (assist by K. Anderson)
5:34.0,J. McGee misses 2-pt shot from 5 ft (block by L. Aldridge),,17-14,,
5:32.0,Offensive rebound by J. McGee,,17-14,,
5:29.0,J. McGee makes 2-pt shot at rim,2,19-14,,
5:24.0,,,19-14,,J. Simmons misses 2-pt shot from 2 ft (block by J. McGee)
5:24.0,,,19-14,,Offensive rebound by Team
5:24.0,,,19-14,,M. Ginobili enters the game for K. Anderson
5:24.0,A. Iguodala enters the game for K. Durant,,19-14,,
5:24.0,M. Barnes enters the game for J. McGee,,19-14,,
5:23.0,,,19-14,,Turnover by P. Mills (bad pass; steal by M. Barnes)
5:16.0,,,19-14,,Personal foul by J. Simmons (drawn by S. Curry)
5:16.0,,,19-14,,D. Lee enters the game for L. Aldridge
5:09.0,K. Thompson makes 2-pt shot from 16 ft,2,21-14,,
4:57.0,Personal foul by M. Barnes (drawn by J. Simmons),,21-14,,
4:50.0,,,21-17,3,M. Ginobili makes 3-pt shot from 24 ft (assist by J. Simmons)
4:35.0,M. Barnes misses 3-pt shot from 25 ft,,21-17,,
