time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. K. Towns (K. Faried gains possession),,,,Jump ball: N. Jokic vs. K. Towns (K. Faried gains possession)
11:42.0,D. Gallinari makes 3-pt shot from 22 ft (assist by G. Harris),3,3-0,,
11:25.0,,,3-3,3,K. Dunn makes 3-pt shot from 23 ft (assist by A. Wiggins)
11:11.0,G. Harris misses 3-pt shot from 25 ft,,3-3,,
11:10.0,,,3-3,,Defensive rebound by G. Dieng
10:53.0,,,3-6,3,K. Dunn makes 3-pt shot from 24 ft (assist by K. Towns)
10:35.0,N. Jokic makes 2-pt shot from 11 ft (assist by J. Nelson),2,5-6,,
10:22.0,,,5-8,2,K. Towns makes 2-pt shot at rim
10:04.0,Turnover by J. Nelson (bad pass; steal by G. Dieng),,5-8,,
9:50.0,,,5-10,2,K. Dunn makes 2-pt shot from 8 ft (assist by K. Towns)
9:36.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,7-10,,
9:12.0,,,7-10,,Turnover by K. Dunn (lost ball; steal by N. Jokic)
9:02.0,,,7-10,,Personal foul by G. Dieng (drawn by N. Jokic)
8:48.0,J. Nelson makes 2-pt shot at rim (assist by D. Gallinari),2,9-10,,
8:33.0,,,9-10,,Shooting foul by K. Faried (drawn by K. Towns)
8:33.0,,,9-11,1,K. Towns makes free throw 1 of 2
8:33.0,,,9-12,1,K. Towns makes free throw 2 of 2
8:09.0,G. Harris misses 2-pt shot from 12 ft,,9-12,,
8:08.0,Offensive rebound by G. Harris,,9-12,,
7:56.0,Turnover by J. Nelson (bad pass; steal by G. Dieng),,9-12,,
7:51.0,,,9-14,2,Z. LaVine makes 2-pt shot from 1 ft (assist by G. Dieng)
7:38.0,D. Gallinari makes 2-pt shot at rim,2,11-14,,
7:21.0,,,11-14,,A. Wiggins misses 2-pt shot from 14 ft
7:19.0,Defensive rebound by K. Faried,,11-14,,
7:08.0,,,11-14,,Shooting block foul by G. Dieng (drawn by G. Harris)
7:08.0,G. Harris makes free throw 1 of 2,1,12-14,,
7:08.0,G. Harris makes free throw 2 of 2,1,13-14,,
6:49.0,,,13-14,,G. Dieng misses 2-pt shot from 15 ft
6:49.0,Defensive rebound by K. Faried,,13-14,,
6:39.0,Turnover by D. Gallinari (bad pass; steal by Z. LaVine),,13-14,,
6:25.0,,,13-16,2,K. Towns makes 2-pt shot from 12 ft (assist by K. Dunn)
6:15.0,J. Nelson makes 2-pt shot from 9 ft,2,15-16,,
5:57.0,,,15-18,2,G. Dieng makes 2-pt shot from 4 ft (assist by K. Towns)
5:44.0,D. Gallinari misses 2-pt shot from 1 ft,,15-18,,
5:43.0,Offensive rebound by N. Jokic,,15-18,,
5:42.0,Shooting foul by G. Dieng (drawn by N. Jokic),,15-18,,
5:42.0,,,15-18,,Minnesota full timeout
5:42.0,N. Jokic makes free throw 1 of 2,1,16-18,,
5:42.0,N. Jokic makes free throw 2 of 2,1,17-18,,
5:42.0,W. Chandler enters the game for K. Faried,,15-18,,
5:42.0,,,15-18,,N. Bjelica enters the game for G. Dieng
5:23.0,,,17-20,2,A. Wiggins makes 2-pt shot from 9 ft (assist by K. Towns)
5:04.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,19-20,,
4:47.0,,,19-20,,A. Wiggins misses 2-pt shot from 19 ft
4:46.0,Defensive rebound by N. Jokic,,19-20,,
4:33.0,N. Jokic misses 2-pt shot from 1 ft (block by A. Wiggins),,19-20,,
4:31.0,Offensive rebound by N. Jokic,,19-20,,
4:30.0,N. Jokic makes 2-pt shot from 1 ft,2,21-20,,
4:11.0,,,21-20,,A. Wiggins misses 2-pt shot from 19 ft
4:10.0,,,21-20,,Offensive rebound by K. Towns
4:07.0,,,21-20,,Turnover by K. Towns (step out of bounds)
4:07.0,W. Barton enters the game for G. Harris,,21-20,,
3:56.0,Shooting foul by N. Bjelica (drawn by W. Chandler),,21-20,,
3:56.0,W. Chandler misses free throw 1 of 2,,21-20,,
3:56.0,Offensive rebound by Team,,21-20,,
3:56.0,W. Chandler makes free throw 2 of 2,1,22-20,,
3:56.0,,,21-20,,S. Muhammad enters the game for Z. LaVine
3:42.0,,,22-22,2,N. Bjelica makes 2-pt shot from 4 ft (assist by A. Wiggins)
3:26.0,W. Chandler makes 2-pt shot at rim (assist by N. Jokic),2,24-22,,
3:10.0,,,24-22,,K. Dunn misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by W. Chandler,,24-22,,
3:05.0,W. Chandler misses 2-pt shot from 4 ft (block by K. Towns),,24-22,,
3:03.0,,,24-22,,Defensive rebound by K. Towns
2:54.0,,,24-22,,Offensive charge foul by A. Wiggins
2:54.0,,,24-22,,Turnover by A. Wiggins (offensive foul)
2:54.0,Denver full timeout,,24-22,,
2:54.0,J. Murray enters the game for J. Nelson,,24-22,,
2:41.0,Shooting foul by K. Dunn (drawn by J. Murray),,24-22,,
2:41.0,J. Murray misses free throw 1 of 2,,24-22,,
2:41.0,Offensive rebound by Team,,24-22,,
2:41.0,J. Murray makes free throw 2 of 2,1,25-22,,
2:23.0,Personal foul by J. Murray (drawn by N. Bjelica),,25-22,,
2:16.0,,,25-24,2,K. Towns makes 2-pt shot from 1 ft (assist by N. Bjelica)
2:16.0,,,25-24,,Shooting foul by N. Jokic (drawn by K. Towns)
2:16.0,,,25-24,,K. Towns misses free throw 1 of 1
2:16.0,Defensive rebound by D. Arthur,,25-24,,
2:16.0,D. Arthur enters the game for N. Jokic,,25-24,,
2:04.0,W. Chandler misses 2-pt shot from 7 ft (block by K. Towns),,25-24,,
2:03.0,,,25-24,,Defensive rebound by K. Towns
1:59.0,,,25-24,,Offensive charge foul by K. Towns
1:59.0,,,25-24,,Turnover by K. Towns (offensive foul)
1:44.0,D. Arthur makes 3-pt shot from 24 ft (assist by W. Barton),3,28-24,,
1:27.0,,,28-24,,Turnover by K. Towns (offensive goaltending)
