time,Portland,pts.away,score,pts.home,Denver
1:43.0,,,23-32,,Offensive rebound by K. Faried
1:43.0,,,23-34,2,K. Faried makes 2-pt shot from 1 ft
1:30.0,D. Lillard makes 2-pt shot from 2 ft,2,25-34,,
1:30.0,Shooting foul by W. Chandler (drawn by D. Lillard),,25-34,,
1:30.0,D. Lillard makes free throw 1 of 1,1,26-34,,
1:14.0,,,26-36,2,W. Chandler makes 2-pt shot from 5 ft
1:04.0,Turnover by D. Lillard (bad pass; steal by W. Barton),,26-36,,
0:57.0,,,26-36,,Turnover by K. Faried (bad pass; steal by E. Turner)
0:47.0,E. Turner misses 3-pt shot from 24 ft,,26-36,,
0:46.0,,,26-36,,Defensive rebound by W. Barton
0:37.0,Personal foul by E. Davis (drawn by J. Murray),,26-36,,
0:37.0,C. McCollum enters the game for D. Lillard,,26-36,,
0:33.0,,,26-38,2,J. Nelson makes 2-pt shot from 18 ft
0:26.0,C. McCollum makes 2-pt shot from 5 ft,2,28-38,,
0:03.0,,,28-38,,K. Faried misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by C. McCollum,,28-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,E. Davis misses 2-pt shot from 3 ft,,28-38,,
11:43.0,,,28-38,,Defensive rebound by J. Nurkic
11:31.0,,,28-38,,J. Nelson misses 2-pt shot from 12 ft (block by E. Turner)
11:29.0,Defensive rebound by E. Turner,,28-38,,
11:21.0,Turnover by A. Crabbe (traveling),,28-38,,
11:07.0,,,28-38,,W. Barton misses 2-pt shot from 16 ft
11:07.0,Defensive rebound by M. Leonard,,28-38,,
10:57.0,Turnover by C. McCollum (bad pass; steal by J. Murray),,28-38,,
10:52.0,,,28-38,,J. Murray misses 2-pt shot from 3 ft (block by C. McCollum)
10:50.0,,,28-38,,Offensive rebound by J. Murray
10:43.0,,,28-38,,J. Nelson misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by C. McCollum,,28-38,,
10:38.0,E. Turner misses 2-pt shot from 2 ft,,28-38,,
10:34.0,Offensive rebound by A. Crabbe,,28-38,,
10:33.0,A. Crabbe misses 2-pt shot from 2 ft,,28-38,,
10:32.0,,,28-38,,Defensive rebound by J. Nurkic
10:31.0,Shooting block foul by C. McCollum (drawn by W. Barton),,28-38,,
10:31.0,,,28-39,1,W. Barton makes free throw 1 of 2
10:31.0,,,28-40,1,W. Barton makes free throw 2 of 2
10:10.0,E. Turner misses 2-pt shot from 6 ft,,28-40,,
10:09.0,,,28-40,,Defensive rebound by W. Chandler
10:03.0,,,28-40,,W. Barton misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by Team,,28-40,,
10:01.0,,,28-40,,Loose ball foul by J. Nurkic (drawn by M. Leonard)
9:46.0,C. McCollum misses 2-pt shot from 21 ft,,28-40,,
9:45.0,,,28-40,,Defensive rebound by W. Chandler
9:39.0,,,28-40,,Shooting foul by E. Davis (drawn by W. Barton)
9:39.0,,,28-41,1,W. Barton makes free throw 1 of 2
9:39.0,,,28-42,1,W. Barton makes free throw 2 of 2
9:39.0,M. Harkless enters the game for E. Davis,,28-41,,
9:24.0,M. Leonard misses 3-pt shot from 24 ft,,28-42,,
9:23.0,,,28-42,,Defensive rebound by J. Nurkic
9:14.0,,,28-45,3,W. Barton makes 3-pt shot from 26 ft
9:14.0,Portland full timeout,,28-45,,
9:14.0,,,28-45,,G. Harris enters the game for J. Murray
9:02.0,C. McCollum misses 2-pt shot from 7 ft,,28-45,,
9:00.0,,,28-45,,Defensive rebound by W. Chandler
8:47.0,,,28-48,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson)
8:34.0,C. McCollum makes 2-pt shot from 3 ft,2,30-48,,
8:25.0,,,30-48,,W. Chandler misses 3-pt shot from 26 ft
8:24.0,,,30-48,,Offensive rebound by J. Nurkic
8:23.0,Loose ball foul by M. Leonard (drawn by J. Nurkic),,30-48,,
8:23.0,M. Plumlee enters the game for M. Leonard,,30-48,,
8:14.0,,,30-48,,J. Nurkic misses 2-pt shot from 6 ft
8:13.0,,,30-48,,Offensive rebound by Team
8:09.0,,,30-48,,W. Chandler misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by M. Plumlee,,30-48,,
8:06.0,A. Crabbe makes 2-pt shot from 2 ft (assist by M. Plumlee),2,32-48,,
8:06.0,Shooting foul by J. Nelson (drawn by A. Crabbe),,32-48,,
8:06.0,A. Crabbe makes free throw 1 of 1,1,33-48,,
7:51.0,,,33-50,2,J. Nurkic makes 2-pt shot from 5 ft (assist by W. Barton)
7:35.0,,,33-50,,Personal foul by G. Harris (drawn by A. Crabbe)
7:35.0,,,33-50,,E. Mudiay enters the game for J. Nelson
7:30.0,Shooting foul by J. Nurkic (drawn by C. McCollum),,33-50,,
7:30.0,C. McCollum makes free throw 1 of 2,1,34-50,,
7:30.0,C. McCollum makes free throw 2 of 2,1,35-50,,
7:30.0,,,34-50,,N. Jokic enters the game for J. Nurkic
7:22.0,Personal foul by C. McCollum (drawn by E. Mudiay),,35-50,,
7:22.0,D. Lillard enters the game for C. McCollum,,35-50,,
7:22.0,,,35-50,,D. Gallinari enters the game for W. Chandler
7:09.0,,,35-50,,Shooting foul by A. Crabbe (drawn by D. Gallinari)
7:09.0,,,35-51,1,D. Gallinari makes free throw 1 of 2
7:09.0,,,35-52,1,D. Gallinari makes free throw 2 of 2
6:56.0,D. Lillard makes 2-pt shot from 15 ft,2,37-52,,
6:34.0,,,37-52,,D. Gallinari misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by Team,,37-52,,
6:16.0,E. Turner misses 2-pt shot from 15 ft,,37-52,,
6:15.0,,,37-52,,Defensive rebound by G. Harris
6:09.0,,,37-55,3,G. Harris makes 3-pt shot from 25 ft
5:47.0,Turnover by D. Lillard (lost ball; steal by G. Harris),,37-55,,
5:43.0,,,37-55,,Shooting foul by A. Crabbe (drawn by E. Mudiay)
5:43.0,,,37-56,1,E. Mudiay makes free throw 1 of 2
5:43.0,,,37-57,1,E. Mudiay makes free throw 2 of 2
5:43.0,,,37-55,,J. Murray enters the game for E. Mudiay
5:43.0,,,37-55,,E. Mudiay enters the game for W. Barton
5:28.0,M. Harkless misses 2-pt shot from 3 ft,,37-57,,
5:27.0,,,37-57,,Defensive rebound by N. Jokic
5:16.0,,,37-60,3,N. Jokic makes 3-pt shot from 26 ft (assist by J. Murray)
4:58.0,Turnover by M. Harkless (lost ball; steal by E. Mudiay),,37-60,,
4:52.0,,,37-60,,E. Mudiay misses 2-pt shot from 5 ft
4:51.0,Defensive rebound by M. Plumlee,,37-60,,
4:39.0,,,37-60,,Personal foul by G. Harris (drawn by E. Turner)
4:39.0,Technical foul by E. Turner,,37-60,,
4:39.0,,,37-61,1,D. Gallinari makes technical free throw
4:39.0,E. Turner misses free throw 1 of 2,,37-61,,
4:39.0,Offensive rebound by Team,,37-61,,
4:39.0,E. Turner makes free throw 2 of 2,1,38-61,,
4:39.0,C. McCollum enters the game for A. Crabbe,,37-61,,
4:22.0,,,38-63,2,E. Mudiay makes 2-pt shot from 17 ft (assist by G. Harris)
