time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (R. McGruder gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (R. McGruder gains possession)
11:41.0,J. Johnson misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by Team
11:27.0,Jump ball: D. DeRozan vs. J. Johnson,,,,Jump ball: D. DeRozan vs. J. Johnson
11:27.0,,,0-0,,Turnover by D. DeRozan (lost ball; steal by J. Johnson)
11:13.0,G. Dragic makes 2-pt shot from 1 ft,2,2-0,,
10:59.0,,,2-0,,Turnover by D. DeRozan (bad pass; steal by J. Richardson)
10:54.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Richardson),2,4-0,,
10:36.0,,,4-0,,D. Carroll misses 2-pt shot from 20 ft
10:36.0,,,4-0,,Offensive rebound by Team
10:36.0,Loose ball foul by H. Whiteside (drawn by J. Valanciunas),,4-0,,
10:29.0,,,4-0,,J. Valanciunas misses 2-pt shot from 4 ft
10:29.0,,,4-0,,Offensive rebound by J. Valanciunas
10:19.0,,,4-3,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
10:01.0,R. McGruder misses 2-pt shot from 4 ft,,4-3,,
10:00.0,,,4-3,,Defensive rebound by S. Ibaka
9:43.0,,,4-3,,S. Ibaka misses 2-pt shot from 15 ft
9:42.0,Defensive rebound by H. Whiteside,,4-3,,
9:33.0,G. Dragic misses 2-pt shot from 15 ft,,4-3,,
9:31.0,,,4-3,,Defensive rebound by Team
9:07.0,,,4-3,,D. DeRozan misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by H. Whiteside,,4-3,,
8:57.0,J. Richardson makes 3-pt shot from 23 ft (assist by R. McGruder),3,7-3,,
8:43.0,Personal foul by H. Whiteside (drawn by J. Valanciunas),,7-3,,
8:43.0,W. Reed enters the game for H. Whiteside,,7-3,,
8:28.0,,,7-3,,D. DeRozan misses 2-pt shot from 17 ft
8:28.0,,,7-3,,Offensive rebound by Team
8:28.0,,,7-3,,Turnover by Team (shot clock)
8:17.0,,,7-3,,Violation by D. Carroll (kicked ball)
8:09.0,J. Richardson misses 2-pt shot from 4 ft,,7-3,,
8:08.0,,,7-3,,Defensive rebound by S. Ibaka
8:01.0,,,7-3,,K. Lowry misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by W. Reed,,7-3,,
7:49.0,Shooting foul by S. Ibaka (drawn by J. Johnson),,7-3,,
7:49.0,J. Johnson makes free throw 1 of 2,1,8-3,,
7:49.0,J. Johnson makes free throw 2 of 2,1,9-3,,
7:34.0,,,9-3,,S. Ibaka misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by W. Reed,,9-3,,
7:23.0,G. Dragic misses 2-pt shot from 9 ft,,9-3,,
7:22.0,,,9-3,,Defensive rebound by D. DeRozan
7:14.0,,,9-3,,Turnover by K. Lowry (bad pass; steal by J. Richardson)
7:11.0,Shooting foul by K. Lowry (drawn by G. Dragic),,9-3,,
7:11.0,G. Dragic makes free throw 1 of 2,1,10-3,,
7:11.0,G. Dragic misses free throw 2 of 2,,10-3,,
7:09.0,,,10-3,,Defensive rebound by J. Valanciunas
7:04.0,,,10-3,,Toronto full timeout
6:57.0,Personal block foul by W. Reed (drawn by K. Lowry),,10-3,,
6:49.0,,,10-3,,J. Valanciunas misses 2-pt shot from 11 ft
6:48.0,Defensive rebound by J. Johnson,,10-3,,
6:33.0,Turnover by R. McGruder (lost ball; steal by K. Lowry),,10-3,,
6:24.0,,,10-6,3,S. Ibaka makes 3-pt shot from 26 ft (assist by K. Lowry)
6:07.0,J. Johnson misses 2-pt shot from 5 ft,,10-6,,
6:06.0,Offensive rebound by J. Johnson,,10-6,,
