time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. M. Leonard (T. Warren gains possession),,,,Jump ball: A. Len vs. M. Leonard (T. Warren gains possession)
11:44.0,D. Booker makes 2-pt shot from 2 ft,2,2-0,,
11:25.0,,,2-2,2,N. Vonleh makes 2-pt shot from 3 ft (assist by C. McCollum)
11:19.0,M. Chriss misses 2-pt shot at rim,,2-2,,
11:18.0,,,2-2,,Defensive rebound by D. Lillard
11:10.0,,,2-2,,M. Leonard misses 3-pt shot from 25 ft
11:08.0,,,2-2,,Offensive rebound by N. Vonleh
11:02.0,,,2-2,,C. McCollum misses 2-pt shot from 20 ft
11:01.0,Defensive rebound by T. Warren,,2-2,,
10:52.0,T. Warren makes 2-pt shot from 8 ft,2,4-2,,
10:28.0,,,4-2,,Shooting foul by A. Len (drawn by M. Leonard)
10:28.0,,,4-3,1,M. Leonard makes free throw 1 of 2
10:28.0,,,4-4,1,M. Leonard makes free throw 2 of 2
10:13.0,D. Booker misses 2-pt shot from 6 ft,,4-4,,
10:12.0,,,4-4,,Defensive rebound by N. Vonleh
10:00.0,,,4-4,,M. Harkless misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by A. Len,,4-4,,
9:53.0,T. Warren misses 2-pt shot from 22 ft,,4-4,,
9:51.0,,,4-4,,Defensive rebound by M. Leonard
9:37.0,,,4-4,,Turnover by D. Lillard (bad pass; steal by M. Chriss)
9:31.0,D. Booker misses 3-pt shot from 25 ft,,4-4,,
9:31.0,,,4-4,,Defensive rebound by N. Vonleh
9:27.0,,,4-6,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
9:27.0,,,4-6,,Shooting foul by A. Len (drawn by M. Harkless)
9:27.0,,,4-7,1,M. Harkless makes free throw 1 of 1
9:09.0,T. Warren misses 2-pt shot from 21 ft,,4-7,,
9:08.0,Offensive rebound by A. Len,,4-7,,
9:05.0,T. Ulis misses 2-pt shot from 18 ft,,4-7,,
9:05.0,,,4-7,,Defensive rebound by D. Lillard
8:55.0,,,4-9,2,D. Lillard makes 2-pt shot at rim
8:55.0,Phoenix full timeout,,4-9,,
8:55.0,A. Williams enters the game for A. Len,,4-9,,
8:40.0,T. Warren makes 2-pt shot from 1 ft (assist by M. Chriss),2,6-9,,
8:22.0,,,6-9,,N. Vonleh misses 2-pt shot from 2 ft
8:22.0,,,6-9,,Offensive rebound by M. Harkless
8:17.0,,,6-11,2,M. Harkless makes 2-pt shot from 5 ft
8:05.0,D. Booker misses 2-pt shot from 20 ft,,6-11,,
8:04.0,,,6-11,,Defensive rebound by D. Lillard
7:55.0,,,6-13,2,C. McCollum makes 2-pt shot from 13 ft
7:47.0,D. Booker misses 2-pt shot from 5 ft,,6-13,,
7:47.0,,,6-13,,Defensive rebound by N. Vonleh
7:36.0,,,6-15,2,N. Vonleh makes 2-pt shot from 2 ft (assist by D. Lillard)
7:22.0,Turnover by M. Chriss (bad pass; steal by C. McCollum),,6-15,,
7:18.0,,,6-17,2,C. McCollum makes 2-pt shot at rim
7:18.0,Phoenix full timeout,,6-17,,
7:03.0,T. Warren misses 2-pt shot from 12 ft,,6-17,,
7:02.0,,,6-17,,Defensive rebound by N. Vonleh
6:54.0,,,6-20,3,C. McCollum makes 3-pt shot from 25 ft
6:45.0,T. Ulis misses 2-pt shot from 13 ft,,6-20,,
6:42.0,Offensive rebound by A. Williams,,6-20,,
6:42.0,A. Williams misses 2-pt shot from 2 ft,,6-20,,
6:42.0,,,6-20,,Defensive rebound by M. Leonard
6:34.0,,,6-22,2,N. Vonleh makes 2-pt shot at rim (assist by C. McCollum)
6:20.0,,,6-22,,Personal foul by C. McCollum
6:20.0,J. Dudley enters the game for M. Chriss,,6-22,,
6:10.0,Turnover by J. Dudley (lost ball; steal by M. Leonard),,6-22,,
6:02.0,,,6-24,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
5:52.0,T. Ulis makes 2-pt shot from 18 ft,2,8-24,,
5:32.0,,,8-24,,Turnover by N. Vonleh (step out of bounds)
5:32.0,,,8-24,,A. Crabbe enters the game for C. McCollum
5:32.0,,,8-24,,A. Aminu enters the game for N. Vonleh
5:15.0,D. Booker misses 2-pt shot from 15 ft,,8-24,,
5:13.0,,,8-24,,Defensive rebound by M. Harkless
5:04.0,,,8-27,3,D. Lillard makes 3-pt shot from 27 ft (assist by A. Crabbe)
4:48.0,T. Warren misses 2-pt shot from 21 ft,,8-27,,
4:47.0,Offensive rebound by A. Williams,,8-27,,
4:46.0,A. Williams makes 2-pt shot from 6 ft,2,10-27,,
4:46.0,Shooting foul by M. Leonard (drawn by A. Williams),,10-27,,
4:46.0,A. Williams makes free throw 1 of 1,1,11-27,,
4:46.0,,,10-27,,E. Turner enters the game for M. Harkless
4:30.0,,,11-27,,A. Aminu misses 2-pt shot from 4 ft
4:30.0,Defensive rebound by A. Williams,,11-27,,
4:16.0,Turnover by T. Ulis (bad pass; steal by D. Lillard),,11-27,,
4:08.0,,,11-27,,A. Crabbe misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by Team,,11-27,,
4:08.0,,,11-27,,Loose ball foul by A. Aminu (drawn by A. Williams)
3:58.0,A. Williams makes 2-pt shot from 5 ft (assist by D. Booker),2,13-27,,
3:38.0,,,13-29,2,A. Aminu makes 2-pt shot at rim
3:27.0,Shooting foul by D. Lillard (drawn by J. Dudley),,13-29,,
3:27.0,J. Dudley makes free throw 1 of 2,1,14-29,,
3:27.0,J. Dudley makes free throw 2 of 2,1,15-29,,
3:27.0,,,14-29,,N. Vonleh enters the game for M. Leonard
3:27.0,D. Jones enters the game for T. Ulis,,14-29,,
3:12.0,,,15-32,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
2:53.0,A. Williams makes 2-pt shot from 4 ft (assist by J. Dudley),2,17-32,,
2:53.0,Shooting foul by N. Vonleh (drawn by A. Williams),,17-32,,
2:53.0,,,17-32,,Portland full timeout
2:53.0,A. Williams misses free throw 1 of 1,,17-32,,
2:53.0,,,17-32,,C. McCollum enters the game for D. Lillard
2:51.0,,,17-32,,Defensive rebound by N. Vonleh
2:30.0,,,17-34,2,A. Aminu makes 2-pt shot from 21 ft (assist by C. McCollum)
2:11.0,D. Booker makes 2-pt shot from 8 ft,2,19-34,,
1:50.0,,,19-37,3,C. McCollum makes 3-pt shot from 25 ft (assist by N. Vonleh)
1:24.0,Turnover by J. Dudley (bad pass; steal by A. Aminu),,19-37,,
1:17.0,Personal foul by T. Warren,,19-37,,
1:13.0,,,19-37,,C. McCollum misses 2-pt shot from 2 ft (block by A. Williams)
1:13.0,,,19-37,,Offensive rebound by Team
1:06.0,,,19-37,,Turnover by E. Turner (bad pass; steal by J. Dudley)
0:57.0,T. Warren makes 2-pt shot from 6 ft,2,21-37,,
0:38.0,,,21-37,,E. Turner misses 2-pt shot from 15 ft
0:38.0,,,21-37,,Offensive rebound by N. Vonleh
0:33.0,,,21-37,,Turnover by N. Vonleh (lost ball; steal by D. Booker)
0:25.0,A. Williams misses 2-pt shot from 4 ft (block by A. Crabbe),,21-37,,
0:22.0,Offensive rebound by A. Williams,,21-37,,
0:04.0,Shooting foul by A. Aminu (drawn by D. Booker),,21-37,,
0:04.0,D. Booker misses free throw 1 of 2,,21-37,,
0:04.0,Offensive rebound by Team,,21-37,,
0:04.0,D. Booker misses free throw 2 of 2,,21-37,,
0:04.0,,,21-37,,Defensive rebound by C. McCollum
0:00.0,,,21-37,,C. McCollum misses 2-pt shot from 6 ft
0:00.0,,,21-37,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Personal foul by D. Jones (drawn by A. Aminu),,21-37,,
11:33.0,,,21-37,,C. McCollum misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by A. Williams,,21-37,,
11:15.0,J. Dudley makes 2-pt shot from 23 ft (assist by T. Ulis),2,23-37,,
10:58.0,,,23-39,2,E. Turner makes 2-pt shot from 20 ft (assist by M. Harkless)
10:47.0,T. Ulis misses 2-pt shot from 20 ft,,23-39,,
10:45.0,Offensive rebound by D. Jones,,23-39,,
10:43.0,D. Jones misses 2-pt shot from 2 ft,,23-39,,
10:42.0,,,23-39,,Defensive rebound by A. Aminu
10:33.0,,,23-39,,Shooting foul by A. Williams (drawn by E. Turner)
10:33.0,,,23-39,,E. Turner misses free throw 1 of 2
10:33.0,,,23-39,,Offensive rebound by Team
10:33.0,,,23-40,1,E. Turner makes free throw 2 of 2
10:20.0,T. Ulis misses 2-pt shot from 1 ft,,23-40,,
10:19.0,Offensive rebound by D. Jones,,23-40,,
10:19.0,D. Jones makes 2-pt shot at rim,2,25-40,,
9:57.0,,,25-43,3,E. Turner makes 3-pt shot from 22 ft (assist by C. McCollum)
9:49.0,Offensive foul by A. Williams,,25-43,,
9:49.0,Turnover by A. Williams (offensive foul),,25-43,,
9:31.0,,,25-45,2,M. Harkless makes 2-pt shot from 1 ft (assist by E. Turner)
