time,Philadelphia,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. C. Zeller (M. Williams gains possession),,,,Jump ball: R. Holmes vs. C. Zeller (M. Williams gains possession)
11:49.0,,,0-0,,Shooting foul by R. Holmes (drawn by C. Zeller)
11:49.0,,,0-0,,C. Zeller misses free throw 1 of 2
11:49.0,,,0-0,,Offensive rebound by Team
11:49.0,,,0-0,,C. Zeller misses free throw 2 of 2
11:47.0,Defensive rebound by R. Covington,,0-0,,
11:36.0,D. Saric misses 2-pt shot from 1 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
11:16.0,,,0-2,2,C. Zeller makes 2-pt shot at rim
10:58.0,R. Covington makes 3-pt shot from 25 ft (assist by G. Henderson),3,3-2,,
10:35.0,,,3-4,2,K. Walker makes 2-pt shot at rim
10:29.0,G. Henderson makes 2-pt shot from 17 ft (assist by S. Rodriguez),2,5-4,,
10:20.0,,,5-4,,Turnover by K. Walker (lost ball; steal by R. Covington)
10:14.0,G. Henderson makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,7-4,,
10:00.0,Personal foul by R. Holmes (drawn by M. Kidd-Gilchrist),,7-4,,
10:00.0,J. Okafor enters the game for R. Holmes,,7-4,,
9:53.0,,,7-4,,M. Kidd-Gilchrist misses 2-pt shot from 5 ft (block by S. Rodriguez)
9:51.0,Defensive rebound by S. Rodriguez,,7-4,,
9:38.0,D. Saric misses 2-pt shot from 5 ft,,7-4,,
9:37.0,,,7-4,,Defensive rebound by K. Walker
9:30.0,,,7-4,,K. Walker misses 3-pt shot from 25 ft
9:29.0,,,7-4,,Offensive rebound by M. Kidd-Gilchrist
9:27.0,,,7-4,,Shooting foul by D. Saric (drawn by C. Zeller)
9:27.0,,,7-5,1,C. Zeller makes free throw 1 of 2
9:27.0,,,7-6,1,C. Zeller makes free throw 2 of 2
9:05.0,R. Covington misses 3-pt shot from 25 ft,,7-6,,
9:03.0,,,7-6,,Defensive rebound by N. Batum
8:53.0,,,7-6,,C. Zeller misses 2-pt shot from 17 ft
8:52.0,Defensive rebound by S. Rodriguez,,7-6,,
8:45.0,S. Rodriguez misses 2-pt shot from 20 ft,,7-6,,
8:44.0,,,7-6,,Defensive rebound by M. Kidd-Gilchrist
8:33.0,,,7-6,,Shooting foul by J. Okafor (drawn by M. Kidd-Gilchrist)
8:33.0,,,7-7,1,M. Kidd-Gilchrist makes free throw 1 of 2
8:33.0,,,7-7,,M. Kidd-Gilchrist misses free throw 2 of 2
8:33.0,N. Stauskas enters the game for R. Covington,,7-7,,
8:32.0,Defensive rebound by J. Okafor,,7-7,,
