time,Utah,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. C. Zeller (D. Favors gains possession),,,,Jump ball: R. Gobert vs. C. Zeller (D. Favors gains possession)
11:35.0,Turnover by S. Mack (bad pass; steal by M. Kidd-Gilchrist),,0-0,,
11:30.0,,,0-0,,Shooting foul by D. Favors (drawn by N. Batum)
11:30.0,,,0-1,1,N. Batum makes free throw 1 of 2
11:30.0,,,0-1,,N. Batum misses free throw 2 of 2
11:28.0,Defensive rebound by R. Gobert,,0-1,,
11:21.0,Turnover by G. Hayward (bad pass; steal by K. Walker),,0-1,,
11:09.0,,,0-3,2,K. Walker makes 2-pt shot from 17 ft
10:53.0,R. Hood misses 3-pt shot from 25 ft,,0-3,,
10:52.0,,,0-3,,Defensive rebound by M. Williams
10:43.0,,,0-3,,Shooting foul by R. Gobert (drawn by C. Zeller)
10:43.0,,,0-4,1,C. Zeller makes free throw 1 of 2
10:43.0,,,0-4,,C. Zeller misses free throw 2 of 2
10:41.0,Defensive rebound by R. Gobert,,0-4,,
10:17.0,S. Mack misses 3-pt shot from 23 ft,,0-4,,
10:16.0,,,0-4,,Defensive rebound by M. Kidd-Gilchrist
10:08.0,,,0-4,,Turnover by M. Kidd-Gilchrist (bad pass; steal by S. Mack)
9:59.0,D. Favors misses 2-pt shot from 17 ft,,0-4,,
9:57.0,Offensive rebound by S. Mack,,0-4,,
9:54.0,S. Mack makes 2-pt shot from 6 ft,2,2-4,,
9:34.0,,,2-7,3,K. Walker makes 3-pt shot from 24 ft
9:16.0,G. Hayward makes 3-pt shot from 25 ft,3,5-7,,
9:01.0,,,5-7,,K. Walker misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by R. Hood,,5-7,,
8:44.0,D. Favors makes 2-pt shot from 12 ft (assist by R. Hood),2,7-7,,
8:32.0,,,7-7,,C. Zeller misses 2-pt shot at rim
8:31.0,Defensive rebound by S. Mack,,7-7,,
8:22.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hayward),2,9-7,,
8:08.0,,,9-7,,Shooting foul by R. Hood (drawn by N. Batum)
8:08.0,,,9-7,,N. Batum misses free throw 1 of 3
8:08.0,,,9-7,,Offensive rebound by Team
8:08.0,,,9-8,1,N. Batum makes free throw 2 of 3
8:08.0,,,9-9,1,N. Batum makes free throw 3 of 3
7:53.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,11-9,,
7:37.0,,,11-11,2,N. Batum makes 2-pt shot from 19 ft (assist by C. Zeller)
7:22.0,Turnover by R. Hood (bad pass; steal by K. Walker),,11-11,,
7:21.0,Personal foul by S. Mack (drawn by K. Walker),,11-11,,
7:13.0,,,11-11,,N. Batum misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by R. Hood,,11-11,,
7:03.0,Shooting foul by C. Zeller (drawn by R. Gobert),,11-11,,
7:03.0,R. Gobert makes free throw 1 of 2,1,12-11,,
7:03.0,R. Gobert makes free throw 2 of 2,1,13-11,,
6:48.0,,,13-14,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
6:35.0,G. Hayward misses 3-pt shot from 25 ft,,13-14,,
6:34.0,,,13-14,,Defensive rebound by C. Zeller
6:28.0,,,13-14,,K. Walker misses 2-pt shot from 2 ft (block by D. Favors)
6:27.0,Defensive rebound by G. Hayward,,13-14,,
6:17.0,G. Hayward makes 2-pt shot from 1 ft,2,15-14,,
6:17.0,Shooting foul by K. Walker (drawn by G. Hayward),,15-14,,
6:17.0,G. Hayward makes free throw 1 of 1,1,16-14,,
6:04.0,,,16-14,,M. Williams misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by R. Gobert,,16-14,,
5:49.0,D. Favors misses 2-pt shot from 1 ft (block by C. Zeller),,16-14,,
5:49.0,Offensive rebound by R. Gobert,,16-14,,
5:49.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Gobert),,16-14,,
5:49.0,,,16-14,,Charlotte full timeout
5:49.0,R. Gobert misses free throw 1 of 2,,16-14,,
5:49.0,Offensive rebound by Team,,16-14,,
5:49.0,R. Gobert makes free throw 2 of 2,1,17-14,,
5:49.0,J. Ingles enters the game for R. Hood,,16-14,,
5:26.0,,,17-14,,Offensive foul by M. Williams
5:26.0,,,17-14,,Turnover by M. Williams (offensive foul)
5:04.0,G. Hayward makes 2-pt shot from 7 ft,2,19-14,,
4:46.0,,,19-14,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
4:45.0,Defensive rebound by D. Favors,,19-14,,
4:31.0,S. Mack misses 3-pt shot from 23 ft,,19-14,,
4:30.0,Offensive rebound by R. Gobert,,19-14,,
4:23.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,22-14,,
4:10.0,,,22-14,,Charlotte full timeout
