time,Portland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Plumlee (I. Whitehead gains possession),,,,Jump ball: B. Lopez vs. M. Plumlee (I. Whitehead gains possession)
11:37.0,,,0-0,,Turnover by Team (back court)
11:29.0,D. Lillard makes 2-pt shot from 3 ft,2,2-0,,
11:29.0,Shooting foul by B. Lopez (drawn by D. Lillard),,2-0,,
11:29.0,D. Lillard makes free throw 1 of 1,1,3-0,,
11:16.0,Violation by M. Harkless (kicked ball),,3-0,,
11:11.0,,,3-2,2,B. Bogdanovic makes 2-pt shot from 15 ft (assist by T. Booker)
11:11.0,,,3-2,,Shooting foul by C. McCollum (drawn by B. Bogdanovic)
11:11.0,,,3-3,1,B. Bogdanovic makes free throw 1 of 1
11:00.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Plumlee),,3-3,,
11:00.0,M. Plumlee makes 2-pt shot from 3 ft (assist by E. Davis),2,5-3,,
11:00.0,M. Plumlee misses free throw 1 of 1,,5-3,,
10:57.0,,,5-3,,Defensive rebound by B. Lopez
10:42.0,,,5-3,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
10:41.0,,,5-3,,Offensive rebound by Team
10:34.0,,,5-5,2,B. Lopez makes 2-pt shot from 13 ft
10:18.0,,,5-5,,Personal foul by T. Booker (drawn by M. Plumlee)
10:11.0,D. Lillard misses 3-pt shot from 26 ft,,5-5,,
10:10.0,,,5-5,,Defensive rebound by B. Bogdanovic
10:04.0,,,5-5,,B. Bogdanovic misses 2-pt shot from 11 ft
10:03.0,Defensive rebound by E. Davis,,5-5,,
9:58.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,7-5,,
9:44.0,,,7-7,2,T. Booker makes 2-pt shot from 2 ft (assist by B. Lopez)
9:36.0,Offensive charge foul by D. Lillard,,7-7,,
9:36.0,Turnover by D. Lillard (offensive foul),,7-7,,
9:26.0,,,7-7,,I. Whitehead misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by E. Davis,,7-7,,
9:16.0,M. Harkless misses 3-pt shot from 23 ft,,7-7,,
9:15.0,Offensive rebound by E. Davis,,7-7,,
9:02.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,10-7,,
8:50.0,Personal foul by E. Davis (drawn by B. Lopez),,10-7,,
8:42.0,,,10-9,2,B. Bogdanovic makes 2-pt shot from 11 ft
8:23.0,Turnover by C. McCollum (bad pass; steal by R. Hollis-Jefferson),,10-9,,
8:16.0,,,10-9,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
8:15.0,,,10-9,,Offensive rebound by R. Hollis-Jefferson
8:11.0,,,10-12,3,I. Whitehead makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
7:53.0,C. McCollum makes 2-pt shot from 15 ft,2,12-12,,
7:43.0,,,12-15,3,B. Lopez makes 3-pt shot from 26 ft (assist by I. Whitehead)
7:29.0,D. Lillard makes 2-pt shot from 8 ft,2,14-15,,
7:16.0,,,14-17,2,T. Booker makes 2-pt shot at rim
6:58.0,D. Lillard makes 2-pt shot from 19 ft,2,16-17,,
6:51.0,,,16-17,,Turnover by B. Lopez (bad pass)
6:51.0,,,16-17,,J. Hamilton enters the game for T. Booker
6:36.0,C. McCollum misses 3-pt shot from 26 ft,,16-17,,
6:35.0,,,16-17,,Defensive rebound by J. Hamilton
6:27.0,,,16-17,,B. Bogdanovic misses 2-pt shot from 2 ft (block by D. Lillard)
6:26.0,Defensive rebound by M. Harkless,,16-17,,
6:16.0,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard),3,19-17,,
6:15.0,,,19-17,,Brooklyn full timeout
6:15.0,,,19-17,,R. Foye enters the game for I. Whitehead
5:58.0,,,19-17,,B. Bogdanovic misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by C. McCollum,,19-17,,
5:44.0,Turnover by M. Harkless (offensive goaltending),,19-17,,
5:33.0,,,19-19,2,J. Hamilton makes 2-pt shot from 1 ft (assist by B. Lopez)
5:15.0,M. Plumlee misses 2-pt shot from 2 ft,,19-19,,
5:11.0,Offensive rebound by M. Plumlee,,19-19,,
5:03.0,C. McCollum misses 2-pt shot from 18 ft,,19-19,,
5:02.0,Offensive rebound by E. Davis,,19-19,,
4:56.0,,,19-19,,Personal foul by R. Hollis-Jefferson (drawn by M. Plumlee)
4:56.0,,,19-19,,J. Harris enters the game for R. Hollis-Jefferson
4:56.0,,,19-19,,S. Kilpatrick enters the game for B. Bogdanovic
4:56.0,M. Leonard enters the game for M. Plumlee,,19-19,,
4:56.0,A. Crabbe enters the game for C. McCollum,,19-19,,
4:56.0,E. Turner enters the game for M. Harkless,,19-19,,
4:48.0,M. Leonard misses 3-pt shot from 25 ft,,19-19,,
4:46.0,,,19-19,,Defensive rebound by R. Foye
4:32.0,,,19-19,,J. Harris misses 3-pt shot from 24 ft
4:31.0,,,19-19,,Offensive rebound by B. Lopez
4:24.0,Personal foul by A. Crabbe (drawn by S. Kilpatrick),,19-19,,
4:24.0,,,19-20,1,S. Kilpatrick makes free throw 1 of 2
4:24.0,,,19-20,,S. Kilpatrick misses free throw 2 of 2
4:23.0,Defensive rebound by M. Leonard,,19-20,,
4:12.0,Turnover by E. Davis (3 sec),,19-20,,
3:59.0,,,19-22,2,B. Lopez makes 2-pt shot from 17 ft
3:38.0,M. Leonard makes 3-pt shot from 24 ft (assist by E. Turner),3,22-22,,
3:32.0,,,22-22,,Shooting foul by M. Leonard (drawn by R. Foye)
3:32.0,,,22-23,1,R. Foye makes free throw 1 of 2
3:32.0,,,22-24,1,R. Foye makes free throw 2 of 2
3:32.0,,,22-23,,T. Booker enters the game for B. Lopez
3:32.0,N. Vonleh enters the game for E. Davis,,22-23,,
3:20.0,A. Crabbe misses 3-pt shot from 25 ft,,22-24,,
3:19.0,,,22-24,,Defensive rebound by S. Kilpatrick
3:07.0,,,22-24,,Turnover by J. Harris (bad pass; steal by N. Vonleh)
3:03.0,Shooting foul by R. Foye (drawn by D. Lillard),,22-24,,
3:03.0,D. Lillard misses free throw 1 of 2,,22-24,,
3:03.0,Offensive rebound by Team,,22-24,,
3:03.0,D. Lillard makes free throw 2 of 2,1,23-24,,
2:49.0,,,23-24,,R. Foye misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by M. Leonard,,23-24,,
2:39.0,D. Lillard makes 2-pt shot from 3 ft,2,25-24,,
2:26.0,,,25-24,,T. Booker misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by M. Leonard,,25-24,,
2:18.0,M. Leonard misses 2-pt shot from 18 ft,,25-24,,
2:16.0,,,25-24,,Defensive rebound by J. Harris
2:06.0,,,25-27,3,J. Hamilton makes 3-pt shot from 26 ft (assist by R. Foye)
2:06.0,Portland full timeout,,25-27,,
2:06.0,,,25-27,,L. Scola enters the game for J. Hamilton
1:47.0,E. Turner makes 2-pt shot from 3 ft,2,27-27,,
1:25.0,,,27-27,,S. Kilpatrick misses 3-pt shot from 24 ft
1:24.0,,,27-27,,Offensive rebound by T. Booker
1:23.0,,,27-29,2,T. Booker makes 2-pt shot from 4 ft
1:00.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard),3,30-29,,
0:50.0,,,30-29,,S. Kilpatrick misses 2-pt shot from 6 ft
0:49.0,Defensive rebound by M. Leonard,,30-29,,
0:30.0,E. Turner makes 2-pt shot from 16 ft,2,32-29,,
0:06.0,,,32-29,,L. Scola misses 3-pt shot from 27 ft
0:05.0,Defensive rebound by D. Lillard,,32-29,,
0:01.0,D. Lillard misses 3-pt shot from 32 ft,,32-29,,
0:00.0,Offensive rebound by Team,,32-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,A. Crabbe misses 2-pt shot from 15 ft,,32-29,,
11:46.0,,,32-29,,Defensive rebound by B. Bogdanovic
11:32.0,,,32-29,,Y. Ferrell misses 3-pt shot from 23 ft
11:31.0,Defensive rebound by E. Turner,,32-29,,
11:22.0,E. Turner makes 2-pt shot from 16 ft,2,34-29,,
11:07.0,,,34-32,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by L. Scola)
10:49.0,E. Turner makes 2-pt shot from 18 ft (assist by M. Leonard),2,36-32,,
10:49.0,Loose ball foul by N. Vonleh (drawn by J. Hamilton),,36-32,,
10:38.0,,,36-32,,J. Hamilton misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by C. McCollum,,36-32,,
10:20.0,E. Turner misses 2-pt shot from 16 ft,,36-32,,
10:19.0,,,36-32,,Defensive rebound by S. Kilpatrick
10:11.0,,,36-32,,S. Kilpatrick misses 2-pt shot from 9 ft
10:10.0,Defensive rebound by M. Leonard,,36-32,,
9:57.0,N. Vonleh makes 2-pt shot from 7 ft (assist by C. McCollum),2,38-32,,
9:41.0,,,38-35,3,J. Hamilton makes 3-pt shot from 23 ft (assist by Y. Ferrell)
9:20.0,A. Crabbe makes 3-pt shot from 25 ft (assist by E. Turner),3,41-35,,
9:07.0,,,41-37,2,L. Scola makes 2-pt shot from 13 ft
9:07.0,,,41-37,,Shooting foul by N. Vonleh (drawn by L. Scola)
9:07.0,,,41-38,1,L. Scola makes free throw 1 of 1
8:49.0,,,41-38,,Personal foul by S. Kilpatrick (drawn by N. Vonleh)
8:49.0,Official timeout,,41-38,,
8:40.0,C. McCollum makes 2-pt shot from 15 ft,2,43-38,,
8:23.0,,,43-40,2,S. Kilpatrick makes 2-pt shot from 14 ft
8:10.0,C. McCollum makes 2-pt shot from 12 ft,2,45-40,,
7:56.0,,,45-42,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by J. Hamilton)
7:36.0,M. Leonard makes 3-pt shot from 26 ft (assist by C. McCollum),3,48-42,,
7:17.0,,,48-44,2,B. Bogdanovic makes 2-pt shot from 15 ft
7:01.0,M. Leonard makes 3-pt shot from 27 ft,3,51-44,,
6:56.0,Personal foul by C. McCollum (drawn by Y. Ferrell),,51-44,,
6:52.0,,,51-44,,Offensive foul by L. Scola
6:52.0,,,51-44,,Turnover by L. Scola (offensive foul)
6:33.0,C. McCollum misses 3-pt shot from 25 ft,,51-44,,
6:31.0,,,51-44,,Defensive rebound by S. Kilpatrick
6:19.0,,,51-44,,L. Scola misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by A. Crabbe,,51-44,,
6:12.0,E. Turner makes 2-pt shot from 9 ft,2,53-44,,
6:09.0,,,53-44,,Brooklyn full timeout
6:09.0,,,53-44,,B. Lopez enters the game for J. Hamilton
