time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Turner (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. M. Turner (T. Gibson gains possession)
11:43.0,Turnover by J. Butler (bad pass; steal by J. Teague),,0-0,,
11:38.0,,,0-2,2,T. Young makes 2-pt shot from 4 ft (assist by J. Teague)
11:17.0,T. Gibson misses 2-pt shot from 17 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by G. Robinson
11:13.0,Violation by J. Butler (kicked ball),,0-2,,
11:02.0,,,0-5,3,P. George makes 3-pt shot from 25 ft (assist by J. Teague)
10:46.0,Turnover by D. Wade (bad pass; steal by P. George),,0-5,,
10:41.0,,,0-5,,Shooting foul by R. Lopez (drawn by G. Robinson)
10:41.0,,,0-6,1,G. Robinson makes free throw 1 of 2
10:41.0,,,0-7,1,G. Robinson makes free throw 2 of 2
10:26.0,T. Gibson makes 2-pt shot from 1 ft,2,2-7,,
10:07.0,,,2-9,2,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague)
9:46.0,J. Butler makes 2-pt shot from 21 ft,2,4-9,,
9:38.0,,,4-12,3,G. Robinson makes 3-pt shot from 23 ft (assist by T. Young)
9:37.0,Chicago full timeout,,4-12,,
9:26.0,Turnover by R. Rondo (lost ball),,4-12,,
9:13.0,,,4-12,,Shooting foul by R. Lopez (drawn by M. Turner)
9:13.0,,,4-13,1,M. Turner makes free throw 1 of 2
9:13.0,,,4-13,,M. Turner misses free throw 2 of 2
9:13.0,N. Mirotic enters the game for R. Lopez,,4-13,,
9:11.0,Defensive rebound by R. Rondo,,4-13,,
9:04.0,Turnover by J. Butler (lost ball),,4-13,,
8:55.0,,,4-15,2,T. Young makes 2-pt shot from 3 ft (assist by J. Teague)
8:36.0,D. Wade makes 2-pt shot from 3 ft,2,6-15,,
8:23.0,,,6-18,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
8:01.0,T. Gibson makes 2-pt shot from 3 ft (assist by R. Rondo),2,8-18,,
7:43.0,,,8-18,,Turnover by J. Teague (bad pass; steal by T. Gibson)
7:30.0,R. Rondo misses 3-pt shot from 26 ft,,8-18,,
7:29.0,,,8-18,,Defensive rebound by J. Teague
7:25.0,Personal foul by R. Rondo (drawn by J. Teague),,8-18,,
7:20.0,,,8-20,2,P. George makes 2-pt shot from 18 ft
7:06.0,Turnover by D. Wade (bad pass),,8-20,,
6:57.0,,,8-20,,M. Turner misses 2-pt shot from 13 ft
6:57.0,Defensive rebound by N. Mirotic,,8-20,,
6:51.0,,,8-20,,Personal foul by T. Young (drawn by J. Butler)
6:40.0,J. Butler misses 2-pt shot from 22 ft,,8-20,,
6:38.0,,,8-20,,Defensive rebound by J. Teague
6:32.0,,,8-20,,P. George misses 3-pt shot from 26 ft
