time,Denver,pts.away,score,pts.home,Houston
0:57.0,W. Chandler makes 2-pt shot from 6 ft,2,25-31,,
0:57.0,,,25-31,,Shooting block foul by T. Williams (drawn by W. Chandler)
0:57.0,W. Chandler misses free throw 1 of 1,,25-31,,
0:57.0,,,25-31,,Defensive rebound by T. Ariza
0:57.0,,,25-31,,T. Ariza enters the game for T. Williams
0:57.0,J. Hernangomez enters the game for D. Gallinari,,25-31,,
0:42.0,,,25-33,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
0:25.0,J. Hernangomez misses 3-pt shot from 25 ft,,25-33,,
0:25.0,,,25-33,,Defensive rebound by J. Harden
0:03.0,,,25-33,,Shooting foul by W. Chandler (drawn by J. Harden)
0:03.0,,,25-34,1,J. Harden makes free throw 1 of 3
0:03.0,,,25-35,1,J. Harden makes free throw 2 of 3
0:03.0,,,25-36,1,J. Harden makes free throw 3 of 3
0:00.0,J. Murray misses 3-pt shot from 49 ft,,25-36,,
0:00.0,Offensive rebound by Team,,25-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-36,,L. Williams misses 3-pt shot from 23 ft
11:44.0,,,25-36,,Offensive rebound by C. Capela
11:33.0,,,25-36,,T. Ariza misses 2-pt shot from 2 ft
11:33.0,,,25-36,,Offensive rebound by T. Ariza
11:33.0,,,25-36,,T. Ariza misses 2-pt shot from 2 ft
11:33.0,,,25-36,,Offensive rebound by C. Capela
11:33.0,Personal foul by W. Chandler (drawn by C. Capela),,25-36,,
11:30.0,,,25-36,,Turnover by L. Williams (bad pass; steal by M. Plumlee)
11:30.0,,,25-36,,Personal foul by C. Capela (drawn by M. Plumlee)
11:18.0,J. Murray misses 2-pt shot from 2 ft,,25-36,,
11:17.0,Offensive rebound by M. Plumlee,,25-36,,
11:16.0,M. Plumlee makes 2-pt shot from 1 ft,2,27-36,,
11:06.0,,,27-36,,C. Capela misses 2-pt shot at rim (block by M. Plumlee)
11:05.0,Defensive rebound by M. Plumlee,,27-36,,
11:00.0,Turnover by E. Mudiay (bad pass),,27-36,,
