time,New York,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. K. Porzingis (C. LeVert gains possession),,,,Jump ball: B. Lopez vs. K. Porzingis (C. LeVert gains possession)
11:41.0,,,0-0,,Shooting foul by K. Porzingis (drawn by J. Lin)
11:41.0,,,0-1,1,J. Lin makes free throw 1 of 2
11:41.0,,,0-1,,J. Lin misses free throw 2 of 2
11:40.0,Defensive rebound by K. Porzingis,,0-1,,
11:25.0,C. Anthony makes 2-pt shot from 16 ft (assist by K. Porzingis),2,2-1,,
11:14.0,Def 3 sec tech foul by K. Porzingis,,2-1,,
11:14.0,,,2-1,,B. Lopez misses technical free throw
11:14.0,,,2-1,,Offensive rebound by Team
11:09.0,,,2-1,,J. Lin misses 2-pt shot from 19 ft
11:07.0,Defensive rebound by C. Anthony,,2-1,,
10:53.0,C. Anthony misses 2-pt shot from 16 ft,,2-1,,
10:52.0,,,2-1,,Defensive rebound by R. Foye
10:39.0,,,2-1,,B. Lopez misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by W. Hernangomez,,2-1,,
10:26.0,Shooting foul by R. Foye (drawn by D. Rose),,2-1,,
10:26.0,D. Rose makes free throw 1 of 2,1,3-1,,
10:26.0,D. Rose makes free throw 2 of 2,1,4-1,,
10:12.0,,,4-1,,B. Lopez misses 2-pt shot from 3 ft (block by K. Porzingis)
10:11.0,,,4-1,,Offensive rebound by B. Lopez
10:09.0,,,4-1,,B. Lopez misses 2-pt shot from 3 ft (block by K. Porzingis)
10:07.0,,,4-1,,Offensive rebound by R. Hollis-Jefferson
10:06.0,,,4-3,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft
9:57.0,D. Rose misses 2-pt shot from 4 ft,,4-3,,
9:56.0,,,4-3,,Defensive rebound by R. Hollis-Jefferson
9:49.0,,,4-3,,R. Hollis-Jefferson misses 2-pt shot from 14 ft (block by K. Porzingis)
9:48.0,Defensive rebound by W. Hernangomez,,4-3,,
9:40.0,,,4-3,,Def 3 sec tech foul by B. Lopez
9:40.0,C. Anthony makes technical free throw,1,5-3,,
9:26.0,C. Anthony misses 2-pt shot from 15 ft,,5-3,,
9:25.0,Offensive rebound by W. Hernangomez,,5-3,,
9:22.0,K. Porzingis misses 3-pt shot from 24 ft,,5-3,,
9:21.0,,,5-3,,Defensive rebound by R. Foye
9:14.0,,,5-5,2,R. Foye makes 2-pt shot from 7 ft
8:59.0,Shooting foul by R. Foye (drawn by C. Lee),,5-5,,
8:59.0,C. Lee misses free throw 1 of 2,,5-5,,
8:59.0,Offensive rebound by Team,,5-5,,
8:59.0,C. Lee makes free throw 2 of 2,1,6-5,,
8:44.0,,,6-5,,B. Lopez misses 2-pt shot from 10 ft
8:43.0,,,6-5,,Offensive rebound by R. Hollis-Jefferson
8:41.0,,,6-7,2,R. Hollis-Jefferson makes 2-pt shot from 4 ft
8:32.0,W. Hernangomez misses 2-pt shot from 3 ft,,6-7,,
8:31.0,,,6-7,,Defensive rebound by B. Lopez
8:16.0,,,6-10,3,B. Lopez makes 3-pt shot from 25 ft (assist by C. LeVert)
8:06.0,D. Rose misses 2-pt shot from 1 ft,,6-10,,
8:05.0,Offensive rebound by K. Porzingis,,6-10,,
8:04.0,K. Porzingis makes 2-pt shot from 1 ft,2,8-10,,
7:54.0,,,8-13,3,B. Lopez makes 3-pt shot from 24 ft (assist by J. Lin)
7:35.0,W. Hernangomez misses 2-pt shot from 7 ft,,8-13,,
7:34.0,,,8-13,,Defensive rebound by R. Hollis-Jefferson
7:25.0,,,8-13,,R. Foye misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by W. Hernangomez,,8-13,,
7:20.0,D. Rose misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,8-13,,
7:19.0,Offensive rebound by Team,,8-13,,
7:19.0,,,8-13,,T. Booker enters the game for R. Hollis-Jefferson
7:15.0,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Anthony),2,10-13,,
7:01.0,,,10-13,,T. Booker misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by W. Hernangomez,,10-13,,
