time,Detroit,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Gobert (G. Hill gains possession),,,,Jump ball: A. Drummond vs. R. Gobert (G. Hill gains possession)
11:37.0,,,0-0,,D. Favors misses 2-pt shot from 14 ft
11:37.0,,,0-0,,Offensive rebound by R. Gobert
11:34.0,,,0-0,,Turnover by R. Gobert (lost ball; steal by A. Drummond)
11:26.0,M. Morris misses 2-pt shot from 19 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by R. Gobert
11:15.0,,,0-0,,G. Hill misses 2-pt shot from 17 ft
11:14.0,Defensive rebound by R. Jackson,,0-0,,
10:56.0,A. Drummond misses 2-pt shot from 10 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by G. Hill
10:47.0,,,0-0,,D. Favors misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by A. Drummond,,0-0,,
10:40.0,Turnover by R. Jackson (bad pass),,0-0,,
10:25.0,,,0-0,,G. Hayward misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by A. Drummond,,0-0,,
10:01.0,R. Jackson misses 2-pt shot from 18 ft,,0-0,,
10:00.0,,,0-0,,Defensive rebound by G. Hayward
9:45.0,,,0-2,2,G. Hill makes 2-pt shot from 10 ft
9:45.0,,,0-2,,Shooting foul by M. Morris (drawn by G. Hill)
9:45.0,,,0-2,,G. Hill misses free throw 1 of 1
9:45.0,,,0-2,,Offensive rebound by R. Gobert
9:30.0,,,0-2,,G. Hayward misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by M. Morris,,0-2,,
9:21.0,Turnover by M. Morris (bad pass; steal by G. Hayward),,0-2,,
9:18.0,,,0-4,2,G. Hayward makes 2-pt shot at rim
8:59.0,R. Jackson misses 2-pt shot from 20 ft,,0-4,,
8:59.0,,,0-4,,Defensive rebound by R. Gobert
8:48.0,,,0-7,3,R. Hood makes 3-pt shot from 24 ft
8:24.0,R. Jackson misses 2-pt shot from 18 ft,,0-7,,
8:24.0,,,0-7,,Defensive rebound by Team
8:03.0,,,0-10,3,G. Hill makes 3-pt shot from 25 ft (assist by R. Gobert)
7:56.0,Detroit full timeout,,0-10,,
7:49.0,M. Morris makes 2-pt shot from 14 ft (assist by A. Drummond),2,2-10,,
7:35.0,,,2-10,,Turnover by G. Hill (bad pass)
7:23.0,A. Drummond misses 2-pt shot from 3 ft (block by R. Gobert),,2-10,,
7:23.0,,,2-10,,Defensive rebound by G. Hill
7:15.0,,,2-10,,R. Hood misses 3-pt shot from 26 ft
7:15.0,Defensive rebound by A. Drummond,,2-10,,
6:57.0,T. Harris misses 2-pt shot from 4 ft,,2-10,,
6:56.0,,,2-10,,Defensive rebound by R. Gobert
6:46.0,,,2-10,,D. Favors misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by A. Drummond,,2-10,,
6:37.0,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson),3,5-10,,
6:10.0,,,5-10,,D. Favors misses 2-pt shot from 4 ft (block by A. Baynes)
6:09.0,Defensive rebound by M. Morris,,5-10,,
5:55.0,A. Drummond makes 2-pt shot from 7 ft,2,7-10,,
5:39.0,,,7-10,,G. Hayward misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by A. Drummond,,7-10,,
5:29.0,R. Jackson misses 2-pt shot from 3 ft,,7-10,,
5:28.0,,,7-10,,Defensive rebound by D. Favors
5:17.0,,,7-10,,R. Gobert misses 2-pt shot from 10 ft
