time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Maker (I. Smith gains possession),,,,Jump ball: A. Drummond vs. T. Maker (I. Smith gains possession)
11:45.0,Turnover by M. Morris (bad pass; steal by T. Maker),,0-0,,
11:42.0,Personal block foul by J. Leuer (drawn by G. Antetokounmpo),,0-0,,
11:32.0,,,0-3,3,T. Maker makes 3-pt shot from 25 ft (assist by T. Snell)
11:17.0,M. Morris misses 2-pt shot from 13 ft,,0-3,,
11:16.0,,,0-3,,Defensive rebound by K. Middleton
11:04.0,,,0-6,3,K. Middleton makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
10:48.0,J. Leuer makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope),2,2-6,,
10:34.0,,,2-8,2,G. Antetokounmpo makes 2-pt shot from 18 ft
10:11.0,Turnover by A. Drummond (traveling),,2-8,,
9:53.0,,,2-8,,G. Antetokounmpo misses 2-pt shot from 18 ft
9:51.0,Defensive rebound by M. Morris,,2-8,,
9:42.0,I. Smith misses 2-pt shot from 15 ft,,2-8,,
9:41.0,,,2-8,,Defensive rebound by T. Snell
9:29.0,,,2-8,,G. Antetokounmpo misses 2-pt shot from 5 ft
9:28.0,Defensive rebound by I. Smith,,2-8,,
9:23.0,Turnover by I. Smith (bad pass; steal by K. Middleton),,2-8,,
9:17.0,,,2-11,3,M. Dellavedova makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
9:08.0,Detroit full timeout,,2-11,,
8:50.0,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by I. Smith),2,4-11,,
8:40.0,,,4-14,3,T. Maker makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
8:21.0,Turnover by K. Caldwell-Pope (bad pass),,4-14,,
8:05.0,,,4-14,,G. Antetokounmpo misses 2-pt shot from 6 ft
8:04.0,,,4-14,,Offensive rebound by G. Antetokounmpo
8:03.0,,,4-14,,Shooting foul by A. Drummond (drawn by T. Maker)
8:03.0,,,4-14,,T. Maker misses free throw 1 of 2
8:03.0,,,4-14,,Offensive rebound by Team
8:03.0,,,4-15,1,T. Maker makes free throw 2 of 2
7:43.0,M. Morris misses 3-pt shot from 28 ft,,4-15,,
7:42.0,,,4-15,,Defensive rebound by K. Middleton
7:31.0,,,4-17,2,T. Maker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:07.0,I. Smith misses 2-pt shot from 17 ft,,4-17,,
7:06.0,,,4-17,,Defensive rebound by K. Middleton
