time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Thompson (M. Smart gains possession),,,,Jump ball: A. Johnson vs. T. Thompson (M. Smart gains possession)
11:34.0,A. Horford makes 2-pt shot from 1 ft,2,2-0,,
11:21.0,,,2-3,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
11:00.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Horford),3,5-3,,
10:39.0,,,5-3,,K. Love misses 2-pt shot from 20 ft
10:39.0,Defensive rebound by A. Bradley,,5-3,,
10:22.0,M. Smart misses 2-pt shot from 21 ft,,5-3,,
10:22.0,,,5-3,,Defensive rebound by J. Smith
10:12.0,,,5-3,,Turnover by L. James (lost ball; steal by J. Crowder)
10:03.0,A. Bradley misses 3-pt shot from 26 ft,,5-3,,
10:02.0,,,5-3,,Defensive rebound by K. Irving
9:50.0,,,5-6,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
9:31.0,J. Crowder misses 2-pt shot from 2 ft,,5-6,,
9:29.0,,,5-6,,Defensive rebound by T. Thompson
9:05.0,,,5-6,,L. James misses 3-pt shot from 25 ft
9:04.0,,,5-6,,Offensive rebound by L. James
9:00.0,,,5-6,,Turnover by T. Thompson (bad pass; steal by M. Smart)
8:54.0,A. Bradley misses 3-pt shot from 24 ft,,5-6,,
8:51.0,,,5-6,,Defensive rebound by T. Thompson
8:42.0,,,5-9,3,K. Irving makes 3-pt shot from 27 ft
8:16.0,A. Horford misses 3-pt shot from 24 ft,,5-9,,
8:15.0,Offensive rebound by A. Johnson,,5-9,,
8:10.0,A. Johnson makes 2-pt shot at rim (assist by A. Bradley),2,7-9,,
7:54.0,,,7-11,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
7:38.0,A. Bradley misses 2-pt shot from 4 ft,,7-11,,
7:36.0,,,7-11,,Defensive rebound by T. Thompson
7:23.0,,,7-14,3,K. Love makes 3-pt shot from 27 ft (assist by K. Irving)
7:23.0,Boston full timeout,,7-14,,
7:23.0,T. Zeller enters the game for A. Johnson,,7-14,,
7:00.0,A. Horford misses 2-pt shot from 7 ft,,7-14,,
6:58.0,,,7-14,,Defensive rebound by T. Thompson
