time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (T. Ariza gains possession),,,,Jump ball: C. Capela vs. P. Gasol (T. Ariza gains possession)
11:41.0,,,0-0,,R. Anderson misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by L. Aldridge,,0-0,,
11:17.0,Turnover by K. Leonard (lost ball; steal by C. Capela),,0-0,,
11:03.0,,,0-3,3,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden)
10:45.0,P. Gasol misses 3-pt shot from 23 ft,,0-3,,
10:44.0,,,0-3,,Defensive rebound by T. Ariza
10:32.0,,,0-3,,C. Capela misses 2-pt shot from 1 ft (block by D. Green)
10:31.0,,,0-3,,Offensive rebound by Team
10:29.0,,,0-5,2,J. Harden makes 2-pt shot from 1 ft (assist by T. Ariza)
10:16.0,K. Leonard misses 2-pt shot from 12 ft,,0-5,,
10:15.0,Offensive rebound by P. Gasol,,0-5,,
10:15.0,P. Gasol misses 2-pt shot from 1 ft,,0-5,,
10:14.0,Offensive rebound by L. Aldridge,,0-5,,
10:13.0,Shooting foul by T. Ariza (drawn by L. Aldridge),,0-5,,
10:13.0,L. Aldridge makes free throw 1 of 2,1,1-5,,
10:13.0,L. Aldridge makes free throw 2 of 2,1,2-5,,
10:01.0,,,2-5,,J. Harden misses 3-pt shot from 25 ft
10:00.0,,,2-5,,Offensive rebound by P. Beverley
9:45.0,,,2-7,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
9:27.0,K. Leonard makes 2-pt shot from 5 ft,2,4-7,,
9:18.0,,,4-10,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
9:01.0,P. Gasol misses 2-pt shot from 1 ft,,4-10,,
8:59.0,Offensive rebound by P. Gasol,,4-10,,
8:57.0,P. Gasol misses 2-pt shot from 6 ft,,4-10,,
8:56.0,,,4-10,,Defensive rebound by C. Capela
8:51.0,,,4-12,2,J. Harden makes 2-pt shot at rim
8:51.0,San Antonio full timeout,,4-12,,
8:37.0,L. Aldridge misses 2-pt shot from 15 ft,,4-12,,
8:36.0,,,4-12,,Defensive rebound by C. Capela
