time,Utah,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Maker (G. Hill gains possession),,,,Jump ball: R. Gobert vs. T. Maker (G. Hill gains possession)
11:47.0,D. Favors misses 2-pt shot from 3 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:24.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 21 ft
11:23.0,Defensive rebound by G. Hayward,,0-0,,
11:17.0,Shooting foul by M. Beasley (drawn by G. Hayward),,0-0,,
11:17.0,G. Hayward makes free throw 1 of 2,1,1-0,,
11:17.0,G. Hayward misses free throw 2 of 2,,1-0,,
11:16.0,,,1-0,,Defensive rebound by Team
11:03.0,,,1-2,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:50.0,Turnover by D. Favors (traveling),,1-2,,
10:37.0,,,1-2,,M. Dellavedova misses 2-pt shot from 19 ft
10:35.0,,,1-2,,Offensive rebound by G. Antetokounmpo
10:35.0,,,1-4,2,G. Antetokounmpo makes 2-pt shot at rim
10:21.0,G. Hayward misses 3-pt shot from 27 ft,,1-4,,
10:19.0,,,1-4,,Defensive rebound by G. Antetokounmpo
10:15.0,,,1-4,,Shooting foul by G. Hayward (drawn by G. Antetokounmpo)
10:15.0,,,1-5,1,G. Antetokounmpo makes free throw 1 of 2
10:15.0,,,1-5,,G. Antetokounmpo misses free throw 2 of 2
10:14.0,Defensive rebound by R. Gobert,,1-5,,
9:56.0,R. Hood misses 3-pt shot from 25 ft,,1-5,,
9:54.0,,,1-5,,Defensive rebound by G. Antetokounmpo
9:45.0,,,1-7,2,M. Beasley makes 2-pt shot from 11 ft
9:30.0,Shooting foul by T. Maker (drawn by R. Gobert),,1-7,,
9:30.0,R. Gobert makes free throw 1 of 2,1,2-7,,
9:30.0,R. Gobert makes free throw 2 of 2,1,3-7,,
9:18.0,,,3-9,2,M. Beasley makes 2-pt shot from 1 ft
8:54.0,Turnover by G. Hayward (bad pass; steal by G. Antetokounmpo),,3-9,,
8:47.0,,,3-11,2,M. Beasley makes 2-pt shot at rim (assist by M. Dellavedova)
8:47.0,Utah full timeout,,3-11,,
8:38.0,R. Hood misses 2-pt shot from 1 ft,,3-11,,
8:36.0,Offensive rebound by R. Gobert,,3-11,,
8:34.0,Turnover by R. Gobert (lost ball; steal by G. Antetokounmpo),,3-11,,
8:25.0,,,3-11,,G. Antetokounmpo misses 2-pt shot from 6 ft
8:24.0,,,3-11,,Offensive rebound by G. Antetokounmpo
8:21.0,,,3-11,,T. Maker misses 2-pt shot from 2 ft
8:19.0,Defensive rebound by D. Favors,,3-11,,
8:06.0,G. Hayward makes 2-pt shot at rim,2,5-11,,
7:43.0,,,5-11,,M. Beasley misses 3-pt shot from 23 ft
7:41.0,Defensive rebound by R. Gobert,,5-11,,
7:31.0,,,5-11,,Personal foul by T. Maker (drawn by D. Favors)
7:31.0,,,5-11,,G. Monroe enters the game for T. Maker
7:31.0,,,5-11,,K. Middleton enters the game for M. Beasley
7:21.0,G. Hill makes 3-pt shot from 28 ft (assist by G. Hayward),3,8-11,,
7:09.0,,,8-11,,K. Middleton misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by D. Favors,,8-11,,
6:49.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Gobert),2,10-11,,
6:29.0,Personal foul by R. Hood (drawn by G. Monroe),,10-11,,
6:29.0,J. Johnson enters the game for D. Favors,,10-11,,
6:29.0,D. Exum enters the game for G. Hill,,10-11,,
6:25.0,,,10-11,,G. Antetokounmpo misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by R. Hood,,10-11,,
6:18.0,Shooting foul by T. Snell (drawn by G. Hayward),,10-11,,
6:18.0,G. Hayward makes free throw 1 of 2,1,11-11,,
6:18.0,G. Hayward makes free throw 2 of 2,1,12-11,,
6:10.0,Def 3 sec tech foul by R. Gobert,,12-11,,
6:10.0,,,12-12,1,M. Dellavedova makes technical free throw
5:56.0,,,12-12,,Turnover by G. Antetokounmpo (lost ball)
5:43.0,R. Gobert makes 2-pt shot at rim (assist by J. Johnson),2,14-12,,
