time,Cleveland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: T. Thompson vs. N. Vucevic (E. Payton gains possession)
11:45.0,,,0-2,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
11:28.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,2-2,,
11:06.0,,,2-2,,N. Vucevic misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by L. James,,2-2,,
10:42.0,R. Jefferson misses 3-pt shot from 24 ft,,2-2,,
10:41.0,,,2-2,,Defensive rebound by A. Gordon
10:31.0,,,2-2,,A. Gordon misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by I. Shumpert,,2-2,,
10:15.0,K. Irving misses 3-pt shot from 25 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by N. Vucevic
10:07.0,,,2-4,2,E. Payton makes 2-pt shot from 3 ft
9:56.0,Cleveland full timeout,,2-4,,
9:51.0,Turnover by L. James (lost ball; steal by E. Payton),,2-4,,
9:47.0,,,2-4,,Shooting foul by K. Irving (drawn by E. Fournier)
9:47.0,,,2-5,1,E. Fournier makes free throw 1 of 2
9:47.0,,,2-6,1,E. Fournier makes free throw 2 of 2
9:31.0,K. Irving misses 3-pt shot from 23 ft,,2-6,,
9:27.0,,,2-6,,Defensive rebound by T. Ross
9:20.0,,,2-6,,E. Payton misses 2-pt shot from 5 ft
9:18.0,Defensive rebound by T. Thompson,,2-6,,
9:11.0,I. Shumpert makes 3-pt shot from 25 ft,3,5-6,,
9:02.0,,,5-8,2,N. Vucevic makes 2-pt shot from 12 ft
8:46.0,L. James misses 2-pt shot from 19 ft,,5-8,,
8:45.0,,,5-8,,Defensive rebound by E. Payton
8:39.0,,,5-8,,Shooting foul by R. Jefferson (drawn by T. Ross)
8:39.0,,,5-9,1,T. Ross makes free throw 1 of 2
8:39.0,,,5-9,,T. Ross misses free throw 2 of 2
8:38.0,Defensive rebound by T. Thompson,,5-9,,
8:24.0,R. Jefferson misses 3-pt shot from 24 ft,,5-9,,
8:22.0,,,5-9,,Defensive rebound by N. Vucevic
8:06.0,,,5-9,,E. Payton misses 2-pt shot from 13 ft
8:05.0,,,5-9,,Offensive rebound by N. Vucevic
8:04.0,,,5-9,,N. Vucevic misses 2-pt shot from 1 ft
7:59.0,,,5-9,,Offensive rebound by N. Vucevic
7:57.0,,,5-9,,N. Vucevic misses 2-pt shot from 12 ft
7:56.0,Defensive rebound by T. Thompson,,5-9,,
7:54.0,I. Shumpert makes 2-pt shot from 1 ft,2,7-9,,
7:33.0,,,7-9,,A. Gordon misses 2-pt shot from 10 ft
7:32.0,Defensive rebound by T. Thompson,,7-9,,
7:23.0,I. Shumpert makes 2-pt shot from 16 ft (assist by L. James),2,9-9,,
7:10.0,,,9-9,,T. Ross misses 2-pt shot from 15 ft
7:08.0,Defensive rebound by L. James,,9-9,,
