time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Nowitzki (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. D. Nowitzki (R. Westbrook gains possession)
11:44.0,S. Adams makes 2-pt shot from 8 ft (assist by A. Abrines),2,2-0,,
11:28.0,,,2-0,,D. Nowitzki misses 2-pt shot from 18 ft
11:27.0,Defensive rebound by D. Sabonis,,2-0,,
11:08.0,S. Adams makes 2-pt shot from 8 ft (assist by A. Abrines),2,4-0,,
10:58.0,Personal block foul by A. Abrines (drawn by S. Curry),,4-0,,
10:55.0,,,4-2,2,Y. Ferrell makes 2-pt shot at rim (assist by D. Nowitzki)
10:31.0,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams),3,7-2,,
10:15.0,,,7-2,,H. Barnes misses 2-pt shot from 6 ft
10:14.0,Defensive rebound by Team,,7-2,,
9:56.0,A. Abrines misses 3-pt shot from 25 ft,,7-2,,
9:55.0,,,7-2,,Defensive rebound by D. Nowitzki
9:39.0,,,7-5,3,S. Curry makes 3-pt shot from 25 ft
9:18.0,D. Sabonis makes 2-pt shot from 6 ft,2,9-5,,
9:00.0,,,9-7,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by S. Curry)
8:42.0,Turnover by S. Adams (3 sec),,9-7,,
8:30.0,,,9-9,2,S. Curry makes 2-pt shot from 16 ft
8:17.0,A. Abrines misses 3-pt shot from 25 ft,,9-9,,
8:16.0,,,9-9,,Defensive rebound by Y. Ferrell
8:09.0,,,9-11,2,S. Curry makes 2-pt shot at rim (assist by D. Nowitzki)
7:58.0,R. Westbrook makes 2-pt shot from 2 ft,2,11-11,,
7:39.0,,,11-13,2,H. Barnes makes 2-pt shot at rim (assist by Y. Ferrell)
7:21.0,D. Sabonis misses 3-pt shot from 24 ft,,11-13,,
7:20.0,Offensive rebound by A. Roberson,,11-13,,
7:08.0,A. Abrines misses 2-pt shot from 7 ft,,11-13,,
7:08.0,Offensive rebound by S. Adams,,11-13,,
7:08.0,S. Adams misses 2-pt shot from 2 ft,,11-13,,
7:07.0,Offensive rebound by S. Adams,,11-13,,
7:07.0,Shooting foul by D. Nowitzki (drawn by S. Adams),,11-13,,
7:07.0,S. Adams misses free throw 1 of 2,,11-13,,
7:07.0,Offensive rebound by Team,,11-13,,
7:07.0,S. Adams makes free throw 2 of 2,1,12-13,,
6:56.0,Personal foul by A. Roberson (drawn by S. Curry),,12-13,,
6:49.0,,,12-13,,S. Curry misses 3-pt shot from 28 ft
6:48.0,Defensive rebound by D. Sabonis,,12-13,,
6:37.0,R. Westbrook misses 2-pt shot from 6 ft,,12-13,,
6:36.0,,,12-13,,Defensive rebound by Y. Ferrell
6:20.0,,,12-16,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by W. Matthews)
6:19.0,Oklahoma City full timeout,,12-16,,
6:19.0,,,12-16,,Q. Cook enters the game for D. Nowitzki
6:19.0,,,12-16,,N. Noel enters the game for Y. Ferrell
6:07.0,R. Westbrook misses 2-pt shot from 3 ft,,12-16,,
6:06.0,,,12-16,,Defensive rebound by H. Barnes
5:43.0,,,12-16,,S. Curry misses 2-pt shot from 12 ft
5:43.0,Defensive rebound by A. Roberson,,12-16,,
5:37.0,R. Westbrook makes 2-pt shot from 7 ft (assist by A. Roberson),2,14-16,,
5:26.0,,,14-16,,N. Noel misses 2-pt shot from 1 ft
5:26.0,,,14-16,,Offensive rebound by Team
5:16.0,,,14-18,2,H. Barnes makes 2-pt shot from 20 ft (assist by Q. Cook)
4:59.0,Turnover by D. Sabonis (lost ball; steal by W. Matthews),,14-18,,
4:50.0,,,14-18,,S. Curry misses 3-pt shot from 23 ft
4:49.0,,,14-18,,Offensive rebound by N. Noel
4:46.0,,,14-18,,Turnover by N. Noel (lost ball; steal by R. Westbrook)
4:44.0,Shooting foul by Q. Cook (drawn by R. Westbrook),,14-18,,
4:44.0,R. Westbrook makes free throw 1 of 2,1,15-18,,
4:44.0,R. Westbrook makes free throw 2 of 2,1,16-18,,
4:44.0,T. Gibson enters the game for D. Sabonis,,15-18,,
4:44.0,N. Cole enters the game for A. Abrines,,15-18,,
4:26.0,,,16-18,,Q. Cook misses 2-pt shot from 10 ft
4:25.0,Defensive rebound by T. Gibson,,16-18,,
4:19.0,Shooting foul by N. Noel (drawn by S. Adams),,16-18,,
4:19.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,18-18,,
4:19.0,S. Adams misses free throw 1 of 1,,18-18,,
4:18.0,,,18-18,,Defensive rebound by N. Noel
3:58.0,,,18-18,,H. Barnes misses 2-pt shot from 6 ft
3:57.0,Defensive rebound by S. Adams,,18-18,,
3:51.0,R. Westbrook makes 2-pt shot at rim,2,20-18,,
3:51.0,,,20-18,,Dallas full timeout
3:51.0,,,20-18,,D. Harris enters the game for S. Curry
3:34.0,,,20-18,,H. Barnes misses 2-pt shot from 8 ft
3:33.0,Defensive rebound by R. Westbrook,,20-18,,
3:20.0,N. Cole makes 2-pt shot from 10 ft (assist by R. Westbrook),2,22-18,,
2:57.0,,,22-20,2,H. Barnes makes 2-pt shot from 8 ft
2:36.0,A. Roberson misses 3-pt shot from 26 ft,,22-20,,
2:35.0,,,22-20,,Defensive rebound by Q. Cook
2:18.0,,,22-22,2,N. Noel makes 2-pt shot from 5 ft (assist by W. Matthews)
2:02.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,24-22,,
1:45.0,,,24-24,2,N. Noel makes 2-pt shot at rim (assist by D. Harris)
1:31.0,Shooting foul by N. Noel (drawn by R. Westbrook),,24-24,,
1:31.0,R. Westbrook makes free throw 1 of 2,1,25-24,,
1:31.0,R. Westbrook misses free throw 2 of 2,,25-24,,
1:31.0,,,25-24,,Y. Ferrell enters the game for W. Matthews
1:31.0,,,25-24,,D. Finney-Smith enters the game for H. Barnes
1:31.0,,,25-24,,D. Nowitzki enters the game for Q. Cook
