time,Toronto,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Valanciunas (R. Covington gains possession),,,,Jump ball: J. Embiid vs. J. Valanciunas (R. Covington gains possession)
11:44.0,,,0-0,,S. Rodriguez misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by P. Siakam,,0-0,,
11:32.0,Turnover by P. Siakam (lost ball),,0-0,,
11:20.0,,,0-2,2,J. Okafor makes 2-pt shot from 2 ft (assist by G. Henderson)
11:02.0,J. Valanciunas misses 2-pt shot from 2 ft (block by J. Okafor),,0-2,,
11:00.0,Offensive rebound by J. Valanciunas,,0-2,,
10:54.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. DeRozan),2,2-2,,
10:43.0,,,2-2,,Turnover by J. Embiid (lost ball; steal by P. Siakam)
10:29.0,P. Siakam misses 2-pt shot from 17 ft,,2-2,,
10:28.0,,,2-2,,Defensive rebound by J. Okafor
10:16.0,,,2-2,,Turnover by R. Covington (palming)
10:07.0,Turnover by J. Valanciunas (bad pass; steal by J. Embiid),,2-2,,
9:59.0,,,2-2,,Turnover by G. Henderson (bad pass; steal by J. Valanciunas)
9:48.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,4-2,,
9:48.0,Shooting foul by J. Embiid (drawn by J. Valanciunas),,4-2,,
9:48.0,J. Valanciunas makes free throw 1 of 1,1,5-2,,
9:37.0,Shooting block foul by J. Valanciunas (drawn by J. Embiid),,5-2,,
9:37.0,,,5-2,,J. Embiid misses free throw 1 of 2
9:37.0,,,5-2,,Offensive rebound by Team
9:37.0,,,5-3,1,J. Embiid makes free throw 2 of 2
9:24.0,Turnover by P. Siakam (lost ball),,5-3,,
9:06.0,,,5-6,3,G. Henderson makes 3-pt shot from 25 ft (assist by J. Okafor)
8:53.0,D. Carroll misses 3-pt shot from 25 ft,,5-6,,
8:51.0,,,5-6,,Defensive rebound by J. Embiid
8:38.0,,,5-8,2,J. Okafor makes 2-pt shot from 2 ft (assist by S. Rodriguez)
8:13.0,D. Carroll misses 2-pt shot from 17 ft (block by J. Embiid),,5-8,,
8:12.0,Offensive rebound by Team,,5-8,,
8:12.0,Turnover by Team (shot clock),,5-8,,
7:56.0,,,5-8,,S. Rodriguez misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by D. DeRozan,,5-8,,
7:47.0,D. DeRozan makes 2-pt shot from 18 ft,2,7-8,,
7:32.0,,,7-11,3,G. Henderson makes 3-pt shot from 24 ft (assist by J. Okafor)
7:19.0,D. DeRozan misses 2-pt shot from 17 ft,,7-11,,
7:18.0,,,7-11,,Defensive rebound by R. Covington
7:07.0,,,7-11,,J. Okafor misses 2-pt shot from 4 ft (block by J. Valanciunas)
7:05.0,,,7-11,,Offensive rebound by J. Okafor
6:56.0,Personal foul by P. Siakam (drawn by J. Embiid),,7-11,,
6:42.0,,,7-11,,R. Covington misses 2-pt shot from 12 ft
6:41.0,,,7-11,,Offensive rebound by J. Okafor
6:41.0,,,7-11,,Shooting foul by D. DeRozan (drawn by J. Okafor)
6:41.0,,,7-12,1,J. Okafor makes free throw 1 of 2
6:41.0,,,7-12,,J. Okafor misses free throw 2 of 2
6:40.0,Defensive rebound by D. DeRozan,,7-12,,
6:32.0,D. DeRozan misses 2-pt shot from 3 ft,,7-12,,
6:30.0,Offensive rebound by D. DeRozan,,7-12,,
6:30.0,D. DeRozan makes 2-pt shot from 1 ft,2,9-12,,
6:20.0,,,9-12,,S. Rodriguez misses 3-pt shot from 25 ft
6:19.0,,,9-12,,Offensive rebound by Team
6:19.0,P. Patterson enters the game for P. Siakam,,9-12,,
6:06.0,,,9-12,,R. Covington misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by J. Valanciunas,,9-12,,
5:40.0,K. Lowry makes 3-pt shot from 32 ft,3,12-12,,
5:40.0,Shooting foul by S. Rodriguez (drawn by K. Lowry),,12-12,,
5:40.0,,,12-12,,Philadelphia full timeout
5:40.0,K. Lowry makes free throw 1 of 1,1,13-12,,
5:40.0,,,12-12,,E. Ilyasova enters the game for J. Embiid
5:40.0,,,12-12,,N. Stauskas enters the game for G. Henderson
5:18.0,,,13-15,3,R. Covington makes 3-pt shot from 25 ft (assist by E. Ilyasova)
5:01.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,15-15,,
4:48.0,Violation by P. Patterson (kicked ball),,15-15,,
4:48.0,,,15-15,,T. McConnell enters the game for S. Rodriguez
4:48.0,,,15-15,,D. Saric enters the game for R. Covington
4:41.0,,,15-15,,E. Ilyasova misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by Team,,15-15,,
4:33.0,Shooting foul by N. Stauskas (drawn by D. DeRozan),,15-15,,
4:33.0,D. DeRozan makes free throw 1 of 2,1,16-15,,
4:33.0,D. DeRozan makes free throw 2 of 2,1,17-15,,
4:33.0,C. Joseph enters the game for K. Lowry,,16-15,,
4:22.0,,,17-15,,Turnover by T. McConnell (bad pass)
4:05.0,D. DeRozan misses 2-pt shot from 13 ft,,17-15,,
4:03.0,,,17-15,,Defensive rebound by D. Saric
3:45.0,,,17-15,,D. Saric misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by J. Valanciunas,,17-15,,
3:33.0,D. DeRozan makes 2-pt shot from 9 ft,2,19-15,,
3:20.0,,,19-17,2,J. Okafor makes 2-pt shot from 18 ft
2:56.0,D. Carroll misses 3-pt shot from 24 ft,,19-17,,
2:55.0,,,19-17,,Defensive rebound by E. Ilyasova
2:41.0,,,19-19,2,J. Okafor makes 2-pt shot from 9 ft
2:20.0,Shooting foul by D. Saric (drawn by D. Carroll),,19-19,,
2:20.0,Toronto full timeout,,19-19,,
2:20.0,D. Carroll makes free throw 1 of 2,1,20-19,,
2:20.0,D. Carroll makes free throw 2 of 2,1,21-19,,
2:20.0,,,19-19,,R. Holmes enters the game for J. Okafor
2:20.0,J. Poeltl enters the game for J. Valanciunas,,19-19,,
2:05.0,,,21-21,2,R. Holmes makes 2-pt shot from 4 ft (assist by N. Stauskas)
1:40.0,D. DeRozan misses 2-pt shot from 14 ft,,21-21,,
1:37.0,Offensive rebound by D. DeRozan,,21-21,,
1:35.0,Turnover by D. DeRozan (bad pass; steal by T. McConnell),,21-21,,
1:31.0,,,21-23,2,E. Ilyasova makes 2-pt shot at rim (assist by T. McConnell)
1:27.0,Turnover by D. Carroll (bad pass; steal by T. McConnell),,21-23,,
1:25.0,,,21-23,,Turnover by T. McConnell (bad pass; steal by C. Joseph)
1:19.0,D. Carroll misses 3-pt shot from 27 ft,,21-23,,
1:17.0,,,21-23,,Defensive rebound by D. Saric
1:00.0,T. Ross enters the game for D. Carroll,,21-23,,
0:55.0,,,21-23,,R. Holmes misses 2-pt shot from 18 ft
0:54.0,Defensive rebound by Team,,21-23,,
0:54.0,,,21-23,,Loose ball foul by D. Saric (drawn by P. Patterson)
0:54.0,P. Patterson makes free throw 1 of 2,1,22-23,,
0:54.0,P. Patterson misses free throw 2 of 2,,22-23,,
0:53.0,,,22-23,,Defensive rebound by E. Ilyasova
0:35.0,,,22-25,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
0:30.0,D. DeRozan misses 2-pt shot from 16 ft,,22-25,,
0:29.0,,,22-25,,Defensive rebound by Team
0:29.0,Loose ball foul by J. Poeltl (drawn by R. Holmes),,22-25,,
0:29.0,,,22-25,,H. Thompson enters the game for D. Saric
0:09.0,,,22-25,,E. Ilyasova misses 2-pt shot from 14 ft
0:06.0,,,22-25,,Offensive rebound by R. Holmes
0:06.0,,,22-25,,R. Holmes misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by P. Patterson,,22-25,,
0:00.0,D. DeRozan misses 3-pt shot from 30 ft,,22-25,,
0:00.0,Offensive rebound by Team,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Ross misses 2-pt shot from 2 ft,,22-25,,
11:45.0,,,22-25,,Defensive rebound by T. McConnell
11:30.0,,,22-25,,J. Embiid misses 2-pt shot from 9 ft
11:28.0,Defensive rebound by K. Lowry,,22-25,,
11:12.0,C. Joseph makes 2-pt shot from 4 ft,2,24-25,,
10:59.0,,,24-25,,N. Stauskas misses 2-pt shot from 1 ft
10:58.0,,,24-25,,Offensive rebound by Team
10:40.0,,,24-25,,E. Ilyasova misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by T. Ross,,24-25,,
10:23.0,K. Lowry misses 3-pt shot from 24 ft,,24-25,,
10:22.0,,,24-25,,Defensive rebound by T. McConnell
10:13.0,,,24-25,,N. Stauskas misses 3-pt shot from 25 ft
10:11.0,,,24-25,,Offensive rebound by H. Thompson
9:55.0,,,24-25,,Shooting foul by K. Lowry (drawn by E. Ilyasova)
9:55.0,,,24-25,,E. Ilyasova misses free throw 1 of 2
9:55.0,,,24-25,,Offensive rebound by Team
9:55.0,,,24-26,1,E. Ilyasova makes free throw 2 of 2
9:37.0,C. Joseph makes 2-pt shot from 6 ft (assist by K. Lowry),2,26-26,,
9:29.0,Personal foul by J. Poeltl (drawn by J. Embiid),,26-26,,
9:23.0,,,26-29,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by T. McConnell)
9:11.0,,,26-29,,Personal block foul by E. Ilyasova (drawn by C. Joseph)
9:02.0,J. Poeltl misses 2-pt shot from 1 ft,,26-29,,
9:00.0,,,26-29,,Defensive rebound by E. Ilyasova
8:54.0,,,26-29,,T. McConnell misses 2-pt shot from 13 ft
8:52.0,,,26-29,,Offensive rebound by J. Embiid
8:52.0,,,26-31,2,J. Embiid makes 2-pt shot from 1 ft
8:29.0,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph),3,29-31,,
8:22.0,,,29-31,,Philadelphia full timeout
8:22.0,,,29-31,,G. Henderson enters the game for N. Stauskas
8:12.0,,,29-33,2,G. Henderson makes 2-pt shot from 2 ft
7:49.0,C. Joseph makes 2-pt shot from 17 ft,2,31-33,,
7:28.0,,,31-35,2,H. Thompson makes 2-pt shot from 16 ft (assist by J. Embiid)
7:28.0,Loose ball foul by J. Poeltl (drawn by J. Embiid),,31-35,,
7:28.0,,,31-36,1,J. Embiid makes free throw 1 of 1
7:28.0,,,31-35,,S. Rodriguez enters the game for T. McConnell
7:28.0,J. Valanciunas enters the game for J. Poeltl,,31-35,,
7:28.0,N. Powell enters the game for P. Patterson,,31-35,,
7:13.0,N. Powell misses 3-pt shot from 24 ft,,31-36,,
7:11.0,Offensive rebound by J. Valanciunas,,31-36,,
7:03.0,K. Lowry makes 3-pt shot from 27 ft (assist by C. Joseph),3,34-36,,
6:48.0,,,34-36,,Turnover by J. Embiid (lost ball)
6:48.0,,,34-36,,Loose ball foul by J. Embiid (drawn by J. Valanciunas)
6:35.0,C. Joseph makes 2-pt shot from 1 ft,2,36-36,,
6:17.0,,,36-38,2,J. Embiid makes 2-pt shot from 17 ft
5:56.0,T. Ross misses 3-pt shot from 25 ft,,36-38,,
5:54.0,,,36-38,,Defensive rebound by E. Ilyasova
5:45.0,,,36-38,,E. Ilyasova misses 2-pt shot from 2 ft
5:44.0,,,36-38,,Offensive rebound by Team
5:44.0,Official timeout,,36-38,,
5:44.0,D. DeRozan enters the game for C. Joseph,,36-38,,
5:44.0,,,36-38,,R. Covington enters the game for H. Thompson
5:41.0,Shooting block foul by K. Lowry (drawn by J. Embiid),,36-38,,
5:41.0,,,36-38,,J. Embiid misses free throw 1 of 2
5:41.0,,,36-38,,Offensive rebound by Team
5:41.0,,,36-39,1,J. Embiid makes free throw 2 of 2
5:23.0,J. Valanciunas misses 2-pt shot from 13 ft,,36-39,,
5:21.0,,,36-39,,Defensive rebound by J. Embiid
5:11.0,,,36-41,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by J. Embiid)
4:59.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,39-41,,
4:45.0,,,39-43,2,R. Covington makes 2-pt shot from 1 ft (assist by G. Henderson)
4:39.0,,,39-43,,Personal block foul by E. Ilyasova (drawn by T. Ross)
4:39.0,T. Ross makes free throw 1 of 2,1,40-43,,
4:39.0,T. Ross makes free throw 2 of 2,1,41-43,,
4:39.0,,,40-43,,J. Okafor enters the game for J. Embiid
4:39.0,,,40-43,,D. Saric enters the game for E. Ilyasova
4:30.0,,,41-43,,S. Rodriguez misses 2-pt shot from 21 ft
4:29.0,,,41-43,,Offensive rebound by J. Okafor
4:17.0,,,41-43,,Turnover by D. Saric (bad pass; steal by T. Ross)
4:12.0,T. Ross makes 2-pt shot at rim,2,43-43,,
3:45.0,,,43-45,2,S. Rodriguez makes 2-pt shot from 4 ft (assist by J. Okafor)
3:38.0,K. Lowry makes 2-pt shot from 1 ft,2,45-45,,
3:25.0,,,45-45,,Turnover by S. Rodriguez (bad pass; steal by J. Valanciunas)
3:16.0,D. DeRozan makes 2-pt shot from 16 ft,2,47-45,,
2:55.0,,,47-45,,J. Okafor misses 2-pt shot from 4 ft (block by N. Powell)
2:53.0,,,47-45,,Offensive rebound by D. Saric
2:52.0,,,47-45,,Shooting foul by J. Valanciunas (drawn by D. Saric)
2:52.0,Toronto full timeout,,47-45,,
2:52.0,,,47-46,1,D. Saric makes free throw 1 of 2
2:52.0,,,47-47,1,D. Saric makes free throw 2 of 2
2:43.0,Shooting foul by R. Covington (drawn by D. DeRozan),,47-47,,
2:43.0,D. DeRozan makes free throw 1 of 2,1,48-47,,
2:43.0,D. DeRozan misses free throw 2 of 2,,48-47,,
2:43.0,,,48-47,,T. McConnell enters the game for S. Rodriguez
2:41.0,,,48-47,,Defensive rebound by T. McConnell
2:24.0,,,48-47,,R. Covington misses 2-pt shot from 3 ft (block by N. Powell)
2:23.0,,,48-47,,Offensive rebound by R. Covington
2:23.0,,,48-47,,Shooting foul by J. Valanciunas (drawn by R. Covington)
2:23.0,,,48-47,,R. Covington misses free throw 1 of 2
2:23.0,,,48-47,,Offensive rebound by Team
2:23.0,,,48-48,1,R. Covington makes free throw 2 of 2
2:23.0,C. Joseph enters the game for K. Lowry,,48-47,,
2:23.0,P. Patterson enters the game for J. Valanciunas,,48-47,,
2:09.0,D. DeRozan makes 2-pt shot from 14 ft,2,50-48,,
1:50.0,,,50-50,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
1:41.0,Shooting foul by D. Saric (drawn by D. DeRozan),,50-50,,
1:41.0,D. DeRozan makes free throw 1 of 2,1,51-50,,
1:41.0,D. DeRozan makes free throw 2 of 2,1,52-50,,
1:41.0,,,51-50,,E. Ilyasova enters the game for D. Saric
1:41.0,D. Carroll enters the game for T. Ross,,51-50,,
1:27.0,,,52-50,,R. Covington misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by C. Joseph,,52-50,,
1:20.0,Shooting foul by T. McConnell (drawn by C. Joseph),,52-50,,
1:20.0,C. Joseph makes free throw 1 of 2,1,53-50,,
1:20.0,C. Joseph makes free throw 2 of 2,1,54-50,,
1:04.0,,,54-50,,J. Okafor misses 2-pt shot from 13 ft
1:01.0,,,54-50,,Offensive rebound by R. Covington
1:01.0,,,54-50,,R. Covington misses 2-pt shot from 1 ft
1:00.0,,,54-50,,Offensive rebound by R. Covington
