time,Indiana,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Turner (J. Teague gains possession),,,,Jump ball: M. Plumlee vs. M. Turner (J. Teague gains possession)
11:44.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,2-0,,
11:24.0,,,2-0,,C. McCollum misses 2-pt shot from 1 ft
11:24.0,,,2-0,,Offensive rebound by E. Davis
11:24.0,,,2-0,,E. Davis misses 2-pt shot from 2 ft
11:21.0,,,2-0,,Offensive rebound by E. Davis
11:16.0,,,2-0,,D. Lillard misses 2-pt shot from 4 ft
11:16.0,Defensive rebound by M. Turner,,2-0,,
11:06.0,J. Teague misses 2-pt shot from 19 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by M. Plumlee
10:57.0,,,2-0,,M. Plumlee misses 2-pt shot from 2 ft
10:56.0,Defensive rebound by M. Ellis,,2-0,,
10:48.0,T. Young misses 2-pt shot from 6 ft,,2-0,,
10:48.0,Offensive rebound by Team,,2-0,,
10:35.0,Turnover by J. Teague (bad pass; steal by D. Lillard),,2-0,,
10:29.0,,,2-0,,M. Plumlee misses 2-pt shot from 2 ft
10:28.0,,,2-0,,Offensive rebound by M. Plumlee
10:26.0,,,2-2,2,M. Plumlee makes 2-pt shot from 2 ft
10:14.0,G. Robinson makes 3-pt shot from 24 ft (assist by M. Ellis),3,5-2,,
9:47.0,,,5-4,2,M. Harkless makes 2-pt shot from 3 ft
9:29.0,T. Young misses 2-pt shot from 5 ft,,5-4,,
9:29.0,,,5-4,,Defensive rebound by D. Lillard
9:24.0,,,5-6,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
9:03.0,J. Teague misses 2-pt shot from 8 ft,,5-6,,
9:03.0,Offensive rebound by Team,,5-6,,
9:03.0,,,5-6,,Loose ball foul by M. Harkless (drawn by M. Turner)
8:49.0,G. Robinson makes 2-pt shot from 17 ft (assist by J. Teague),2,7-6,,
8:28.0,,,7-6,,M. Harkless misses 3-pt shot from 23 ft
8:28.0,Defensive rebound by M. Turner,,7-6,,
8:11.0,M. Turner misses 2-pt shot from 20 ft,,7-6,,
8:11.0,,,7-6,,Defensive rebound by D. Lillard
8:06.0,,,7-6,,M. Plumlee misses 2-pt shot from 2 ft
8:05.0,,,7-6,,Offensive rebound by M. Harkless
8:05.0,,,7-8,2,M. Harkless makes 2-pt shot from 1 ft
7:51.0,J. Teague misses 2-pt shot at rim,,7-8,,
7:50.0,Offensive rebound by M. Turner,,7-8,,
7:49.0,M. Turner makes 2-pt shot from 1 ft,2,9-8,,
7:29.0,,,9-8,,M. Harkless misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by M. Turner,,9-8,,
7:17.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,11-8,,
6:58.0,,,11-8,,M. Harkless misses 3-pt shot from 24 ft
6:57.0,,,11-8,,Offensive rebound by E. Davis
6:57.0,,,11-10,2,E. Davis makes 2-pt shot at rim
6:40.0,T. Young misses 2-pt shot from 2 ft (block by M. Plumlee),,11-10,,
6:39.0,,,11-10,,Defensive rebound by M. Plumlee
6:31.0,,,11-12,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
6:04.0,J. Teague misses 2-pt shot from 1 ft,,11-12,,
6:04.0,Offensive rebound by Team,,11-12,,
6:04.0,Turnover by Team (shot clock),,11-12,,
6:04.0,,,11-12,,Portland full timeout
5:46.0,,,11-15,3,M. Harkless makes 3-pt shot from 23 ft (assist by C. McCollum)
5:32.0,Shooting foul by D. Lillard (drawn by M. Turner),,11-15,,
5:32.0,M. Turner makes free throw 1 of 2,1,12-15,,
