time,Toronto,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Valanciunas (G. Dieng gains possession),,,,Jump ball: K. Towns vs. J. Valanciunas (G. Dieng gains possession)
11:40.0,,,0-0,,R. Rubio misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by D. Carroll,,0-0,,
11:15.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. Carroll),2,2-0,,
11:00.0,,,2-2,2,A. Wiggins makes 2-pt shot from 19 ft
10:37.0,D. DeRozan misses 2-pt shot from 14 ft (block by A. Wiggins),,2-2,,
10:35.0,Offensive rebound by D. DeRozan,,2-2,,
10:34.0,D. DeRozan makes 2-pt shot from 10 ft,2,4-2,,
10:13.0,,,4-2,,G. Dieng misses 2-pt shot from 19 ft
10:11.0,Defensive rebound by P. Siakam,,4-2,,
10:01.0,D. DeRozan misses 2-pt shot from 11 ft,,4-2,,
9:59.0,,,4-2,,Defensive rebound by K. Towns
9:53.0,,,4-4,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
9:31.0,D. DeRozan misses 2-pt shot from 21 ft,,4-4,,
9:30.0,,,4-4,,Defensive rebound by B. Rush
9:21.0,,,4-6,2,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio)
9:05.0,,,4-6,,Personal block foul by A. Wiggins (drawn by D. DeRozan)
8:51.0,K. Lowry misses 3-pt shot from 25 ft,,4-6,,
8:49.0,Offensive rebound by D. Carroll,,4-6,,
8:35.0,D. Carroll misses 2-pt shot from 2 ft (block by K. Towns),,4-6,,
8:33.0,Offensive rebound by P. Siakam,,4-6,,
8:32.0,P. Siakam makes 2-pt shot from 12 ft,2,6-6,,
8:13.0,,,6-6,,B. Rush misses 3-pt shot from 22 ft
8:12.0,Defensive rebound by D. DeRozan,,6-6,,
7:53.0,D. DeRozan makes 3-pt shot from 23 ft (assist by D. Carroll),3,9-6,,
7:36.0,,,9-6,,Shooting foul by D. Carroll (drawn by A. Wiggins)
7:36.0,,,9-7,1,A. Wiggins makes free throw 1 of 2
7:36.0,,,9-8,1,A. Wiggins makes free throw 2 of 2
7:16.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry),2,11-8,,
6:55.0,,,11-10,2,A. Wiggins makes 2-pt shot from 13 ft (assist by R. Rubio)
6:50.0,Shooting foul by K. Towns (drawn by P. Siakam),,11-10,,
6:50.0,P. Siakam misses free throw 1 of 2,,11-10,,
6:50.0,Offensive rebound by Team,,11-10,,
6:50.0,P. Siakam misses free throw 2 of 2,,11-10,,
6:49.0,Offensive rebound by P. Siakam,,11-10,,
6:43.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,14-10,,
6:23.0,,,14-12,2,K. Towns makes 2-pt shot at rim
6:11.0,Shooting foul by R. Rubio (drawn by K. Lowry),,14-12,,
6:11.0,K. Lowry makes free throw 1 of 3,1,15-12,,
6:11.0,K. Lowry makes free throw 2 of 3,1,16-12,,
6:11.0,K. Lowry makes free throw 3 of 3,1,17-12,,
6:04.0,,,17-14,2,R. Rubio makes 2-pt shot from 21 ft
5:53.0,,,17-14,,Personal foul by B. Rush (drawn by D. Carroll)
5:53.0,,,17-14,,Minnesota full timeout
5:41.0,,,17-14,,Violation by A. Wiggins (kicked ball)
5:41.0,,,17-14,,Inbound foul by R. Rubio
5:41.0,D. DeRozan makes free throw 1 of 1,1,18-14,,
5:41.0,,,17-14,,T. Jones enters the game for R. Rubio
5:28.0,D. DeRozan misses 2-pt shot from 20 ft,,18-14,,
5:27.0,,,18-14,,Defensive rebound by G. Dieng
5:06.0,,,18-14,,A. Wiggins misses 2-pt shot from 22 ft
5:04.0,Defensive rebound by P. Siakam,,18-14,,
4:45.0,D. DeRozan misses 3-pt shot from 23 ft,,18-14,,
4:43.0,,,18-14,,Defensive rebound by Team
4:32.0,,,18-14,,K. Towns misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by D. Carroll,,18-14,,
4:25.0,K. Lowry misses 3-pt shot from 24 ft,,18-14,,
4:24.0,Offensive rebound by K. Lowry,,18-14,,
4:15.0,K. Lowry makes 2-pt shot from 5 ft,2,20-14,,
4:00.0,,,20-14,,A. Wiggins misses 3-pt shot from 25 ft
3:59.0,,,20-14,,Offensive rebound by K. Towns
3:50.0,,,20-14,,Shooting foul by J. Valanciunas (drawn by A. Wiggins)
3:50.0,,,20-15,1,A. Wiggins makes free throw 1 of 2
3:50.0,,,20-16,1,A. Wiggins makes free throw 2 of 2
3:50.0,,,20-15,,S. Muhammad enters the game for B. Rush
3:50.0,C. Joseph enters the game for K. Lowry,,20-15,,
3:35.0,D. DeRozan makes 2-pt shot from 17 ft,2,22-16,,
3:23.0,,,22-16,,Shooting foul by P. Siakam (drawn by K. Towns)
3:23.0,,,22-17,1,K. Towns makes free throw 1 of 2
3:23.0,,,22-18,1,K. Towns makes free throw 2 of 2
3:23.0,L. Nogueira enters the game for P. Siakam,,22-17,,
3:11.0,Shooting foul by G. Dieng (drawn by D. DeRozan),,22-18,,
3:11.0,D. DeRozan makes free throw 1 of 2,1,23-18,,
3:11.0,D. DeRozan makes free throw 2 of 2,1,24-18,,
3:11.0,J. Poeltl enters the game for J. Valanciunas,,23-18,,
2:53.0,,,24-18,,K. Towns misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by D. Carroll,,24-18,,
2:34.0,C. Joseph makes 2-pt shot from 1 ft,2,26-18,,
2:16.0,,,26-21,3,S. Muhammad makes 3-pt shot from 25 ft (assist by T. Jones)
1:50.0,D. Carroll makes 3-pt shot from 23 ft (assist by C. Joseph),3,29-21,,
1:37.0,Violation by D. Carroll (kicked ball),,29-21,,
1:37.0,Toronto full timeout,,29-21,,
1:37.0,,,29-21,,N. Bjelica enters the game for G. Dieng
1:37.0,T. Ross enters the game for D. Carroll,,29-21,,
1:29.0,,,29-21,,S. Muhammad misses 3-pt shot from 25 ft
1:28.0,,,29-21,,Offensive rebound by K. Towns
1:25.0,,,29-21,,Shooting foul by J. Poeltl (drawn by S. Muhammad)
1:25.0,,,29-22,1,S. Muhammad makes free throw 1 of 2
1:25.0,,,29-23,1,S. Muhammad makes free throw 2 of 2
1:09.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Joseph),2,31-23,,
0:53.0,,,31-23,,S. Muhammad misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by J. Poeltl,,31-23,,
0:32.0,Shooting foul by K. Towns (drawn by D. DeRozan),,31-23,,
0:32.0,D. DeRozan misses free throw 1 of 2,,31-23,,
0:32.0,Offensive rebound by Team,,31-23,,
0:32.0,D. DeRozan misses free throw 2 of 2,,31-23,,
0:31.0,,,31-23,,Defensive rebound by A. Wiggins
0:22.0,,,31-25,2,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Bjelica)
0:00.0,D. DeRozan makes 2-pt shot from 14 ft,2,33-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. Nogueira makes 2-pt shot at rim (assist by T. Ross),2,35-25,,
11:23.0,,,35-27,2,L. Stephenson makes 2-pt shot from 20 ft (assist by S. Muhammad)
11:04.0,K. Lowry misses 3-pt shot from 25 ft,,35-27,,
11:03.0,,,35-27,,Defensive rebound by Team
10:42.0,,,35-27,,N. Bjelica misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by J. Poeltl,,35-27,,
10:32.0,Turnover by L. Nogueira (lost ball; steal by C. Aldrich),,35-27,,
10:27.0,,,35-29,2,S. Muhammad makes 2-pt shot at rim (assist by T. Jones)
10:13.0,C. Joseph misses 2-pt shot from 21 ft,,35-29,,
10:11.0,,,35-29,,Defensive rebound by L. Stephenson
10:04.0,,,35-29,,Turnover by N. Bjelica (lost ball; steal by J. Poeltl)
10:00.0,,,35-29,,Shooting block foul by T. Jones (drawn by C. Joseph)
10:00.0,C. Joseph makes free throw 1 of 2,1,36-29,,
10:00.0,C. Joseph makes free throw 2 of 2,1,37-29,,
9:45.0,,,37-31,2,L. Stephenson makes 2-pt shot from 20 ft
9:31.0,T. Ross makes 2-pt shot from 10 ft,2,39-31,,
9:11.0,,,39-33,2,S. Muhammad makes 2-pt shot from 11 ft
8:53.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Joseph),2,41-33,,
8:34.0,,,41-36,3,N. Bjelica makes 3-pt shot from 23 ft (assist by L. Stephenson)
8:23.0,Turnover by K. Lowry (lost ball; steal by T. Jones),,41-36,,
8:20.0,Violation by K. Lowry (def goaltending),,41-36,,
8:20.0,,,41-38,2,T. Jones makes 2-pt shot from 1 ft
8:05.0,K. Lowry makes 3-pt shot from 25 ft,3,44-38,,
7:45.0,,,44-38,,L. Stephenson misses 2-pt shot from 14 ft
7:44.0,Defensive rebound by J. Poeltl,,44-38,,
7:29.0,T. Ross misses 3-pt shot from 25 ft,,44-38,,
7:28.0,Offensive rebound by J. Poeltl,,44-38,,
7:20.0,Shooting foul by C. Aldrich (drawn by K. Lowry),,44-38,,
7:20.0,Toronto full timeout,,44-38,,
7:20.0,K. Lowry makes free throw 1 of 2,1,45-38,,
7:20.0,K. Lowry misses free throw 2 of 2,,45-38,,
7:20.0,,,45-38,,Defensive rebound by G. Dieng
7:20.0,,,44-38,,G. Dieng enters the game for C. Aldrich
7:13.0,,,45-38,,T. Jones misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by C. Joseph,,45-38,,
7:07.0,T. Ross makes 2-pt shot at rim (assist by C. Joseph),2,47-38,,
6:45.0,,,47-40,2,L. Stephenson makes 2-pt shot from 17 ft
6:28.0,T. Ross misses 3-pt shot from 25 ft,,47-40,,
6:27.0,,,47-40,,Defensive rebound by L. Stephenson
6:19.0,Personal foul by L. Nogueira (drawn by N. Bjelica),,47-40,,
6:19.0,,,47-40,,R. Rubio enters the game for T. Jones
6:19.0,,,47-40,,A. Wiggins enters the game for S. Muhammad
6:19.0,D. DeRozan enters the game for C. Joseph,,47-40,,
6:19.0,,,47-40,,K. Towns enters the game for N. Bjelica
6:19.0,D. Carroll enters the game for T. Ross,,47-40,,
6:19.0,J. Valanciunas enters the game for J. Poeltl,,47-40,,
6:12.0,,,47-40,,L. Stephenson misses 2-pt shot from 14 ft
6:12.0,Defensive rebound by Team,,47-40,,
5:57.0,K. Lowry makes 3-pt shot from 25 ft,3,50-40,,
5:39.0,,,50-40,,K. Towns misses 2-pt shot from 1 ft
5:37.0,Defensive rebound by J. Valanciunas,,50-40,,
5:23.0,Offensive charge foul by D. DeRozan,,50-40,,
5:23.0,Turnover by D. DeRozan (offensive foul),,50-40,,
5:23.0,,,50-40,,Minnesota full timeout
5:23.0,P. Siakam enters the game for L. Nogueira,,50-40,,
5:13.0,,,50-40,,Shooting foul by D. DeRozan (drawn by K. Towns)
5:13.0,,,50-41,1,K. Towns makes free throw 1 of 2
5:13.0,,,50-42,1,K. Towns makes free throw 2 of 2
4:56.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,53-42,,
4:41.0,,,53-42,,R. Rubio misses 2-pt shot from 20 ft
4:40.0,Defensive rebound by D. Carroll,,53-42,,
4:31.0,Turnover by K. Lowry (bad pass; steal by K. Towns),,53-42,,
4:23.0,,,53-42,,R. Rubio misses 2-pt shot from 16 ft
4:22.0,,,53-42,,Offensive rebound by G. Dieng
4:16.0,,,53-42,,Turnover by A. Wiggins (lost ball; steal by D. DeRozan)
4:12.0,,,53-42,,B. Rush enters the game for L. Stephenson
3:57.0,D. DeRozan makes 2-pt shot from 8 ft,2,55-42,,
3:35.0,,,55-45,3,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins)
3:07.0,D. Carroll makes 2-pt shot at rim,2,57-45,,
2:51.0,,,57-47,2,A. Wiggins makes 2-pt shot from 15 ft
2:39.0,Shooting foul by G. Dieng (drawn by P. Siakam),,57-47,,
2:39.0,Toronto full timeout,,57-47,,
2:39.0,P. Siakam misses free throw 1 of 2,,57-47,,
2:39.0,Offensive rebound by Team,,57-47,,
2:39.0,P. Siakam makes free throw 2 of 2,1,58-47,,
2:39.0,C. Joseph enters the game for K. Lowry,,57-47,,
2:20.0,,,58-47,,G. Dieng misses 2-pt shot from 17 ft
2:19.0,,,58-47,,Offensive rebound by K. Towns
2:08.0,,,58-47,,B. Rush misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by D. Carroll,,58-47,,
2:02.0,Turnover by C. Joseph (bad pass),,58-47,,
1:49.0,,,58-47,,K. Towns misses 2-pt shot from 1 ft (block by C. Joseph)
1:47.0,,,58-47,,Offensive rebound by G. Dieng
1:46.0,,,58-49,2,G. Dieng makes 2-pt shot from 4 ft
1:22.0,D. DeRozan misses 3-pt shot from 25 ft,,58-49,,
1:21.0,,,58-49,,Defensive rebound by G. Dieng
1:16.0,,,58-49,,B. Rush misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by D. DeRozan,,58-49,,
1:10.0,D. DeRozan makes 2-pt shot from 1 ft,2,60-49,,
0:53.0,,,60-49,,A. Wiggins misses 2-pt shot from 13 ft
0:50.0,Defensive rebound by D. DeRozan,,60-49,,
0:36.0,D. DeRozan misses 2-pt shot from 16 ft,,60-49,,
0:34.0,,,60-49,,Defensive rebound by G. Dieng
0:29.0,,,60-51,2,A. Wiggins makes 2-pt shot from 7 ft (assist by R. Rubio)
0:29.0,,,60-51,,Shooting foul by P. Siakam (drawn by A. Wiggins)
0:29.0,,,60-52,1,A. Wiggins makes free throw 1 of 1
0:26.0,Toronto full timeout,,60-52,,
0:26.0,,,60-52,,T. Jones enters the game for R. Rubio
0:26.0,L. Nogueira enters the game for P. Siakam,,60-52,,
0:14.0,D. Carroll makes 3-pt shot from 23 ft (assist by C. Joseph),3,63-52,,
0:08.0,Personal foul by J. Valanciunas (drawn by A. Wiggins),,63-52,,
0:08.0,,,63-52,,A. Wiggins misses free throw 1 of 2
0:08.0,,,63-52,,Offensive rebound by Team
0:08.0,,,63-53,1,A. Wiggins makes free throw 2 of 2
0:04.0,,,63-53,,Personal take foul by T. Jones (drawn by D. DeRozan)
0:02.0,D. DeRozan misses 3-pt shot from 25 ft,,63-53,,
0:00.0,,,63-53,,Defensive rebound by K. Towns
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Lowry misses 3-pt shot from 25 ft,,63-53,,
