time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. C. Capela (V. Oladipo gains possession)
11:35.0,,,0-2,2,T. Gibson makes 2-pt shot from 4 ft
11:12.0,T. Ariza misses 2-pt shot from 2 ft (block by A. Roberson),,0-2,,
11:11.0,Offensive rebound by T. Ariza,,0-2,,
11:08.0,T. Ariza misses 2-pt shot at rim (block by A. Roberson),,0-2,,
11:08.0,Offensive rebound by Team,,0-2,,
11:08.0,Turnover by Team (shot clock),,0-2,,
10:54.0,,,0-2,,T. Gibson misses 2-pt shot from 3 ft
10:53.0,Defensive rebound by Team,,0-2,,
10:28.0,C. Capela misses 2-pt shot from 11 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by R. Westbrook
10:22.0,,,0-2,,Turnover by R. Westbrook (bad pass; steal by R. Anderson)
10:15.0,Turnover by J. Harden (bad pass; steal by V. Oladipo),,0-2,,
10:10.0,,,0-4,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
10:04.0,P. Beverley misses 2-pt shot from 2 ft,,0-4,,
10:04.0,,,0-4,,Defensive rebound by R. Westbrook
9:56.0,,,0-6,2,A. Roberson makes 2-pt shot from 3 ft (assist by R. Westbrook)
9:40.0,J. Harden makes 2-pt shot from 1 ft,2,2-6,,
9:17.0,,,2-6,,S. Adams misses 2-pt shot from 4 ft
9:15.0,,,2-6,,Offensive rebound by S. Adams
9:02.0,,,2-9,3,A. Roberson makes 3-pt shot from 24 ft (assist by S. Adams)
8:41.0,Turnover by J. Harden (lost ball; steal by S. Adams),,2-9,,
8:35.0,,,2-11,2,T. Gibson makes 2-pt shot at rim (assist by V. Oladipo)
8:35.0,Houston full timeout,,2-11,,
8:12.0,T. Ariza makes 2-pt shot from 6 ft (assist by J. Harden),2,4-11,,
7:59.0,,,4-13,2,T. Gibson makes 2-pt shot from 15 ft (assist by A. Roberson)
7:37.0,R. Anderson misses 3-pt shot from 23 ft,,4-13,,
7:37.0,,,4-13,,Defensive rebound by R. Westbrook
7:33.0,,,4-13,,Offensive foul by T. Gibson
7:33.0,,,4-13,,Turnover by T. Gibson (offensive foul)
7:23.0,Turnover by J. Harden (bad pass; steal by V. Oladipo),,4-13,,
7:18.0,,,4-13,,Turnover by T. Gibson (lost ball)
6:57.0,J. Harden misses 2-pt shot from 20 ft,,4-13,,
6:57.0,,,4-13,,Defensive rebound by V. Oladipo
6:42.0,,,4-13,,R. Westbrook misses 2-pt shot from 11 ft
6:41.0,Defensive rebound by P. Beverley,,4-13,,
6:29.0,,,4-13,,Personal foul by V. Oladipo (drawn by T. Ariza)
6:24.0,Shooting foul by A. Roberson (drawn by J. Harden),,4-13,,
6:24.0,J. Harden makes free throw 1 of 3,1,5-13,,
6:24.0,J. Harden makes free throw 2 of 3,1,6-13,,
6:24.0,J. Harden makes free throw 3 of 3,1,7-13,,
6:02.0,,,7-15,2,R. Westbrook makes 2-pt shot from 13 ft (assist by T. Gibson)
5:47.0,T. Ariza misses 3-pt shot from 23 ft,,7-15,,
5:46.0,,,7-15,,Defensive rebound by R. Westbrook
5:40.0,,,7-17,2,R. Westbrook makes 2-pt shot from 1 ft
5:26.0,Turnover by C. Capela (lost ball; steal by R. Westbrook),,7-17,,
5:20.0,,,7-19,2,R. Westbrook makes 2-pt shot from 4 ft
5:03.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,9-19,,
4:46.0,,,9-21,2,A. Roberson makes 2-pt shot from 2 ft (assist by V. Oladipo)
4:46.0,,,9-21,,Shooting foul by C. Capela (drawn by A. Roberson)
4:46.0,,,9-21,,A. Roberson misses free throw 1 of 1
4:46.0,E. Gordon enters the game for T. Ariza,,9-21,,
4:46.0,L. Williams enters the game for C. Capela,,9-21,,
4:46.0,N. Hilario enters the game for P. Beverley,,9-21,,
4:46.0,,,9-21,,A. Abrines enters the game for V. Oladipo
4:45.0,Defensive rebound by N. Hilario,,9-21,,
4:37.0,L. Williams makes 2-pt shot from 2 ft,2,11-21,,
4:23.0,,,11-23,2,T. Gibson makes 2-pt shot from 15 ft (assist by R. Westbrook)
4:10.0,Shooting foul by S. Adams (drawn by J. Harden),,11-23,,
4:10.0,J. Harden makes free throw 1 of 2,1,12-23,,
4:10.0,J. Harden makes free throw 2 of 2,1,13-23,,
4:10.0,,,12-23,,D. McDermott enters the game for S. Adams
3:56.0,,,13-25,2,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:43.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,16-25,,
3:21.0,,,16-25,,A. Abrines misses 3-pt shot from 23 ft
3:20.0,,,16-25,,Offensive rebound by A. Roberson
3:17.0,,,16-25,,D. McDermott misses 3-pt shot from 24 ft
3:17.0,,,16-25,,Offensive rebound by A. Abrines
3:16.0,Personal foul by E. Gordon (drawn by A. Abrines),,16-25,,
3:01.0,,,16-27,2,T. Gibson makes 2-pt shot at rim
2:46.0,R. Anderson makes 2-pt shot from 15 ft (assist by J. Harden),2,18-27,,
2:31.0,,,18-27,,R. Westbrook misses 2-pt shot from 13 ft
2:31.0,Defensive rebound by J. Harden,,18-27,,
2:30.0,Turnover by J. Harden (bad pass; steal by A. Roberson),,18-27,,
2:28.0,,,18-29,2,A. Roberson makes 2-pt shot from 1 ft
2:08.0,Turnover by R. Anderson (lost ball; steal by R. Westbrook),,18-29,,
2:05.0,,,18-29,,Shooting foul by J. Harden (drawn by A. Roberson)
2:05.0,,,18-29,,Oklahoma City full timeout
2:05.0,,,18-29,,A. Roberson misses free throw 1 of 2
2:05.0,,,18-29,,Offensive rebound by Team
2:05.0,,,18-29,,A. Roberson misses free throw 2 of 2
2:05.0,,,18-29,,N. Cole enters the game for R. Westbrook
2:05.0,,,18-29,,S. Adams enters the game for T. Gibson
2:04.0,Defensive rebound by N. Hilario,,18-29,,
1:54.0,Offensive foul by N. Hilario,,18-29,,
1:54.0,Turnover by N. Hilario (offensive foul),,18-29,,
1:38.0,,,18-32,3,N. Cole makes 3-pt shot from 25 ft (assist by A. Abrines)
1:19.0,L. Williams makes 2-pt shot from 6 ft,2,20-32,,
1:01.0,,,20-32,,S. Adams misses 2-pt shot from 2 ft (block by N. Hilario)
1:00.0,Defensive rebound by R. Anderson,,20-32,,
0:50.0,J. Harden makes 2-pt shot from 10 ft,2,22-32,,
0:33.0,,,22-32,,S. Adams misses 2-pt shot from 5 ft
0:32.0,Defensive rebound by N. Hilario,,22-32,,
0:24.0,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden),3,25-32,,
0:06.0,Personal foul by R. Anderson (drawn by N. Cole),,25-32,,
0:06.0,T. Ariza enters the game for R. Anderson,,25-32,,
0:03.0,,,25-32,,N. Cole misses 3-pt shot from 26 ft
0:01.0,,,25-32,,Offensive rebound by S. Adams
0:01.0,,,25-34,2,S. Adams makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,P. Beverley misses 2-pt shot from 9 ft,,25-34,,
11:44.0,,,25-34,,Defensive rebound by Team
11:21.0,,,25-36,2,E. Kanter makes 2-pt shot from 1 ft
11:10.0,E. Gordon misses 3-pt shot from 25 ft,,25-36,,
11:08.0,Offensive rebound by C. Capela,,25-36,,
11:08.0,,,25-36,,Personal foul by N. Cole (drawn by C. Capela)
11:00.0,P. Beverley misses 2-pt shot from 3 ft (block by E. Kanter),,25-36,,
10:58.0,,,25-36,,Defensive rebound by A. Abrines
10:50.0,,,25-38,2,N. Cole makes 2-pt shot from 1 ft
10:32.0,E. Gordon misses 2-pt shot from 17 ft,,25-38,,
10:31.0,,,25-38,,Defensive rebound by V. Oladipo
10:26.0,,,25-40,2,V. Oladipo makes 2-pt shot from 23 ft
10:06.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,27-40,,
10:06.0,Shooting foul by J. Grant (drawn by C. Capela),,27-40,,
10:06.0,C. Capela makes free throw 1 of 1,1,28-40,,
9:46.0,,,28-40,,E. Kanter misses 2-pt shot from 6 ft
9:46.0,Defensive rebound by L. Williams,,28-40,,
9:37.0,L. Williams makes 3-pt shot from 24 ft,3,31-40,,
9:23.0,,,31-43,3,A. Abrines makes 3-pt shot from 25 ft (assist by N. Cole)
9:08.0,L. Williams makes 3-pt shot from 25 ft,3,34-43,,
8:45.0,,,34-45,2,E. Kanter makes 2-pt shot from 2 ft
8:38.0,Offensive foul by P. Beverley,,34-45,,
8:38.0,Turnover by P. Beverley (offensive foul),,34-45,,
8:38.0,Official timeout,,34-45,,
8:38.0,,,34-45,,R. Westbrook enters the game for N. Cole
8:38.0,,,34-45,,D. McDermott enters the game for J. Grant
8:28.0,,,34-48,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
8:07.0,L. Williams makes 2-pt shot from 6 ft,2,36-48,,
8:01.0,,,36-48,,A. Abrines misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by P. Beverley,,36-48,,
7:57.0,,,36-48,,Personal foul by D. McDermott (drawn by L. Williams)
7:57.0,L. Williams makes free throw 1 of 2,1,37-48,,
7:57.0,L. Williams misses free throw 2 of 2,,37-48,,
7:57.0,,,37-48,,Defensive rebound by D. McDermott
7:33.0,,,37-48,,E. Kanter misses 2-pt shot from 4 ft
7:32.0,Defensive rebound by T. Ariza,,37-48,,
7:21.0,C. Capela misses 2-pt shot from 2 ft,,37-48,,
7:20.0,,,37-48,,Defensive rebound by E. Kanter
7:14.0,,,37-50,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
6:50.0,L. Williams makes 3-pt shot from 23 ft (assist by P. Beverley),3,40-50,,
6:39.0,,,40-50,,V. Oladipo misses 2-pt shot from 19 ft
6:39.0,Defensive rebound by T. Ariza,,40-50,,
6:31.0,Shooting foul by R. Westbrook (drawn by C. Capela),,40-50,,
6:31.0,C. Capela misses free throw 1 of 2,,40-50,,
6:31.0,Offensive rebound by Team,,40-50,,
6:31.0,C. Capela misses free throw 2 of 2,,40-50,,
6:31.0,,,40-50,,Defensive rebound by R. Westbrook
6:31.0,,,40-50,,A. Roberson enters the game for V. Oladipo
6:31.0,,,40-50,,T. Gibson enters the game for A. Abrines
6:20.0,,,40-50,,Shooting foul by P. Beverley (drawn by R. Westbrook)
6:20.0,,,40-51,1,R. Westbrook makes free throw 1 of 2
6:20.0,,,40-52,1,R. Westbrook makes free throw 2 of 2
6:20.0,J. Harden enters the game for P. Beverley,,40-51,,
6:20.0,R. Anderson enters the game for C. Capela,,40-51,,
6:20.0,,,40-51,,J. Grant enters the game for E. Kanter
6:06.0,E. Gordon makes 2-pt shot from 2 ft,2,42-52,,
5:49.0,,,42-52,,R. Westbrook misses 2-pt shot from 20 ft
5:48.0,Defensive rebound by T. Ariza,,42-52,,
5:39.0,Shooting foul by A. Roberson (drawn by J. Harden),,42-52,,
5:39.0,,,42-52,,Oklahoma City full timeout
5:39.0,J. Harden makes free throw 1 of 2,1,43-52,,
5:39.0,J. Harden makes free throw 2 of 2,1,44-52,,
5:39.0,,,42-52,,V. Oladipo enters the game for D. McDermott
5:30.0,,,44-52,,Turnover by R. Westbrook (bad pass)
5:14.0,L. Williams misses 2-pt shot from 15 ft,,44-52,,
5:13.0,Offensive rebound by J. Harden,,44-52,,
5:13.0,Turnover by J. Harden (bad pass),,44-52,,
5:02.0,,,44-52,,Shooting foul by R. Anderson (drawn by R. Westbrook)
5:02.0,,,44-53,1,R. Westbrook makes free throw 1 of 2
5:02.0,,,44-54,1,R. Westbrook makes free throw 2 of 2
4:53.0,J. Harden makes 2-pt shot from 1 ft,2,46-54,,
4:53.0,Shooting foul by J. Grant (drawn by J. Harden),,46-54,,
4:53.0,J. Harden makes free throw 1 of 1,1,47-54,,
4:31.0,,,47-54,,J. Grant misses 3-pt shot from 23 ft
4:30.0,,,47-54,,Offensive rebound by A. Roberson
4:26.0,,,47-56,2,J. Grant makes 2-pt shot from 3 ft (assist by A. Roberson)
3:59.0,J. Harden misses 3-pt shot from 26 ft,,47-56,,
3:58.0,,,47-56,,Defensive rebound by Team
3:45.0,,,47-59,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:33.0,J. Harden makes 2-pt shot from 2 ft,2,49-59,,
3:27.0,,,49-61,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
3:00.0,J. Harden makes 3-pt shot from 27 ft,3,52-61,,
2:44.0,,,52-63,2,R. Westbrook makes 2-pt shot from 17 ft
2:44.0,Houston full timeout,,52-63,,
2:44.0,,,52-63,,S. Adams enters the game for J. Grant
2:44.0,P. Beverley enters the game for E. Gordon,,52-63,,
2:44.0,N. Hilario enters the game for L. Williams,,52-63,,
2:21.0,T. Ariza misses 3-pt shot from 25 ft,,52-63,,
2:20.0,,,52-63,,Defensive rebound by A. Roberson
2:08.0,,,52-63,,R. Westbrook misses 2-pt shot from 2 ft
2:08.0,Defensive rebound by N. Hilario,,52-63,,
2:00.0,J. Harden misses 2-pt shot from 2 ft (block by A. Roberson),,52-63,,
1:58.0,Offensive rebound by R. Anderson,,52-63,,
1:58.0,R. Anderson makes 2-pt shot at rim,2,54-63,,
1:43.0,Personal foul by R. Anderson (drawn by T. Gibson),,54-63,,
1:43.0,E. Gordon enters the game for R. Anderson,,54-63,,
1:38.0,,,54-63,,Turnover by V. Oladipo (bad pass)
1:38.0,,,54-63,,Loose ball foul by R. Westbrook (drawn by T. Ariza)
1:38.0,T. Ariza makes free throw 1 of 2,1,55-63,,
1:38.0,T. Ariza makes free throw 2 of 2,1,56-63,,
1:22.0,,,56-63,,Turnover by T. Gibson (step out of bounds)
1:22.0,,,56-63,,Technical foul by T. Gibson
1:22.0,J. Harden makes technical free throw,1,57-63,,
