time,Phoenix,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,T. Maker misses 2-pt shot from 1 ft
12:00.0,Jump ball: A. Len vs. T. Maker (M. Dellavedova gains possession),,,,Jump ball: A. Len vs. T. Maker (M. Dellavedova gains possession)
11:37.0,,,0-0,,Offensive rebound by T. Maker
11:35.0,,,0-2,2,T. Snell makes 2-pt shot at rim (assist by T. Maker)
11:12.0,D. Booker misses 2-pt shot from 15 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by G. Antetokounmpo
11:03.0,,,0-2,,M. Dellavedova misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by Team,,0-2,,
10:40.0,D. Booker makes 3-pt shot from 28 ft (assist by T. Warren),3,3-2,,
10:26.0,,,3-2,,Turnover by T. Snell (traveling)
10:07.0,M. Chriss misses 2-pt shot from 1 ft (block by T. Maker),,3-2,,
10:05.0,,,3-2,,Defensive rebound by M. Dellavedova
9:54.0,,,3-2,,T. Maker misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by T. Warren,,3-2,,
9:38.0,A. Len misses 2-pt shot from 6 ft,,3-2,,
9:36.0,,,3-2,,Defensive rebound by G. Antetokounmpo
9:28.0,,,3-4,2,G. Antetokounmpo makes 2-pt shot from 17 ft
9:11.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,5-4,,
8:58.0,,,5-4,,T. Snell misses 3-pt shot from 25 ft
8:56.0,,,5-4,,Offensive rebound by T. Snell
8:51.0,,,5-4,,M. Dellavedova misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by A. Len,,5-4,,
8:32.0,T. Warren makes 2-pt shot from 4 ft,2,7-4,,
8:12.0,,,7-7,3,K. Middleton makes 3-pt shot from 23 ft (assist by T. Snell)
8:00.0,E. Bledsoe misses 2-pt shot from 4 ft,,7-7,,
7:59.0,,,7-7,,Defensive rebound by K. Middleton
7:59.0,Personal foul by E. Bledsoe (drawn by K. Middleton),,7-7,,
7:44.0,,,7-7,,Shooting foul by T. Warren (drawn by T. Maker)
7:44.0,,,7-8,1,T. Maker makes free throw 1 of 2
7:44.0,,,7-9,1,T. Maker makes free throw 2 of 2
7:33.0,Turnover by E. Bledsoe (bad pass),,7-9,,
7:15.0,,,7-9,,K. Middleton misses 2-pt shot from 11 ft
7:14.0,,,7-9,,Offensive rebound by G. Antetokounmpo
7:13.0,,,7-9,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by A. Len,,7-9,,
6:49.0,M. Chriss misses 3-pt shot from 24 ft (block by G. Antetokounmpo),,7-9,,
6:47.0,,,7-9,,Defensive rebound by K. Middleton
6:46.0,Personal foul by M. Chriss (drawn by G. Antetokounmpo),,7-9,,
6:46.0,,,7-9,,Technical foul by G. Antetokounmpo
6:46.0,E. Bledsoe misses technical free throw,,7-9,,
6:46.0,,,7-9,,Offensive rebound by Team
6:37.0,,,7-11,2,G. Antetokounmpo makes 2-pt shot at rim
6:18.0,Shooting foul by T. Maker (drawn by A. Len),,7-11,,
6:18.0,A. Len makes free throw 1 of 2,1,8-11,,
6:18.0,A. Len makes free throw 2 of 2,1,9-11,,
6:04.0,,,9-11,,K. Middleton misses 2-pt shot at rim
6:02.0,Defensive rebound by A. Len,,9-11,,
5:57.0,Turnover by M. Chriss (traveling),,9-11,,
5:57.0,,,9-11,,Milwaukee full timeout
5:57.0,A. Williams enters the game for A. Len,,9-11,,
5:49.0,Personal foul by M. Chriss (drawn by G. Antetokounmpo),,9-11,,
5:49.0,,,9-11,,G. Monroe enters the game for T. Maker
5:44.0,Personal foul by M. Chriss (drawn by G. Antetokounmpo),,9-11,,
5:44.0,,,9-12,1,G. Antetokounmpo makes free throw 1 of 2
5:44.0,,,9-12,,G. Antetokounmpo misses free throw 2 of 2
5:44.0,,,9-12,,M. Brogdon enters the game for M. Dellavedova
5:44.0,J. Dudley enters the game for M. Chriss,,9-12,,
5:43.0,Defensive rebound by E. Bledsoe,,9-12,,
5:25.0,Turnover by A. Williams (step out of bounds),,9-12,,
5:05.0,,,9-14,2,K. Middleton makes 2-pt shot from 13 ft
