time,Memphis,pts.away,score,pts.home,Toronto
0:51.0,M. Gasol makes 3-pt shot from 26 ft (assist by J. Green),3,26-24,,
0:42.0,,,26-24,,Shooting foul by W. Baldwin (drawn by C. Joseph)
0:42.0,,,26-24,,C. Joseph misses free throw 1 of 2
0:42.0,,,26-24,,Offensive rebound by Team
0:42.0,,,26-25,1,C. Joseph makes free throw 2 of 2
0:42.0,D. Davis enters the game for M. Gasol,,26-24,,
0:25.0,W. Baldwin misses 2-pt shot from 3 ft (block by L. Nogueira),,26-25,,
0:24.0,,,26-25,,Defensive rebound by T. Ross
0:04.0,,,26-25,,Turnover by D. DeRozan (lost ball; steal by A. Harrison)
0:00.0,A. Harrison makes 2-pt shot from 2 ft,2,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,28-25,,C. Joseph misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by J. Martin,,28-25,,
11:11.0,A. Harrison makes 3-pt shot from 24 ft,3,31-25,,
10:59.0,,,31-25,,K. Lowry misses 3-pt shot from 27 ft
10:58.0,Defensive rebound by Team,,31-25,,
10:42.0,D. Davis makes 2-pt shot from 16 ft (assist by T. Daniels),2,33-25,,
10:26.0,,,33-25,,L. Nogueira misses 2-pt shot at rim
10:25.0,Defensive rebound by D. Davis,,33-25,,
10:17.0,Turnover by D. Davis (offensive foul),,33-25,,
10:17.0,Offensive foul by D. Davis,,33-25,,
10:04.0,,,33-27,2,K. Lowry makes 2-pt shot from 10 ft
9:40.0,W. Baldwin misses 3-pt shot from 27 ft,,33-27,,
9:40.0,,,33-27,,Defensive rebound by Team
9:40.0,Loose ball foul by J. Martin (drawn by P. Patterson),,33-27,,
9:24.0,,,33-27,,T. Ross misses 3-pt shot from 23 ft
9:24.0,Defensive rebound by J. Martin,,33-27,,
9:15.0,Turnover by A. Harrison (bad pass; steal by L. Nogueira),,33-27,,
9:11.0,,,33-29,2,C. Joseph makes 2-pt shot from 3 ft
9:03.0,Memphis full timeout,,33-29,,
9:03.0,T. Williams enters the game for W. Baldwin,,33-29,,
8:54.0,T. Daniels makes 2-pt shot from 17 ft (assist by A. Harrison),2,35-29,,
8:35.0,,,35-31,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
8:16.0,T. Daniels misses 3-pt shot from 27 ft,,35-31,,
8:15.0,,,35-31,,Defensive rebound by P. Patterson
8:09.0,,,35-31,,Shooting foul by D. Davis (drawn by K. Lowry)
8:09.0,,,35-32,1,K. Lowry makes free throw 1 of 2
8:09.0,,,35-33,1,K. Lowry makes free throw 2 of 2
7:54.0,J. Martin misses 2-pt shot from 6 ft,,35-33,,
7:53.0,,,35-33,,Defensive rebound by P. Patterson
7:41.0,,,35-33,,Turnover by P. Patterson (bad pass)
7:41.0,,,35-33,,Loose ball foul by K. Lowry (drawn by T. Williams)
7:41.0,M. Gasol enters the game for A. Harrison,,35-33,,
7:41.0,W. Baldwin enters the game for D. Davis,,35-33,,
7:27.0,,,35-33,,Personal foul by L. Nogueira (drawn by M. Gasol)
7:21.0,W. Baldwin misses 2-pt shot from 18 ft,,35-33,,
7:21.0,,,35-33,,Defensive rebound by C. Joseph
7:10.0,,,35-36,3,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph)
6:49.0,W. Baldwin makes 2-pt shot from 3 ft (assist by J. Martin),2,37-36,,
6:25.0,,,37-36,,K. Lowry misses 2-pt shot from 2 ft
6:25.0,Defensive rebound by W. Baldwin,,37-36,,
6:14.0,T. Williams misses 3-pt shot from 26 ft,,37-36,,
6:14.0,,,37-36,,Defensive rebound by P. Patterson
6:09.0,,,37-36,,Turnover by K. Lowry (bad pass; steal by T. Williams)
6:02.0,,,37-36,,Personal foul by L. Nogueira (drawn by M. Gasol)
6:02.0,,,37-36,,J. Valanciunas enters the game for L. Nogueira
5:53.0,M. Gasol makes 3-pt shot from 25 ft (assist by W. Baldwin),3,40-36,,
5:43.0,Personal foul by W. Baldwin (drawn by C. Joseph),,40-36,,
5:43.0,Official timeout,,40-36,,
5:43.0,,,40-36,,P. Siakam enters the game for T. Ross
5:43.0,,,40-36,,D. Carroll enters the game for C. Joseph
5:43.0,,,40-36,,D. DeRozan enters the game for P. Patterson
5:43.0,T. Allen enters the game for T. Daniels,,40-36,,
5:29.0,,,40-39,3,K. Lowry makes 3-pt shot from 26 ft
5:11.0,Shooting foul by J. Valanciunas (drawn by J. Martin),,40-39,,
5:11.0,J. Martin makes free throw 1 of 2,1,41-39,,
5:11.0,J. Martin makes free throw 2 of 2,1,42-39,,
4:58.0,,,42-41,2,D. Carroll makes 2-pt shot from 21 ft (assist by K. Lowry)
4:36.0,J. Martin makes 3-pt shot from 25 ft (assist by T. Williams),3,45-41,,
4:23.0,J. Green enters the game for J. Martin,,45-41,,
4:15.0,,,45-41,,Turnover by P. Siakam (bad pass; steal by T. Williams)
4:03.0,J. Green makes 2-pt shot from 22 ft (assist by T. Williams),2,47-41,,
3:46.0,,,47-41,,Shooting foul by M. Gasol (drawn by D. DeRozan)
3:46.0,,,47-42,1,D. DeRozan makes free throw 1 of 2
3:46.0,,,47-43,1,D. DeRozan makes free throw 2 of 2
3:32.0,M. Gasol misses 2-pt shot from 15 ft,,47-43,,
3:31.0,Offensive rebound by J. Green,,47-43,,
3:30.0,J. Green makes 2-pt shot from 3 ft,2,49-43,,
3:30.0,Shooting foul by D. Carroll (drawn by J. Green),,49-43,,
3:30.0,J. Green makes free throw 1 of 1,1,50-43,,
3:10.0,,,50-43,,Shooting foul by T. Williams (drawn by D. Carroll)
3:10.0,,,50-43,,D. Carroll misses free throw 1 of 2
3:10.0,,,50-43,,Offensive rebound by Team
3:10.0,,,50-43,,D. Carroll misses free throw 2 of 2
3:10.0,Defensive rebound by M. Gasol,,50-43,,
3:10.0,A. Harrison enters the game for T. Williams,,50-43,,
2:47.0,M. Gasol misses 2-pt shot from 17 ft,,50-43,,
