time,Memphis,pts.away,score,pts.home,Toronto
4:17.0,,,95-104,,K. Lowry misses 3-pt shot from 26 ft
4:16.0,,,95-104,,Offensive rebound by P. Patterson
4:10.0,,,95-107,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
4:07.0,Memphis full timeout,,95-107,,
4:07.0,M. Gasol enters the game for J. Green,,95-107,,
3:57.0,T. Daniels misses 2-pt shot from 19 ft,,95-107,,
3:56.0,Offensive rebound by T. Daniels,,95-107,,
3:55.0,T. Daniels makes 2-pt shot from 4 ft,2,97-107,,
3:31.0,,,97-107,,D. DeRozan misses 2-pt shot from 20 ft
3:30.0,,,97-107,,Offensive rebound by C. Joseph
3:27.0,,,97-110,3,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph)
3:11.0,Shooting foul by D. Carroll (drawn by T. Allen),,97-110,,
3:11.0,T. Allen makes free throw 1 of 2,1,98-110,,
3:11.0,T. Allen misses free throw 2 of 2,,98-110,,
3:10.0,,,98-110,,Defensive rebound by D. DeRozan
2:53.0,,,98-110,,Shooting foul by A. Harrison (drawn by D. DeRozan)
2:53.0,,,98-111,1,D. DeRozan makes free throw 1 of 2
2:53.0,,,98-112,1,D. DeRozan makes free throw 2 of 2
2:39.0,T. Allen misses 3-pt shot from 23 ft,,98-112,,
2:38.0,,,98-112,,Defensive rebound by C. Joseph
2:33.0,,,98-112,,K. Lowry misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by M. Gasol,,98-112,,
2:17.0,Shooting foul by C. Joseph (drawn by T. Allen),,98-112,,
2:17.0,T. Allen makes free throw 1 of 2,1,99-112,,
2:17.0,T. Allen makes free throw 2 of 2,1,100-112,,
2:17.0,J. Green enters the game for J. Martin,,99-112,,
2:17.0,T. Williams enters the game for T. Daniels,,99-112,,
2:00.0,,,100-115,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
1:38.0,Shooting foul by K. Lowry (drawn by T. Williams),,100-115,,
1:38.0,T. Williams makes free throw 1 of 2,1,101-115,,
1:38.0,T. Williams misses free throw 2 of 2,,101-115,,
1:38.0,D. Davis enters the game for M. Gasol,,101-115,,
1:38.0,J. Martin enters the game for J. Green,,101-115,,
1:37.0,,,101-115,,Defensive rebound by D. DeRozan
1:19.0,,,101-115,,Shooting foul by A. Harrison (drawn by K. Lowry)
1:19.0,,,101-115,,K. Lowry misses free throw 1 of 2
1:19.0,,,101-115,,Offensive rebound by Team
1:19.0,,,101-116,1,K. Lowry makes free throw 2 of 2
1:19.0,W. Baldwin enters the game for T. Allen,,101-115,,
1:19.0,T. Daniels enters the game for A. Harrison,,101-115,,
1:19.0,,,101-115,,N. Powell enters the game for D. DeRozan
1:07.0,T. Daniels makes 3-pt shot from 27 ft,3,104-116,,
1:07.0,Shooting foul by C. Joseph (drawn by T. Daniels),,104-116,,
1:07.0,T. Daniels makes free throw 1 of 1,1,105-116,,
1:07.0,,,104-116,,F. VanVleet enters the game for K. Lowry
0:44.0,,,105-118,2,D. Carroll makes 2-pt shot from 6 ft
0:24.0,Turnover by T. Williams (lost ball; steal by F. VanVleet),,105-118,,
0:19.0,,,105-120,2,D. Carroll makes 2-pt shot from 1 ft (assist by N. Powell)
0:06.0,J. Martin misses 3-pt shot from 24 ft,,105-120,,
0:05.0,,,105-120,,Defensive rebound by P. Patterson
0:00.0,End of 4th quarter,,,,End of 4th quarter
