time,Philadelphia,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. T. Thompson (T. McConnell gains possession),,,,Jump ball: R. Holmes vs. T. Thompson (T. McConnell gains possession)
11:43.0,T. McConnell misses 2-pt shot from 7 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Love
11:35.0,,,0-2,2,K. Irving makes 2-pt shot from 18 ft
11:17.0,J. Anderson makes 3-pt shot from 25 ft (assist by D. Saric),3,3-2,,
11:03.0,,,3-4,2,K. Love makes 2-pt shot from 21 ft (assist by L. James)
10:42.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,3-4,,
10:41.0,Offensive rebound by J. Anderson,,3-4,,
10:41.0,,,3-4,,Flagrant foul type 1 by K. Irving (drawn by J. Anderson)
10:41.0,J. Anderson makes flagrant free throw 1 of 2,1,4-4,,
10:41.0,J. Anderson makes flagrant free throw 2 of 2,1,5-4,,
10:33.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,5-4,,
10:33.0,,,5-4,,Defensive rebound by K. Love
10:22.0,,,5-4,,L. James misses 2-pt shot from 8 ft
10:20.0,Defensive rebound by D. Saric,,5-4,,
10:19.0,Turnover by D. Saric (bad pass),,5-4,,
10:10.0,,,5-6,2,K. Irving makes 2-pt shot from 19 ft
9:57.0,Shooting foul by K. Love (drawn by T. Luwawu-Cabarrot),,5-6,,
9:57.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,6-6,,
9:57.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,7-6,,
9:38.0,,,7-6,,L. James misses 2-pt shot at rim
9:35.0,,,7-6,,Offensive rebound by L. James
9:33.0,,,7-8,2,L. James makes 2-pt shot from 1 ft
9:23.0,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell),2,9-8,,
9:10.0,,,9-8,,T. Thompson misses 2-pt shot from 9 ft
9:09.0,Defensive rebound by R. Holmes,,9-8,,
9:01.0,T. McConnell misses 2-pt shot from 17 ft,,9-8,,
9:00.0,Offensive rebound by J. Anderson,,9-8,,
