time,Indiana,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. M. Turner (J. Teague gains possession),,,,Jump ball: K. Porzingis vs. M. Turner (J. Teague gains possession)
11:41.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague),2,2-0,,
11:16.0,,,2-0,,K. Porzingis misses 3-pt shot from 26 ft
11:15.0,Defensive rebound by J. Teague,,2-0,,
11:07.0,P. George misses 2-pt shot from 21 ft,,2-0,,
11:06.0,Offensive rebound by M. Turner,,2-0,,
10:57.0,Turnover by J. Teague (bad pass; steal by C. Lee),,2-0,,
10:49.0,,,2-0,,C. Lee misses 2-pt shot from 19 ft
10:48.0,,,2-0,,Offensive rebound by K. Porzingis
10:48.0,,,2-0,,K. Porzingis misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by J. Teague,,2-0,,
10:36.0,J. Teague makes 2-pt shot from 15 ft,2,4-0,,
10:22.0,,,4-2,2,K. Porzingis makes 2-pt shot from 13 ft (assist by C. Lee)
10:11.0,M. Turner misses 2-pt shot from 20 ft,,4-2,,
10:10.0,,,4-2,,Defensive rebound by C. Anthony
10:03.0,,,4-5,3,L. Thomas makes 3-pt shot from 24 ft (assist by D. Rose)
9:43.0,J. Teague misses 3-pt shot from 26 ft,,4-5,,
9:42.0,,,4-5,,Defensive rebound by C. Anthony
9:36.0,,,4-5,,D. Rose misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by P. George,,4-5,,
9:27.0,C. Miles misses 3-pt shot from 26 ft,,4-5,,
9:26.0,,,4-5,,Defensive rebound by L. Thomas
9:15.0,,,4-5,,C. Lee misses 2-pt shot from 1 ft (block by M. Turner)
9:13.0,Defensive rebound by T. Young,,4-5,,
9:06.0,J. Teague makes 3-pt shot from 25 ft,3,7-5,,
8:44.0,,,7-5,,K. Porzingis misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by J. Teague,,7-5,,
8:39.0,Turnover by J. Teague (bad pass),,7-5,,
8:25.0,,,7-7,2,C. Anthony makes 2-pt shot from 11 ft (assist by L. Thomas)
8:14.0,Offensive foul by M. Turner,,7-7,,
8:14.0,Turnover by M. Turner (offensive foul),,7-7,,
7:55.0,,,7-7,,K. Porzingis misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by T. Young,,7-7,,
7:38.0,J. Teague misses 2-pt shot from 5 ft,,7-7,,
7:37.0,,,7-7,,Defensive rebound by C. Anthony
7:26.0,,,7-7,,K. Porzingis misses 3-pt shot from 24 ft
7:25.0,,,7-7,,Offensive rebound by L. Thomas
7:23.0,,,7-7,,Offensive foul by L. Thomas
7:23.0,,,7-7,,Turnover by L. Thomas (offensive foul)
7:12.0,P. George misses 2-pt shot from 2 ft,,7-7,,
7:11.0,Offensive rebound by P. George,,7-7,,
7:10.0,Turnover by P. George (bad pass),,7-7,,
6:54.0,,,7-7,,K. Porzingis misses 2-pt shot from 3 ft (block by M. Turner)
6:53.0,Defensive rebound by J. Teague,,7-7,,
6:48.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,9-7,,
6:28.0,,,9-7,,L. Thomas misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by J. Teague,,9-7,,
6:19.0,P. George misses 3-pt shot from 24 ft,,9-7,,
6:18.0,,,9-7,,Defensive rebound by C. Lee
6:09.0,,,9-7,,C. Lee misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by M. Turner,,9-7,,
5:54.0,T. Young makes 2-pt shot from 2 ft,2,11-7,,
5:44.0,,,11-9,2,D. Rose makes 2-pt shot from 3 ft
5:28.0,J. Teague misses 2-pt shot from 1 ft (block by K. Porzingis),,11-9,,
5:27.0,,,11-9,,Defensive rebound by C. Anthony
5:21.0,Violation by C. Miles (kicked ball),,11-9,,
5:21.0,,,11-9,,New York full timeout
5:21.0,,,11-9,,W. Hernangomez enters the game for K. Porzingis
5:13.0,,,11-12,3,L. Thomas makes 3-pt shot from 24 ft (assist by W. Hernangomez)
4:47.0,P. George misses 2-pt shot from 4 ft,,11-12,,
4:47.0,Offensive rebound by P. George,,11-12,,
4:28.0,T. Young misses 3-pt shot from 24 ft,,11-12,,
4:28.0,,,11-12,,Defensive rebound by L. Thomas
4:12.0,,,11-12,,L. Thomas misses 2-pt shot from 17 ft
4:11.0,Defensive rebound by P. George,,11-12,,
3:59.0,P. George makes 2-pt shot from 5 ft,2,13-12,,
3:40.0,,,13-12,,C. Lee misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by J. Teague,,13-12,,
3:23.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,15-12,,
3:11.0,,,15-12,,C. Anthony misses 2-pt shot from 3 ft
3:09.0,Defensive rebound by T. Young,,15-12,,
3:01.0,P. George makes 2-pt shot from 1 ft,2,17-12,,
2:52.0,,,17-12,,L. Thomas misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by M. Turner,,17-12,,
2:49.0,Indiana full timeout,,17-12,,
2:49.0,,,17-12,,K. Porzingis enters the game for L. Thomas
2:49.0,G. Robinson enters the game for P. George,,17-12,,
2:49.0,M. Ellis enters the game for C. Miles,,17-12,,
2:38.0,M. Turner misses 2-pt shot from 11 ft,,17-12,,
2:37.0,,,17-12,,Defensive rebound by C. Anthony
2:14.0,,,17-14,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Anthony)
2:00.0,J. Teague misses 3-pt shot from 24 ft,,17-14,,
1:59.0,Offensive rebound by G. Robinson,,17-14,,
1:56.0,,,17-14,,R. Baker enters the game for C. Lee
1:56.0,,,17-14,,C. Randle enters the game for D. Rose
1:56.0,R. Christmas enters the game for M. Turner,,17-14,,
1:56.0,R. Stuckey enters the game for J. Teague,,17-14,,
1:49.0,Shooting foul by C. Randle (drawn by R. Stuckey),,17-14,,
1:49.0,R. Stuckey makes free throw 1 of 2,1,18-14,,
1:49.0,R. Stuckey misses free throw 2 of 2,,18-14,,
1:49.0,K. Seraphin enters the game for T. Young,,18-14,,
1:48.0,Offensive rebound by K. Seraphin,,18-14,,
1:30.0,R. Stuckey makes 3-pt shot from 25 ft (assist by M. Ellis),3,21-14,,
1:14.0,,,21-16,2,R. Baker makes 2-pt shot from 20 ft
1:04.0,Shooting foul by W. Hernangomez (drawn by R. Stuckey),,21-16,,
1:04.0,R. Stuckey misses free throw 1 of 2,,21-16,,
1:04.0,Offensive rebound by Team,,21-16,,
1:04.0,R. Stuckey makes free throw 2 of 2,1,22-16,,
0:50.0,,,22-18,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Randle)
0:37.0,G. Robinson misses 3-pt shot from 27 ft,,22-18,,
0:36.0,,,22-18,,Defensive rebound by C. Anthony
0:29.0,,,22-18,,C. Anthony misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by M. Ellis,,22-18,,
0:10.0,Shooting foul by R. Baker (drawn by R. Christmas),,22-18,,
0:10.0,R. Christmas makes free throw 1 of 2,1,23-18,,
0:10.0,R. Christmas makes free throw 2 of 2,1,24-18,,
0:02.0,,,24-18,,C. Randle misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by K. Seraphin,,24-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-20,2,W. Hernangomez makes 2-pt shot from 4 ft
11:31.0,Turnover by R. Stuckey (lost ball; steal by R. Baker),,24-20,,
11:31.0,Jump ball: R. Baker vs. R. Stuckey (C. Randle gains possession),,,,Jump ball: R. Baker vs. R. Stuckey (C. Randle gains possession)
11:13.0,,,24-22,2,K. Porzingis makes 2-pt shot at rim (assist by R. Baker)
10:52.0,M. Ellis misses 2-pt shot from 2 ft (block by W. Hernangomez),,24-22,,
10:51.0,,,24-22,,Defensive rebound by C. Randle
10:46.0,,,24-24,2,J. Holiday makes 2-pt shot from 1 ft (assist by C. Randle)
10:25.0,M. Ellis makes 2-pt shot from 17 ft,2,26-24,,
10:16.0,,,26-24,,Offensive foul by R. Baker
10:16.0,,,26-24,,Turnover by R. Baker (offensive foul)
10:05.0,M. Ellis makes 2-pt shot from 14 ft (assist by R. Stuckey),2,28-24,,
10:05.0,Shooting foul by C. Randle (drawn by M. Ellis),,28-24,,
10:05.0,M. Ellis makes free throw 1 of 1,1,29-24,,
9:51.0,,,29-24,,J. Holiday misses 2-pt shot from 20 ft
9:50.0,,,29-24,,Offensive rebound by K. Porzingis
9:50.0,,,29-26,2,K. Porzingis makes 2-pt shot at rim
