time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Maker (J. Henson gains possession),,,,Jump ball: A. Johnson vs. T. Maker (J. Henson gains possession)
11:40.0,M. Beasley makes 2-pt shot from 7 ft (assist by R. Vaughn),2,2-0,,
11:40.0,Shooting foul by J. Crowder (drawn by M. Beasley),,2-0,,
11:40.0,M. Beasley makes free throw 1 of 1,1,3-0,,
11:30.0,,,3-2,2,A. Horford makes 2-pt shot at rim (assist by J. Crowder)
11:07.0,T. Maker makes 2-pt shot from 15 ft (assist by M. Beasley),2,5-2,,
10:53.0,,,5-4,2,A. Horford makes 2-pt shot from 6 ft (assist by I. Thomas)
10:38.0,M. Beasley makes 2-pt shot from 3 ft,2,7-4,,
10:24.0,,,7-4,,A. Horford misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by M. Beasley,,7-4,,
10:11.0,J. Henson makes 2-pt shot from 4 ft (assist by M. Brogdon),2,9-4,,
9:58.0,,,9-7,3,A. Johnson makes 3-pt shot from 24 ft (assist by J. Crowder)
9:39.0,Shooting foul by A. Johnson (drawn by T. Maker),,9-7,,
9:39.0,T. Maker makes free throw 1 of 2,1,10-7,,
9:39.0,T. Maker makes free throw 2 of 2,1,11-7,,
9:30.0,,,11-7,,A. Bradley misses 2-pt shot from 22 ft
9:29.0,Defensive rebound by T. Maker,,11-7,,
9:18.0,M. Beasley misses 2-pt shot from 9 ft,,11-7,,
9:18.0,,,11-7,,Defensive rebound by J. Crowder
9:09.0,,,11-7,,Shooting foul by T. Maker (drawn by A. Johnson)
9:09.0,,,11-8,1,A. Johnson makes free throw 1 of 2
9:09.0,,,11-9,1,A. Johnson makes free throw 2 of 2
8:48.0,R. Vaughn makes 2-pt shot from 2 ft (assist by J. Henson),2,13-9,,
8:32.0,,,13-11,2,A. Horford makes 2-pt shot from 2 ft (assist by I. Thomas)
8:12.0,M. Brogdon misses 2-pt shot from 2 ft,,13-11,,
8:12.0,,,13-11,,Defensive rebound by A. Horford
8:10.0,,,13-11,,Turnover by A. Horford (bad pass; steal by M. Beasley)
8:06.0,M. Beasley makes 2-pt shot from 23 ft,2,15-11,,
7:50.0,,,15-13,2,A. Johnson makes 2-pt shot from 5 ft (assist by A. Bradley)
7:35.0,J. Henson makes 2-pt shot from 2 ft (assist by R. Vaughn),2,17-13,,
7:21.0,,,17-13,,A. Horford misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by M. Brogdon,,17-13,,
7:08.0,T. Maker misses 2-pt shot from 2 ft,,17-13,,
7:07.0,,,17-13,,Defensive rebound by A. Horford
6:57.0,,,17-13,,I. Thomas misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by J. Henson,,17-13,,
6:48.0,,,17-13,,Personal foul by A. Johnson (drawn by M. Brogdon)
6:40.0,M. Brogdon misses 2-pt shot from 7 ft,,17-13,,
6:39.0,,,17-13,,Defensive rebound by A. Johnson
6:30.0,,,17-13,,A. Bradley misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by Team,,17-13,,
6:18.0,Turnover by T. Maker (bad pass; steal by J. Crowder),,17-13,,
6:12.0,,,17-13,,A. Bradley misses 2-pt shot from 3 ft (block by M. Beasley)
6:11.0,Defensive rebound by M. Beasley,,17-13,,
6:05.0,R. Vaughn misses 2-pt shot from 2 ft,,17-13,,
6:04.0,Offensive rebound by T. Maker,,17-13,,
6:03.0,T. Maker misses 2-pt shot from 1 ft (block by A. Johnson),,17-13,,
6:02.0,Offensive rebound by Team,,17-13,,
6:02.0,,,17-13,,Violation by A. Johnson (kicked ball)
5:55.0,R. Vaughn misses 2-pt shot from 18 ft,,17-13,,
5:53.0,,,17-13,,Defensive rebound by A. Horford
5:46.0,,,17-16,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
5:46.0,Milwaukee full timeout,,17-16,,
5:46.0,G. Monroe enters the game for J. Henson,,17-16,,
5:46.0,,,17-16,,K. Olynyk enters the game for A. Johnson
5:25.0,G. Monroe misses 2-pt shot from 12 ft,,17-16,,
5:24.0,,,17-16,,Defensive rebound by K. Olynyk
5:05.0,,,17-19,3,J. Crowder makes 3-pt shot from 24 ft
4:41.0,T. Maker misses 3-pt shot from 24 ft,,17-19,,
4:39.0,Offensive rebound by R. Vaughn,,17-19,,
4:33.0,T. Maker makes 2-pt shot at rim (assist by G. Monroe),2,19-19,,
4:20.0,,,19-19,,M. Smart enters the game for A. Bradley
4:12.0,,,19-19,,I. Thomas misses 2-pt shot from 2 ft
4:11.0,Defensive rebound by G. Monroe,,19-19,,
3:57.0,M. Brogdon makes 3-pt shot from 24 ft (assist by G. Monroe),3,22-19,,
3:37.0,,,22-19,,Turnover by M. Smart (bad pass; steal by R. Vaughn)
3:24.0,Turnover by G. Monroe (bad pass; steal by A. Horford),,22-19,,
