time,Minnesota,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Towns (D. Wade gains possession),,,,Jump ball: R. Lopez vs. K. Towns (D. Wade gains possession)
11:44.0,,,0-2,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
11:31.0,K. Towns misses 2-pt shot from 2 ft,,0-2,,
11:30.0,,,0-2,,Defensive rebound by J. Butler
11:15.0,,,0-2,,T. Gibson misses 2-pt shot from 8 ft
11:14.0,Defensive rebound by K. Towns,,0-2,,
11:04.0,Turnover by R. Rubio (lost ball; steal by J. Grant),,0-2,,
11:04.0,Jump ball: G. Dieng vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: G. Dieng vs. R. Lopez (T. Gibson gains possession)
10:46.0,,,0-4,2,R. Lopez makes 2-pt shot from 11 ft
10:33.0,G. Dieng makes 2-pt shot from 16 ft (assist by R. Rubio),2,2-4,,
10:20.0,,,2-6,2,R. Lopez makes 2-pt shot from 7 ft (assist by D. Wade)
9:59.0,G. Dieng makes 2-pt shot from 2 ft (assist by Z. LaVine),2,4-6,,
9:34.0,,,4-6,,T. Gibson misses 2-pt shot from 10 ft
9:33.0,,,4-6,,Offensive rebound by R. Lopez
9:33.0,,,4-8,2,R. Lopez makes 2-pt shot from 2 ft
9:17.0,Z. LaVine misses 3-pt shot from 22 ft,,4-8,,
9:17.0,,,4-8,,Defensive rebound by J. Grant
9:08.0,,,4-8,,Shooting foul by Z. LaVine (drawn by J. Butler)
9:08.0,,,4-9,1,J. Butler makes free throw 1 of 2
9:08.0,,,4-10,1,J. Butler makes free throw 2 of 2
9:03.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,6-10,,
8:42.0,,,6-13,3,J. Grant makes 3-pt shot from 25 ft (assist by J. Butler)
8:26.0,K. Towns misses 3-pt shot from 25 ft,,6-13,,
8:25.0,,,6-13,,Defensive rebound by D. Wade
8:15.0,,,6-13,,Turnover by R. Lopez (lost ball)
8:05.0,,,6-13,,Personal foul by T. Gibson (drawn by K. Towns)
7:53.0,A. Wiggins misses 2-pt shot from 13 ft (block by J. Butler),,6-13,,
7:53.0,Offensive rebound by Team,,6-13,,
7:50.0,K. Towns misses 3-pt shot from 23 ft,,6-13,,
7:49.0,,,6-13,,Defensive rebound by J. Grant
7:42.0,,,6-15,2,R. Lopez makes 2-pt shot from 7 ft (assist by T. Gibson)
7:36.0,Minnesota full timeout,,6-15,,
7:26.0,Turnover by Z. LaVine (lost ball),,6-15,,
7:08.0,,,6-17,2,R. Lopez makes 2-pt shot at rim (assist by J. Grant)
6:56.0,Turnover by G. Dieng (lost ball; steal by J. Butler),,6-17,,
6:40.0,,,6-19,2,T. Gibson makes 2-pt shot from 1 ft
6:28.0,K. Towns misses 2-pt shot at rim (block by R. Lopez),,6-19,,
6:27.0,,,6-19,,Defensive rebound by J. Butler
