time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Koufos (T. Allen gains possession),,,,Jump ball: M. Gasol vs. K. Koufos (T. Allen gains possession)
11:35.0,,,0-2,2,M. Gasol makes 2-pt shot from 5 ft
11:14.0,G. Temple makes 2-pt shot at rim (assist by D. Cousins),2,2-2,,
10:53.0,,,2-4,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
10:29.0,D. Cousins makes 2-pt shot from 21 ft,2,4-4,,
10:13.0,,,4-4,,M. Gasol misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by D. Cousins,,4-4,,
9:56.0,D. Cousins misses 2-pt shot from 1 ft,,4-4,,
9:55.0,Offensive rebound by K. Koufos,,4-4,,
9:55.0,K. Koufos makes 2-pt shot from 1 ft,2,6-4,,
9:41.0,,,6-4,,M. Conley misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by G. Temple,,6-4,,
9:34.0,G. Temple misses 3-pt shot from 26 ft,,6-4,,
9:32.0,,,6-4,,Defensive rebound by M. Conley
9:24.0,,,6-4,,J. Green misses 2-pt shot from 16 ft
9:22.0,Defensive rebound by D. Cousins,,6-4,,
9:13.0,,,6-4,,Violation by M. Gasol (kicked ball)
9:04.0,K. Koufos makes 2-pt shot at rim (assist by G. Temple),2,8-4,,
8:47.0,,,8-4,,T. Williams misses 2-pt shot from 5 ft
8:47.0,,,8-4,,Offensive rebound by Team
8:41.0,,,8-4,,M. Gasol misses 2-pt shot from 13 ft
8:39.0,,,8-4,,Offensive rebound by T. Allen
8:27.0,,,8-4,,J. Green misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by K. Koufos,,8-4,,
8:18.0,D. Collison misses 2-pt shot from 7 ft,,8-4,,
8:14.0,,,8-4,,Defensive rebound by M. Gasol
7:52.0,,,8-6,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Conley)
7:33.0,B. McLemore misses 2-pt shot from 15 ft (block by M. Gasol),,8-6,,
7:32.0,,,8-6,,Defensive rebound by J. Green
7:26.0,,,8-8,2,J. Green makes 2-pt shot from 17 ft (assist by T. Allen)
7:26.0,Sacramento full timeout,,8-8,,
7:26.0,M. Barnes enters the game for B. McLemore,,8-8,,
7:08.0,Shooting foul by T. Allen (drawn by D. Cousins),,8-8,,
7:08.0,D. Cousins makes free throw 1 of 2,1,9-8,,
7:08.0,D. Cousins makes free throw 2 of 2,1,10-8,,
6:48.0,,,10-10,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
6:23.0,G. Temple makes 3-pt shot from 23 ft (assist by K. Koufos),3,13-10,,
6:05.0,,,13-12,2,M. Gasol makes 2-pt shot from 7 ft
