time,Memphis,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. H. Whiteside (D. Williams gains possession),,,,Jump ball: M. Gasol vs. H. Whiteside (D. Williams gains possession)
11:42.0,,,0-0,,H. Whiteside misses 2-pt shot from 8 ft
11:41.0,Defensive rebound by T. Allen,,0-0,,
11:25.0,T. Williams misses 3-pt shot from 25 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by J. Richardson
11:05.0,,,0-2,2,D. Williams makes 2-pt shot from 1 ft (assist by D. Waiters)
10:52.0,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley),2,2-2,,
10:28.0,,,2-4,2,D. Williams makes 2-pt shot from 11 ft
10:16.0,M. Conley misses 2-pt shot from 19 ft,,2-4,,
10:15.0,,,2-4,,Defensive rebound by D. Williams
10:05.0,,,2-6,2,D. Waiters makes 2-pt shot from 18 ft
9:48.0,T. Williams makes 2-pt shot from 2 ft,2,4-6,,
9:30.0,,,4-8,2,H. Whiteside makes 2-pt shot from 8 ft
9:18.0,M. Gasol misses 3-pt shot from 26 ft,,4-8,,
9:17.0,,,4-8,,Defensive rebound by D. Waiters
9:09.0,,,4-10,2,H. Whiteside makes 2-pt shot from 19 ft
8:51.0,T. Allen misses 2-pt shot from 2 ft,,4-10,,
8:50.0,,,4-10,,Defensive rebound by H. Whiteside
8:41.0,,,4-10,,J. Richardson misses 2-pt shot from 20 ft
8:40.0,Defensive rebound by M. Gasol,,4-10,,
8:34.0,T. Allen makes 2-pt shot from 1 ft,2,6-10,,
8:19.0,,,6-10,,D. Williams misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by T. Allen,,6-10,,
8:10.0,T. Allen makes 2-pt shot from 1 ft,2,8-10,,
7:55.0,,,8-10,,Shooting foul by T. Williams (drawn by D. Williams)
7:55.0,,,8-11,1,D. Williams makes free throw 1 of 2
7:55.0,,,8-12,1,D. Williams makes free throw 2 of 2
7:43.0,M. Gasol makes 2-pt shot from 6 ft,2,10-12,,
7:35.0,,,10-14,2,D. Waiters makes 2-pt shot from 2 ft
7:35.0,,,10-14,,Shooting foul by T. Allen (drawn by D. Waiters)
7:35.0,,,10-15,1,D. Waiters makes free throw 1 of 1
7:21.0,T. Williams misses 2-pt shot from 2 ft (block by D. Williams),,10-15,,
7:20.0,,,10-15,,Defensive rebound by J. Richardson
7:15.0,,,10-17,2,R. McGruder makes 2-pt shot at rim (assist by J. Richardson)
7:07.0,Memphis full timeout,,10-17,,
6:56.0,M. Gasol makes 2-pt shot from 19 ft,2,12-17,,
6:39.0,,,12-17,,Turnover by D. Waiters (bad pass; steal by J. Green)
6:35.0,Shooting foul by D. Waiters (drawn by T. Williams),,12-17,,
6:35.0,T. Williams misses free throw 1 of 2,,12-17,,
6:35.0,Offensive rebound by Team,,12-17,,
6:35.0,T. Williams misses free throw 2 of 2,,12-17,,
6:33.0,,,12-17,,Defensive rebound by R. McGruder
6:27.0,,,12-20,3,J. Richardson makes 3-pt shot from 25 ft (assist by R. McGruder)
6:08.0,Shooting foul by H. Whiteside (drawn by M. Gasol),,12-20,,
6:08.0,M. Gasol makes free throw 1 of 2,1,13-20,,
6:08.0,M. Gasol makes free throw 2 of 2,1,14-20,,
6:08.0,A. Harrison enters the game for M. Conley,,13-20,,
6:08.0,V. Carter enters the game for T. Allen,,13-20,,
5:58.0,,,14-20,,J. Richardson misses 2-pt shot from 18 ft
5:57.0,,,14-20,,Offensive rebound by D. Williams
5:48.0,,,14-20,,H. Whiteside misses 2-pt shot from 8 ft
5:47.0,Defensive rebound by T. Williams,,14-20,,
5:38.0,M. Gasol misses 3-pt shot from 25 ft,,14-20,,
5:37.0,,,14-20,,Defensive rebound by D. Waiters
5:26.0,,,14-23,3,J. Richardson makes 3-pt shot from 24 ft (assist by D. Waiters)
5:04.0,M. Gasol makes 2-pt shot from 17 ft (assist by V. Carter),2,16-23,,
4:49.0,,,16-23,,Shooting foul by T. Williams (drawn by D. Waiters)
4:49.0,,,16-23,,D. Waiters misses free throw 1 of 2
4:49.0,,,16-23,,Offensive rebound by Team
4:49.0,,,16-24,1,D. Waiters makes free throw 2 of 2
4:49.0,,,16-23,,T. Johnson enters the game for J. Richardson
4:49.0,,,16-23,,L. Babbitt enters the game for R. McGruder
4:49.0,J. Martin enters the game for J. Green,,16-23,,
4:41.0,Offensive foul by J. Martin,,16-24,,
4:41.0,Turnover by J. Martin (offensive foul),,16-24,,
4:24.0,,,16-24,,L. Babbitt misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by J. Martin,,16-24,,
4:07.0,Shooting foul by H. Whiteside (drawn by M. Gasol),,16-24,,
4:07.0,M. Gasol makes free throw 1 of 2,1,17-24,,
4:07.0,M. Gasol makes free throw 2 of 2,1,18-24,,
4:07.0,,,17-24,,J. McRoberts enters the game for H. Whiteside
3:47.0,,,18-26,2,J. McRoberts makes 2-pt shot from 17 ft (assist by D. Waiters)
3:34.0,V. Carter misses 2-pt shot from 19 ft,,18-26,,
3:33.0,,,18-26,,Defensive rebound by D. Waiters
3:25.0,,,18-26,,Miami full timeout
3:25.0,M. Conley enters the game for M. Gasol,,18-26,,
3:25.0,D. Davis enters the game for T. Williams,,18-26,,
3:25.0,,,18-26,,J. Johnson enters the game for D. Williams
3:15.0,,,18-26,,D. Waiters misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by J. Martin,,18-26,,
3:01.0,D. Davis makes 2-pt shot from 2 ft (assist by V. Carter),2,20-26,,
2:44.0,,,20-28,2,D. Waiters makes 2-pt shot from 1 ft
2:26.0,J. Martin makes 2-pt shot from 2 ft (assist by M. Conley),2,22-28,,
2:17.0,,,22-28,,D. Waiters misses 2-pt shot from 1 ft (block by D. Davis)
2:16.0,Defensive rebound by M. Conley,,22-28,,
1:59.0,J. Martin misses 2-pt shot from 6 ft,,22-28,,
1:58.0,Offensive rebound by D. Davis,,22-28,,
1:58.0,,,22-28,,Personal foul by J. McRoberts (drawn by D. Davis)
1:48.0,Turnover by M. Conley (bad pass; steal by J. McRoberts),,22-28,,
1:44.0,,,22-28,,D. Waiters misses 2-pt shot from 3 ft (block by A. Harrison)
1:43.0,,,22-28,,Offensive rebound by Team
1:43.0,Inbound foul by A. Harrison,,22-28,,
1:43.0,,,22-29,1,D. Waiters makes free throw 1 of 1
1:25.0,,,22-29,,J. Johnson misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by V. Carter,,22-29,,
1:15.0,M. Conley misses 2-pt shot from 13 ft,,22-29,,
1:14.0,,,22-29,,Defensive rebound by J. Johnson
1:06.0,,,22-29,,J. Johnson misses 2-pt shot from 2 ft (block by D. Davis)
1:05.0,Defensive rebound by A. Harrison,,22-29,,
0:55.0,Turnover by A. Harrison (lost ball; steal by J. McRoberts),,22-29,,
0:49.0,Personal foul by V. Carter (drawn by L. Babbitt),,22-29,,
0:49.0,,,22-29,,L. Babbitt misses free throw 1 of 2
0:49.0,,,22-29,,Offensive rebound by Team
0:49.0,,,22-30,1,L. Babbitt makes free throw 2 of 2
0:49.0,,,22-29,,R. McGruder enters the game for D. Waiters
0:27.0,V. Carter makes 2-pt shot from 19 ft,2,24-30,,
0:05.0,,,24-30,,Turnover by J. Johnson (lost ball; steal by J. Martin)
0:05.0,Turnover by J. Martin (lost ball),,24-30,,
0:05.0,Loose ball foul by J. Martin (drawn by T. Johnson),,24-30,,
0:05.0,,,24-31,1,T. Johnson makes free throw 1 of 2
0:05.0,,,24-31,,T. Johnson misses free throw 2 of 2
0:04.0,Defensive rebound by J. Martin,,24-31,,
0:01.0,J. Martin misses 3-pt shot from 29 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Conley misses 3-pt shot from 24 ft,,24-31,,
11:41.0,,,24-31,,Defensive rebound by J. McRoberts
11:24.0,,,24-31,,Turnover by J. Johnson (discontinued dribble)
11:24.0,T. Williams enters the game for A. Harrison,,24-31,,
11:16.0,M. Conley misses 2-pt shot from 5 ft,,24-31,,
11:15.0,,,24-31,,Defensive rebound by J. McRoberts
11:07.0,,,24-31,,T. Johnson misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by M. Conley,,24-31,,
10:44.0,J. Martin makes 2-pt shot from 19 ft (assist by V. Carter),2,26-31,,
10:20.0,,,26-31,,R. McGruder misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by V. Carter,,26-31,,
10:05.0,J. Martin misses 2-pt shot from 22 ft,,26-31,,
10:04.0,,,26-31,,Defensive rebound by R. McGruder
9:53.0,,,26-31,,Turnover by R. McGruder (lost ball; steal by J. Martin)
9:43.0,Shooting foul by T. Johnson (drawn by M. Conley),,26-31,,
9:43.0,M. Conley makes free throw 1 of 2,1,27-31,,
9:43.0,M. Conley makes free throw 2 of 2,1,28-31,,
9:43.0,T. Allen enters the game for V. Carter,,27-31,,
9:22.0,,,28-31,,L. Babbitt misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by J. Martin,,28-31,,
9:08.0,M. Conley makes 2-pt shot from 20 ft,2,30-31,,
9:06.0,,,30-31,,Miami full timeout
9:06.0,J. Green enters the game for D. Davis,,30-31,,
8:48.0,,,30-33,2,R. McGruder makes 2-pt shot from 18 ft
8:26.0,M. Conley makes 2-pt shot from 22 ft,2,32-33,,
8:01.0,,,32-33,,L. Babbitt misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by J. Green,,32-33,,
7:50.0,T. Allen makes 2-pt shot from 1 ft (assist by J. Green),2,34-33,,
7:34.0,,,34-35,2,J. Johnson makes 2-pt shot from 16 ft (assist by T. Johnson)
7:22.0,T. Allen misses 2-pt shot from 2 ft (block by J. Johnson),,34-35,,
7:21.0,,,34-35,,Defensive rebound by T. Johnson
7:08.0,,,34-38,3,R. McGruder makes 3-pt shot from 24 ft (assist by J. McRoberts)
7:02.0,Memphis full timeout,,34-38,,
7:02.0,M. Gasol enters the game for M. Conley,,34-38,,
7:02.0,A. Harrison enters the game for J. Martin,,34-38,,
7:02.0,,,34-38,,J. Richardson enters the game for L. Babbitt
7:02.0,,,34-38,,H. Whiteside enters the game for J. McRoberts
6:47.0,Shooting foul by J. Johnson (drawn by A. Harrison),,34-38,,
6:47.0,A. Harrison makes free throw 1 of 2,1,35-38,,
6:47.0,A. Harrison makes free throw 2 of 2,1,36-38,,
6:29.0,,,36-38,,T. Johnson misses 3-pt shot from 25 ft
6:28.0,,,36-38,,Offensive rebound by H. Whiteside
6:27.0,,,36-40,2,H. Whiteside makes 2-pt shot from 10 ft
6:11.0,T. Allen misses 2-pt shot at rim (block by R. McGruder),,36-40,,
6:10.0,,,36-40,,Defensive rebound by Team
5:59.0,,,36-40,,Turnover by T. Johnson (step out of bounds)
5:48.0,T. Williams makes 2-pt shot from 7 ft (assist by M. Gasol),2,38-40,,
5:27.0,,,38-40,,Shooting foul by A. Harrison (drawn by T. Johnson)
5:27.0,,,38-41,1,T. Johnson makes free throw 1 of 2
5:27.0,,,38-42,1,T. Johnson makes free throw 2 of 2
5:27.0,,,38-41,,D. Waiters enters the game for R. McGruder
5:13.0,Shooting foul by D. Waiters (drawn by T. Williams),,38-42,,
5:13.0,T. Williams makes free throw 1 of 2,1,39-42,,
5:13.0,T. Williams makes free throw 2 of 2,1,40-42,,
4:48.0,,,40-44,2,J. Richardson makes 2-pt shot from 8 ft
4:31.0,M. Gasol makes 2-pt shot from 17 ft,2,42-44,,
4:19.0,,,42-44,,J. Johnson misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by T. Allen,,42-44,,
4:02.0,M. Gasol misses 2-pt shot from 18 ft,,42-44,,
4:01.0,,,42-44,,Defensive rebound by J. Johnson
3:54.0,,,42-47,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson)
3:38.0,A. Harrison misses 2-pt shot from 16 ft,,42-47,,
3:37.0,,,42-47,,Defensive rebound by H. Whiteside
3:29.0,,,42-47,,D. Waiters misses 2-pt shot from 8 ft
3:28.0,Defensive rebound by T. Allen,,42-47,,
3:20.0,T. Allen misses 2-pt shot from 2 ft (block by T. Johnson),,42-47,,
3:19.0,Offensive rebound by Team,,42-47,,
3:19.0,,,42-47,,R. McGruder enters the game for T. Johnson
3:09.0,T. Williams misses 3-pt shot from 25 ft,,42-47,,
3:08.0,,,42-47,,Defensive rebound by J. Johnson
2:55.0,,,42-47,,R. McGruder misses 2-pt shot from 4 ft (block by J. Green)
2:54.0,Defensive rebound by T. Williams,,42-47,,
2:50.0,T. Williams makes 2-pt shot from 3 ft,2,44-47,,
2:25.0,,,44-47,,D. Waiters misses 2-pt shot from 19 ft
2:24.0,Defensive rebound by M. Gasol,,44-47,,
2:17.0,M. Gasol makes 2-pt shot from 3 ft (assist by T. Williams),2,46-47,,
2:10.0,,,46-47,,Miami full timeout
2:10.0,Official timeout,,46-47,,
2:10.0,M. Conley enters the game for T. Williams,,46-47,,
2:10.0,,,46-47,,D. Williams enters the game for J. Johnson
2:03.0,Personal foul by M. Gasol (drawn by D. Waiters),,46-47,,
1:49.0,,,46-47,,Turnover by Team (shot clock)
1:36.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,49-47,,
1:20.0,,,49-47,,D. Williams misses 3-pt shot from 23 ft
1:19.0,,,49-47,,Offensive rebound by R. McGruder
1:15.0,,,49-49,2,H. Whiteside makes 2-pt shot from 2 ft
0:59.0,T. Allen misses 3-pt shot from 24 ft,,49-49,,
0:58.0,,,49-49,,Defensive rebound by D. Waiters
0:46.0,,,49-49,,Turnover by H. Whiteside (bad pass)
0:46.0,,,49-49,,U. Haslem enters the game for H. Whiteside
