time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Noah (C. Anthony gains possession),,,,Jump ball: R. Hibbert vs. J. Noah (C. Anthony gains possession)
11:46.0,,,0-2,2,K. Porzingis makes 2-pt shot from 19 ft (assist by D. Rose)
11:25.0,M. Williams misses 2-pt shot from 3 ft (block by J. Noah),,0-2,,
11:23.0,,,0-2,,Defensive rebound by Team
11:06.0,,,0-2,,D. Rose misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by R. Hibbert,,0-2,,
10:57.0,R. Hibbert misses 2-pt shot from 16 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by C. Anthony
10:43.0,,,0-2,,C. Anthony misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by R. Hibbert,,0-2,,
10:28.0,N. Batum misses 2-pt shot from 15 ft,,0-2,,
10:26.0,,,0-2,,Defensive rebound by C. Lee
10:19.0,,,0-2,,Turnover by C. Lee (bad pass; steal by N. Batum)
10:14.0,Shooting foul by J. Noah (drawn by M. Kidd-Gilchrist),,0-2,,
10:14.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,1-2,,
10:14.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,2-2,,
9:55.0,,,2-4,2,K. Porzingis makes 2-pt shot from 9 ft (assist by D. Rose)
9:37.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,4-4,,
9:18.0,,,4-4,,C. Anthony misses 2-pt shot from 19 ft
9:16.0,Defensive rebound by K. Walker,,4-4,,
9:07.0,K. Walker misses 3-pt shot from 25 ft,,4-4,,
9:05.0,,,4-4,,Defensive rebound by J. Noah
8:47.0,,,4-6,2,C. Lee makes 2-pt shot from 20 ft
8:27.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum),2,6-6,,
8:13.0,,,6-9,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
7:47.0,N. Batum misses 2-pt shot from 13 ft,,6-9,,
7:46.0,,,6-9,,Defensive rebound by C. Anthony
7:40.0,Personal foul by M. Williams (drawn by K. Porzingis),,6-9,,
7:32.0,,,6-12,3,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Noah)
7:27.0,Charlotte full timeout,,6-12,,
7:20.0,K. Walker makes 2-pt shot from 1 ft,2,8-12,,
7:02.0,,,8-12,,D. Rose misses 2-pt shot from 2 ft
7:01.0,,,8-12,,Offensive rebound by J. Noah
7:01.0,,,8-12,,J. Noah misses 2-pt shot from 1 ft
7:00.0,,,8-12,,Offensive rebound by D. Rose
6:59.0,,,8-14,2,D. Rose makes 2-pt shot from 5 ft
6:44.0,K. Walker makes 3-pt shot from 25 ft,3,11-14,,
6:34.0,,,11-14,,C. Anthony misses 2-pt shot from 22 ft
6:33.0,Defensive rebound by N. Batum,,11-14,,
6:21.0,K. Walker misses 2-pt shot from 10 ft,,11-14,,
6:20.0,,,11-14,,Defensive rebound by D. Rose
6:09.0,Shooting block foul by R. Hibbert (drawn by D. Rose),,11-14,,
6:09.0,,,11-15,1,D. Rose makes free throw 1 of 2
6:09.0,,,11-16,1,D. Rose makes free throw 2 of 2
6:09.0,M. Belinelli enters the game for M. Williams,,11-15,,
6:09.0,F. Kaminsky enters the game for N. Batum,,11-15,,
5:52.0,M. Belinelli misses 2-pt shot from 10 ft,,11-16,,
5:51.0,,,11-16,,Defensive rebound by C. Anthony
5:44.0,,,11-16,,C. Anthony misses 2-pt shot from 10 ft
