time,Atlanta,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Howard (K. Korver gains possession),,,,Jump ball: R. Gobert vs. D. Howard (K. Korver gains possession)
11:37.0,K. Korver misses 2-pt shot from 18 ft,,0-0,,
11:36.0,Offensive rebound by Team,,0-0,,
11:36.0,,,0-0,,Loose ball foul by B. Diaw (drawn by D. Howard)
11:24.0,D. Howard misses 2-pt shot from 4 ft (block by R. Gobert),,0-0,,
11:24.0,,,0-0,,Defensive rebound by R. Gobert
11:05.0,,,0-2,2,G. Hayward makes 2-pt shot from 2 ft (assist by B. Diaw)
11:05.0,,,0-2,,Shooting foul by K. Bazemore (drawn by G. Hayward)
11:05.0,,,0-3,1,G. Hayward makes free throw 1 of 1
10:50.0,Shooting foul by B. Diaw (drawn by P. Millsap),,0-3,,
10:50.0,P. Millsap makes free throw 1 of 2,1,1-3,,
10:50.0,P. Millsap makes free throw 2 of 2,1,2-3,,
10:30.0,,,2-3,,R. Hood misses 2-pt shot from 20 ft
10:29.0,,,2-3,,Offensive rebound by R. Hood
10:20.0,,,2-5,2,G. Hayward makes 2-pt shot from 2 ft (assist by B. Diaw)
10:07.0,D. Schroder makes 2-pt shot from 17 ft,2,4-5,,
9:47.0,,,4-5,,G. Hill misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by K. Bazemore,,4-5,,
9:36.0,P. Millsap misses 3-pt shot from 24 ft,,4-5,,
9:35.0,,,4-5,,Defensive rebound by B. Diaw
9:28.0,,,4-8,3,G. Hill makes 3-pt shot from 25 ft
9:14.0,D. Schroder misses 3-pt shot from 25 ft,,4-8,,
9:13.0,,,4-8,,Defensive rebound by R. Gobert
8:57.0,,,4-8,,G. Hill misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by K. Bazemore,,4-8,,
8:37.0,K. Bazemore misses 2-pt shot from 3 ft,,4-8,,
8:36.0,,,4-8,,Defensive rebound by R. Gobert
8:20.0,,,4-11,3,G. Hill makes 3-pt shot from 25 ft (assist by B. Diaw)
7:58.0,P. Millsap misses 2-pt shot from 17 ft,,4-11,,
7:57.0,,,4-11,,Defensive rebound by G. Hill
7:48.0,,,4-11,,B. Diaw misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by Team,,4-11,,
7:37.0,D. Schroder makes 3-pt shot from 24 ft,3,7-11,,
7:20.0,,,7-13,2,G. Hayward makes 2-pt shot from 10 ft
7:13.0,Offensive foul by D. Howard,,7-13,,
7:13.0,Turnover by D. Howard (offensive foul),,7-13,,
7:02.0,,,7-13,,Turnover by G. Hayward (lost ball)
7:02.0,M. Muscala enters the game for P. Millsap,,7-13,,
6:49.0,D. Schroder makes 2-pt shot from 9 ft,2,9-13,,
6:29.0,,,9-13,,Shooting foul by K. Bazemore (drawn by G. Hayward)
6:29.0,,,9-14,1,G. Hayward makes free throw 1 of 2
6:29.0,,,9-15,1,G. Hayward makes free throw 2 of 2
6:29.0,T. Sefolosha enters the game for K. Bazemore,,9-14,,
6:29.0,,,9-14,,T. Lyles enters the game for B. Diaw
6:12.0,D. Schroder makes 2-pt shot from 3 ft,2,11-15,,
6:08.0,,,11-15,,Turnover by T. Lyles (bad pass; steal by D. Schroder)
6:04.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,14-15,,
6:04.0,,,14-15,,Utah full timeout
5:42.0,,,14-15,,R. Hood misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by T. Sefolosha,,14-15,,
5:21.0,D. Howard misses 2-pt shot from 7 ft,,14-15,,
5:19.0,Offensive rebound by T. Sefolosha,,14-15,,
5:18.0,T. Sefolosha misses 2-pt shot from 6 ft,,14-15,,
5:17.0,,,14-15,,Defensive rebound by R. Gobert
5:02.0,,,14-15,,T. Lyles misses 2-pt shot from 20 ft
5:02.0,Defensive rebound by K. Korver,,14-15,,
4:54.0,K. Korver misses 3-pt shot from 25 ft,,14-15,,
4:54.0,,,14-15,,Defensive rebound by Team
4:54.0,,,14-15,,J. Johnson enters the game for G. Hayward
4:54.0,T. Hardaway enters the game for K. Korver,,14-15,,
