time,Minnesota,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. K. Towns (I. Whitehead gains possession),,,,Jump ball: B. Lopez vs. K. Towns (I. Whitehead gains possession)
11:47.0,,,0-2,2,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic)
11:33.0,Turnover by Z. LaVine (step out of bounds),,0-2,,
11:19.0,,,0-2,,B. Lopez misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by K. Dunn,,0-2,,
11:14.0,Turnover by K. Dunn (lost ball; steal by T. Booker),,0-2,,
11:11.0,,,0-2,,Shooting foul by K. Dunn (drawn by R. Hollis-Jefferson)
11:11.0,,,0-3,1,R. Hollis-Jefferson makes free throw 1 of 2
11:11.0,,,0-4,1,R. Hollis-Jefferson makes free throw 2 of 2
10:54.0,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng),2,2-4,,
10:45.0,,,2-4,,Offensive foul by B. Lopez
10:45.0,,,2-4,,Turnover by B. Lopez (offensive foul)
10:31.0,K. Towns makes 2-pt shot from 3 ft (assist by A. Wiggins),2,4-4,,
10:22.0,,,4-6,2,B. Lopez makes 2-pt shot from 2 ft (assist by I. Whitehead)
10:08.0,Z. LaVine misses 2-pt shot from 21 ft,,4-6,,
10:07.0,,,4-6,,Defensive rebound by I. Whitehead
9:59.0,,,4-9,3,B. Lopez makes 3-pt shot from 24 ft (assist by I. Whitehead)
9:45.0,Turnover by A. Wiggins (bad pass; steal by T. Booker),,4-9,,
9:41.0,,,4-11,2,T. Booker makes 2-pt shot at rim
9:30.0,Minnesota full timeout,,4-11,,
9:20.0,Shooting foul by R. Hollis-Jefferson (drawn by A. Wiggins),,4-11,,
9:20.0,A. Wiggins misses free throw 1 of 2,,4-11,,
9:20.0,Offensive rebound by Team,,4-11,,
9:20.0,A. Wiggins misses free throw 2 of 2,,4-11,,
9:19.0,,,4-11,,Defensive rebound by T. Booker
9:01.0,,,4-13,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft
8:50.0,A. Wiggins misses 2-pt shot from 3 ft,,4-13,,
8:49.0,Offensive rebound by K. Towns,,4-13,,
8:40.0,K. Towns makes 2-pt shot from 3 ft (assist by G. Dieng),2,6-13,,
8:18.0,,,6-13,,B. Bogdanovic misses 2-pt shot from 4 ft
8:16.0,Defensive rebound by G. Dieng,,6-13,,
8:11.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn),2,8-13,,
8:02.0,,,8-15,2,I. Whitehead makes 2-pt shot from 18 ft
7:52.0,Shooting foul by T. Booker (drawn by G. Dieng),,8-15,,
7:52.0,G. Dieng misses free throw 1 of 2,,8-15,,
7:52.0,Offensive rebound by Team,,8-15,,
7:52.0,G. Dieng misses free throw 2 of 2,,8-15,,
7:52.0,,,8-15,,J. Hamilton enters the game for T. Booker
7:51.0,Offensive rebound by A. Wiggins,,8-15,,
7:47.0,G. Dieng makes 2-pt shot at rim,2,10-15,,
7:42.0,,,10-15,,Brooklyn full timeout
7:42.0,,,10-15,,S. Kilpatrick enters the game for I. Whitehead
7:23.0,,,10-15,,B. Lopez misses 2-pt shot from 9 ft
7:21.0,Defensive rebound by K. Dunn,,10-15,,
7:02.0,K. Towns makes 3-pt shot from 24 ft,3,13-15,,
6:45.0,,,13-18,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
6:33.0,A. Wiggins misses 2-pt shot from 2 ft,,13-18,,
6:32.0,Offensive rebound by Team,,13-18,,
6:24.0,Z. LaVine misses 2-pt shot from 22 ft,,13-18,,
6:23.0,,,13-18,,Defensive rebound by B. Lopez
6:14.0,,,13-21,3,R. Hollis-Jefferson makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
5:52.0,Shooting foul by S. Kilpatrick (drawn by Z. LaVine),,13-21,,
5:52.0,Z. LaVine makes free throw 1 of 2,1,14-21,,
5:52.0,Z. LaVine makes free throw 2 of 2,1,15-21,,
5:44.0,,,15-21,,Turnover by Team (back court)
5:31.0,Z. LaVine misses 3-pt shot from 23 ft,,15-21,,
5:29.0,Offensive rebound by K. Towns,,15-21,,
5:25.0,Z. LaVine makes 2-pt shot from 2 ft (assist by K. Towns),2,17-21,,
