time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: B. Lopez vs. J. Valanciunas (C. Joseph gains possession)
11:33.0,D. Carroll makes 3-pt shot from 25 ft (assist by C. Joseph),3,3-0,,
11:18.0,,,3-0,,B. Lopez misses 2-pt shot from 6 ft
11:16.0,Defensive rebound by D. DeRozan,,3-0,,
11:07.0,D. DeRozan misses 2-pt shot from 5 ft,,3-0,,
11:06.0,,,3-0,,Defensive rebound by B. Lopez
10:57.0,,,3-0,,T. Booker misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by D. DeRozan,,3-0,,
10:42.0,C. Joseph makes 2-pt shot from 13 ft,2,5-0,,
10:21.0,,,5-0,,B. Lopez misses 2-pt shot from 7 ft
10:20.0,Defensive rebound by C. Joseph,,5-0,,
10:03.0,L. Nogueira makes 3-pt shot from 25 ft (assist by C. Joseph),3,8-0,,
9:50.0,,,8-0,,S. Dinwiddie misses 2-pt shot from 11 ft
9:49.0,Defensive rebound by D. DeRozan,,8-0,,
9:49.0,,,8-0,,Personal foul by T. Booker (drawn by D. DeRozan)
9:34.0,D. DeRozan makes 2-pt shot from 13 ft,2,10-0,,
9:34.0,Shooting foul by B. Bogdanovic (drawn by D. DeRozan),,10-0,,
9:34.0,D. DeRozan makes free throw 1 of 1,1,11-0,,
9:21.0,,,11-0,,B. Lopez misses 3-pt shot from 23 ft
9:20.0,,,11-0,,Offensive rebound by T. Booker
9:19.0,,,11-2,2,T. Booker makes 2-pt shot from 1 ft
8:55.0,D. Carroll misses 2-pt shot from 7 ft,,11-2,,
8:54.0,Offensive rebound by J. Valanciunas,,11-2,,
8:53.0,J. Valanciunas misses 2-pt shot from 3 ft,,11-2,,
8:52.0,Offensive rebound by D. Carroll,,11-2,,
8:51.0,D. Carroll misses 2-pt shot from 5 ft,,11-2,,
8:50.0,Offensive rebound by Team,,11-2,,
8:41.0,D. DeRozan misses 2-pt shot from 16 ft,,11-2,,
8:40.0,Offensive rebound by L. Nogueira,,11-2,,
8:39.0,L. Nogueira misses 2-pt shot from 2 ft,,11-2,,
8:37.0,,,11-2,,Defensive rebound by B. Bogdanovic
8:24.0,,,11-5,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
8:12.0,Turnover by C. Joseph (bad pass; steal by J. Harris),,11-5,,
8:07.0,,,11-7,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
7:47.0,D. Carroll misses 2-pt shot from 7 ft,,11-7,,
7:46.0,,,11-7,,Defensive rebound by T. Booker
7:41.0,,,11-7,,T. Booker misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by L. Nogueira,,11-7,,
