time,Cleveland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: T. Thompson vs. H. Whiteside (L. Babbitt gains possession)
11:40.0,,,0-0,,H. Whiteside misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by D. Williams,,0-0,,
11:24.0,J. Jones misses 3-pt shot from 24 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by H. Whiteside
11:14.0,,,0-0,,Turnover by G. Dragic (bad pass; steal by I. Shumpert)
11:06.0,I. Shumpert makes 3-pt shot from 24 ft (assist by D. Williams),3,3-0,,
10:38.0,,,3-0,,R. McGruder misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by D. Williams,,3-0,,
10:23.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Williams),3,6-0,,
10:08.0,,,6-3,3,G. Dragic makes 3-pt shot from 25 ft
9:54.0,T. Thompson makes 2-pt shot at rim (assist by K. Korver),2,8-3,,
9:37.0,,,8-3,,D. Waiters misses 2-pt shot from 16 ft
9:36.0,,,8-3,,Offensive rebound by G. Dragic
9:26.0,,,8-3,,Shooting foul by K. Korver (drawn by R. McGruder)
9:26.0,,,8-3,,R. McGruder misses free throw 1 of 3
9:26.0,,,8-3,,Offensive rebound by Team
9:26.0,,,8-4,1,R. McGruder makes free throw 2 of 3
9:26.0,,,8-5,1,R. McGruder makes free throw 3 of 3
9:03.0,,,8-5,,Personal foul by D. Waiters (drawn by I. Shumpert)
8:56.0,K. Korver misses 3-pt shot from 24 ft,,8-5,,
8:55.0,,,8-5,,Defensive rebound by H. Whiteside
8:45.0,,,8-5,,Turnover by D. Waiters (bad pass; steal by J. Jones)
8:35.0,,,8-5,,Personal foul by L. Babbitt (drawn by D. Williams)
8:27.0,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert),2,10-5,,
8:10.0,,,10-8,3,L. Babbitt makes 3-pt shot from 26 ft (assist by G. Dragic)
7:47.0,D. Williams makes 2-pt shot from 19 ft (assist by T. Thompson),2,12-8,,
7:26.0,,,12-10,2,H. Whiteside makes 2-pt shot from 10 ft
7:17.0,D. Williams makes 2-pt shot from 9 ft,2,14-10,,
6:59.0,,,14-10,,H. Whiteside misses 2-pt shot from 13 ft
6:58.0,Defensive rebound by J. Jones,,14-10,,
