time,Minnesota,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Zeller (K. Walker gains possession),,,,Jump ball: K. Towns vs. C. Zeller (K. Walker gains possession)
11:45.0,,,0-2,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by K. Walker)
11:45.0,,,0-2,,Shooting foul by K. Towns (drawn by F. Kaminsky)
11:45.0,,,0-2,,F. Kaminsky misses free throw 1 of 1
11:44.0,Defensive rebound by K. Towns,,0-2,,
11:30.0,G. Dieng misses 2-pt shot from 18 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by N. Batum
11:20.0,,,0-2,,K. Walker misses 2-pt shot from 6 ft
11:19.0,Defensive rebound by G. Dieng,,0-2,,
11:14.0,Z. LaVine misses 2-pt shot from 11 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by Team
10:56.0,,,0-5,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by N. Batum)
10:39.0,G. Dieng misses 2-pt shot from 15 ft,,0-5,,
10:38.0,,,0-5,,Defensive rebound by K. Walker
10:26.0,,,0-7,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
10:05.0,R. Rubio misses 3-pt shot from 24 ft,,0-7,,
10:05.0,Offensive rebound by Team,,0-7,,
10:00.0,R. Rubio misses 2-pt shot from 17 ft,,0-7,,
9:59.0,,,0-7,,Defensive rebound by C. Zeller
9:47.0,,,0-7,,N. Batum misses 2-pt shot from 10 ft
9:46.0,Defensive rebound by R. Rubio,,0-7,,
9:25.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,2-7,,
9:06.0,,,2-9,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker)
9:06.0,,,2-9,,Shooting foul by R. Rubio (drawn by F. Kaminsky)
9:06.0,,,2-10,1,F. Kaminsky makes free throw 1 of 1
8:58.0,,,2-10,,Personal foul by F. Kaminsky (drawn by G. Dieng)
8:48.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,4-10,,
8:28.0,,,4-10,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by R. Rubio)
8:28.0,,,4-10,,Offensive rebound by M. Kidd-Gilchrist
8:28.0,,,4-10,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by K. Towns)
8:28.0,,,4-10,,Offensive rebound by Team
8:18.0,,,4-10,,K. Walker misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by K. Towns,,4-10,,
8:08.0,Turnover by A. Wiggins (bad pass; steal by F. Kaminsky),,4-10,,
7:59.0,,,4-12,2,C. Zeller makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
7:38.0,A. Wiggins makes 2-pt shot from 17 ft,2,6-12,,
7:25.0,,,6-12,,K. Walker misses 2-pt shot from 17 ft
7:24.0,Defensive rebound by K. Towns,,6-12,,
7:12.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,8-12,,
7:12.0,Shooting foul by F. Kaminsky (drawn by K. Towns),,8-12,,
7:12.0,K. Towns makes free throw 1 of 1,1,9-12,,
7:05.0,,,9-12,,Technical foul by Team
7:05.0,R. Rubio makes technical free throw,1,10-12,,
6:54.0,,,10-12,,K. Walker misses 2-pt shot from 3 ft (block by Z. LaVine)
6:52.0,Defensive rebound by G. Dieng,,10-12,,
6:42.0,Z. LaVine misses 3-pt shot from 25 ft,,10-12,,
6:40.0,,,10-12,,Defensive rebound by N. Batum
6:30.0,,,10-12,,F. Kaminsky misses 3-pt shot from 25 ft
6:27.0,,,10-12,,Offensive rebound by M. Kidd-Gilchrist
6:22.0,,,10-14,2,M. Kidd-Gilchrist makes 2-pt shot at rim
6:09.0,K. Towns misses 2-pt shot from 1 ft (block by C. Zeller),,10-14,,
6:06.0,Offensive rebound by G. Dieng,,10-14,,
