time,Milwaukee,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Noah (D. Rose gains possession),,,,Jump ball: J. Henson vs. J. Noah (D. Rose gains possession)
11:38.0,,,0-3,3,C. Lee makes 3-pt shot from 23 ft (assist by C. Anthony)
11:18.0,Turnover by G. Antetokounmpo (lost ball),,0-3,,
11:03.0,,,0-3,,D. Rose misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by G. Antetokounmpo,,0-3,,
10:47.0,J. Henson makes 2-pt shot from 1 ft (assist by J. Parker),2,2-3,,
10:32.0,,,2-3,,L. Thomas misses 2-pt shot from 21 ft
10:31.0,Defensive rebound by T. Snell,,2-3,,
10:25.0,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell),2,4-3,,
10:14.0,,,4-3,,Shooting foul by J. Henson (drawn by J. Noah)
10:14.0,,,4-3,,J. Noah misses free throw 1 of 2
10:14.0,,,4-3,,Offensive rebound by Team
10:14.0,,,4-3,,J. Noah misses free throw 2 of 2
10:14.0,Defensive rebound by G. Antetokounmpo,,4-3,,
10:03.0,M. Brogdon makes 2-pt shot from 1 ft,2,6-3,,
9:52.0,,,6-6,3,D. Rose makes 3-pt shot from 23 ft (assist by J. Noah)
9:29.0,G. Antetokounmpo makes 2-pt shot from 21 ft,2,8-6,,
9:11.0,,,8-6,,C. Anthony misses 2-pt shot from 12 ft
9:10.0,Defensive rebound by J. Henson,,8-6,,
8:58.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,8-6,,
8:57.0,,,8-6,,Defensive rebound by C. Anthony
8:49.0,,,8-6,,Turnover by D. Rose (lost ball)
8:32.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,8-6,,
8:31.0,,,8-6,,Defensive rebound by J. Noah
8:21.0,,,8-8,2,J. Noah makes 2-pt shot from 1 ft (assist by C. Anthony)
8:12.0,Shooting foul by C. Anthony (drawn by J. Parker),,8-8,,
8:12.0,J. Parker makes free throw 1 of 2,1,9-8,,
8:12.0,J. Parker makes free throw 2 of 2,1,10-8,,
7:56.0,,,10-10,2,D. Rose makes 2-pt shot at rim
7:36.0,M. Brogdon misses 2-pt shot from 19 ft,,10-10,,
7:35.0,,,10-10,,Defensive rebound by D. Rose
7:28.0,,,10-10,,C. Lee misses 2-pt shot from 21 ft
7:27.0,Defensive rebound by J. Parker,,10-10,,
7:20.0,J. Parker misses 2-pt shot from 9 ft,,10-10,,
7:19.0,,,10-10,,Defensive rebound by C. Anthony
7:12.0,,,10-10,,C. Anthony misses 2-pt shot from 18 ft
7:11.0,Defensive rebound by J. Henson,,10-10,,
6:52.0,T. Snell makes 3-pt shot from 23 ft (assist by J. Parker),3,13-10,,
6:37.0,,,13-10,,L. Thomas misses 3-pt shot from 24 ft
6:35.0,,,13-10,,Offensive rebound by Team
6:35.0,Loose ball foul by J. Henson (drawn by J. Noah),,13-10,,
6:35.0,M. Teletovic enters the game for J. Henson,,13-10,,
6:35.0,G. Monroe enters the game for G. Antetokounmpo,,13-10,,
6:35.0,,,13-10,,M. Kuzminskas enters the game for L. Thomas
6:27.0,,,13-10,,C. Anthony misses 3-pt shot from 23 ft
6:26.0,,,13-10,,Offensive rebound by J. Noah
6:23.0,,,13-10,,D. Rose misses 2-pt shot from 7 ft
6:22.0,Defensive rebound by G. Monroe,,13-10,,
6:20.0,Turnover by G. Monroe (lost ball; steal by C. Anthony),,13-10,,
6:18.0,,,13-12,2,C. Anthony makes 2-pt shot from 4 ft
6:03.0,Turnover by M. Teletovic (lost ball; steal by M. Kuzminskas),,13-12,,
5:49.0,,,13-12,,D. Rose misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by J. Parker,,13-12,,
5:44.0,Shooting foul by M. Kuzminskas (drawn by J. Parker),,13-12,,
5:44.0,,,13-12,,New York full timeout
5:44.0,J. Parker makes free throw 1 of 2,1,14-12,,
5:44.0,J. Parker misses free throw 2 of 2,,14-12,,
5:44.0,,,13-12,,K. O'Quinn enters the game for J. Noah
5:43.0,,,14-12,,Defensive rebound by C. Anthony
5:22.0,,,14-15,3,M. Kuzminskas makes 3-pt shot from 23 ft (assist by C. Lee)
5:10.0,,,14-15,,Personal foul by C. Lee (drawn by T. Snell)
5:02.0,G. Monroe makes 2-pt shot from 4 ft,2,16-15,,
4:48.0,,,16-17,2,K. O'Quinn makes 2-pt shot from 12 ft (assist by C. Anthony)
4:35.0,Turnover by T. Snell (bad pass; steal by M. Kuzminskas),,16-17,,
4:28.0,,,16-17,,Turnover by M. Kuzminskas (lost ball)
4:18.0,M. Teletovic makes 3-pt shot from 27 ft (assist by M. Brogdon),3,19-17,,
4:01.0,,,19-19,2,D. Rose makes 2-pt shot at rim (assist by C. Anthony)
3:42.0,M. Teletovic misses 3-pt shot from 26 ft,,19-19,,
3:39.0,,,19-19,,Defensive rebound by Team
3:39.0,J. Terry enters the game for T. Snell,,19-19,,
3:39.0,,,19-19,,B. Jennings enters the game for D. Rose
3:24.0,,,19-19,,M. Kuzminskas misses 3-pt shot from 26 ft
3:22.0,Defensive rebound by J. Terry,,19-19,,
3:17.0,M. Brogdon makes 2-pt shot from 1 ft,2,21-19,,
2:55.0,,,21-19,,M. Kuzminskas misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by G. Monroe,,21-19,,
2:49.0,,,21-19,,Shooting block foul by K. O'Quinn (drawn by M. Teletovic)
2:49.0,Milwaukee full timeout,,21-19,,
2:49.0,M. Teletovic makes free throw 1 of 2,1,22-19,,
2:49.0,M. Teletovic makes free throw 2 of 2,1,23-19,,
2:49.0,,,21-19,,L. Thomas enters the game for C. Anthony
2:30.0,,,23-19,,C. Lee misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by G. Monroe,,23-19,,
2:19.0,J. Parker misses 2-pt shot at rim,,23-19,,
2:18.0,,,23-19,,Defensive rebound by M. Kuzminskas
2:03.0,Personal foul by J. Parker (drawn by M. Kuzminskas),,23-19,,
2:03.0,G. Antetokounmpo enters the game for J. Parker,,23-19,,
1:58.0,,,23-19,,K. O'Quinn misses 2-pt shot from 19 ft
1:57.0,Defensive rebound by G. Antetokounmpo,,23-19,,
1:51.0,M. Brogdon misses 3-pt shot from 24 ft,,23-19,,
1:50.0,,,23-19,,Defensive rebound by M. Kuzminskas
