time,Denver,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Valanciunas,,,,Jump ball: J. Nurkic vs. J. Valanciunas
11:43.0,,,0-0,,J. Valanciunas misses 2-pt shot from 15 ft
11:43.0,Defensive rebound by E. Mudiay,,0-0,,
11:33.0,,,0-0,,Personal foul by K. Lowry (drawn by E. Mudiay)
11:17.0,E. Mudiay misses 2-pt shot from 20 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by D. DeRozan
11:01.0,,,0-2,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
10:51.0,,,0-2,,Personal foul by J. Valanciunas (drawn by J. Nurkic)
10:46.0,J. Nurkic misses 2-pt shot from 3 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by P. Siakam
10:31.0,,,0-4,2,J. Valanciunas makes 2-pt shot from 21 ft (assist by K. Lowry)
10:16.0,N. Jokic makes 2-pt shot from 4 ft (assist by D. Gallinari),2,2-4,,
9:58.0,,,2-4,,P. Siakam misses 2-pt shot from 5 ft (block by J. Nurkic)
9:57.0,Defensive rebound by N. Jokic,,2-4,,
9:51.0,E. Mudiay makes 3-pt shot from 26 ft (assist by W. Barton),3,5-4,,
9:38.0,,,5-6,2,D. DeRozan makes 2-pt shot from 11 ft (assist by K. Lowry)
9:29.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Nurkic),2,7-6,,
9:17.0,Def 3 sec tech foul by N. Jokic,,7-6,,
9:17.0,,,7-7,1,D. DeRozan makes technical free throw
9:10.0,Def 3 sec tech foul by J. Nurkic,,7-7,,
9:10.0,,,7-8,1,D. DeRozan makes technical free throw
9:02.0,,,7-8,,D. DeRozan misses 2-pt shot from 13 ft (block by W. Barton)
9:01.0,Defensive rebound by E. Mudiay,,7-8,,
8:57.0,W. Barton makes 2-pt shot from 2 ft (assist by E. Mudiay),2,9-8,,
8:47.0,,,9-8,,J. Valanciunas misses 2-pt shot from 3 ft (block by J. Nurkic)
8:46.0,Defensive rebound by J. Nurkic,,9-8,,
8:41.0,Shooting foul by P. Siakam (drawn by J. Nurkic),,9-8,,
8:41.0,J. Nurkic makes free throw 1 of 2,1,10-8,,
8:41.0,J. Nurkic misses free throw 2 of 2,,10-8,,
8:40.0,,,10-8,,Defensive rebound by D. Carroll
8:24.0,,,10-10,2,D. Carroll makes 2-pt shot from 5 ft (assist by J. Valanciunas)
7:59.0,J. Nurkic misses 2-pt shot from 21 ft,,10-10,,
7:59.0,,,10-10,,Defensive rebound by P. Siakam
7:49.0,,,10-12,2,P. Siakam makes 2-pt shot from 4 ft (assist by K. Lowry)
7:41.0,,,10-12,,Personal foul by D. Carroll (drawn by D. Gallinari)
7:38.0,Turnover by E. Mudiay (lost ball; steal by K. Lowry),,10-12,,
7:34.0,,,10-14,2,K. Lowry makes 2-pt shot from 1 ft
7:14.0,W. Barton makes 3-pt shot from 24 ft,3,13-14,,
6:47.0,,,13-16,2,J. Valanciunas makes 2-pt shot from 2 ft
6:37.0,W. Barton misses 2-pt shot from 1 ft,,13-16,,
6:36.0,Offensive rebound by N. Jokic,,13-16,,
6:34.0,N. Jokic makes 2-pt shot from 2 ft,2,15-16,,
6:26.0,,,15-18,2,D. DeRozan makes 2-pt shot from 4 ft
6:25.0,Denver full timeout,,15-18,,
6:11.0,W. Barton misses 2-pt shot from 5 ft,,15-18,,
6:10.0,,,15-18,,Defensive rebound by D. DeRozan
5:51.0,,,15-18,,J. Valanciunas misses 2-pt shot from 13 ft
5:51.0,Defensive rebound by J. Nurkic,,15-18,,
5:43.0,E. Mudiay makes 2-pt shot from 17 ft,2,17-18,,
