time,New Orleans,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Thompson (S. Hill gains possession),,,,Jump ball: A. Davis vs. T. Thompson (S. Hill gains possession)
11:46.0,A. Davis misses 2-pt shot from 15 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. McRae
11:25.0,,,0-0,,K. Love misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by D. Cunningham,,0-0,,
11:17.0,B. Hield makes 2-pt shot from 20 ft,2,2-0,,
10:57.0,,,2-0,,Shooting foul by J. Holiday (drawn by J. McRae)
10:57.0,,,2-1,1,J. McRae makes free throw 1 of 2
10:57.0,,,2-2,1,J. McRae makes free throw 2 of 2
10:42.0,A. Davis misses 2-pt shot from 14 ft,,2-2,,
10:41.0,,,2-2,,Defensive rebound by K. Love
10:22.0,,,2-2,,K. Love misses 2-pt shot from 12 ft
10:20.0,Defensive rebound by S. Hill,,2-2,,
10:10.0,A. Davis misses 2-pt shot from 7 ft,,2-2,,
10:08.0,,,2-2,,Defensive rebound by D. Liggins
10:00.0,,,2-2,,L. James misses 3-pt shot from 31 ft
10:00.0,Defensive rebound by B. Hield,,2-2,,
9:48.0,S. Hill makes 3-pt shot from 26 ft (assist by B. Hield),3,5-2,,
9:34.0,,,5-2,,K. Love misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by Team,,5-2,,
9:21.0,B. Hield misses 2-pt shot from 8 ft,,5-2,,
9:19.0,Offensive rebound by A. Davis,,5-2,,
9:19.0,A. Davis makes 2-pt shot at rim,2,7-2,,
8:59.0,,,7-2,,K. Love misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by J. Holiday,,7-2,,
8:50.0,J. Holiday misses 2-pt shot at rim,,7-2,,
8:48.0,,,7-2,,Defensive rebound by D. Liggins
8:41.0,,,7-2,,L. James misses 2-pt shot from 15 ft
8:40.0,Defensive rebound by D. Cunningham,,7-2,,
8:35.0,S. Hill misses 3-pt shot from 24 ft,,7-2,,
8:33.0,,,7-2,,Defensive rebound by T. Thompson
8:17.0,,,7-2,,L. James misses 2-pt shot from 3 ft
8:14.0,,,7-2,,Offensive rebound by K. Love
8:14.0,,,7-2,,K. Love misses 2-pt shot from 1 ft
8:11.0,,,7-2,,Offensive rebound by K. Love
8:11.0,,,7-4,2,K. Love makes 2-pt shot from 1 ft
8:04.0,J. Holiday misses 3-pt shot from 26 ft,,7-4,,
8:03.0,,,7-4,,Defensive rebound by T. Thompson
7:57.0,,,7-6,2,L. James makes 2-pt shot at rim
7:38.0,Turnover by A. Davis (lost ball; steal by D. Liggins),,7-6,,
7:32.0,,,7-6,,D. Liggins misses 2-pt shot from 2 ft (block by S. Hill)
7:31.0,Defensive rebound by J. Holiday,,7-6,,
7:25.0,B. Hield misses 3-pt shot from 23 ft,,7-6,,
7:25.0,Offensive rebound by Team,,7-6,,
7:21.0,A. Davis misses 2-pt shot from 20 ft,,7-6,,
7:21.0,,,7-6,,Defensive rebound by K. Love
7:12.0,,,7-6,,D. Liggins misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by B. Hield,,7-6,,
7:01.0,Turnover by B. Hield (bad pass; steal by J. McRae),,7-6,,
7:00.0,Personal foul by B. Hield (drawn by J. McRae),,7-6,,
6:44.0,,,7-6,,K. Love misses 2-pt shot from 7 ft (block by A. Davis)
6:44.0,,,7-6,,Offensive rebound by Team
6:39.0,,,7-8,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
6:33.0,New Orleans full timeout,,7-8,,
6:16.0,A. Davis misses 2-pt shot from 6 ft,,7-8,,
6:14.0,,,7-8,,Defensive rebound by T. Thompson
5:56.0,,,7-8,,K. Love misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by A. Davis,,7-8,,
5:46.0,D. Cunningham makes 2-pt shot from 12 ft (assist by J. Holiday),2,9-8,,
5:30.0,,,9-10,2,K. Love makes 2-pt shot from 7 ft (assist by L. James)
5:16.0,Turnover by A. Davis (lost ball; steal by D. Liggins),,9-10,,
5:05.0,,,9-10,,K. Love misses 2-pt shot from 8 ft
5:04.0,,,9-10,,Offensive rebound by T. Thompson
5:04.0,Personal foul by D. Cunningham (drawn by T. Thompson),,9-10,,
5:04.0,,,9-10,,C. Frye enters the game for K. Love
5:04.0,T. Jones enters the game for S. Hill,,9-10,,
5:04.0,Violation by Team (jump ball),,9-10,,
4:45.0,,,9-10,,J. McRae misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by T. Jones,,9-10,,
4:32.0,B. Hield makes 3-pt shot from 26 ft (assist by T. Jones),3,12-10,,
4:09.0,,,12-10,,J. McRae misses 3-pt shot from 24 ft
4:09.0,,,12-10,,Offensive rebound by Team
4:07.0,S. Hill enters the game for T. Jones,,12-10,,
4:05.0,,,12-10,,T. Thompson misses 2-pt shot from 19 ft (block by A. Davis)
4:05.0,,,12-10,,Offensive rebound by Team
4:05.0,,,12-10,,Turnover by Team (shot clock)
4:05.0,T. Jones enters the game for S. Hill,,12-10,,
3:55.0,,,12-10,,Personal foul by D. Liggins (drawn by A. Davis)
3:55.0,,,12-10,,I. Shumpert enters the game for D. Liggins
3:55.0,,,12-10,,K. Felder enters the game for J. McRae
3:43.0,T. Jones misses 2-pt shot from 7 ft,,12-10,,
3:42.0,Offensive rebound by A. Davis,,12-10,,
3:42.0,A. Davis misses 2-pt shot from 3 ft (block by C. Frye),,12-10,,
3:41.0,,,12-10,,Defensive rebound by T. Thompson
3:35.0,,,12-12,2,L. James makes 2-pt shot at rim
3:30.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,14-12,,
3:14.0,,,14-12,,C. Frye misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by B. Hield,,14-12,,
3:04.0,Turnover by A. Davis (bad pass; steal by L. James),,14-12,,
3:01.0,,,14-12,,Offensive charge foul by L. James
3:01.0,,,14-12,,Turnover by L. James (offensive foul)
2:46.0,T. Jones makes 2-pt shot at rim (assist by J. Holiday),2,16-12,,
2:29.0,,,16-12,,K. Felder misses 2-pt shot from 16 ft
2:28.0,Defensive rebound by T. Jones,,16-12,,
2:16.0,A. Davis makes 2-pt shot from 16 ft (assist by B. Hield),2,18-12,,
2:04.0,,,18-12,,Turnover by L. James (bad pass; steal by T. Jones)
1:56.0,A. Davis misses 2-pt shot from 17 ft,,18-12,,
1:55.0,,,18-12,,Defensive rebound by C. Frye
1:46.0,,,18-12,,I. Shumpert misses 2-pt shot from 16 ft
1:45.0,Defensive rebound by B. Hield,,18-12,,
1:31.0,T. Jones misses 2-pt shot from 22 ft,,18-12,,
1:31.0,,,18-12,,Defensive rebound by T. Thompson
1:26.0,,,18-12,,Turnover by L. James (bad pass; steal by J. Holiday)
1:22.0,J. Holiday makes 2-pt shot at rim (assist by T. Jones),2,20-12,,
1:22.0,,,20-12,,Cleveland full timeout
1:22.0,T. Evans enters the game for B. Hield,,20-12,,
1:22.0,L. Galloway enters the game for J. Holiday,,20-12,,
1:08.0,,,20-14,2,L. James makes 2-pt shot from 18 ft
0:53.0,A. Davis makes 2-pt shot from 1 ft,2,22-14,,
0:40.0,,,22-14,,Shooting foul by D. Cunningham (drawn by I. Shumpert)
0:40.0,,,22-15,1,I. Shumpert makes free throw 1 of 2
0:40.0,,,22-15,,I. Shumpert misses free throw 2 of 2
0:40.0,E. Moore enters the game for D. Cunningham,,22-15,,
0:39.0,Defensive rebound by T. Jones,,22-15,,
0:21.0,A. Davis misses 2-pt shot from 16 ft,,22-15,,
0:20.0,,,22-15,,Defensive rebound by L. James
0:01.0,,,22-15,,I. Shumpert misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by L. Galloway,,22-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,22-17,2,K. Love makes 2-pt shot from 16 ft (assist by R. Jefferson)
11:31.0,L. Galloway misses 2-pt shot from 19 ft,,22-17,,
11:31.0,,,22-17,,Defensive rebound by K. Love
11:19.0,,,22-19,2,K. Felder makes 2-pt shot at rim
10:55.0,T. Jones misses 2-pt shot from 11 ft,,22-19,,
10:54.0,,,22-19,,Defensive rebound by K. Love
10:46.0,Violation by S. Hill (kicked ball),,22-19,,
10:32.0,,,22-22,3,C. Frye makes 3-pt shot from 25 ft (assist by K. Felder)
10:17.0,T. Evans misses 2-pt shot from 2 ft (block by C. Frye),,22-22,,
10:17.0,Offensive rebound by T. Evans,,22-22,,
10:12.0,S. Hill misses 3-pt shot from 24 ft,,22-22,,
10:12.0,,,22-22,,Defensive rebound by I. Shumpert
10:05.0,,,22-24,2,K. Felder makes 2-pt shot from 8 ft
9:58.0,New Orleans full timeout,,22-24,,
9:50.0,L. Galloway makes 3-pt shot from 26 ft (assist by T. Evans),3,25-24,,
9:32.0,,,25-24,,I. Shumpert misses 2-pt shot from 5 ft
9:31.0,,,25-24,,Offensive rebound by I. Shumpert
9:28.0,,,25-24,,R. Jefferson misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by Team,,25-24,,
9:21.0,,,25-24,,Personal foul by I. Shumpert (drawn by T. Evans)
9:14.0,E. Moore misses 2-pt shot from 12 ft,,25-24,,
9:12.0,Offensive rebound by E. Moore,,25-24,,
9:09.0,T. Evans misses 2-pt shot from 1 ft,,25-24,,
9:07.0,,,25-24,,Defensive rebound by R. Jefferson
9:01.0,,,25-24,,K. Felder misses 2-pt shot from 2 ft
9:00.0,Defensive rebound by L. Galloway,,25-24,,
8:56.0,T. Evans makes 2-pt shot from 1 ft (assist by L. Galloway),2,27-24,,
8:41.0,,,27-24,,Shooting foul by S. Hill (drawn by K. Love)
8:41.0,,,27-25,1,K. Love makes free throw 1 of 2
8:41.0,,,27-26,1,K. Love makes free throw 2 of 2
8:24.0,S. Hill misses 3-pt shot from 26 ft,,27-26,,
8:23.0,,,27-26,,Defensive rebound by K. Love
8:11.0,,,27-26,,K. Felder misses 2-pt shot from 1 ft
8:09.0,,,27-26,,Offensive rebound by K. Love
8:09.0,,,27-28,2,K. Love makes 2-pt shot from 1 ft
7:57.0,E. Moore makes 3-pt shot from 25 ft (assist by T. Evans),3,30-28,,
7:38.0,,,30-31,3,C. Frye makes 3-pt shot from 24 ft (assist by K. Love)
7:23.0,L. Galloway misses 3-pt shot from 23 ft,,30-31,,
7:23.0,,,30-31,,Defensive rebound by R. Jefferson
7:10.0,,,30-31,,R. Jefferson misses 2-pt shot from 22 ft
7:09.0,Defensive rebound by E. Moore,,30-31,,
7:03.0,,,30-31,,L. James enters the game for K. Love
6:48.0,T. Evans misses 2-pt shot at rim (block by I. Shumpert),,30-31,,
6:45.0,,,30-31,,Defensive rebound by C. Frye
6:43.0,,,30-31,,Turnover by C. Frye (lost ball; steal by T. Evans)
6:39.0,E. Moore makes 3-pt shot from 25 ft (assist by T. Evans),3,33-31,,
6:26.0,Personal foul by L. Galloway (drawn by R. Jefferson),,33-31,,
6:26.0,A. Davis enters the game for T. Jones,,33-31,,
6:13.0,,,33-31,,L. James misses 2-pt shot from 2 ft (block by L. Galloway)
6:13.0,,,33-31,,Offensive rebound by Team
6:09.0,,,33-31,,C. Frye misses 2-pt shot from 17 ft
6:09.0,Defensive rebound by T. Evans,,33-31,,
6:00.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,35-31,,
5:43.0,,,35-31,,C. Frye misses 3-pt shot from 25 ft
5:43.0,,,35-31,,Offensive rebound by R. Jefferson
5:37.0,,,35-31,,R. Jefferson misses 3-pt shot from 24 ft
5:35.0,,,35-31,,Offensive rebound by I. Shumpert
