time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. N. Jokic (L. Aldridge gains possession),,,,Jump ball: D. Dedmon vs. N. Jokic (L. Aldridge gains possession)
11:47.0,,,0-2,2,D. Dedmon makes 2-pt shot from 2 ft (assist by T. Parker)
11:28.0,G. Harris misses 2-pt shot from 2 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by D. Dedmon
11:13.0,,,0-2,,L. Aldridge misses 2-pt shot from 16 ft
11:11.0,Defensive rebound by G. Harris,,0-2,,
11:03.0,G. Harris misses 3-pt shot from 24 ft,,0-2,,
11:02.0,Offensive rebound by K. Faried,,0-2,,
11:02.0,,,0-2,,Loose ball foul by D. Dedmon (drawn by K. Faried)
10:56.0,J. Nelson makes 3-pt shot from 27 ft (assist by N. Jokic),3,3-2,,
10:41.0,,,3-2,,L. Aldridge misses 2-pt shot from 18 ft
10:40.0,Defensive rebound by G. Harris,,3-2,,
10:32.0,G. Harris misses 2-pt shot from 2 ft,,3-2,,
10:31.0,Offensive rebound by K. Faried,,3-2,,
10:31.0,K. Faried makes 2-pt shot at rim,2,5-2,,
10:18.0,,,5-4,2,T. Parker makes 2-pt shot from 15 ft
10:06.0,Turnover by N. Jokic (lost ball; steal by K. Leonard),,5-4,,
10:04.0,,,5-4,,Turnover by D. Green (bad pass)
9:42.0,Shooting foul by D. Dedmon (drawn by K. Faried),,5-4,,
9:42.0,K. Faried misses free throw 1 of 2,,5-4,,
9:42.0,Offensive rebound by Team,,5-4,,
9:42.0,K. Faried misses free throw 2 of 2,,5-4,,
9:42.0,,,5-4,,Defensive rebound by D. Lee
9:42.0,,,5-4,,D. Lee enters the game for D. Dedmon
9:27.0,,,5-7,3,K. Leonard makes 3-pt shot from 23 ft (assist by D. Lee)
9:04.0,W. Chandler misses 3-pt shot from 23 ft,,5-7,,
9:03.0,,,5-7,,Defensive rebound by L. Aldridge
8:45.0,,,5-7,,Shooting foul by K. Faried (drawn by L. Aldridge)
8:45.0,,,5-8,1,L. Aldridge makes free throw 1 of 2
8:45.0,,,5-9,1,L. Aldridge makes free throw 2 of 2
8:31.0,N. Jokic makes 2-pt shot from 4 ft (assist by G. Harris),2,7-9,,
8:18.0,,,7-9,,D. Lee misses 2-pt shot from 17 ft
8:17.0,Defensive rebound by W. Chandler,,7-9,,
8:10.0,J. Nelson makes 3-pt shot from 25 ft,3,10-9,,
8:09.0,,,10-9,,San Antonio full timeout
7:50.0,,,10-9,,K. Leonard misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by J. Nelson,,10-9,,
7:38.0,J. Nelson misses 2-pt shot from 19 ft,,10-9,,
7:37.0,,,10-9,,Defensive rebound by K. Leonard
7:30.0,,,10-9,,K. Leonard misses 2-pt shot from 19 ft
