time,Houston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Gortat (B. Beal gains possession),,,,Jump ball: C. Capela vs. M. Gortat (B. Beal gains possession)
11:43.0,,,0-0,,O. Porter misses 2-pt shot from 15 ft
11:43.0,,,0-0,,Offensive rebound by Team
11:43.0,Loose ball foul by J. Harden (drawn by M. Gortat),,0-0,,
11:34.0,,,0-2,2,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall)
11:18.0,C. Capela misses 2-pt shot from 3 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by M. Gortat
11:03.0,,,0-2,,Turnover by J. Wall (lost ball; steal by C. Capela)
10:56.0,C. Brewer misses 3-pt shot from 26 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by M. Gortat
10:45.0,,,0-4,2,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal)
10:35.0,T. Ariza misses 3-pt shot from 25 ft,,0-4,,
10:33.0,,,0-4,,Defensive rebound by M. Gortat
10:25.0,,,0-4,,B. Beal misses 2-pt shot from 12 ft
10:24.0,,,0-4,,Offensive rebound by Team
10:06.0,,,0-6,2,M. Gortat makes 2-pt shot from 7 ft
9:51.0,,,0-6,,Violation by M. Gortat (kicked ball)
9:47.0,Shooting foul by M. Morris (drawn by J. Harden),,0-6,,
9:47.0,J. Harden makes free throw 1 of 2,1,1-6,,
9:47.0,J. Harden makes free throw 2 of 2,1,2-6,,
9:41.0,,,2-6,,M. Morris misses 2-pt shot from 7 ft (block by C. Capela)
9:40.0,Defensive rebound by R. Anderson,,2-6,,
9:38.0,Turnover by R. Anderson (bad pass; steal by J. Wall),,2-6,,
9:28.0,,,2-6,,B. Beal misses 3-pt shot from 23 ft
9:26.0,,,2-6,,Offensive rebound by M. Morris
9:24.0,,,2-6,,M. Morris misses 2-pt shot from 2 ft (block by C. Capela)
9:23.0,,,2-6,,Offensive rebound by M. Morris
9:21.0,,,2-6,,M. Morris misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by T. Ariza,,2-6,,
9:17.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Brewer),2,4-6,,
8:55.0,,,4-8,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
8:33.0,R. Anderson misses 3-pt shot from 27 ft,,4-8,,
8:32.0,,,4-8,,Defensive rebound by O. Porter
8:27.0,,,4-8,,B. Beal misses 2-pt shot from 1 ft
8:26.0,Defensive rebound by C. Brewer,,4-8,,
8:23.0,T. Ariza makes 3-pt shot from 27 ft (assist by J. Harden),3,7-8,,
8:11.0,,,7-10,2,J. Wall makes 2-pt shot from 1 ft
8:00.0,Turnover by J. Harden (bad pass; steal by B. Beal),,7-10,,
7:55.0,,,7-12,2,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal)
7:36.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,10-12,,
7:25.0,,,10-12,,Turnover by M. Morris (traveling)
7:18.0,J. Harden makes 3-pt shot from 28 ft (assist by R. Anderson),3,13-12,,
6:55.0,,,13-14,2,J. Wall makes 2-pt shot from 19 ft
6:41.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,16-14,,
6:35.0,,,16-14,,Washington full timeout
6:35.0,E. Gordon enters the game for C. Brewer,,16-14,,
6:22.0,,,16-14,,M. Gortat misses 2-pt shot at rim
6:20.0,Defensive rebound by T. Ariza,,16-14,,
6:06.0,R. Anderson makes 2-pt shot from 1 ft (assist by J. Harden),2,18-14,,
5:55.0,,,18-14,,M. Morris misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by J. Harden,,18-14,,
5:44.0,J. Harden misses 3-pt shot from 29 ft (block by B. Beal),,18-14,,
5:42.0,,,18-14,,Defensive rebound by J. Wall
5:33.0,,,18-14,,J. Wall misses 2-pt shot from 11 ft
5:32.0,,,18-14,,Offensive rebound by J. Wall
5:27.0,,,18-17,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
5:03.0,R. Anderson misses 2-pt shot from 17 ft,,18-17,,
5:02.0,,,18-17,,Defensive rebound by B. Beal
4:51.0,,,18-17,,B. Beal misses 2-pt shot from 1 ft
4:50.0,,,18-17,,Offensive rebound by M. Gortat
4:49.0,,,18-19,2,M. Gortat makes 2-pt shot from 1 ft
4:30.0,C. Capela makes 2-pt shot from 7 ft,2,20-19,,
4:12.0,,,20-21,2,B. Beal makes 2-pt shot from 1 ft
3:58.0,J. Harden misses 2-pt shot at rim (block by M. Gortat),,20-21,,
3:57.0,,,20-21,,Defensive rebound by Team
3:57.0,N. Hilario enters the game for T. Ariza,,20-21,,
3:57.0,K. McDaniels enters the game for R. Anderson,,20-21,,
3:57.0,S. Dekker enters the game for C. Capela,,20-21,,
