time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. K. Porzingis (E. Ilyasova gains possession),,,,Jump ball: J. Embiid vs. K. Porzingis (E. Ilyasova gains possession)
11:49.0,,,0-2,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell)
11:25.0,C. Anthony misses 2-pt shot from 22 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by T. McConnell
11:16.0,,,0-4,2,T. McConnell makes 2-pt shot from 2 ft
11:04.0,D. Rose misses 2-pt shot from 19 ft,,0-4,,
11:03.0,Offensive rebound by Team,,0-4,,
10:54.0,J. Noah misses 2-pt shot at rim (block by J. Embiid),,0-4,,
10:52.0,Offensive rebound by C. Lee,,0-4,,
10:49.0,C. Anthony makes 3-pt shot from 27 ft (assist by K. Porzingis),3,3-4,,
10:27.0,,,3-7,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by N. Stauskas)
10:13.0,K. Porzingis misses 3-pt shot from 25 ft,,3-7,,
10:12.0,,,3-7,,Defensive rebound by J. Embiid
10:00.0,,,3-9,2,J. Embiid makes 2-pt shot from 2 ft (assist by T. McConnell)
9:40.0,Shooting foul by R. Covington (drawn by C. Anthony),,3-9,,
9:40.0,C. Anthony makes free throw 1 of 2,1,4-9,,
9:40.0,C. Anthony makes free throw 2 of 2,1,5-9,,
9:32.0,,,5-9,,E. Ilyasova misses 3-pt shot from 26 ft
9:32.0,,,5-9,,Offensive rebound by Team
9:32.0,Loose ball foul by K. Porzingis (drawn by J. Embiid),,5-9,,
9:26.0,,,5-11,2,N. Stauskas makes 2-pt shot from 21 ft (assist by E. Ilyasova)
9:08.0,D. Rose makes 2-pt shot from 9 ft,2,7-11,,
8:58.0,Personal block foul by J. Noah (drawn by J. Embiid),,7-11,,
8:52.0,,,7-11,,R. Covington misses 3-pt shot from 25 ft (block by C. Anthony)
8:50.0,Defensive rebound by J. Noah,,7-11,,
8:46.0,D. Rose makes 2-pt shot from 3 ft (assist by C. Lee),2,9-11,,
8:38.0,,,9-11,,Turnover by R. Covington (step out of bounds)
8:24.0,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose),3,12-11,,
8:09.0,,,12-13,2,J. Embiid makes 2-pt shot from 5 ft (assist by T. McConnell)
7:57.0,K. Porzingis misses 2-pt shot from 7 ft,,12-13,,
7:56.0,,,12-13,,Defensive rebound by R. Covington
7:48.0,,,12-13,,R. Covington misses 2-pt shot from 2 ft
7:48.0,,,12-13,,Offensive rebound by Team
7:48.0,,,12-13,,G. Henderson enters the game for N. Stauskas
7:43.0,Jump ball: J. Embiid vs. K. Porzingis (E. Ilyasova gains possession),,,,Jump ball: J. Embiid vs. K. Porzingis (E. Ilyasova gains possession)
7:32.0,,,12-13,,Turnover by R. Covington (bad pass; steal by J. Noah)
7:21.0,D. Rose makes 2-pt shot from 8 ft (assist by K. Porzingis),2,14-13,,
7:12.0,,,14-15,2,G. Henderson makes 2-pt shot from 1 ft (assist by T. McConnell)
7:01.0,C. Anthony makes 2-pt shot from 18 ft (assist by D. Rose),2,16-15,,
6:44.0,,,16-15,,Shooting foul by J. Noah (drawn by J. Embiid)
6:44.0,,,16-16,1,J. Embiid makes free throw 1 of 2
6:44.0,,,16-17,1,J. Embiid makes free throw 2 of 2
6:44.0,K. O'Quinn enters the game for J. Noah,,16-16,,
6:44.0,,,16-16,,D. Saric enters the game for R. Covington
6:25.0,C. Anthony makes 2-pt shot from 14 ft,2,18-17,,
6:17.0,,,18-17,,Shooting foul by K. O'Quinn (drawn by J. Embiid)
6:17.0,,,18-17,,J. Embiid misses free throw 1 of 2
6:17.0,,,18-17,,Offensive rebound by Team
6:17.0,,,18-18,1,J. Embiid makes free throw 2 of 2
6:17.0,J. Holiday enters the game for C. Lee,,18-17,,
5:57.0,C. Anthony misses 2-pt shot from 17 ft,,18-18,,
5:55.0,,,18-18,,Defensive rebound by T. McConnell
5:43.0,,,18-18,,D. Saric misses 2-pt shot from 6 ft
5:42.0,Defensive rebound by K. O'Quinn,,18-18,,
5:35.0,D. Rose makes 2-pt shot from 16 ft,2,20-18,,
5:34.0,,,20-18,,Philadelphia full timeout
5:34.0,,,20-18,,N. Noel enters the game for J. Embiid
5:34.0,M. Kuzminskas enters the game for K. Porzingis,,20-18,,
5:34.0,,,20-18,,R. Covington enters the game for E. Ilyasova
5:21.0,,,20-18,,G. Henderson misses 2-pt shot from 4 ft
5:19.0,Defensive rebound by K. O'Quinn,,20-18,,
5:17.0,Turnover by K. O'Quinn (bad pass; steal by T. McConnell),,20-18,,
5:11.0,,,20-18,,Turnover by N. Noel (bad pass; steal by K. O'Quinn)
4:56.0,C. Anthony misses 2-pt shot from 9 ft,,20-18,,
4:55.0,Offensive rebound by K. O'Quinn,,20-18,,
4:45.0,Turnover by D. Rose (lost ball; steal by T. McConnell),,20-18,,
4:39.0,,,20-20,2,G. Henderson makes 2-pt shot from 4 ft
4:16.0,J. Holiday misses 3-pt shot from 25 ft,,20-20,,
4:14.0,,,20-20,,Defensive rebound by D. Saric
4:03.0,,,20-20,,G. Henderson misses 2-pt shot from 21 ft
4:02.0,Defensive rebound by K. O'Quinn,,20-20,,
3:51.0,K. O'Quinn makes 2-pt shot at rim (assist by C. Anthony),2,22-20,,
3:42.0,,,22-20,,D. Saric misses 3-pt shot from 25 ft
3:40.0,,,22-20,,Offensive rebound by T. McConnell
3:35.0,,,22-20,,N. Noel misses 2-pt shot from 1 ft
3:34.0,,,22-20,,Offensive rebound by Team
3:34.0,,,22-20,,S. Rodriguez enters the game for T. McConnell
3:15.0,,,22-20,,S. Rodriguez misses 2-pt shot from 10 ft (block by K. O'Quinn)
3:13.0,Defensive rebound by D. Rose,,22-20,,
3:06.0,K. O'Quinn makes 2-pt shot at rim (assist by D. Rose),2,24-20,,
2:56.0,,,24-23,3,D. Saric makes 3-pt shot from 24 ft (assist by N. Noel)
2:38.0,C. Anthony makes 2-pt shot from 1 ft,2,26-23,,
2:22.0,,,26-25,2,N. Noel makes 2-pt shot at rim (assist by R. Covington)
2:11.0,D. Rose makes 2-pt shot from 14 ft,2,28-25,,
1:54.0,,,28-25,,D. Saric misses 2-pt shot from 19 ft
1:52.0,Defensive rebound by K. O'Quinn,,28-25,,
1:44.0,New York full timeout,,28-25,,
1:44.0,,,28-25,,T. Luwawu-Cabarrot enters the game for R. Covington
1:36.0,Offensive foul by C. Anthony,,28-25,,
1:36.0,Turnover by C. Anthony (offensive foul),,28-25,,
1:25.0,,,28-27,2,N. Noel makes 2-pt shot at rim (assist by S. Rodriguez)
1:08.0,D. Rose makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,30-27,,
0:46.0,,,30-27,,Turnover by S. Rodriguez (bad pass; steal by M. Kuzminskas)
0:38.0,C. Anthony misses 3-pt shot from 26 ft,,30-27,,
0:36.0,Offensive rebound by K. O'Quinn,,30-27,,
0:36.0,K. O'Quinn makes 2-pt shot from 1 ft,2,32-27,,
0:29.0,,,32-27,,S. Rodriguez misses 3-pt shot from 26 ft
0:27.0,,,32-27,,Offensive rebound by D. Saric
0:24.0,,,32-27,,D. Saric misses 2-pt shot at rim
0:23.0,,,32-27,,Offensive rebound by N. Noel
0:23.0,,,32-27,,N. Noel misses 2-pt shot from 2 ft
0:20.0,Defensive rebound by K. O'Quinn,,32-27,,
0:02.0,M. Kuzminskas misses 3-pt shot from 27 ft,,32-27,,
0:00.0,,,32-27,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,K. Porzingis makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,34-27,,
11:28.0,,,34-27,,N. Stauskas misses 2-pt shot from 15 ft
11:27.0,,,34-27,,Offensive rebound by J. Embiid
11:23.0,,,34-27,,E. Ilyasova misses 2-pt shot from 10 ft
11:21.0,Defensive rebound by J. Holiday,,34-27,,
11:04.0,K. Porzingis misses 3-pt shot from 27 ft,,34-27,,
11:03.0,,,34-27,,Defensive rebound by J. Embiid
10:55.0,,,34-27,,N. Stauskas misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by K. O'Quinn,,34-27,,
10:37.0,K. Porzingis misses 2-pt shot from 15 ft,,34-27,,
10:36.0,,,34-27,,Defensive rebound by R. Covington
10:29.0,,,34-27,,E. Ilyasova misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Holiday,,34-27,,
10:18.0,J. Holiday misses 2-pt shot from 17 ft,,34-27,,
10:18.0,,,34-27,,Defensive rebound by Team
10:18.0,Loose ball foul by K. O'Quinn (drawn by E. Ilyasova),,34-27,,
10:18.0,J. Noah enters the game for K. O'Quinn,,34-27,,
10:11.0,,,34-27,,Turnover by E. Ilyasova (bad pass)
9:54.0,J. Holiday makes 2-pt shot from 21 ft (assist by M. Kuzminskas),2,36-27,,
9:53.0,,,36-27,,Philadelphia full timeout
9:53.0,C. Lee enters the game for J. Holiday,,36-27,,
9:43.0,Personal foul by J. Noah (drawn by R. Covington),,36-27,,
9:43.0,K. O'Quinn enters the game for J. Noah,,36-27,,
9:32.0,,,36-29,2,J. Embiid makes 2-pt shot from 12 ft
9:14.0,K. O'Quinn makes 2-pt shot from 21 ft,2,38-29,,
9:05.0,,,38-29,,J. Embiid misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by B. Jennings,,38-29,,
8:59.0,,,38-29,,Personal foul by J. Embiid (drawn by B. Jennings)
8:47.0,Turnover by M. Kuzminskas (step out of bounds),,38-29,,
8:35.0,,,38-29,,E. Ilyasova misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by K. O'Quinn,,38-29,,
8:17.0,Turnover by K. O'Quinn (traveling),,38-29,,
8:05.0,,,38-29,,E. Ilyasova misses 2-pt shot from 5 ft
8:03.0,,,38-29,,Offensive rebound by J. Embiid
7:58.0,,,38-29,,J. Embiid misses 2-pt shot from 12 ft (block by K. Porzingis)
7:56.0,Defensive rebound by K. O'Quinn,,38-29,,
7:50.0,M. Kuzminskas misses 3-pt shot from 25 ft,,38-29,,
7:48.0,,,38-29,,Defensive rebound by J. Embiid
7:41.0,,,38-29,,J. Embiid misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by K. O'Quinn,,38-29,,
7:23.0,Offensive foul by M. Kuzminskas,,38-29,,
7:23.0,Turnover by M. Kuzminskas (offensive foul),,38-29,,
7:23.0,,,38-29,,N. Noel enters the game for J. Embiid
7:23.0,,,38-29,,G. Henderson enters the game for R. Covington
7:23.0,L. Thomas enters the game for M. Kuzminskas,,38-29,,
7:12.0,,,38-29,,T. McConnell misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by C. Lee,,38-29,,
7:00.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by C. Lee),2,40-29,,
6:51.0,,,40-29,,E. Ilyasova misses 2-pt shot from 6 ft (block by K. O'Quinn)
6:51.0,,,40-29,,Offensive rebound by E. Ilyasova
6:51.0,,,40-29,,Shooting foul by K. Porzingis (drawn by E. Ilyasova)
6:51.0,,,40-30,1,E. Ilyasova makes free throw 1 of 2
6:51.0,,,40-30,,E. Ilyasova misses free throw 2 of 2
6:51.0,W. Hernangomez enters the game for K. O'Quinn,,40-30,,
6:51.0,,,40-30,,T. Luwawu-Cabarrot enters the game for N. Stauskas
6:50.0,Defensive rebound by L. Thomas,,40-30,,
6:28.0,K. Porzingis makes 2-pt shot from 12 ft (assist by C. Lee),2,42-30,,
6:11.0,,,42-32,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell)
5:59.0,B. Jennings makes 2-pt shot from 16 ft,2,44-32,,
5:53.0,,,44-32,,Turnover by T. McConnell (bad pass)
5:53.0,Official timeout,,44-32,,
5:53.0,,,44-32,,D. Saric enters the game for E. Ilyasova
5:53.0,C. Anthony enters the game for K. Porzingis,,44-32,,
5:31.0,C. Lee makes 2-pt shot from 2 ft,2,46-32,,
5:31.0,Shooting foul by T. Luwawu-Cabarrot (drawn by C. Lee),,46-32,,
5:31.0,C. Lee makes free throw 1 of 1,1,47-32,,
5:18.0,,,47-32,,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft
5:17.0,Defensive rebound by B. Jennings,,47-32,,
5:08.0,B. Jennings makes 2-pt shot from 17 ft,2,49-32,,
4:52.0,,,49-34,2,N. Noel makes 2-pt shot from 15 ft (assist by T. Luwawu-Cabarrot)
4:41.0,Turnover by B. Jennings (lost ball; steal by T. Luwawu-Cabarrot),,49-34,,
4:37.0,,,49-34,,D. Saric misses 2-pt shot from 2 ft (block by C. Anthony)
4:37.0,,,49-34,,Offensive rebound by Team
4:37.0,,,49-34,,S. Rodriguez enters the game for T. McConnell
4:37.0,D. Rose enters the game for L. Thomas,,49-34,,
4:21.0,,,49-36,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft
4:08.0,C. Anthony misses 2-pt shot from 17 ft,,49-36,,
4:07.0,,,49-36,,Defensive rebound by Team
4:07.0,Loose ball foul by W. Hernangomez (drawn by N. Noel),,49-36,,
3:57.0,,,49-36,,Shooting foul by W. Hernangomez (drawn by N. Noel)
3:57.0,,,49-36,,N. Noel misses free throw 1 of 2
3:57.0,,,49-36,,Offensive rebound by Team
3:57.0,,,49-37,1,N. Noel makes free throw 2 of 2
3:57.0,K. Porzingis enters the game for W. Hernangomez,,49-36,,
3:42.0,D. Rose misses 2-pt shot from 6 ft,,49-37,,
3:41.0,,,49-37,,Defensive rebound by N. Noel
3:34.0,,,49-37,,S. Rodriguez misses 2-pt shot from 7 ft
3:31.0,,,49-37,,Offensive rebound by S. Rodriguez
3:31.0,,,49-39,2,S. Rodriguez makes 2-pt shot from 1 ft
3:28.0,,,49-39,,E. Ilyasova enters the game for D. Saric
