time,Chicago,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. H. Whiteside (T. Gibson gains possession)
11:42.0,T. Gibson misses 2-pt shot from 8 ft,,0-0,,
11:41.0,Offensive rebound by R. Lopez,,0-0,,
11:34.0,D. Wade misses 2-pt shot from 18 ft,,0-0,,
11:33.0,Offensive rebound by T. Gibson,,0-0,,
11:23.0,Turnover by R. Rondo (lost ball; steal by J. Winslow),,0-0,,
11:15.0,,,0-3,3,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic)
10:57.0,R. Lopez misses 2-pt shot from 8 ft,,0-3,,
10:56.0,,,0-3,,Defensive rebound by H. Whiteside
10:38.0,,,0-5,2,G. Dragic makes 2-pt shot from 16 ft
10:24.0,Turnover by T. Gibson (traveling),,0-5,,
10:05.0,,,0-8,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters)
9:42.0,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler),2,2-8,,
9:19.0,,,2-8,,G. Dragic misses 2-pt shot from 11 ft
9:18.0,Defensive rebound by J. Butler,,2-8,,
9:05.0,R. Rondo misses 2-pt shot from 2 ft,,2-8,,
9:04.0,,,2-8,,Defensive rebound by H. Whiteside
8:49.0,,,2-8,,D. Waiters misses 2-pt shot from 20 ft
8:48.0,,,2-8,,Offensive rebound by H. Whiteside
8:47.0,,,2-10,2,H. Whiteside makes 2-pt shot from 1 ft
8:35.0,D. Wade misses 2-pt shot from 16 ft,,2-10,,
8:34.0,Offensive rebound by R. Lopez,,2-10,,
8:32.0,R. Lopez makes 2-pt shot from 1 ft,2,4-10,,
8:18.0,,,4-12,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
7:58.0,R. Lopez misses 2-pt shot from 17 ft,,4-12,,
7:57.0,,,4-12,,Defensive rebound by D. Waiters
7:46.0,,,4-12,,H. Whiteside misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by T. Gibson,,4-12,,
7:37.0,D. Wade misses 3-pt shot from 25 ft,,4-12,,
7:36.0,Offensive rebound by R. Lopez,,4-12,,
7:33.0,R. Lopez makes 2-pt shot from 5 ft,2,6-12,,
7:09.0,,,6-12,,H. Whiteside misses 2-pt shot from 1 ft
7:08.0,Defensive rebound by D. Wade,,6-12,,
7:02.0,D. Wade makes 2-pt shot from 8 ft,2,8-12,,
6:40.0,,,8-12,,D. Waiters misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by R. Rondo,,8-12,,
6:37.0,Shooting foul by L. Babbitt (drawn by J. Butler),,8-12,,
6:37.0,J. Butler makes free throw 1 of 2,1,9-12,,
6:37.0,J. Butler makes free throw 2 of 2,1,10-12,,
6:37.0,,,9-12,,J. Johnson enters the game for J. Winslow
6:20.0,,,10-12,,Turnover by G. Dragic (bad pass; steal by R. Rondo)
6:16.0,D. Wade makes 2-pt shot at rim (assist by J. Butler),2,12-12,,
5:52.0,,,12-12,,G. Dragic misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by D. Wade,,12-12,,
5:43.0,Shooting foul by D. Waiters (drawn by J. Butler),,12-12,,
5:43.0,,,12-12,,Miami full timeout
5:43.0,J. Butler makes free throw 1 of 2,1,13-12,,
5:43.0,J. Butler makes free throw 2 of 2,1,14-12,,
5:43.0,D. McDermott enters the game for D. Wade,,12-12,,
5:19.0,,,14-12,,G. Dragic misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by R. Rondo,,14-12,,
5:12.0,D. McDermott misses 3-pt shot from 24 ft,,14-12,,
5:11.0,,,14-12,,Defensive rebound by H. Whiteside
5:02.0,,,14-12,,Turnover by J. Johnson (bad pass)
4:45.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler),2,16-12,,
4:32.0,,,16-12,,J. Richardson enters the game for L. Babbitt
4:22.0,,,16-14,2,D. Waiters makes 2-pt shot from 2 ft
4:01.0,J. Butler misses 2-pt shot from 18 ft,,16-14,,
4:00.0,Offensive rebound by R. Lopez,,16-14,,
3:59.0,R. Lopez misses 2-pt shot from 5 ft,,16-14,,
3:58.0,,,16-14,,Defensive rebound by H. Whiteside
3:50.0,,,16-14,,Turnover by H. Whiteside (traveling)
3:37.0,R. Lopez makes 2-pt shot from 17 ft (assist by R. Rondo),2,18-14,,
3:27.0,,,18-17,3,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
3:17.0,I. Canaan enters the game for R. Rondo,,18-17,,
3:04.0,Turnover by J. Butler (step out of bounds),,18-17,,
3:04.0,,,18-17,,T. Johnson enters the game for D. Waiters
2:51.0,,,18-17,,G. Dragic misses 2-pt shot from 7 ft
2:50.0,Defensive rebound by R. Lopez,,18-17,,
2:31.0,R. Lopez misses 2-pt shot from 8 ft (block by H. Whiteside),,18-17,,
2:30.0,Offensive rebound by Team,,18-17,,
2:30.0,Chicago full timeout,,18-17,,
2:30.0,,,18-17,,J. Winslow enters the game for G. Dragic
2:30.0,N. Mirotic enters the game for T. Gibson,,18-17,,
2:26.0,R. Lopez misses 2-pt shot from 19 ft,,18-17,,
2:25.0,,,18-17,,Defensive rebound by J. Winslow
2:17.0,,,18-17,,J. Winslow misses 2-pt shot from 2 ft (block by R. Lopez)
2:16.0,,,18-17,,Offensive rebound by H. Whiteside
2:15.0,,,18-17,,H. Whiteside misses 2-pt shot from 2 ft
2:14.0,,,18-17,,Offensive rebound by H. Whiteside
2:12.0,,,18-19,2,H. Whiteside makes 2-pt shot from 5 ft
1:48.0,J. Butler misses 3-pt shot from 23 ft,,18-19,,
1:47.0,,,18-19,,Defensive rebound by T. Johnson
1:34.0,,,18-19,,H. Whiteside misses 2-pt shot from 13 ft
1:33.0,Defensive rebound by D. McDermott,,18-19,,
1:22.0,D. McDermott makes 2-pt shot from 22 ft (assist by N. Mirotic),2,20-19,,
1:09.0,,,20-19,,W. Reed enters the game for H. Whiteside
1:09.0,D. Wade enters the game for J. Butler,,20-19,,
1:00.0,,,20-22,3,J. Winslow makes 3-pt shot from 24 ft (assist by T. Johnson)
0:43.0,D. McDermott misses 2-pt shot from 10 ft,,20-22,,
0:41.0,Offensive rebound by N. Mirotic,,20-22,,
0:39.0,N. Mirotic misses 2-pt shot from 6 ft (block by J. Johnson),,20-22,,
0:38.0,,,20-22,,Defensive rebound by J. Johnson
0:34.0,,,20-22,,T. Johnson misses 2-pt shot from 14 ft
0:33.0,Defensive rebound by D. Wade,,20-22,,
0:27.0,,,20-22,,Personal foul by J. Winslow (drawn by D. Wade)
0:27.0,B. Portis enters the game for R. Lopez,,20-22,,
0:15.0,D. McDermott makes 3-pt shot from 24 ft (assist by D. Wade),3,23-22,,
0:03.0,,,23-22,,T. Johnson misses 2-pt shot from 9 ft
0:02.0,Defensive rebound by D. McDermott,,23-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,23-25,3,J. Winslow makes 3-pt shot from 26 ft (assist by T. Johnson)
11:24.0,B. Portis makes 2-pt shot from 3 ft (assist by D. Wade),2,25-25,,
11:06.0,,,25-25,,J. Richardson misses 3-pt shot from 26 ft
11:05.0,,,25-25,,Offensive rebound by Team
11:05.0,Loose ball foul by N. Mirotic (drawn by J. Johnson),,25-25,,
10:50.0,,,25-27,2,J. Johnson makes 2-pt shot from 3 ft
10:33.0,Turnover by D. McDermott (bad pass; steal by J. Winslow),,25-27,,
10:29.0,,,25-29,2,J. Winslow makes 2-pt shot at rim
10:20.0,D. Wade misses 2-pt shot from 3 ft,,25-29,,
10:19.0,,,25-29,,Defensive rebound by W. Reed
10:07.0,,,25-31,2,T. Johnson makes 2-pt shot from 3 ft
10:07.0,,,25-31,,Shooting foul by B. Portis (drawn by T. Johnson)
10:07.0,,,25-32,1,T. Johnson makes free throw 1 of 1
9:45.0,Turnover by D. Wade (bad pass; steal by J. Winslow),,25-32,,
9:39.0,,,25-32,,J. Winslow misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by N. Mirotic,,25-32,,
9:31.0,D. Wade makes 2-pt shot from 3 ft,2,27-32,,
9:31.0,Shooting foul by W. Reed (drawn by D. Wade),,27-32,,
9:31.0,D. Wade makes free throw 1 of 1,1,28-32,,
9:07.0,,,28-34,2,J. Richardson makes 2-pt shot from 12 ft
8:49.0,D. Wade misses 3-pt shot from 23 ft,,28-34,,
8:48.0,,,28-34,,Defensive rebound by J. Richardson
8:35.0,,,28-34,,T. Johnson misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by I. Canaan,,28-34,,
8:23.0,D. McDermott makes 3-pt shot from 25 ft (assist by B. Portis),3,31-34,,
8:09.0,,,31-34,,Turnover by J. Winslow (lost ball)
8:07.0,,,31-34,,Loose ball foul by J. Winslow (drawn by D. Wade)
8:07.0,Official timeout,,31-34,,
8:07.0,R. Rondo enters the game for I. Canaan,,31-34,,
8:07.0,,,31-34,,D. Waiters enters the game for J. Winslow
7:54.0,Turnover by D. Wade (lost ball; steal by D. Waiters),,31-34,,
7:47.0,,,31-34,,J. Richardson misses 2-pt shot from 3 ft
7:44.0,,,31-34,,Offensive rebound by W. Reed
7:43.0,,,31-34,,W. Reed misses 2-pt shot from 1 ft
7:42.0,Defensive rebound by B. Portis,,31-34,,
7:36.0,R. Rondo makes 2-pt shot from 3 ft,2,33-34,,
7:20.0,,,33-34,,W. Reed misses 2-pt shot from 9 ft
7:19.0,Defensive rebound by B. Portis,,33-34,,
7:12.0,Shooting foul by D. Waiters (drawn by N. Mirotic),,33-34,,
7:12.0,N. Mirotic makes free throw 1 of 2,1,34-34,,
7:12.0,N. Mirotic makes free throw 2 of 2,1,35-34,,
7:12.0,J. Butler enters the game for D. Wade,,34-34,,
7:12.0,R. Lopez enters the game for B. Portis,,34-34,,
7:12.0,,,34-34,,J. Winslow enters the game for J. Johnson
7:12.0,,,34-34,,H. Whiteside enters the game for W. Reed
6:54.0,,,35-34,,J. Richardson misses 2-pt shot from 13 ft
6:53.0,Defensive rebound by D. McDermott,,35-34,,
6:37.0,R. Lopez misses 2-pt shot from 2 ft,,35-34,,
6:36.0,,,35-34,,Defensive rebound by T. Johnson
6:25.0,,,35-34,,H. Whiteside misses 2-pt shot from 2 ft
6:24.0,,,35-34,,Offensive rebound by H. Whiteside
6:23.0,,,35-36,2,H. Whiteside makes 2-pt shot from 1 ft
6:07.0,J. Butler misses 2-pt shot from 19 ft,,35-36,,
6:06.0,,,35-36,,Defensive rebound by H. Whiteside
5:54.0,,,35-39,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Winslow)
5:34.0,N. Mirotic makes 3-pt shot from 26 ft (assist by D. McDermott),3,38-39,,
5:22.0,,,38-39,,Miami full timeout
5:22.0,,,38-39,,G. Dragic enters the game for J. Richardson
5:10.0,,,38-39,,T. Johnson misses 2-pt shot from 16 ft
5:09.0,Defensive rebound by J. Butler,,38-39,,
4:50.0,J. Butler makes 2-pt shot from 14 ft,2,40-39,,
4:34.0,,,40-39,,H. Whiteside misses 2-pt shot from 19 ft
4:33.0,Defensive rebound by R. Rondo,,40-39,,
4:27.0,R. Lopez makes 2-pt shot at rim (assist by R. Rondo),2,42-39,,
4:11.0,,,42-41,2,H. Whiteside makes 2-pt shot from 4 ft (assist by D. Waiters)
3:59.0,N. Mirotic misses 2-pt shot from 13 ft,,42-41,,
3:58.0,Offensive rebound by Team,,42-41,,
3:57.0,,,42-41,,Loose ball foul by H. Whiteside (drawn by R. Lopez)
3:57.0,T. Gibson enters the game for N. Mirotic,,42-41,,
3:46.0,R. Rondo misses 2-pt shot from 14 ft,,42-41,,
3:45.0,,,42-41,,Defensive rebound by T. Johnson
3:34.0,,,42-41,,Shooting foul by D. McDermott (drawn by T. Johnson)
3:34.0,,,42-42,1,T. Johnson makes free throw 1 of 2
3:34.0,,,42-42,,T. Johnson misses free throw 2 of 2
3:34.0,D. Wade enters the game for D. McDermott,,42-42,,
3:33.0,Defensive rebound by R. Rondo,,42-42,,
3:17.0,,,42-42,,Violation by H. Whiteside (def goaltending)
3:17.0,T. Gibson makes 2-pt shot from 6 ft,2,44-42,,
2:57.0,,,44-42,,D. Waiters misses 2-pt shot from 2 ft
2:56.0,,,44-42,,Offensive rebound by T. Johnson
2:54.0,,,44-44,2,T. Johnson makes 2-pt shot from 1 ft
2:32.0,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler),2,46-44,,
2:11.0,,,46-47,3,J. Winslow makes 3-pt shot from 23 ft (assist by T. Johnson)
1:49.0,R. Rondo makes 3-pt shot from 24 ft (assist by D. Wade),3,49-47,,
1:35.0,,,49-47,,Turnover by T. Johnson (bad pass; steal by D. Wade)
1:26.0,Turnover by T. Gibson (bad pass; steal by G. Dragic),,49-47,,
1:20.0,,,49-49,2,D. Waiters makes 2-pt shot at rim (assist by G. Dragic)
1:13.0,Chicago full timeout,,49-49,,
1:13.0,,,49-49,,J. Richardson enters the game for J. Winslow
1:13.0,,,49-49,,J. Johnson enters the game for D. Waiters
1:03.0,R. Lopez makes 2-pt shot from 3 ft (assist by R. Rondo),2,51-49,,
0:42.0,,,51-49,,H. Whiteside misses 2-pt shot from 4 ft (block by T. Gibson)
0:41.0,,,51-49,,Offensive rebound by H. Whiteside
0:40.0,,,51-49,,Shooting foul by T. Gibson (drawn by H. Whiteside)
0:40.0,,,51-50,1,H. Whiteside makes free throw 1 of 2
0:40.0,,,51-51,1,H. Whiteside makes free throw 2 of 2
0:40.0,Chicago full timeout,,51-51,,
0:31.0,Turnover by D. Wade (bad pass; steal by G. Dragic),,51-51,,
0:27.0,,,51-53,2,G. Dragic makes 2-pt shot from 2 ft
0:06.0,Shooting foul by T. Johnson (drawn by J. Butler),,51-53,,
0:06.0,J. Butler makes free throw 1 of 2,1,52-53,,
0:06.0,J. Butler makes free throw 2 of 2,1,53-53,,
0:06.0,,,53-53,,Miami full timeout
0:06.0,I. Canaan enters the game for R. Rondo,,53-53,,
0:01.0,,,53-53,,J. Richardson misses 2-pt shot from 21 ft
0:00.0,,,53-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,53-53,,Turnover by H. Whiteside (3 sec)
11:26.0,T. Gibson misses 2-pt shot from 10 ft,,53-53,,
11:25.0,,,53-53,,Defensive rebound by H. Whiteside
11:09.0,,,53-53,,L. Babbitt misses 3-pt shot from 24 ft
11:08.0,,,53-53,,Offensive rebound by J. Winslow
11:04.0,,,53-53,,G. Dragic misses 3-pt shot from 25 ft
11:03.0,,,53-53,,Offensive rebound by H. Whiteside
11:03.0,Personal foul by R. Lopez (drawn by H. Whiteside),,53-53,,
10:53.0,,,53-55,2,G. Dragic makes 2-pt shot from 7 ft
10:35.0,R. Rondo makes 2-pt shot from 16 ft,2,55-55,,
10:16.0,,,55-55,,H. Whiteside misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by T. Gibson,,55-55,,
10:11.0,Shooting foul by G. Dragic (drawn by R. Rondo),,55-55,,
10:11.0,R. Rondo misses free throw 1 of 2,,55-55,,
10:11.0,Offensive rebound by Team,,55-55,,
10:11.0,R. Rondo makes free throw 2 of 2,1,56-55,,
9:52.0,,,56-58,3,D. Waiters makes 3-pt shot from 24 ft (assist by J. Winslow)
9:39.0,Turnover by R. Lopez (bad pass; steal by J. Winslow),,56-58,,
9:33.0,,,56-60,2,D. Waiters makes 2-pt shot from 2 ft (assist by J. Winslow)
9:15.0,R. Rondo makes 2-pt shot from 3 ft,2,58-60,,
9:05.0,,,58-60,,D. Waiters misses 2-pt shot from 1 ft
9:04.0,,,58-60,,Offensive rebound by H. Whiteside
8:57.0,,,58-60,,Shooting foul by J. Butler (drawn by D. Waiters)
8:57.0,,,58-61,1,D. Waiters makes free throw 1 of 2
8:57.0,,,58-61,,D. Waiters misses free throw 2 of 2
8:56.0,Defensive rebound by R. Rondo,,58-61,,
8:30.0,T. Gibson makes 2-pt shot from 4 ft,2,60-61,,
8:16.0,,,60-61,,G. Dragic misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by R. Rondo,,60-61,,
8:09.0,R. Rondo misses 2-pt shot from 3 ft,,60-61,,
8:08.0,Offensive rebound by D. Wade,,60-61,,
8:00.0,D. Wade makes 2-pt shot from 8 ft,2,62-61,,
7:42.0,,,62-61,,L. Babbitt misses 2-pt shot from 13 ft
7:41.0,Defensive rebound by R. Rondo,,62-61,,
7:32.0,R. Lopez misses 2-pt shot from 12 ft,,62-61,,
7:31.0,,,62-61,,Defensive rebound by H. Whiteside
7:19.0,,,62-63,2,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic)
7:02.0,T. Gibson misses 2-pt shot from 14 ft,,62-63,,
7:01.0,,,62-63,,Defensive rebound by H. Whiteside
6:59.0,,,62-63,,Offensive charge foul by D. Waiters
6:59.0,,,62-63,,Turnover by D. Waiters (offensive foul)
6:43.0,D. Wade misses 2-pt shot from 7 ft,,62-63,,
6:42.0,,,62-63,,Defensive rebound by Team
6:27.0,,,62-63,,Turnover by G. Dragic (bad pass; steal by J. Butler)
6:19.0,D. Wade misses 3-pt shot from 25 ft,,62-63,,
6:18.0,Offensive rebound by R. Lopez,,62-63,,
6:13.0,R. Rondo misses 2-pt shot from 16 ft,,62-63,,
6:12.0,,,62-63,,Defensive rebound by J. Winslow
6:07.0,,,62-63,,Turnover by J. Winslow (lost ball; steal by J. Butler)
6:06.0,,,62-63,,Clear path foul by H. Whiteside
6:06.0,J. Butler misses clear path free throw 1 of 2,,62-63,,
6:06.0,Offensive rebound by Team,,62-63,,
6:06.0,J. Butler makes clear path free throw 2 of 2,1,63-63,,
5:53.0,R. Lopez misses 2-pt shot from 10 ft,,63-63,,
5:52.0,Offensive rebound by Team,,63-63,,
5:52.0,,,63-63,,Personal foul by L. Babbitt (drawn by T. Gibson)
5:52.0,,,63-63,,Miami full timeout
5:52.0,D. McDermott enters the game for D. Wade,,63-63,,
5:46.0,J. Butler makes 3-pt shot from 25 ft,3,66-63,,
5:24.0,,,66-63,,Turnover by G. Dragic (lost ball; steal by R. Rondo)
5:19.0,D. McDermott misses 3-pt shot from 24 ft,,66-63,,
5:18.0,Offensive rebound by J. Butler,,66-63,,
5:07.0,Turnover by J. Butler (bad pass; steal by H. Whiteside),,66-63,,
5:00.0,,,66-63,,Turnover by G. Dragic (lost ball; steal by D. McDermott)
4:53.0,D. McDermott misses 2-pt shot from 9 ft,,66-63,,
4:52.0,,,66-63,,Defensive rebound by H. Whiteside
4:50.0,,,66-63,,Miami full timeout
4:50.0,,,66-63,,T. Johnson enters the game for J. Winslow
4:50.0,,,66-63,,J. Johnson enters the game for G. Dragic
