time,LA Lakers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Valanciunas (J. Randle gains possession),,,,Jump ball: T. Mozgov vs. J. Valanciunas (J. Randle gains possession)
11:45.0,T. Mozgov misses 2-pt shot from 7 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by K. Lowry
11:29.0,,,0-0,,D. DeRozan misses 2-pt shot from 2 ft
11:29.0,Defensive rebound by J. Randle,,0-0,,
11:12.0,,,0-0,,Personal foul by J. Valanciunas (drawn by T. Mozgov)
11:04.0,L. Deng misses 2-pt shot from 16 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by N. Powell
10:58.0,,,0-0,,N. Powell misses 2-pt shot from 1 ft (block by J. Randle)
10:58.0,,,0-0,,Offensive rebound by Team
10:50.0,,,0-0,,D. DeRozan misses 2-pt shot from 21 ft
10:50.0,Defensive rebound by B. Ingram,,0-0,,
10:38.0,J. Calderon misses 2-pt shot from 12 ft,,0-0,,
10:37.0,Offensive rebound by T. Mozgov,,0-0,,
10:36.0,T. Mozgov misses 2-pt shot from 3 ft,,0-0,,
10:36.0,Offensive rebound by Team,,0-0,,
10:36.0,Turnover by T. Mozgov (traveling),,0-0,,
10:19.0,Personal foul by B. Ingram (drawn by K. Lowry),,0-0,,
10:13.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 15 ft
9:54.0,,,0-2,,Personal foul by K. Lowry (drawn by J. Randle)
9:46.0,T. Mozgov misses 2-pt shot from 9 ft,,0-2,,
9:45.0,,,0-2,,Defensive rebound by N. Powell
9:33.0,,,0-2,,D. DeRozan misses 2-pt shot from 16 ft
9:32.0,Defensive rebound by J. Calderon,,0-2,,
9:26.0,B. Ingram makes 2-pt shot from 3 ft (assist by J. Calderon),2,2-2,,
9:13.0,,,2-2,,Turnover by K. Lowry (bad pass; steal by L. Deng)
9:05.0,B. Ingram misses 3-pt shot from 24 ft,,2-2,,
9:05.0,,,2-2,,Defensive rebound by D. DeRozan
8:57.0,,,2-5,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
8:36.0,J. Calderon makes 2-pt shot from 13 ft,2,4-5,,
8:16.0,,,4-8,3,N. Powell makes 3-pt shot from 25 ft (assist by J. Valanciunas)
7:52.0,T. Mozgov misses 2-pt shot from 5 ft,,4-8,,
7:52.0,,,4-8,,Defensive rebound by D. DeRozan
7:38.0,,,4-10,2,P. Siakam makes 2-pt shot from 14 ft (assist by D. DeRozan)
7:24.0,J. Calderon misses 2-pt shot from 15 ft,,4-10,,
7:23.0,,,4-10,,Defensive rebound by P. Siakam
7:14.0,,,4-12,2,K. Lowry makes 2-pt shot from 5 ft
