time,Toronto,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Valanciunas (P. Siakam gains possession),,,,Jump ball: T. Mozgov vs. J. Valanciunas (P. Siakam gains possession)
11:49.0,Offensive foul by J. Valanciunas,,0-0,,
11:49.0,Turnover by J. Valanciunas (offensive foul),,0-0,,
11:32.0,,,0-0,,D. Russell misses 2-pt shot from 11 ft
11:30.0,Defensive rebound by J. Valanciunas,,0-0,,
11:22.0,Shooting foul by T. Mozgov (drawn by D. Carroll),,0-0,,
11:22.0,D. Carroll makes free throw 1 of 2,1,1-0,,
11:22.0,D. Carroll makes free throw 2 of 2,1,2-0,,
11:05.0,,,2-0,,J. Randle misses 2-pt shot from 3 ft (block by P. Siakam)
11:03.0,Defensive rebound by P. Siakam,,2-0,,
10:54.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,5-0,,
10:37.0,,,5-0,,T. Mozgov misses 2-pt shot from 6 ft
10:34.0,Defensive rebound by P. Siakam,,5-0,,
10:30.0,Turnover by K. Lowry (bad pass; steal by D. Russell),,5-0,,
10:24.0,,,5-3,3,N. Young makes 3-pt shot from 24 ft (assist by D. Russell)
10:02.0,D. DeRozan makes 2-pt shot from 20 ft,2,7-3,,
9:49.0,,,7-3,,Turnover by N. Young (lost ball; steal by J. Valanciunas)
9:44.0,Turnover by D. Carroll (lost ball; steal by N. Young),,7-3,,
9:38.0,,,7-6,3,N. Young makes 3-pt shot from 25 ft
9:25.0,Shooting foul by N. Young (drawn by D. DeRozan),,7-6,,
9:25.0,D. DeRozan makes free throw 1 of 2,1,8-6,,
9:25.0,D. DeRozan makes free throw 2 of 2,1,9-6,,
9:03.0,,,9-6,,Shooting foul by D. Carroll (drawn by J. Randle)
9:03.0,,,9-7,1,J. Randle makes free throw 1 of 2
9:03.0,,,9-8,1,J. Randle makes free throw 2 of 2
8:50.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,11-8,,
8:24.0,,,11-8,,T. Mozgov misses 2-pt shot from 4 ft
8:21.0,Defensive rebound by P. Siakam,,11-8,,
8:15.0,D. DeRozan makes 2-pt shot from 22 ft,2,13-8,,
8:07.0,,,13-8,,Shooting foul by D. DeRozan (drawn by T. Mozgov)
8:07.0,,,13-9,1,T. Mozgov makes free throw 1 of 2
8:07.0,,,13-10,1,T. Mozgov makes free throw 2 of 2
7:52.0,D. DeRozan misses 2-pt shot from 6 ft,,13-10,,
7:52.0,,,13-10,,Defensive rebound by J. Randle
7:32.0,,,13-10,,N. Young misses 2-pt shot from 22 ft
