time,Sacramento,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,T. Lawson misses 2-pt shot from 18 ft,,0-0,,
12:00.0,Jump ball: K. Koufos vs. M. Plumlee,,,,Jump ball: K. Koufos vs. M. Plumlee
11:37.0,,,0-0,,Defensive rebound by M. Plumlee
11:29.0,,,0-0,,M. Leonard misses 2-pt shot from 1 ft
11:29.0,Defensive rebound by R. Gay,,0-0,,
11:21.0,Turnover by K. Koufos (bad pass),,0-0,,
11:04.0,,,0-2,2,D. Lillard makes 2-pt shot from 18 ft
10:42.0,D. Cousins makes 3-pt shot from 26 ft (assist by T. Lawson),3,3-2,,
10:23.0,,,3-5,3,M. Harkless makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:10.0,A. Afflalo misses 3-pt shot from 24 ft,,3-5,,
10:08.0,,,3-5,,Defensive rebound by M. Harkless
9:57.0,,,3-5,,M. Harkless misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by D. Cousins,,3-5,,
9:54.0,Shooting foul by M. Harkless (drawn by R. Gay),,3-5,,
9:54.0,R. Gay makes free throw 1 of 2,1,4-5,,
9:54.0,R. Gay makes free throw 2 of 2,1,5-5,,
9:37.0,,,5-7,2,M. Leonard makes 2-pt shot from 21 ft (assist by M. Plumlee)
9:20.0,D. Cousins misses 2-pt shot from 2 ft,,5-7,,
9:20.0,,,5-7,,Defensive rebound by M. Leonard
9:14.0,,,5-9,2,C. McCollum makes 2-pt shot from 1 ft (assist by M. Harkless)
9:02.0,K. Koufos misses 2-pt shot from 4 ft (block by M. Plumlee),,5-9,,
9:01.0,,,5-9,,Defensive rebound by M. Leonard
8:55.0,,,5-11,2,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard)
8:50.0,Sacramento full timeout,,5-11,,
8:40.0,A. Afflalo makes 2-pt shot from 16 ft,2,7-11,,
8:22.0,,,7-11,,M. Harkless misses 2-pt shot at rim
8:22.0,Defensive rebound by D. Cousins,,7-11,,
8:13.0,K. Koufos makes 2-pt shot at rim (assist by T. Lawson),2,9-11,,
7:56.0,Personal take foul by K. Koufos (drawn by M. Harkless),,9-11,,
7:53.0,,,9-14,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
