time,Washington,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Turner (O. Porter gains possession),,,,Jump ball: M. Gortat vs. M. Turner (O. Porter gains possession)
11:45.0,Turnover by M. Morris (lost ball; steal by J. Teague),,0-0,,
11:40.0,,,0-0,,Turnover by M. Turner (bad pass; steal by J. Wall)
11:26.0,B. Beal makes 2-pt shot from 9 ft,2,2-0,,
11:08.0,,,2-0,,M. Turner misses 2-pt shot from 19 ft
11:07.0,Defensive rebound by M. Gortat,,2-0,,
10:59.0,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall),3,5-0,,
10:43.0,,,5-0,,T. Young misses 2-pt shot from 21 ft
10:43.0,Defensive rebound by M. Gortat,,5-0,,
10:30.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,8-0,,
10:24.0,,,8-0,,Shooting foul by B. Beal (drawn by P. George)
10:24.0,,,8-1,1,P. George makes free throw 1 of 2
10:24.0,,,8-1,,P. George misses free throw 2 of 2
10:23.0,Defensive rebound by O. Porter,,8-1,,
10:07.0,J. Wall makes 2-pt shot from 22 ft,2,10-1,,
9:46.0,,,10-1,,J. Teague misses 2-pt shot from 13 ft
9:46.0,Defensive rebound by O. Porter,,10-1,,
9:38.0,B. Beal misses 3-pt shot from 27 ft,,10-1,,
9:37.0,Offensive rebound by Team,,10-1,,
9:37.0,,,10-1,,Loose ball foul by T. Young (drawn by O. Porter)
9:23.0,O. Porter makes 2-pt shot from 21 ft (assist by M. Gortat),2,12-1,,
9:18.0,,,12-1,,Indiana full timeout
9:10.0,,,12-3,2,P. George makes 2-pt shot from 3 ft
9:10.0,,,12-3,,Shooting foul by M. Morris (drawn by P. George)
9:10.0,,,12-4,1,P. George makes free throw 1 of 1
8:59.0,J. Wall misses 2-pt shot from 17 ft,,12-4,,
8:59.0,,,12-4,,Defensive rebound by T. Young
8:47.0,,,12-4,,J. Teague misses 2-pt shot from 5 ft
8:46.0,,,12-4,,Offensive rebound by J. Teague
8:44.0,,,12-4,,J. Teague misses 2-pt shot from 1 ft (block by O. Porter)
8:43.0,Defensive rebound by O. Porter,,12-4,,
8:37.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,14-4,,
8:22.0,,,14-4,,P. George misses 2-pt shot from 21 ft
8:22.0,Defensive rebound by M. Morris,,14-4,,
8:13.0,Turnover by J. Wall (lost ball; steal by J. Teague),,14-4,,
8:08.0,,,14-6,2,T. Young makes 2-pt shot from 1 ft
7:52.0,M. Morris misses 2-pt shot from 3 ft (block by M. Turner),,14-6,,
7:51.0,,,14-6,,Defensive rebound by T. Young
7:43.0,,,14-6,,G. Robinson misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by Team,,14-6,,
7:26.0,O. Porter misses 2-pt shot from 20 ft,,14-6,,
7:26.0,,,14-6,,Defensive rebound by P. George
7:08.0,,,14-8,2,P. George makes 2-pt shot from 3 ft (assist by J. Teague)
6:51.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,16-8,,
6:38.0,,,16-10,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
