time,Brooklyn,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (J. Lin gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (J. Lin gains possession)
11:44.0,C. LeVert makes 2-pt shot from 19 ft,2,2-0,,
11:21.0,,,2-2,2,N. Vucevic makes 2-pt shot from 11 ft
11:01.0,C. LeVert misses 3-pt shot from 26 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by N. Vucevic
10:49.0,,,2-2,,E. Payton misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by R. Hollis-Jefferson,,2-2,,
10:41.0,J. Lin makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,4-2,,
10:20.0,,,4-4,2,N. Vucevic makes 2-pt shot from 18 ft (assist by T. Ross)
10:04.0,Turnover by B. Lopez (lost ball),,4-4,,
9:47.0,,,4-4,,N. Vucevic misses 2-pt shot from 4 ft
9:47.0,,,4-4,,Offensive rebound by Team
9:39.0,,,4-4,,A. Gordon misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by C. LeVert,,4-4,,
9:27.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,4-4,,
9:25.0,,,4-4,,Defensive rebound by E. Payton
9:17.0,,,4-4,,Turnover by E. Payton (bad pass)
9:00.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by R. Foye),2,6-4,,
8:40.0,,,6-7,3,T. Ross makes 3-pt shot from 25 ft (assist by A. Gordon)
8:29.0,J. Lin makes 2-pt shot from 18 ft,2,8-7,,
8:16.0,,,8-7,,N. Vucevic misses 2-pt shot from 2 ft
8:15.0,Defensive rebound by B. Lopez,,8-7,,
8:10.0,,,8-7,,Violation by N. Vucevic (kicked ball)
8:04.0,J. Lin misses 2-pt shot from 2 ft (block by E. Payton),,8-7,,
8:02.0,,,8-7,,Defensive rebound by N. Vucevic
7:56.0,,,8-9,2,A. Gordon makes 2-pt shot at rim (assist by T. Ross)
7:46.0,B. Lopez misses 3-pt shot from 25 ft,,8-9,,
7:45.0,,,8-9,,Defensive rebound by A. Gordon
7:38.0,,,8-11,2,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton)
7:23.0,B. Lopez makes 2-pt shot from 10 ft (assist by J. Lin),2,10-11,,
7:12.0,,,10-11,,Shooting foul by B. Lopez (drawn by E. Payton)
7:12.0,,,10-11,,E. Payton misses free throw 1 of 2
7:12.0,,,10-11,,Offensive rebound by Team
7:12.0,,,10-12,1,E. Payton makes free throw 2 of 2
6:51.0,C. LeVert makes 2-pt shot from 2 ft,2,12-12,,
6:38.0,,,12-14,2,A. Gordon makes 2-pt shot from 2 ft
6:38.0,Brooklyn full timeout,,12-14,,
6:20.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,12-14,,
6:19.0,,,12-14,,Defensive rebound by N. Vucevic
6:08.0,,,12-14,,J. Meeks misses 2-pt shot from 20 ft
6:06.0,Defensive rebound by R. Hollis-Jefferson,,12-14,,
5:56.0,J. Lin makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,15-14,,
5:35.0,,,15-14,,A. Gordon misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by C. LeVert,,15-14,,
5:27.0,,,15-14,,Personal foul by A. Gordon (drawn by C. LeVert)
5:27.0,I. Whitehead enters the game for C. LeVert,,15-14,,
5:24.0,B. Lopez misses 2-pt shot from 6 ft,,15-14,,
5:22.0,,,15-14,,Defensive rebound by N. Vucevic
5:12.0,,,15-14,,N. Vucevic misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by J. Lin,,15-14,,
5:04.0,J. Lin misses 2-pt shot from 20 ft,,15-14,,
5:03.0,,,15-14,,Defensive rebound by A. Gordon
4:53.0,,,15-17,3,E. Payton makes 3-pt shot from 25 ft (assist by T. Ross)
4:38.0,J. Lin misses 3-pt shot from 25 ft,,15-17,,
4:37.0,,,15-17,,Defensive rebound by T. Ross
4:31.0,,,15-17,,E. Payton misses 2-pt shot from 18 ft
4:30.0,Defensive rebound by J. Lin,,15-17,,
4:14.0,B. Lopez misses 2-pt shot from 15 ft,,15-17,,
4:12.0,,,15-17,,Defensive rebound by E. Payton
4:02.0,,,15-19,2,N. Vucevic makes 2-pt shot from 19 ft
3:49.0,Turnover by B. Lopez (bad pass; steal by A. Gordon),,15-19,,
3:41.0,,,15-19,,N. Vucevic misses 2-pt shot from 2 ft (block by I. Whitehead)
3:38.0,Defensive rebound by J. Lin,,15-19,,
3:32.0,Shooting foul by E. Payton (drawn by I. Whitehead),,15-19,,
3:32.0,I. Whitehead makes free throw 1 of 2,1,16-19,,
3:32.0,I. Whitehead makes free throw 2 of 2,1,17-19,,
3:32.0,Q. Acy enters the game for R. Hollis-Jefferson,,16-19,,
3:32.0,,,16-19,,M. Hezonja enters the game for N. Vucevic
3:32.0,,,16-19,,B. Biyombo enters the game for J. Meeks
3:22.0,,,17-19,,E. Payton misses 2-pt shot from 10 ft
3:21.0,,,17-19,,Offensive rebound by Team
3:21.0,Loose ball foul by J. Lin (drawn by B. Biyombo),,17-19,,
3:21.0,,,17-19,,Orlando full timeout
3:21.0,S. Dinwiddie enters the game for R. Foye,,17-19,,
3:21.0,A. Goodwin enters the game for J. Lin,,17-19,,
3:21.0,J. Hamilton enters the game for B. Lopez,,17-19,,
3:08.0,,,17-19,,A. Gordon misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by A. Goodwin,,17-19,,
2:59.0,Turnover by A. Goodwin (bad pass; steal by T. Ross),,17-19,,
2:43.0,,,17-19,,E. Payton misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by A. Goodwin,,17-19,,
2:22.0,Turnover by J. Hamilton (lost ball; steal by T. Ross),,17-19,,
2:11.0,,,17-19,,Turnover by A. Gordon (bad pass; steal by S. Dinwiddie)
