time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. Z. Pachulia (V. Oladipo gains possession),,,,Jump ball: J. Grant vs. Z. Pachulia (V. Oladipo gains possession)
11:46.0,V. Oladipo makes 3-pt shot from 26 ft (assist by R. Westbrook),3,3-0,,
11:32.0,Personal foul by A. Roberson (drawn by D. Green),,3-0,,
11:24.0,,,3-0,,Turnover by Z. Pachulia (bad pass; steal by D. Sabonis)
11:20.0,Turnover by R. Westbrook (bad pass; steal by S. Curry),,3-0,,
11:15.0,,,3-2,2,K. Durant makes 2-pt shot from 1 ft (assist by K. Thompson)
10:54.0,J. Grant misses 3-pt shot from 25 ft,,3-2,,
10:53.0,,,3-2,,Defensive rebound by K. Durant
10:47.0,,,3-2,,Shooting foul by J. Grant (drawn by K. Durant)
10:47.0,,,3-3,1,K. Durant makes free throw 1 of 2
10:47.0,,,3-4,1,K. Durant makes free throw 2 of 2
10:29.0,J. Grant misses 3-pt shot from 26 ft,,3-4,,
10:28.0,,,3-4,,Defensive rebound by K. Durant
10:21.0,,,3-4,,Turnover by K. Durant (bad pass; steal by V. Oladipo)
10:16.0,V. Oladipo makes 2-pt shot from 1 ft,2,5-4,,
10:02.0,,,5-4,,Turnover by K. Durant (bad pass; steal by V. Oladipo)
10:01.0,,,5-4,,Personal take foul by K. Durant (drawn by V. Oladipo)
9:44.0,J. Grant misses 2-pt shot from 6 ft,,5-4,,
9:43.0,,,5-4,,Defensive rebound by S. Curry
9:32.0,,,5-4,,S. Curry misses 2-pt shot from 8 ft
9:31.0,Defensive rebound by R. Westbrook,,5-4,,
9:25.0,A. Roberson misses 2-pt shot from 2 ft (block by K. Durant),,5-4,,
9:22.0,,,5-4,,Defensive rebound by D. Green
9:08.0,,,5-7,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
8:49.0,Turnover by D. Sabonis (lost ball; steal by Z. Pachulia),,5-7,,
8:45.0,,,5-9,2,D. Green makes 2-pt shot at rim
8:44.0,Oklahoma City full timeout,,5-9,,
8:34.0,R. Westbrook misses 2-pt shot from 18 ft,,5-9,,
8:33.0,,,5-9,,Defensive rebound by S. Curry
8:28.0,,,5-12,3,S. Curry makes 3-pt shot from 29 ft
8:13.0,V. Oladipo makes 2-pt shot from 18 ft,2,7-12,,
7:54.0,,,7-12,,D. Green misses 2-pt shot from 3 ft
7:53.0,Defensive rebound by V. Oladipo,,7-12,,
7:47.0,V. Oladipo misses 3-pt shot from 25 ft,,7-12,,
7:46.0,Offensive rebound by R. Westbrook,,7-12,,
7:36.0,Shooting foul by K. Durant (drawn by J. Grant),,7-12,,
7:36.0,J. Grant misses free throw 1 of 2,,7-12,,
7:36.0,Offensive rebound by Team,,7-12,,
7:36.0,J. Grant makes free throw 2 of 2,1,8-12,,
7:36.0,,,7-12,,A. Iguodala enters the game for K. Durant
7:19.0,,,8-12,,K. Thompson misses 3-pt shot from 24 ft
7:18.0,,,8-12,,Offensive rebound by Team
7:08.0,,,8-14,2,S. Curry makes 2-pt shot from 3 ft
6:56.0,D. Sabonis makes 2-pt shot at rim (assist by R. Westbrook),2,10-14,,
6:38.0,,,10-16,2,A. Iguodala makes 2-pt shot from 20 ft (assist by Z. Pachulia)
6:25.0,R. Westbrook makes 3-pt shot from 24 ft,3,13-16,,
6:17.0,,,13-16,,Turnover by D. Green (bad pass; steal by V. Oladipo)
6:16.0,,,13-16,,Personal foul by Z. Pachulia (drawn by V. Oladipo)
6:16.0,E. Kanter enters the game for D. Sabonis,,13-16,,
6:03.0,Turnover by R. Westbrook (bad pass; steal by K. Thompson),,13-16,,
5:58.0,,,13-18,2,S. Curry makes 2-pt shot at rim (assist by A. Iguodala)
5:46.0,R. Westbrook misses 2-pt shot from 17 ft,,13-18,,
5:44.0,,,13-18,,Defensive rebound by Z. Pachulia
5:40.0,Personal foul by J. Grant (drawn by Z. Pachulia),,13-18,,
5:35.0,,,13-18,,Shooting foul by J. Grant (drawn by Z. Pachulia)
5:35.0,,,13-19,1,Z. Pachulia makes free throw 1 of 2
5:35.0,,,13-20,1,Z. Pachulia makes free throw 2 of 2
5:35.0,C. Payne enters the game for J. Grant,,13-19,,
5:24.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,15-20,,
5:13.0,,,15-22,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry)
5:13.0,,,15-22,,Shooting foul by C. Payne (drawn by Z. Pachulia)
5:13.0,,,15-22,,Z. Pachulia misses free throw 1 of 1
5:12.0,Defensive rebound by R. Westbrook,,15-22,,
5:03.0,V. Oladipo makes 3-pt shot from 26 ft (assist by R. Westbrook),3,18-22,,
4:50.0,,,18-22,,K. Thompson misses 2-pt shot from 6 ft (block by V. Oladipo)
4:47.0,,,18-22,,Offensive rebound by Z. Pachulia
