time,Charlotte,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (O. Porter gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (O. Porter gains possession)
11:35.0,,,0-0,,B. Beal misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by Team,,0-0,,
11:35.0,,,0-0,,Loose ball foul by M. Gortat (drawn by C. Zeller)
11:12.0,K. Walker misses 2-pt shot from 16 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by M. Gortat
11:00.0,,,0-2,2,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal)
10:53.0,,,0-2,,Personal foul by O. Porter (drawn by K. Walker)
10:43.0,K. Walker makes 2-pt shot from 16 ft (assist by N. Batum),2,2-2,,
10:31.0,,,2-2,,B. Beal misses 2-pt shot from 17 ft
10:29.0,Defensive rebound by C. Zeller,,2-2,,
10:21.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,4-2,,
10:00.0,,,4-2,,O. Porter misses 2-pt shot from 21 ft
9:58.0,Defensive rebound by M. Williams,,4-2,,
9:38.0,K. Walker misses 3-pt shot from 26 ft,,4-2,,
9:37.0,,,4-2,,Defensive rebound by M. Gortat
9:27.0,,,4-2,,J. Wall misses 2-pt shot from 17 ft
9:26.0,,,4-2,,Offensive rebound by Team
9:13.0,,,4-4,2,J. Wall makes 2-pt shot from 2 ft (assist by B. Beal)
9:02.0,Turnover by N. Batum (lost ball; steal by J. Wall),,4-4,,
9:01.0,,,4-4,,Offensive foul by J. Wall
9:01.0,,,4-4,,Turnover by J. Wall (offensive foul)
8:52.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by K. Oubre),,4-4,,
8:48.0,,,4-4,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Beal)
8:48.0,,,4-5,1,B. Beal makes free throw 1 of 2
8:48.0,,,4-6,1,B. Beal makes free throw 2 of 2
8:34.0,C. Zeller misses 2-pt shot from 3 ft,,4-6,,
8:32.0,,,4-6,,Defensive rebound by O. Porter
8:23.0,,,4-6,,J. Wall misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by N. Batum,,4-6,,
8:16.0,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum),2,6-6,,
7:56.0,,,6-6,,K. Oubre misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by M. Kidd-Gilchrist,,6-6,,
7:38.0,N. Batum makes 2-pt shot from 21 ft (assist by K. Walker),2,8-6,,
7:22.0,,,8-8,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
6:58.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by K. Walker),2,10-8,,
6:34.0,,,10-10,2,M. Gortat makes 2-pt shot from 6 ft (assist by B. Beal)
6:19.0,N. Batum misses 3-pt shot from 27 ft,,10-10,,
6:18.0,,,10-10,,Defensive rebound by O. Porter
6:13.0,,,10-12,2,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall)
5:48.0,Shooting foul by B. Beal (drawn by N. Batum),,10-12,,
5:48.0,,,10-12,,Washington full timeout
5:48.0,N. Batum makes free throw 1 of 2,1,11-12,,
5:48.0,N. Batum makes free throw 2 of 2,1,12-12,,
5:38.0,,,12-12,,M. Gortat misses 2-pt shot at rim (block by C. Zeller)
5:36.0,,,12-12,,Offensive rebound by O. Porter
5:33.0,,,12-14,2,O. Porter makes 2-pt shot from 15 ft
5:15.0,C. Zeller makes 2-pt shot from 3 ft (assist by N. Batum),2,14-14,,
4:57.0,,,14-14,,B. Beal misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
4:53.0,Defensive rebound by M. Kidd-Gilchrist,,14-14,,
4:39.0,M. Williams makes 2-pt shot from 5 ft (assist by N. Batum),2,16-14,,
4:27.0,,,16-14,,Turnover by M. Gortat (bad pass; steal by M. Kidd-Gilchrist)
4:19.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,18-14,,
4:04.0,,,18-16,2,J. Wall makes 2-pt shot from 4 ft
3:44.0,N. Batum makes 3-pt shot from 26 ft,3,21-16,,
3:33.0,Personal foul by K. Walker (drawn by J. Wall),,21-16,,
3:33.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,21-16,,
3:33.0,R. Sessions enters the game for M. Williams,,21-16,,
3:33.0,M. Belinelli enters the game for K. Walker,,21-16,,
3:33.0,,,21-16,,J. Smith enters the game for O. Porter
3:22.0,,,21-16,,Turnover by J. Wall (bad pass; steal by R. Sessions)
3:06.0,N. Batum makes 2-pt shot from 13 ft,2,23-16,,
2:49.0,,,23-18,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
2:35.0,Charlotte full timeout,,23-18,,
2:35.0,R. Hibbert enters the game for C. Zeller,,23-18,,
2:27.0,M. Belinelli makes 2-pt shot from 2 ft (assist by N. Batum),2,25-18,,
2:05.0,,,25-18,,B. Beal misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by M. Belinelli,,25-18,,
2:00.0,Turnover by N. Batum (lost ball; steal by J. Wall),,25-18,,
1:52.0,,,25-20,2,J. Wall makes 2-pt shot from 1 ft
1:43.0,F. Kaminsky misses 3-pt shot from 26 ft,,25-20,,
1:42.0,,,25-20,,Defensive rebound by B. Beal
1:33.0,Personal foul by R. Sessions (drawn by J. Wall),,25-20,,
1:33.0,,,25-20,,M. Thornton enters the game for B. Beal
1:19.0,,,25-22,2,J. Smith makes 2-pt shot from 16 ft (assist by M. Gortat)
1:05.0,Turnover by F. Kaminsky (lost ball; steal by K. Oubre),,25-22,,
1:00.0,,,25-24,2,K. Oubre makes 2-pt shot from 1 ft
0:43.0,Shooting foul by M. Thornton (drawn by R. Hibbert),,25-24,,
0:43.0,R. Hibbert makes free throw 1 of 2,1,26-24,,
0:43.0,R. Hibbert makes free throw 2 of 2,1,27-24,,
0:36.0,,,27-26,2,J. Wall makes 2-pt shot from 14 ft
0:28.0,R. Sessions makes 3-pt shot from 26 ft,3,30-26,,
0:04.0,,,30-26,,J. Smith misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by F. Kaminsky,,30-26,,
0:00.0,F. Kaminsky misses 3-pt shot from 62 ft,,30-26,,
0:00.0,Offensive rebound by Team,,30-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,F. Kaminsky misses 2-pt shot from 12 ft,,30-26,,
11:42.0,,,30-26,,Defensive rebound by K. Oubre
11:17.0,,,30-26,,J. Smith misses 2-pt shot from 6 ft
11:16.0,Defensive rebound by F. Kaminsky,,30-26,,
10:59.0,F. Kaminsky misses 2-pt shot from 5 ft,,30-26,,
10:58.0,,,30-26,,Defensive rebound by J. Smith
10:45.0,,,30-26,,A. Nicholson misses 2-pt shot from 2 ft
10:43.0,Defensive rebound by R. Hibbert,,30-26,,
10:35.0,M. Belinelli makes 3-pt shot from 27 ft,3,33-26,,
