time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Gasol (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. M. Gasol (T. Parker gains possession)
11:42.0,Turnover by T. Parker (bad pass; steal by M. Conley),,0-0,,
11:22.0,,,0-2,2,M. Gasol makes 2-pt shot from 13 ft
10:57.0,T. Parker makes 2-pt shot from 23 ft (assist by D. Green),2,2-2,,
10:28.0,,,2-2,,M. Gasol misses 2-pt shot from 20 ft
10:27.0,Defensive rebound by L. Aldridge,,2-2,,
10:11.0,J. Simmons misses 2-pt shot from 5 ft (block by T. Allen),,2-2,,
10:09.0,,,2-2,,Defensive rebound by J. Green
9:57.0,,,2-2,,J. Green misses 2-pt shot from 3 ft
9:54.0,,,2-2,,Offensive rebound by J. Green
9:54.0,,,2-4,2,J. Green makes 2-pt shot at rim
9:36.0,D. Green misses 3-pt shot from 24 ft,,2-4,,
9:35.0,Offensive rebound by D. Dedmon,,2-4,,
9:29.0,Turnover by D. Green (step out of bounds),,2-4,,
9:19.0,,,2-4,,C. Parsons misses 2-pt shot from 13 ft
9:17.0,Defensive rebound by D. Green,,2-4,,
9:12.0,D. Green misses 2-pt shot from 10 ft (block by T. Allen),,2-4,,
9:11.0,Offensive rebound by D. Green,,2-4,,
8:58.0,D. Green misses 3-pt shot from 23 ft,,2-4,,
8:57.0,,,2-4,,Defensive rebound by M. Gasol
8:57.0,Loose ball foul by D. Dedmon (drawn by M. Gasol),,2-4,,
8:44.0,,,2-4,,C. Parsons misses 2-pt shot from 3 ft
8:42.0,Defensive rebound by D. Green,,2-4,,
8:28.0,L. Aldridge misses 2-pt shot from 21 ft,,2-4,,
8:28.0,,,2-4,,Defensive rebound by M. Gasol
8:13.0,,,2-4,,C. Parsons misses 2-pt shot from 18 ft
8:10.0,Defensive rebound by D. Dedmon,,2-4,,
7:54.0,J. Simmons makes 2-pt shot from 19 ft (assist by L. Aldridge),2,4-4,,
