time,Milwaukee,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (M. Dellavedova gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (M. Dellavedova gains possession)
11:32.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by M. Dellavedova),2,2-0,,
11:10.0,,,2-2,2,A. Drummond makes 2-pt shot from 1 ft
10:57.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,5-2,,
10:31.0,,,5-4,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by T. Harris)
10:22.0,,,5-4,,Personal foul by T. Harris (drawn by M. Dellavedova)
10:19.0,,,5-4,,Personal foul by M. Morris (drawn by G. Antetokounmpo)
10:15.0,Turnover by M. Plumlee (lost ball; steal by T. Harris),,5-4,,
10:07.0,,,5-7,3,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
9:49.0,T. Snell misses 2-pt shot from 20 ft,,5-7,,
9:48.0,,,5-7,,Defensive rebound by K. Caldwell-Pope
9:37.0,,,5-7,,M. Morris misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by G. Antetokounmpo,,5-7,,
9:27.0,G. Antetokounmpo misses 2-pt shot at rim,,5-7,,
9:26.0,,,5-7,,Defensive rebound by I. Smith
9:19.0,,,5-9,2,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by I. Smith)
9:02.0,T. Snell makes 2-pt shot from 1 ft (assist by M. Plumlee),2,7-9,,
8:38.0,,,7-11,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by M. Morris)
8:29.0,Turnover by M. Dellavedova (bad pass; steal by M. Morris),,7-11,,
8:24.0,,,7-11,,Turnover by M. Morris (bad pass; steal by T. Snell)
8:14.0,T. Snell makes 2-pt shot from 16 ft (assist by M. Plumlee),2,9-11,,
7:58.0,,,9-14,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
7:39.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,9-14,,
7:39.0,,,9-14,,Defensive rebound by A. Drummond
7:29.0,,,9-16,2,T. Harris makes 2-pt shot from 13 ft (assist by I. Smith)
7:27.0,Milwaukee full timeout,,9-16,,
7:10.0,T. Snell misses 3-pt shot from 24 ft,,9-16,,
7:08.0,,,9-16,,Defensive rebound by A. Drummond
6:56.0,,,9-16,,Turnover by I. Smith (bad pass; steal by M. Plumlee)
6:33.0,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,11-16,,
6:16.0,,,11-16,,I. Smith misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by G. Antetokounmpo,,11-16,,
5:56.0,J. Parker misses 2-pt shot from 8 ft,,11-16,,
5:56.0,,,11-16,,Defensive rebound by T. Harris
5:44.0,,,11-16,,K. Caldwell-Pope misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by G. Antetokounmpo,,11-16,,
5:26.0,J. Parker makes 2-pt shot from 1 ft,2,13-16,,
5:13.0,,,13-16,,Turnover by T. Harris (traveling)
5:13.0,,,13-16,,J. Leuer enters the game for M. Morris
5:13.0,G. Monroe enters the game for M. Plumlee,,13-16,,
5:13.0,R. Vaughn enters the game for T. Snell,,13-16,,
5:13.0,M. Brogdon enters the game for M. Dellavedova,,13-16,,
4:54.0,M. Brogdon misses 2-pt shot at rim,,13-16,,
4:52.0,,,13-16,,Defensive rebound by J. Leuer
4:46.0,,,13-18,2,I. Smith makes 2-pt shot at rim
4:20.0,J. Parker misses 2-pt shot from 6 ft (block by A. Drummond),,13-18,,
4:19.0,,,13-18,,Defensive rebound by A. Drummond
4:16.0,,,13-20,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
3:55.0,G. Monroe misses 2-pt shot from 9 ft,,13-20,,
3:55.0,,,13-20,,Defensive rebound by A. Drummond
3:52.0,,,13-20,,Turnover by I. Smith (bad pass; steal by G. Monroe)
3:46.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,15-20,,
3:19.0,,,15-20,,K. Caldwell-Pope misses 3-pt shot from 27 ft
3:19.0,Defensive rebound by G. Monroe,,15-20,,
3:03.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,15-20,,
3:02.0,,,15-20,,Defensive rebound by A. Drummond
2:53.0,,,15-22,2,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith)
2:33.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,15-22,,
2:33.0,,,15-22,,Detroit full timeout
2:33.0,G. Antetokounmpo makes free throw 1 of 2,1,16-22,,
2:33.0,G. Antetokounmpo makes free throw 2 of 2,1,17-22,,
2:33.0,,,15-22,,A. Baynes enters the game for T. Harris
2:33.0,,,15-22,,B. Udrih enters the game for A. Drummond
2:33.0,,,15-22,,M. Morris enters the game for I. Smith
2:33.0,M. Teletovic enters the game for J. Parker,,15-22,,
2:17.0,,,17-22,,M. Morris misses 2-pt shot from 18 ft
2:17.0,Defensive rebound by G. Antetokounmpo,,17-22,,
1:59.0,G. Monroe misses 2-pt shot from 5 ft,,17-22,,
1:59.0,,,17-22,,Defensive rebound by A. Baynes
1:41.0,,,17-22,,A. Baynes misses 2-pt shot from 6 ft
1:41.0,Defensive rebound by G. Monroe,,17-22,,
1:29.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,19-22,,
1:29.0,Shooting foul by B. Udrih (drawn by M. Brogdon),,19-22,,
1:29.0,M. Brogdon misses free throw 1 of 1,,19-22,,
1:29.0,M. Beasley enters the game for G. Antetokounmpo,,19-22,,
1:29.0,,,19-22,,S. Johnson enters the game for K. Caldwell-Pope
1:28.0,,,19-22,,Defensive rebound by M. Morris
1:13.0,,,19-22,,B. Udrih misses 2-pt shot from 14 ft
1:13.0,,,19-22,,Offensive rebound by M. Morris
1:10.0,,,19-22,,M. Morris misses 2-pt shot from 1 ft
1:08.0,,,19-22,,Offensive rebound by A. Baynes
1:06.0,,,19-24,2,A. Baynes makes 2-pt shot at rim
0:49.0,G. Monroe makes 2-pt shot from 1 ft,2,21-24,,
0:26.0,,,21-24,,Turnover by B. Udrih (bad pass; steal by R. Vaughn)
0:02.0,G. Monroe misses 2-pt shot from 5 ft,,21-24,,
0:01.0,,,21-24,,Defensive rebound by M. Morris
0:01.0,,,21-24,,M. Morris misses 3-pt shot from 79 ft
0:00.0,,,21-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-24,,M. Morris misses 2-pt shot from 5 ft
11:41.0,,,21-24,,Offensive rebound by A. Baynes
11:39.0,,,21-26,2,A. Baynes makes 2-pt shot at rim
11:26.0,M. Beasley makes 2-pt shot from 2 ft,2,23-26,,
11:07.0,,,23-26,,A. Baynes misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by R. Vaughn,,23-26,,
10:55.0,R. Vaughn misses 2-pt shot from 6 ft,,23-26,,
10:55.0,,,23-26,,Defensive rebound by S. Johnson
10:47.0,,,23-28,2,J. Leuer makes 2-pt shot from 4 ft (assist by B. Udrih)
10:38.0,Turnover by M. Beasley (traveling),,23-28,,
10:38.0,,,23-28,,A. Drummond enters the game for A. Baynes
10:24.0,Personal foul by R. Vaughn (drawn by S. Johnson),,23-28,,
10:23.0,,,23-28,,Turnover by M. Morris (bad pass; steal by M. Beasley)
10:22.0,,,23-28,,Personal foul by B. Udrih (drawn by M. Beasley)
10:11.0,Turnover by M. Beasley (bad pass; steal by S. Johnson),,23-28,,
10:07.0,,,23-30,2,B. Udrih makes 2-pt shot from 1 ft (assist by S. Johnson)
9:46.0,Turnover by R. Vaughn (bad pass; steal by A. Drummond),,23-30,,
9:42.0,,,23-32,2,A. Drummond makes 2-pt shot at rim (assist by J. Leuer)
9:42.0,Milwaukee full timeout,,23-32,,
9:42.0,M. Dellavedova enters the game for M. Brogdon,,23-32,,
9:42.0,J. Henson enters the game for G. Monroe,,23-32,,
9:28.0,R. Vaughn misses 3-pt shot from 25 ft,,23-32,,
9:27.0,Offensive rebound by M. Teletovic,,23-32,,
9:17.0,Turnover by J. Henson (3 sec),,23-32,,
8:59.0,,,23-32,,J. Leuer misses 3-pt shot from 23 ft
8:59.0,Defensive rebound by M. Beasley,,23-32,,
8:48.0,M. Teletovic misses 3-pt shot from 26 ft,,23-32,,
8:48.0,,,23-32,,Defensive rebound by A. Drummond
8:38.0,,,23-34,2,B. Udrih makes 2-pt shot at rim
8:17.0,M. Teletovic makes 2-pt shot from 8 ft,2,25-34,,
8:02.0,,,25-34,,M. Morris misses 2-pt shot from 18 ft
8:01.0,Defensive rebound by J. Henson,,25-34,,
7:48.0,M. Teletovic misses 2-pt shot from 14 ft,,25-34,,
7:48.0,,,25-34,,Defensive rebound by S. Johnson
7:40.0,,,25-34,,Turnover by B. Udrih (traveling)
7:40.0,,,25-34,,T. Harris enters the game for M. Morris
7:24.0,R. Vaughn makes 3-pt shot from 23 ft (assist by M. Beasley),3,28-34,,
7:01.0,,,28-36,2,B. Udrih makes 2-pt shot from 15 ft
6:39.0,M. Beasley makes 2-pt shot from 15 ft (assist by J. Henson),2,30-36,,
6:16.0,,,30-36,,A. Drummond misses 2-pt shot from 5 ft
6:15.0,Defensive rebound by M. Teletovic,,30-36,,
6:04.0,M. Beasley misses 3-pt shot from 24 ft,,30-36,,
6:04.0,,,30-36,,Defensive rebound by S. Johnson
5:50.0,,,30-38,2,A. Drummond makes 2-pt shot from 5 ft (assist by B. Udrih)
5:39.0,R. Vaughn misses 3-pt shot from 26 ft,,30-38,,
5:39.0,Offensive rebound by Team,,30-38,,
5:39.0,Official timeout,,30-38,,
5:39.0,,,30-38,,K. Caldwell-Pope enters the game for B. Udrih
5:39.0,,,30-38,,I. Smith enters the game for S. Johnson
5:39.0,T. Snell enters the game for R. Vaughn,,30-38,,
5:39.0,J. Parker enters the game for M. Teletovic,,30-38,,
5:39.0,G. Antetokounmpo enters the game for M. Beasley,,30-38,,
5:26.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,33-38,,
5:09.0,,,33-38,,Shooting foul by J. Henson (drawn by A. Drummond)
5:09.0,,,33-39,1,A. Drummond makes free throw 1 of 2
5:09.0,,,33-40,1,A. Drummond makes free throw 2 of 2
4:58.0,Turnover by M. Dellavedova (bad pass; steal by T. Harris),,33-40,,
4:56.0,,,33-40,,Shooting foul by J. Henson (drawn by K. Caldwell-Pope)
4:56.0,,,33-41,1,K. Caldwell-Pope makes free throw 1 of 2
4:56.0,,,33-42,1,K. Caldwell-Pope makes free throw 2 of 2
4:44.0,J. Parker misses 2-pt shot from 14 ft,,33-42,,
4:44.0,,,33-42,,Defensive rebound by Team
4:23.0,,,33-42,,A. Drummond misses 2-pt shot at rim
4:23.0,,,33-42,,Offensive rebound by A. Drummond
4:20.0,,,33-44,2,A. Drummond makes 2-pt shot from 1 ft
3:56.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,33-44,,
3:56.0,Offensive rebound by J. Parker,,33-44,,
3:51.0,T. Snell misses 3-pt shot from 26 ft,,33-44,,
3:51.0,,,33-44,,Defensive rebound by T. Harris
3:39.0,,,33-44,,I. Smith misses 2-pt shot from 7 ft
3:39.0,,,33-44,,Offensive rebound by K. Caldwell-Pope
3:36.0,,,33-44,,K. Caldwell-Pope misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by J. Henson,,33-44,,
3:36.0,Shooting foul by I. Smith (drawn by G. Antetokounmpo),,33-44,,
3:36.0,G. Antetokounmpo makes free throw 1 of 2,1,34-44,,
3:36.0,G. Antetokounmpo makes free throw 2 of 2,1,35-44,,
3:36.0,M. Plumlee enters the game for J. Henson,,34-44,,
3:21.0,,,35-46,2,I. Smith makes 2-pt shot from 1 ft
3:21.0,,,35-46,,Shooting foul by M. Plumlee (drawn by I. Smith)
3:21.0,,,35-47,1,I. Smith makes free throw 1 of 1
3:21.0,,,35-46,,M. Morris enters the game for T. Harris
3:09.0,J. Parker misses 2-pt shot from 1 ft,,35-47,,
3:07.0,Offensive rebound by J. Parker,,35-47,,
3:04.0,J. Parker misses 2-pt shot at rim (block by J. Leuer),,35-47,,
3:04.0,,,35-47,,Defensive rebound by M. Morris
2:53.0,,,35-47,,Detroit full timeout
2:44.0,,,35-47,,I. Smith misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by J. Parker,,35-47,,
2:29.0,J. Parker makes 2-pt shot at rim (assist by M. Plumlee),2,37-47,,
2:08.0,,,37-47,,K. Caldwell-Pope misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by G. Antetokounmpo,,37-47,,
2:04.0,,,37-47,,Personal foul by J. Leuer (drawn by J. Parker)
1:48.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by A. Drummond),,37-47,,
1:48.0,Offensive rebound by Team,,37-47,,
1:44.0,Turnover by G. Antetokounmpo (bad pass),,37-47,,
1:32.0,,,37-47,,M. Morris misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by J. Parker,,37-47,,
1:24.0,J. Parker makes 2-pt shot at rim,2,39-47,,
1:10.0,,,39-50,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith)
0:53.0,J. Parker misses 2-pt shot from 15 ft,,39-50,,
0:53.0,,,39-50,,Defensive rebound by K. Caldwell-Pope
0:42.0,,,39-50,,M. Morris misses 2-pt shot from 20 ft
0:41.0,Defensive rebound by Team,,39-50,,
0:20.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,39-50,,
0:20.0,,,39-50,,Defensive rebound by A. Drummond
0:04.0,,,39-50,,I. Smith misses 2-pt shot from 20 ft
0:02.0,,,39-50,,Offensive rebound by K. Caldwell-Pope
0:01.0,,,39-50,,K. Caldwell-Pope misses 2-pt shot from 13 ft (block by G. Antetokounmpo)
0:00.0,,,39-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,39-50,,T. Harris misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by M. Plumlee,,39-50,,
11:28.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,41-50,,
11:18.0,,,41-50,,T. Harris misses 2-pt shot from 8 ft (block by G. Antetokounmpo)
11:17.0,,,41-50,,Offensive rebound by A. Drummond
11:15.0,,,41-50,,A. Drummond misses 2-pt shot at rim
11:13.0,Defensive rebound by M. Dellavedova,,41-50,,
11:03.0,J. Parker misses 2-pt shot from 5 ft,,41-50,,
11:03.0,,,41-50,,Defensive rebound by A. Drummond
10:54.0,,,41-50,,A. Drummond misses 2-pt shot from 6 ft
10:54.0,,,41-50,,Offensive rebound by K. Caldwell-Pope
10:54.0,,,41-50,,Shooting foul by M. Plumlee (drawn by A. Drummond)
10:54.0,,,41-51,1,A. Drummond makes free throw 1 of 2
10:54.0,,,41-51,,A. Drummond misses free throw 2 of 2
10:53.0,Defensive rebound by M. Plumlee,,41-51,,
10:35.0,M. Plumlee makes 2-pt shot at rim (assist by M. Dellavedova),2,43-51,,
10:21.0,,,43-51,,I. Smith misses 2-pt shot from 14 ft
10:21.0,,,43-51,,Offensive rebound by A. Drummond
10:16.0,,,43-51,,A. Drummond misses 2-pt shot from 3 ft
10:15.0,,,43-51,,Offensive rebound by A. Drummond
10:13.0,,,43-53,2,A. Drummond makes 2-pt shot from 1 ft
10:00.0,M. Dellavedova misses 2-pt shot from 7 ft,,43-53,,
9:59.0,Offensive rebound by M. Plumlee,,43-53,,
9:54.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,45-53,,
9:54.0,,,45-53,,Detroit full timeout
9:54.0,M. Teletovic enters the game for J. Parker,,45-53,,
9:40.0,,,45-55,2,M. Morris makes 2-pt shot from 16 ft
9:21.0,G. Antetokounmpo makes 2-pt shot from 18 ft,2,47-55,,
9:10.0,,,47-55,,Turnover by M. Morris (bad pass)
8:53.0,M. Plumlee misses 2-pt shot from 5 ft (block by A. Drummond),,47-55,,
8:53.0,,,47-55,,Defensive rebound by A. Drummond
8:37.0,,,47-57,2,I. Smith makes 2-pt shot from 17 ft (assist by A. Drummond)
8:19.0,M. Dellavedova misses 2-pt shot from 7 ft,,47-57,,
8:19.0,Offensive rebound by M. Dellavedova,,47-57,,
8:04.0,M. Plumlee misses 2-pt shot from 7 ft,,47-57,,
8:04.0,Offensive rebound by M. Plumlee,,47-57,,
7:51.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,50-57,,
7:29.0,,,50-57,,T. Harris misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by G. Antetokounmpo,,50-57,,
7:14.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,52-57,,
6:56.0,,,52-59,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
6:42.0,M. Dellavedova makes 2-pt shot from 1 ft,2,54-59,,
6:21.0,,,54-61,2,M. Morris makes 2-pt shot at rim
5:55.0,M. Plumlee makes 2-pt shot from 14 ft (assist by T. Snell),2,56-61,,
5:39.0,,,56-61,,I. Smith misses 2-pt shot from 5 ft
5:38.0,,,56-61,,Offensive rebound by A. Drummond
5:34.0,,,56-61,,A. Drummond misses 2-pt shot from 1 ft
5:34.0,,,56-61,,Offensive rebound by K. Caldwell-Pope
5:30.0,,,56-61,,M. Morris misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by M. Plumlee,,56-61,,
5:27.0,Turnover by M. Plumlee (lost ball; steal by A. Drummond),,56-61,,
5:18.0,,,56-61,,A. Drummond misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
5:18.0,,,56-61,,Offensive rebound by Team
5:18.0,,,56-61,,J. Leuer enters the game for M. Morris
5:18.0,G. Monroe enters the game for M. Plumlee,,56-61,,
5:09.0,,,56-61,,I. Smith misses 2-pt shot from 1 ft
5:08.0,,,56-61,,Offensive rebound by A. Drummond
5:08.0,Personal foul by M. Teletovic (drawn by A. Drummond),,56-61,,
5:01.0,,,56-61,,Turnover by I. Smith (bad pass)
4:51.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,58-61,,
4:33.0,Def 3 sec tech foul by M. Dellavedova,,58-61,,
4:33.0,,,58-62,1,K. Caldwell-Pope makes technical free throw
4:33.0,R. Vaughn enters the game for T. Snell,,58-62,,
4:23.0,,,58-62,,Turnover by I. Smith (bad pass; steal by R. Vaughn)
4:19.0,Shooting foul by J. Leuer (drawn by G. Antetokounmpo),,58-62,,
4:19.0,G. Antetokounmpo makes free throw 1 of 2,1,59-62,,
4:19.0,G. Antetokounmpo makes free throw 2 of 2,1,60-62,,
3:52.0,,,60-62,,I. Smith misses 3-pt shot from 27 ft
3:51.0,Defensive rebound by G. Monroe,,60-62,,
3:40.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,60-62,,
3:40.0,Offensive rebound by G. Monroe,,60-62,,
3:36.0,Turnover by G. Monroe (bad pass; steal by K. Caldwell-Pope),,60-62,,
3:31.0,,,60-64,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by I. Smith)
3:05.0,R. Vaughn misses 2-pt shot from 7 ft,,60-64,,
3:05.0,,,60-64,,Defensive rebound by A. Drummond
3:00.0,,,60-64,,I. Smith misses 2-pt shot from 4 ft (block by M. Teletovic)
3:00.0,,,60-64,,Offensive rebound by T. Harris
3:00.0,,,60-66,2,T. Harris makes 2-pt shot from 1 ft
3:00.0,Milwaukee full timeout,,60-66,,
3:00.0,,,60-66,,A. Baynes enters the game for A. Drummond
3:00.0,,,60-66,,B. Udrih enters the game for I. Smith
3:00.0,M. Brogdon enters the game for M. Dellavedova,,60-66,,
3:00.0,M. Beasley enters the game for M. Teletovic,,60-66,,
2:43.0,G. Monroe makes 2-pt shot from 5 ft,2,62-66,,
2:27.0,,,62-68,2,K. Caldwell-Pope makes 2-pt shot from 8 ft (assist by T. Harris)
2:11.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,62-68,,
2:10.0,,,62-68,,Defensive rebound by B. Udrih
2:07.0,,,62-68,,Turnover by B. Udrih (lost ball; steal by G. Monroe)
2:03.0,Shooting foul by K. Caldwell-Pope (drawn by M. Beasley),,62-68,,
2:03.0,M. Beasley makes free throw 1 of 2,1,63-68,,
2:03.0,M. Beasley misses free throw 2 of 2,,63-68,,
2:02.0,,,63-68,,Defensive rebound by T. Harris
1:49.0,,,63-68,,Turnover by A. Baynes (lost ball; steal by M. Brogdon)
1:37.0,M. Brogdon makes 2-pt shot from 19 ft,2,65-68,,
1:12.0,,,65-68,,K. Caldwell-Pope misses 3-pt shot from 28 ft
1:12.0,Defensive rebound by G. Antetokounmpo,,65-68,,
0:51.0,R. Vaughn misses 3-pt shot from 24 ft,,65-68,,
0:51.0,,,65-68,,Defensive rebound by B. Udrih
0:46.0,,,65-70,2,T. Harris makes 2-pt shot from 5 ft (assist by B. Udrih)
0:32.0,M. Brogdon misses 2-pt shot from 2 ft,,65-70,,
0:32.0,,,65-70,,Defensive rebound by A. Baynes
0:27.0,,,65-73,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Udrih)
0:05.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Caldwell-Pope),,65-73,,
0:01.0,,,65-75,2,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
0:01.0,M. Brogdon misses 3-pt shot from 51 ft,,65-75,,
0:00.0,Offensive rebound by Team,,65-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by J. Leuer (drawn by J. Parker),,65-75,,
11:48.0,J. Parker makes free throw 1 of 2,1,66-75,,
11:48.0,J. Parker misses free throw 2 of 2,,66-75,,
11:46.0,,,66-75,,Defensive rebound by J. Leuer
11:36.0,Personal foul by M. Beasley (drawn by M. Morris),,66-75,,
11:24.0,,,66-75,,B. Udrih misses 2-pt shot from 13 ft
11:24.0,Defensive rebound by J. Parker,,66-75,,
11:16.0,M. Beasley misses 3-pt shot from 23 ft,,66-75,,
11:16.0,,,66-75,,Defensive rebound by A. Baynes
11:07.0,Personal foul by G. Monroe (drawn by A. Baynes),,66-75,,
11:07.0,,,66-75,,A. Drummond enters the game for A. Baynes
10:52.0,,,66-75,,M. Morris misses 3-pt shot from 23 ft
10:52.0,Defensive rebound by G. Monroe,,66-75,,
10:41.0,G. Monroe makes 2-pt shot from 5 ft (assist by M. Brogdon),2,68-75,,
10:41.0,Shooting foul by A. Drummond (drawn by G. Monroe),,68-75,,
10:41.0,G. Monroe makes free throw 1 of 1,1,69-75,,
10:24.0,,,69-77,2,M. Morris makes 2-pt shot from 6 ft
10:11.0,G. Monroe misses 2-pt shot from 12 ft,,69-77,,
10:11.0,,,69-77,,Defensive rebound by S. Johnson
10:00.0,,,69-79,2,J. Leuer makes 2-pt shot from 17 ft (assist by B. Udrih)
9:39.0,M. Beasley makes 2-pt shot from 1 ft,2,71-79,,
9:21.0,,,71-79,,M. Morris misses 3-pt shot from 27 ft
9:21.0,Defensive rebound by M. Brogdon,,71-79,,
9:11.0,G. Monroe misses 2-pt shot at rim,,71-79,,
9:11.0,,,71-79,,Defensive rebound by B. Udrih
9:11.0,Personal foul by G. Monroe (drawn by B. Udrih),,71-79,,
8:56.0,,,71-79,,Turnover by B. Udrih (lost ball; steal by M. Beasley)
8:53.0,Shooting foul by M. Morris (drawn by G. Monroe),,71-79,,
8:53.0,Official timeout,,71-79,,
8:53.0,G. Monroe makes free throw 1 of 2,1,72-79,,
8:53.0,G. Monroe makes free throw 2 of 2,1,73-79,,
8:35.0,Personal foul by M. Beasley (drawn by M. Morris),,73-79,,
8:24.0,,,73-79,,J. Leuer misses 2-pt shot from 8 ft
8:22.0,,,73-79,,Offensive rebound by A. Drummond
8:21.0,,,73-79,,A. Drummond misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by M. Brogdon,,73-79,,
7:58.0,M. Brogdon misses 2-pt shot from 16 ft,,73-79,,
7:58.0,,,73-79,,Defensive rebound by J. Leuer
7:51.0,,,73-82,3,M. Morris makes 3-pt shot from 27 ft (assist by B. Udrih)
7:33.0,R. Vaughn misses 2-pt shot from 12 ft,,73-82,,
7:31.0,,,73-82,,Defensive rebound by A. Drummond
7:24.0,,,73-82,,Turnover by B. Udrih (bad pass; steal by R. Vaughn)
7:20.0,R. Vaughn makes 2-pt shot at rim (assist by M. Beasley),2,75-82,,
7:03.0,Personal foul by M. Beasley (drawn by M. Morris),,75-82,,
7:03.0,,,75-83,1,M. Morris makes free throw 1 of 2
7:03.0,,,75-84,1,M. Morris makes free throw 2 of 2
7:03.0,J. Henson enters the game for G. Monroe,,75-82,,
7:03.0,G. Antetokounmpo enters the game for M. Beasley,,75-82,,
7:03.0,,,75-82,,T. Harris enters the game for J. Leuer
7:03.0,,,75-82,,I. Smith enters the game for B. Udrih
7:03.0,M. Dellavedova enters the game for M. Brogdon,,75-83,,
6:49.0,J. Parker misses 2-pt shot from 5 ft,,75-84,,
6:49.0,Offensive rebound by J. Parker,,75-84,,
6:49.0,,,75-84,,Personal foul by I. Smith (drawn by J. Parker)
6:38.0,J. Henson misses 2-pt shot from 8 ft,,75-84,,
6:36.0,,,75-84,,Defensive rebound by A. Drummond
6:25.0,,,75-86,2,T. Harris makes 2-pt shot from 16 ft (assist by S. Johnson)
5:59.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,75-86,,
5:59.0,,,75-86,,Defensive rebound by A. Drummond
5:48.0,,,75-86,,T. Harris misses 2-pt shot from 1 ft
5:48.0,,,75-86,,Offensive rebound by A. Drummond
5:48.0,,,75-88,2,A. Drummond makes 2-pt shot at rim
5:48.0,Milwaukee full timeout,,75-88,,
5:48.0,,,75-88,,K. Caldwell-Pope enters the game for S. Johnson
5:48.0,T. Snell enters the game for R. Vaughn,,75-88,,
5:48.0,Violation by Team (jump ball),,75-88,,
5:28.0,T. Snell misses 2-pt shot from 15 ft,,75-88,,
5:27.0,,,75-88,,Defensive rebound by A. Drummond
5:19.0,,,75-90,2,I. Smith makes 2-pt shot from 5 ft
4:55.0,M. Dellavedova makes 2-pt shot from 1 ft,2,77-90,,
4:39.0,,,77-90,,T. Harris misses 2-pt shot from 14 ft
4:39.0,Defensive rebound by T. Snell,,77-90,,
4:28.0,T. Snell misses 2-pt shot from 13 ft,,77-90,,
4:28.0,,,77-90,,Defensive rebound by A. Drummond
4:18.0,,,77-90,,M. Morris misses 3-pt shot from 27 ft
4:18.0,,,77-90,,Offensive rebound by Team
4:18.0,Loose ball foul by J. Henson (drawn by A. Drummond),,77-90,,
4:18.0,,,77-90,,A. Drummond misses free throw 1 of 2
4:18.0,,,77-90,,Offensive rebound by Team
4:18.0,,,77-90,,A. Drummond misses free throw 2 of 2
4:18.0,Defensive rebound by G. Antetokounmpo,,77-90,,
4:03.0,Turnover by J. Henson (step out of bounds),,77-90,,
3:54.0,Personal foul by J. Henson (drawn by A. Drummond),,77-90,,
3:54.0,,,77-90,,A. Drummond misses free throw 1 of 2
3:54.0,,,77-90,,Offensive rebound by Team
3:54.0,,,77-91,1,A. Drummond makes free throw 2 of 2
3:45.0,G. Antetokounmpo misses 3-pt shot from 28 ft,,77-91,,
3:45.0,Offensive rebound by T. Snell,,77-91,,
3:27.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,79-91,,
3:24.0,,,79-91,,Detroit full timeout
