time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Len (S. Dekker gains possession),,,,Jump ball: C. Capela vs. A. Len (S. Dekker gains possession)
11:42.0,E. Gordon misses 2-pt shot from 8 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Len
11:36.0,,,0-2,2,D. Jones makes 2-pt shot from 1 ft (assist by T. Ulis)
11:23.0,P. Beverley makes 2-pt shot from 5 ft,2,2-2,,
11:13.0,,,2-2,,D. Booker misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by C. Capela,,2-2,,
11:00.0,P. Beverley misses 3-pt shot from 27 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by D. Jones
10:44.0,,,2-2,,D. Booker misses 2-pt shot from 16 ft
10:43.0,Defensive rebound by C. Capela,,2-2,,
10:36.0,E. Gordon misses 2-pt shot at rim,,2-2,,
10:35.0,,,2-2,,Defensive rebound by A. Len
10:25.0,,,2-2,,M. Chriss misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by P. Beverley,,2-2,,
10:19.0,Offensive charge foul by C. Capela,,2-2,,
10:19.0,Turnover by C. Capela (offensive foul),,2-2,,
10:05.0,,,2-4,2,D. Booker makes 2-pt shot from 19 ft
9:43.0,T. Williams misses 3-pt shot from 25 ft,,2-4,,
9:42.0,Offensive rebound by C. Capela,,2-4,,
9:39.0,T. Williams makes 2-pt shot from 1 ft (assist by C. Capela),2,4-4,,
9:21.0,,,4-4,,Turnover by T. Ulis (bad pass; steal by C. Capela)
9:09.0,E. Gordon misses 2-pt shot at rim (block by A. Len),,4-4,,
9:08.0,,,4-4,,Defensive rebound by D. Booker
9:06.0,,,4-4,,Offensive foul by D. Booker
9:06.0,,,4-4,,Turnover by D. Booker (offensive foul)
8:50.0,E. Gordon makes 2-pt shot from 1 ft (assist by P. Beverley),2,6-4,,
8:32.0,,,6-4,,A. Len misses 2-pt shot from 2 ft
8:31.0,Defensive rebound by S. Dekker,,6-4,,
8:26.0,C. Capela makes 2-pt shot at rim (assist by E. Gordon),2,8-4,,
8:05.0,,,8-6,2,A. Len makes 2-pt shot at rim
7:59.0,Turnover by S. Dekker (lost ball),,8-6,,
7:47.0,,,8-6,,D. Jones misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by C. Capela,,8-6,,
7:40.0,E. Gordon makes 3-pt shot from 31 ft (assist by P. Beverley),3,11-6,,
7:21.0,,,11-6,,T. Ulis misses 2-pt shot from 18 ft
7:19.0,,,11-6,,Offensive rebound by A. Len
7:15.0,,,11-8,2,A. Len makes 2-pt shot from 16 ft (assist by D. Booker)
6:58.0,C. Capela misses 2-pt shot at rim (block by A. Len),,11-8,,
6:56.0,Offensive rebound by C. Capela,,11-8,,
6:55.0,C. Capela makes 2-pt shot from 2 ft,2,13-8,,
6:45.0,,,13-10,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
6:32.0,P. Beverley makes 3-pt shot from 25 ft,3,16-10,,
6:19.0,,,16-10,,A. Len misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by E. Gordon,,16-10,,
6:12.0,Turnover by C. Capela (traveling),,16-10,,
5:59.0,,,16-10,,Turnover by D. Jones (bad pass; steal by E. Gordon)
5:54.0,,,16-10,,Shooting block foul by M. Chriss (drawn by E. Gordon)
5:54.0,E. Gordon makes 2-pt shot from 1 ft,2,18-10,,
5:54.0,,,18-10,,Phoenix full timeout
5:54.0,E. Gordon makes free throw 1 of 1,1,19-10,,
5:54.0,,,18-10,,D. Bender enters the game for D. Jones
5:54.0,M. Harrell enters the game for T. Williams,,18-10,,
5:54.0,L. Williams enters the game for S. Dekker,,18-10,,
5:54.0,N. Hilario enters the game for C. Capela,,18-10,,
5:39.0,,,19-10,,M. Chriss misses 2-pt shot from 4 ft
5:37.0,,,19-10,,Offensive rebound by D. Bender
5:37.0,,,19-10,,D. Bender misses 2-pt shot from 1 ft
5:37.0,Defensive rebound by M. Harrell,,19-10,,
5:20.0,N. Hilario misses 2-pt shot from 15 ft,,19-10,,
5:19.0,,,19-10,,Defensive rebound by D. Bender
5:07.0,,,19-10,,Turnover by D. Booker (bad pass; steal by P. Beverley)
5:02.0,N. Hilario makes 2-pt shot at rim (assist by P. Beverley),2,21-10,,
4:42.0,,,21-10,,A. Len misses 2-pt shot from 19 ft
4:42.0,Defensive rebound by P. Beverley,,21-10,,
4:30.0,P. Beverley makes 3-pt shot from 26 ft,3,24-10,,
4:30.0,,,24-10,,Phoenix full timeout
4:30.0,,,24-10,,J. Dudley enters the game for A. Len
4:30.0,I. Taylor enters the game for P. Beverley,,24-10,,
4:19.0,,,24-10,,Turnover by D. Bender (bad pass; steal by M. Harrell)
4:14.0,Shooting foul by T. Ulis (drawn by L. Williams),,24-10,,
4:14.0,L. Williams misses free throw 1 of 2,,24-10,,
4:14.0,Offensive rebound by Team,,24-10,,
4:14.0,L. Williams makes free throw 2 of 2,1,25-10,,
4:01.0,,,25-10,,D. Booker misses 2-pt shot from 11 ft
4:01.0,Defensive rebound by N. Hilario,,25-10,,
3:50.0,M. Harrell misses 3-pt shot from 24 ft,,25-10,,
3:50.0,,,25-10,,Defensive rebound by J. Dudley
3:40.0,,,25-12,2,D. Bender makes 2-pt shot from 5 ft
3:23.0,E. Gordon misses 3-pt shot from 29 ft,,25-12,,
3:23.0,,,25-12,,Defensive rebound by D. Booker
3:18.0,,,25-15,3,J. Dudley makes 3-pt shot from 26 ft (assist by D. Booker)
3:06.0,Turnover by L. Williams (bad pass; steal by D. Booker),,25-15,,
3:01.0,,,25-17,2,D. Bender makes 2-pt shot from 2 ft (assist by D. Booker)
2:51.0,Houston full timeout,,25-17,,
2:51.0,T. Williams enters the game for E. Gordon,,25-17,,
2:46.0,L. Williams misses 3-pt shot from 25 ft,,25-17,,
2:45.0,,,25-17,,Defensive rebound by D. Bender
2:28.0,,,25-17,,D. Booker misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by N. Hilario,,25-17,,
2:18.0,N. Hilario makes 2-pt shot at rim (assist by T. Williams),2,27-17,,
2:02.0,,,27-19,2,T. Ulis makes 2-pt shot from 6 ft
1:54.0,,,27-19,,Personal foul by T. Ulis (drawn by L. Williams)
1:54.0,,,27-19,,R. Price enters the game for T. Ulis
1:45.0,I. Taylor misses 2-pt shot from 2 ft (block by D. Bender),,27-19,,
1:44.0,,,27-19,,Defensive rebound by J. Dudley
1:31.0,,,27-19,,J. Dudley misses 2-pt shot from 3 ft
1:30.0,,,27-19,,Offensive rebound by R. Price
1:25.0,,,27-19,,D. Bender misses 3-pt shot from 28 ft
1:23.0,,,27-19,,Offensive rebound by M. Chriss
1:23.0,,,27-21,2,M. Chriss makes 2-pt shot from 2 ft
1:03.0,T. Williams makes 3-pt shot from 27 ft (assist by M. Harrell),3,30-21,,
0:43.0,,,30-21,,Turnover by D. Booker (bad pass; steal by N. Hilario)
0:34.0,,,30-21,,Personal block foul by D. Bender (drawn by M. Harrell)
0:34.0,M. Harrell misses free throw 1 of 2,,30-21,,
0:34.0,Offensive rebound by Team,,30-21,,
0:34.0,M. Harrell makes free throw 2 of 2,1,31-21,,
0:23.0,,,31-21,,R. Price misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by T. Williams,,31-21,,
0:06.0,M. Harrell misses 3-pt shot from 24 ft,,31-21,,
0:05.0,,,31-21,,Defensive rebound by D. Bender
0:03.0,Personal take foul by I. Taylor (drawn by D. Booker),,31-21,,
0:00.0,,,31-21,,D. Booker misses 2-pt shot from 24 ft
0:00.0,,,31-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,31-21,,A. Williams misses 2-pt shot from 5 ft
11:41.0,Defensive rebound by C. Capela,,31-21,,
11:28.0,Turnover by L. Williams (bad pass; steal by R. Price),,31-21,,
11:23.0,,,31-23,2,T. Ulis makes 2-pt shot from 1 ft (assist by R. Price)
11:08.0,L. Williams misses 3-pt shot from 27 ft,,31-23,,
11:07.0,,,31-23,,Defensive rebound by A. Williams
10:56.0,,,31-25,2,D. Bender makes 2-pt shot from 6 ft (assist by T. Ulis)
10:44.0,I. Taylor misses 3-pt shot from 28 ft,,31-25,,
10:43.0,,,31-25,,Defensive rebound by J. Dudley
10:35.0,,,31-25,,R. Price misses 3-pt shot from 28 ft
10:34.0,,,31-25,,Offensive rebound by A. Williams
10:31.0,,,31-25,,D. Bender misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by I. Taylor,,31-25,,
10:22.0,Shooting foul by D. Bender (drawn by T. Williams),,31-25,,
10:22.0,T. Williams misses free throw 1 of 2,,31-25,,
10:22.0,Offensive rebound by Team,,31-25,,
10:22.0,T. Williams makes free throw 2 of 2,1,32-25,,
10:08.0,,,32-25,,J. Dudley misses 3-pt shot from 27 ft
10:08.0,,,32-25,,Offensive rebound by D. Bender
10:06.0,,,32-25,,D. Bender misses 2-pt shot from 1 ft
10:04.0,,,32-25,,Offensive rebound by D. Bender
10:04.0,,,32-25,,D. Bender misses 2-pt shot from 2 ft
10:03.0,,,32-25,,Offensive rebound by A. Williams
10:03.0,,,32-25,,A. Williams misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by C. Capela,,32-25,,
9:52.0,C. Capela misses 2-pt shot from 2 ft (block by A. Williams),,32-25,,
9:49.0,Offensive rebound by L. Williams,,32-25,,
9:49.0,L. Williams makes 2-pt shot from 1 ft,2,34-25,,
9:45.0,,,34-27,2,A. Williams makes 2-pt shot at rim (assist by T. Ulis)
9:39.0,T. Williams makes 3-pt shot from 24 ft (assist by L. Williams),3,37-27,,
9:28.0,,,37-27,,Turnover by T. Ulis (lost ball; steal by I. Taylor)
9:23.0,Turnover by C. Capela (bad pass; steal by J. Dudley),,37-27,,
9:11.0,,,37-30,3,D. Bender makes 3-pt shot from 24 ft (assist by R. Price)
9:01.0,P. Beverley enters the game for I. Taylor,,37-30,,
9:01.0,E. Gordon enters the game for L. Williams,,37-30,,
9:01.0,,,37-30,,D. Jones enters the game for D. Bender
8:52.0,P. Beverley misses 2-pt shot from 12 ft,,37-30,,
8:52.0,,,37-30,,Defensive rebound by D. Jones
8:44.0,,,37-30,,A. Williams misses 2-pt shot from 1 ft
8:43.0,,,37-30,,Offensive rebound by A. Williams
8:43.0,,,37-30,,A. Williams misses 2-pt shot from 1 ft
8:42.0,,,37-30,,Offensive rebound by J. Dudley
8:39.0,,,37-30,,J. Dudley misses 3-pt shot from 24 ft
8:39.0,,,37-30,,Offensive rebound by D. Jones
8:39.0,,,37-30,,D. Jones misses 2-pt shot from 1 ft
8:38.0,,,37-30,,Offensive rebound by D. Jones
8:15.0,,,37-30,,T. Ulis misses 3-pt shot from 25 ft
8:15.0,,,37-30,,Offensive rebound by D. Jones
8:11.0,,,37-32,2,D. Jones makes 2-pt shot from 2 ft
7:48.0,T. Williams makes 3-pt shot from 24 ft (assist by P. Beverley),3,40-32,,
