time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. McGee (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. J. McGee (B. Griffin gains possession)
11:39.0,,,0-0,,Turnover by J. Redick (lost ball; steal by S. Curry)
11:33.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,2-0,,
11:18.0,,,2-0,,Turnover by B. Griffin (lost ball; steal by S. Curry)
11:13.0,S. Curry misses 3-pt shot from 28 ft,,2-0,,
11:12.0,Offensive rebound by J. McGee,,2-0,,
11:12.0,J. McGee makes 2-pt shot at rim,2,4-0,,
10:51.0,,,4-0,,Turnover by A. Rivers (lost ball; steal by P. McCaw)
10:47.0,Shooting foul by B. Griffin (drawn by K. Durant),,4-0,,
10:47.0,K. Durant makes free throw 1 of 2,1,5-0,,
10:47.0,K. Durant makes free throw 2 of 2,1,6-0,,
10:38.0,Personal block foul by J. McGee (drawn by D. Jordan),,6-0,,
10:31.0,,,6-0,,Turnover by A. Rivers (lost ball; steal by J. McGee)
10:27.0,Turnover by J. McGee (bad pass; steal by B. Griffin),,6-0,,
10:24.0,,,6-2,2,B. Griffin makes 2-pt shot from 1 ft
10:08.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,8-2,,
9:45.0,,,8-2,,Shooting foul by K. Thompson (drawn by B. Griffin)
9:45.0,,,8-3,1,B. Griffin makes free throw 1 of 2
9:45.0,,,8-4,1,B. Griffin makes free throw 2 of 2
9:28.0,K. Durant misses 3-pt shot from 25 ft,,8-4,,
9:27.0,,,8-4,,Defensive rebound by R. Felton
9:18.0,,,8-4,,R. Felton misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by J. McGee,,8-4,,
9:10.0,K. Thompson misses 2-pt shot from 14 ft,,8-4,,
9:08.0,Offensive rebound by Team,,8-4,,
8:57.0,P. McCaw makes 3-pt shot from 27 ft (assist by K. Thompson),3,11-4,,
8:45.0,Personal foul by K. Thompson (drawn by J. Redick),,11-4,,
8:45.0,I. Clark enters the game for K. Thompson,,11-4,,
8:38.0,,,11-6,2,R. Felton makes 2-pt shot from 1 ft
8:23.0,P. McCaw makes 3-pt shot from 22 ft (assist by K. Durant),3,14-6,,
8:14.0,,,14-8,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
7:53.0,I. Clark misses 3-pt shot from 24 ft,,14-8,,
7:53.0,,,14-8,,Defensive rebound by Team
7:41.0,,,14-11,3,J. Redick makes 3-pt shot from 28 ft (assist by R. Felton)
7:19.0,S. Curry makes 2-pt shot from 2 ft (assist by K. Durant),2,16-11,,
7:05.0,,,16-11,,Shooting foul by J. McGee (drawn by B. Griffin)
7:05.0,,,16-12,1,B. Griffin makes free throw 1 of 2
7:05.0,,,16-13,1,B. Griffin makes free throw 2 of 2
6:45.0,K. Durant makes 2-pt shot from 17 ft (assist by S. Curry),2,18-13,,
6:33.0,,,18-15,2,B. Griffin makes 2-pt shot from 4 ft
6:23.0,J. McGee makes 2-pt shot at rim,2,20-15,,
6:12.0,,,20-15,,B. Griffin misses 2-pt shot from 18 ft
6:11.0,Defensive rebound by J. McGee,,20-15,,
6:01.0,P. McCaw misses 3-pt shot from 26 ft,,20-15,,
5:59.0,,,20-15,,Defensive rebound by J. Redick
5:50.0,,,20-15,,J. Redick misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by J. McGee,,20-15,,
5:40.0,S. Curry misses 3-pt shot from 25 ft,,20-15,,
5:38.0,Offensive rebound by J. McGee,,20-15,,
5:37.0,Golden State full timeout,,20-15,,
5:18.0,K. Durant misses 2-pt shot from 7 ft,,20-15,,
5:14.0,Offensive rebound by J. McGee,,20-15,,
5:14.0,J. McGee makes 2-pt shot at rim,2,22-15,,
4:58.0,,,22-15,,Offensive foul by D. Jordan
4:58.0,,,22-15,,Turnover by D. Jordan (offensive foul)
4:45.0,P. McCaw misses 2-pt shot from 4 ft (block by D. Jordan),,22-15,,
4:45.0,Offensive rebound by Team,,22-15,,
4:45.0,,,22-15,,J. Crawford enters the game for J. Redick
4:41.0,Turnover by S. Curry (lost ball),,22-15,,
4:28.0,,,22-17,2,B. Griffin makes 2-pt shot at rim (assist by R. Felton)
4:07.0,S. Curry makes 2-pt shot from 6 ft (assist by K. Durant),2,24-17,,
3:52.0,,,24-17,,Turnover by B. Griffin (bad pass; steal by P. McCaw)
3:46.0,I. Clark makes 2-pt shot from 8 ft (assist by P. McCaw),2,26-17,,
3:27.0,Def 3 sec tech foul by J. McGee,,26-17,,
3:27.0,,,26-17,,J. Crawford misses technical free throw
3:27.0,,,26-17,,Offensive rebound by Team
3:27.0,A. Varejao enters the game for J. McGee,,26-17,,
3:27.0,A. Iguodala enters the game for P. McCaw,,26-17,,
3:14.0,,,26-17,,B. Griffin misses 2-pt shot from 18 ft
3:13.0,Defensive rebound by S. Curry,,26-17,,
3:07.0,K. Durant misses 3-pt shot from 26 ft,,26-17,,
3:04.0,,,26-17,,Defensive rebound by J. Crawford
2:48.0,,,26-17,,A. Rivers misses 2-pt shot from 7 ft
2:46.0,Defensive rebound by I. Clark,,26-17,,
2:40.0,I. Clark misses 2-pt shot from 8 ft (block by A. Rivers),,26-17,,
2:37.0,,,26-17,,Defensive rebound by A. Rivers
2:37.0,,,26-17,,LA Clippers full timeout
2:37.0,,,26-17,,Technical foul by D. Jordan
2:37.0,S. Curry makes technical free throw,1,27-17,,
2:37.0,,,26-17,,J. Redick enters the game for A. Rivers
2:37.0,,,26-17,,M. Speights enters the game for D. Jordan
2:37.0,K. Thompson enters the game for K. Durant,,26-17,,
2:37.0,K. Looney enters the game for I. Clark,,26-17,,
2:25.0,,,27-17,,R. Felton misses 2-pt shot from 3 ft
2:21.0,Defensive rebound by A. Iguodala,,27-17,,
2:02.0,K. Looney makes 2-pt shot at rim (assist by A. Iguodala),2,29-17,,
1:39.0,,,29-17,,Turnover by R. Felton (lost ball)
1:39.0,,,29-17,,B. Bass enters the game for B. Griffin
1:25.0,S. Curry misses 3-pt shot from 23 ft,,29-17,,
1:23.0,Offensive rebound by K. Looney,,29-17,,
1:18.0,K. Thompson misses 2-pt shot from 3 ft,,29-17,,
1:16.0,Offensive rebound by K. Thompson,,29-17,,
1:16.0,K. Thompson misses 2-pt shot from 2 ft,,29-17,,
1:14.0,Offensive rebound by K. Thompson,,29-17,,
1:13.0,K. Thompson makes 2-pt shot from 3 ft,2,31-17,,
0:54.0,,,31-20,3,J. Redick makes 3-pt shot from 25 ft (assist by J. Crawford)
0:44.0,,,31-20,,Personal foul by J. Crawford (drawn by A. Iguodala)
0:44.0,,,31-20,,A. Rivers enters the game for R. Felton
0:29.0,Turnover by Team (shot clock),,31-20,,
0:20.0,,,31-22,2,B. Bass makes 2-pt shot at rim (assist by J. Crawford)
0:04.0,S. Curry misses 3-pt shot from 27 ft,,31-22,,
