time,Cleveland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Thompson (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. T. Thompson (V. Oladipo gains possession)
11:50.0,,,0-0,,Turnover by D. Sabonis (lost ball)
11:26.0,K. Irving makes 2-pt shot from 7 ft,2,2-0,,
11:08.0,,,2-2,2,S. Adams makes 2-pt shot from 5 ft
10:50.0,T. Thompson makes 2-pt shot from 6 ft (assist by L. James),2,4-2,,
10:39.0,,,4-2,,Shooting foul by J. McRae (drawn by V. Oladipo)
10:39.0,,,4-3,1,V. Oladipo makes free throw 1 of 2
10:39.0,,,4-3,,V. Oladipo misses free throw 2 of 2
10:38.0,Defensive rebound by L. James,,4-3,,
10:27.0,L. James makes 2-pt shot from 13 ft,2,6-3,,
10:16.0,,,6-3,,S. Adams misses 2-pt shot from 4 ft
10:16.0,Defensive rebound by K. Love,,6-3,,
9:52.0,T. Thompson misses 2-pt shot from 12 ft,,6-3,,
9:51.0,,,6-3,,Defensive rebound by V. Oladipo
9:44.0,,,6-5,2,V. Oladipo makes 2-pt shot from 20 ft
9:25.0,K. Love misses 2-pt shot from 12 ft,,6-5,,
9:25.0,,,6-5,,Defensive rebound by Team
9:11.0,,,6-5,,D. Sabonis misses 2-pt shot from 14 ft
9:11.0,,,6-5,,Offensive rebound by S. Adams
9:02.0,,,6-7,2,V. Oladipo makes 2-pt shot from 16 ft
8:40.0,K. Love misses 3-pt shot from 25 ft,,6-7,,
8:40.0,,,6-7,,Defensive rebound by R. Westbrook
8:35.0,,,6-7,,Turnover by R. Westbrook (bad pass; steal by K. Irving)
8:15.0,Turnover by L. James (bad pass; steal by V. Oladipo),,6-7,,
8:10.0,,,6-9,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
7:51.0,K. Love misses 2-pt shot from 18 ft,,6-9,,
7:50.0,,,6-9,,Defensive rebound by R. Westbrook
7:46.0,,,6-11,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:45.0,Cleveland full timeout,,6-11,,
7:31.0,J. McRae makes 3-pt shot from 24 ft,3,9-11,,
7:17.0,,,9-13,2,D. Sabonis makes 2-pt shot from 16 ft (assist by R. Westbrook)
6:54.0,L. James misses 2-pt shot from 15 ft,,9-13,,
6:53.0,,,9-13,,Defensive rebound by R. Westbrook
6:45.0,,,9-13,,Shooting foul by T. Thompson (drawn by R. Westbrook)
6:45.0,,,9-14,1,R. Westbrook makes free throw 1 of 2
6:45.0,,,9-15,1,R. Westbrook makes free throw 2 of 2
6:32.0,L. James misses 3-pt shot from 23 ft,,9-15,,
6:31.0,,,9-15,,Defensive rebound by S. Adams
6:19.0,,,9-15,,D. Sabonis misses 2-pt shot from 4 ft
6:19.0,Defensive rebound by T. Thompson,,9-15,,
6:03.0,L. James makes 2-pt shot from 7 ft,2,11-15,,
6:03.0,Shooting foul by A. Roberson (drawn by L. James),,11-15,,
6:03.0,L. James misses free throw 1 of 1,,11-15,,
6:02.0,,,11-15,,Defensive rebound by R. Westbrook
5:56.0,,,11-17,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
5:39.0,K. Love misses 2-pt shot from 4 ft,,11-17,,
5:39.0,,,11-17,,Defensive rebound by R. Westbrook
5:33.0,,,11-17,,Turnover by R. Westbrook (bad pass; steal by K. Love)
5:28.0,L. James makes 2-pt shot at rim,2,13-17,,
5:12.0,,,13-17,,R. Westbrook misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by K. Love,,13-17,,
4:55.0,T. Thompson misses 2-pt shot from 4 ft,,13-17,,
4:54.0,,,13-17,,Defensive rebound by R. Westbrook
4:49.0,,,13-17,,R. Westbrook misses 2-pt shot from 2 ft (block by K. Irving)
4:49.0,,,13-17,,Offensive rebound by Team
4:49.0,,,13-17,,A. Morrow enters the game for V. Oladipo
4:49.0,K. Korver enters the game for L. James,,13-17,,
4:49.0,R. Jefferson enters the game for J. McRae,,13-17,,
4:44.0,,,13-17,,Offensive foul by S. Adams
4:44.0,,,13-17,,Turnover by S. Adams (offensive foul)
4:33.0,K. Love misses 2-pt shot from 19 ft,,13-17,,
4:33.0,,,13-17,,Defensive rebound by S. Adams
4:24.0,,,13-17,,D. Sabonis misses 2-pt shot from 1 ft
4:23.0,Defensive rebound by R. Jefferson,,13-17,,
4:15.0,K. Irving makes 3-pt shot from 25 ft,3,16-17,,
4:09.0,,,16-19,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:09.0,,,16-19,,Shooting foul by R. Jefferson (drawn by A. Roberson)
4:09.0,,,16-19,,A. Roberson misses free throw 1 of 1
4:08.0,Defensive rebound by K. Love,,16-19,,
3:53.0,Turnover by K. Korver (bad pass),,16-19,,
3:53.0,,,16-19,,A. Abrines enters the game for A. Roberson
3:44.0,,,16-19,,R. Westbrook misses 2-pt shot from 13 ft
3:44.0,Defensive rebound by Team,,16-19,,
3:44.0,,,16-19,,Loose ball foul by R. Westbrook (drawn by K. Love)
3:32.0,K. Love makes 2-pt shot from 19 ft (assist by K. Irving),2,18-19,,
3:20.0,,,18-19,,Turnover by R. Westbrook (bad pass; steal by T. Thompson)
3:14.0,K. Love makes 2-pt shot from 2 ft (assist by K. Irving),2,20-19,,
3:14.0,Shooting foul by D. Sabonis (drawn by K. Love),,20-19,,
3:14.0,,,20-19,,Oklahoma City full timeout
3:14.0,K. Love makes free throw 1 of 1,1,21-19,,
3:05.0,,,21-21,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:48.0,Turnover by K. Love (bad pass; steal by R. Westbrook),,21-21,,
2:42.0,,,21-21,,A. Morrow misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by R. Jefferson,,21-21,,
2:35.0,,,21-21,,Personal foul by D. Sabonis (drawn by K. Love)
2:35.0,,,21-21,,C. Payne enters the game for R. Westbrook
2:35.0,,,21-21,,J. Lauvergne enters the game for D. Sabonis
2:26.0,Turnover by K. Irving (bad pass; steal by A. Abrines),,21-21,,
2:21.0,,,21-23,2,A. Morrow makes 2-pt shot from 12 ft (assist by A. Abrines)
2:00.0,R. Jefferson misses 2-pt shot from 4 ft,,21-23,,
1:59.0,,,21-23,,Defensive rebound by A. Morrow
1:50.0,,,21-25,2,C. Payne makes 2-pt shot from 16 ft
1:38.0,K. Irving misses 2-pt shot from 1 ft,,21-25,,
1:37.0,,,21-25,,Defensive rebound by S. Adams
1:31.0,,,21-25,,A. Abrines misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by K. Love,,21-25,,
1:24.0,Turnover by K. Irving (lost ball; steal by C. Payne),,21-25,,
1:23.0,Personal take foul by R. Jefferson (drawn by C. Payne),,21-25,,
1:23.0,L. James enters the game for K. Love,,21-25,,
1:23.0,K. Felder enters the game for K. Irving,,21-25,,
1:23.0,,,21-25,,A. Roberson enters the game for A. Morrow
1:10.0,,,21-27,2,A. Abrines makes 2-pt shot at rim
0:56.0,L. James misses 2-pt shot from 3 ft (block by A. Roberson),,21-27,,
0:56.0,Offensive rebound by Team,,21-27,,
0:56.0,C. Frye enters the game for T. Thompson,,21-27,,
0:48.0,Turnover by L. James (lost ball; steal by S. Adams),,21-27,,
0:33.0,,,21-27,,C. Payne misses 2-pt shot from 15 ft
0:33.0,,,21-27,,Offensive rebound by S. Adams
0:33.0,,,21-29,2,S. Adams makes 2-pt shot from 1 ft
0:13.0,C. Frye misses 3-pt shot from 24 ft,,21-29,,
0:12.0,Offensive rebound by Team,,21-29,,
0:12.0,,,21-29,,Loose ball foul by A. Roberson (drawn by R. Jefferson)
0:12.0,R. Jefferson misses free throw 1 of 2,,21-29,,
0:12.0,Offensive rebound by Team,,21-29,,
0:12.0,R. Jefferson misses free throw 2 of 2,,21-29,,
0:12.0,,,21-29,,Defensive rebound by A. Abrines
0:12.0,,,21-29,,A. Morrow enters the game for A. Roberson
0:02.0,,,21-29,,A. Morrow misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,21-29,,Shooting block foul by A. Abrines (drawn by L. James)
11:40.0,L. James misses free throw 1 of 2,,21-29,,
11:40.0,Offensive rebound by Team,,21-29,,
11:40.0,L. James makes free throw 2 of 2,1,22-29,,
