time,LA Clippers,pts.away,score,pts.home,Golden State
1:31.0,,,20-26,2,J. McGee makes 2-pt shot from 6 ft
1:11.0,Turnover by D. Jordan (lost ball; steal by A. Iguodala),,20-26,,
1:05.0,,,20-29,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala)
0:44.0,J. Crawford misses 2-pt shot from 22 ft,,20-29,,
0:43.0,,,20-29,,Defensive rebound by Team
0:43.0,A. Rivers enters the game for J. Redick,,20-29,,
0:43.0,M. Speights enters the game for D. Jordan,,20-29,,
0:34.0,,,20-31,2,S. Curry makes 2-pt shot at rim
0:22.0,Shooting foul by J. McGee (drawn by R. Felton),,20-31,,
0:22.0,R. Felton makes free throw 1 of 2,1,21-31,,
0:22.0,R. Felton makes free throw 2 of 2,1,22-31,,
0:22.0,,,21-31,,K. Thompson enters the game for J. McGee
0:22.0,B. Bass enters the game for W. Johnson,,21-31,,
0:22.0,L. Mbah a Moute enters the game for M. Speights,,21-31,,
0:06.0,,,22-31,,S. Curry misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by J. Crawford,,22-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by J. Crawford (bad pass),,22-31,,
11:29.0,,,22-33,2,S. Livingston makes 2-pt shot from 12 ft
11:08.0,M. Speights makes 2-pt shot from 18 ft (assist by R. Felton),2,24-33,,
10:50.0,,,24-33,,Turnover by J. McAdoo (bad pass; steal by J. Crawford)
10:43.0,Shooting foul by K. Thompson (drawn by B. Bass),,24-33,,
10:43.0,B. Bass makes free throw 1 of 2,1,25-33,,
10:43.0,B. Bass misses free throw 2 of 2,,25-33,,
10:42.0,,,25-33,,Defensive rebound by D. Green
10:35.0,,,25-33,,D. Green misses 2-pt shot from 11 ft
10:33.0,Defensive rebound by B. Bass,,25-33,,
10:23.0,,,25-33,,Personal foul by S. Livingston (drawn by B. Bass)
10:11.0,R. Felton makes 3-pt shot from 30 ft,3,28-33,,
9:53.0,,,28-35,2,J. McAdoo makes 2-pt shot at rim (assist by S. Livingston)
9:35.0,Turnover by R. Felton (bad pass),,28-35,,
9:13.0,,,28-35,,S. Livingston misses 2-pt shot from 16 ft
9:12.0,Defensive rebound by M. Speights,,28-35,,
9:08.0,B. Bass misses 2-pt shot from 12 ft,,28-35,,
9:05.0,,,28-35,,Defensive rebound by A. Iguodala
9:00.0,,,28-35,,J. McAdoo misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by R. Felton,,28-35,,
8:46.0,M. Speights misses 2-pt shot from 15 ft,,28-35,,
8:45.0,Offensive rebound by B. Bass,,28-35,,
8:42.0,Turnover by B. Bass (lost ball; steal by K. Thompson),,28-35,,
8:30.0,,,28-38,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
8:08.0,Shooting foul by J. McAdoo (drawn by A. Rivers),,28-38,,
8:08.0,Official timeout,,28-38,,
8:08.0,A. Rivers misses free throw 1 of 2,,28-38,,
8:08.0,Offensive rebound by Team,,28-38,,
8:08.0,A. Rivers makes free throw 2 of 2,1,29-38,,
8:08.0,B. Griffin enters the game for B. Bass,,28-38,,
8:08.0,,,28-38,,K. Durant enters the game for D. Green
8:08.0,,,28-38,,P. McCaw enters the game for A. Iguodala
7:58.0,,,29-38,,K. Thompson misses 2-pt shot from 14 ft (block by R. Felton)
7:56.0,,,29-38,,Offensive rebound by J. McAdoo
7:55.0,,,29-38,,J. McAdoo misses 2-pt shot from 2 ft (block by M. Speights)
