time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (D. Murray gains possession),,,,Jump ball: C. Capela vs. P. Gasol (D. Murray gains possession)
11:40.0,D. Green misses 3-pt shot from 25 ft,,0-0,,
11:39.0,Offensive rebound by Team,,0-0,,
11:39.0,,,0-0,,Loose ball foul by J. Harden (drawn by P. Gasol)
11:29.0,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Green),2,2-0,,
11:12.0,,,2-0,,C. Capela misses 2-pt shot from 4 ft (block by D. Green)
11:11.0,,,2-0,,Offensive rebound by Team
11:03.0,,,2-0,,J. Harden misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by K. Leonard,,2-0,,
11:01.0,Turnover by K. Leonard (step out of bounds),,2-0,,
10:58.0,,,2-3,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
10:50.0,Turnover by D. Murray (lost ball; steal by P. Beverley),,2-3,,
10:47.0,,,2-3,,Offensive foul by P. Beverley
10:47.0,,,2-3,,Turnover by P. Beverley (offensive foul)
10:20.0,D. Murray misses 2-pt shot from 15 ft,,2-3,,
10:18.0,,,2-3,,Defensive rebound by C. Capela
10:14.0,,,2-3,,P. Beverley misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by L. Aldridge,,2-3,,
10:02.0,P. Gasol makes 3-pt shot from 25 ft (assist by K. Leonard),3,5-3,,
9:45.0,,,5-3,,T. Ariza misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by D. Murray,,5-3,,
9:29.0,D. Green misses 3-pt shot from 25 ft,,5-3,,
9:29.0,,,5-3,,Defensive rebound by P. Beverley
9:06.0,,,5-3,,P. Beverley misses 2-pt shot from 10 ft
9:03.0,,,5-3,,Offensive rebound by P. Beverley
8:57.0,,,5-3,,P. Beverley misses 3-pt shot from 24 ft
8:56.0,,,5-3,,Offensive rebound by C. Capela
8:49.0,,,5-5,2,J. Harden makes 2-pt shot from 10 ft (assist by T. Ariza)
8:30.0,P. Gasol misses 2-pt shot from 3 ft (block by C. Capela),,5-5,,
8:29.0,Offensive rebound by P. Gasol,,5-5,,
8:28.0,P. Gasol makes 2-pt shot from 2 ft,2,7-5,,
8:17.0,,,7-5,,J. Harden misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by K. Leonard,,7-5,,
8:10.0,K. Leonard makes 2-pt shot from 13 ft,2,9-5,,
8:00.0,Personal foul by D. Murray (drawn by P. Beverley),,9-5,,
7:51.0,,,9-5,,J. Harden misses 2-pt shot from 11 ft
7:50.0,,,9-5,,Offensive rebound by T. Ariza
7:46.0,,,9-5,,Turnover by T. Ariza (lost ball; steal by K. Leonard)
7:42.0,D. Green makes 2-pt shot at rim (assist by K. Leonard),2,11-5,,
7:28.0,,,11-5,,R. Anderson misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by D. Murray,,11-5,,
7:22.0,D. Murray misses 2-pt shot from 2 ft (block by C. Capela),,11-5,,
7:22.0,Offensive rebound by Team,,11-5,,
7:19.0,K. Leonard misses 2-pt shot from 16 ft,,11-5,,
7:18.0,,,11-5,,Defensive rebound by C. Capela
7:11.0,,,11-5,,Shooting foul by D. Green (drawn by J. Harden)
7:11.0,,,11-6,1,J. Harden makes free throw 1 of 2
7:11.0,San Antonio full timeout,,11-6,,
7:11.0,,,11-7,1,J. Harden makes free throw 2 of 2
7:11.0,P. Mills enters the game for D. Murray,,11-6,,
6:55.0,L. Aldridge makes 2-pt shot from 11 ft (assist by K. Leonard),2,13-7,,
6:33.0,,,13-7,,P. Beverley misses 2-pt shot from 6 ft
6:32.0,Defensive rebound by P. Gasol,,13-7,,
6:24.0,P. Mills misses 3-pt shot from 26 ft,,13-7,,
6:24.0,,,13-7,,Defensive rebound by C. Capela
6:11.0,,,13-7,,Shooting foul by D. Green (drawn by J. Harden)
6:11.0,,,13-8,1,J. Harden makes free throw 1 of 2
6:11.0,,,13-9,1,J. Harden makes free throw 2 of 2
6:11.0,M. Ginobili enters the game for D. Green,,13-8,,
6:11.0,,,13-8,,N. Hilario enters the game for C. Capela
6:11.0,,,13-8,,E. Gordon enters the game for P. Beverley
5:48.0,L. Aldridge misses 3-pt shot from 25 ft,,13-9,,
5:48.0,,,13-9,,Defensive rebound by E. Gordon
5:39.0,,,13-12,3,J. Harden makes 3-pt shot from 24 ft
5:24.0,L. Aldridge misses 2-pt shot from 13 ft,,13-12,,
5:23.0,,,13-12,,Defensive rebound by T. Ariza
5:16.0,,,13-12,,Turnover by J. Harden (bad pass; steal by P. Mills)
5:05.0,K. Leonard misses 2-pt shot from 20 ft,,13-12,,
5:05.0,,,13-12,,Defensive rebound by T. Ariza
4:54.0,,,13-12,,J. Harden misses 3-pt shot from 26 ft
4:53.0,Defensive rebound by L. Aldridge,,13-12,,
4:43.0,P. Mills makes 2-pt shot from 1 ft,2,15-12,,
4:32.0,,,15-14,2,E. Gordon makes 2-pt shot from 2 ft (assist by N. Hilario)
4:21.0,P. Mills misses 3-pt shot from 25 ft,,15-14,,
4:21.0,,,15-14,,Defensive rebound by Team
4:21.0,,,15-14,,L. Williams enters the game for R. Anderson
4:21.0,D. Lee enters the game for P. Gasol,,15-14,,
4:11.0,,,15-14,,T. Ariza misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by L. Aldridge,,15-14,,
4:01.0,M. Ginobili misses 2-pt shot from 4 ft (block by N. Hilario),,15-14,,
4:01.0,Offensive rebound by Team,,15-14,,
3:52.0,L. Aldridge misses 2-pt shot from 11 ft,,15-14,,
3:51.0,,,15-14,,Defensive rebound by L. Williams
3:36.0,,,15-14,,E. Gordon misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by P. Mills,,15-14,,
3:21.0,K. Leonard misses 2-pt shot from 13 ft,,15-14,,
3:20.0,,,15-14,,Defensive rebound by J. Harden
3:10.0,,,15-17,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
2:51.0,K. Leonard misses 3-pt shot from 25 ft,,15-17,,
2:50.0,,,15-17,,Defensive rebound by T. Ariza
2:40.0,,,15-20,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
2:23.0,D. Lee makes 2-pt shot from 2 ft (assist by M. Ginobili),2,17-20,,
2:20.0,,,17-20,,Houston full timeout
2:20.0,,,17-20,,P. Beverley enters the game for J. Harden
2:20.0,J. Simmons enters the game for K. Leonard,,17-20,,
2:20.0,,,17-20,,R. Anderson enters the game for T. Ariza
2:07.0,,,17-20,,L. Williams misses 2-pt shot from 21 ft
2:06.0,Defensive rebound by M. Ginobili,,17-20,,
2:03.0,Offensive charge foul by J. Simmons,,17-20,,
2:03.0,Turnover by J. Simmons (offensive foul),,17-20,,
2:03.0,K. Anderson enters the game for D. Lee,,17-20,,
1:55.0,,,17-20,,N. Hilario misses 2-pt shot from 18 ft
1:54.0,Defensive rebound by J. Simmons,,17-20,,
1:45.0,L. Aldridge makes 2-pt shot from 3 ft (assist by J. Simmons),2,19-20,,
1:32.0,,,19-20,,N. Hilario misses 2-pt shot from 10 ft
1:32.0,Defensive rebound by M. Ginobili,,19-20,,
1:26.0,,,19-20,,Violation by N. Hilario (kicked ball)
1:16.0,Turnover by J. Simmons (bad pass),,19-20,,
1:00.0,,,19-20,,E. Gordon misses 2-pt shot from 11 ft
1:00.0,,,19-20,,Offensive rebound by E. Gordon
0:56.0,,,19-20,,Shooting foul by L. Aldridge (drawn by N. Hilario)
0:56.0,,,19-21,1,N. Hilario makes free throw 1 of 2
0:56.0,,,19-21,,N. Hilario misses free throw 2 of 2
0:56.0,Defensive rebound by K. Anderson,,19-21,,
0:37.0,J. Simmons misses 2-pt shot from 16 ft,,19-21,,
0:36.0,,,19-21,,Defensive rebound by N. Hilario
0:26.0,,,19-21,,N. Hilario misses 2-pt shot from 17 ft
0:25.0,Defensive rebound by J. Simmons,,19-21,,
0:04.0,P. Mills misses 3-pt shot from 25 ft,,19-21,,
0:03.0,,,19-21,,Defensive rebound by E. Gordon
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,19-21,,P. Beverley misses 3-pt shot from 25 ft
11:46.0,,,19-21,,Offensive rebound by C. Capela
