time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (G. Hayward gains possession)
11:44.0,,,0-0,,G. Hayward misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by D. Green,,0-0,,
11:24.0,K. Thompson makes 2-pt shot from 16 ft (assist by K. Durant),2,2-0,,
11:09.0,,,2-0,,Turnover by J. Ingles (bad pass; steal by Z. Pachulia)
11:06.0,,,2-0,,Personal foul by S. Mack (drawn by K. Durant)
11:00.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry),2,4-0,,
10:40.0,,,4-0,,Turnover by G. Hayward (bad pass; steal by K. Thompson)
10:36.0,Turnover by K. Thompson (lost ball; steal by J. Ingles),,4-0,,
10:27.0,,,4-3,3,G. Hayward makes 3-pt shot from 25 ft (assist by S. Mack)
10:09.0,,,4-3,,Personal foul by R. Gobert (drawn by S. Curry)
10:02.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,7-3,,
9:42.0,,,7-3,,G. Hayward misses 2-pt shot from 5 ft
9:42.0,Defensive rebound by D. Green,,7-3,,
9:36.0,K. Durant misses 2-pt shot from 3 ft (block by B. Diaw),,7-3,,
9:34.0,,,7-3,,Defensive rebound by S. Mack
9:31.0,Personal foul by K. Durant (drawn by B. Diaw),,7-3,,
9:15.0,,,7-3,,J. Ingles misses 2-pt shot from 3 ft
9:14.0,Defensive rebound by D. Green,,7-3,,
9:08.0,S. Curry misses 3-pt shot from 24 ft,,7-3,,
9:08.0,Offensive rebound by Team,,7-3,,
9:03.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,10-3,,
8:56.0,,,10-3,,Utah full timeout
8:40.0,,,10-3,,S. Mack misses 2-pt shot from 8 ft (block by S. Curry)
8:40.0,Defensive rebound by Team,,10-3,,
8:40.0,,,10-3,,Loose ball foul by S. Mack (drawn by S. Curry)
8:23.0,D. Green makes 2-pt shot at rim,2,12-3,,
8:08.0,,,12-6,3,S. Mack makes 3-pt shot from 24 ft
7:52.0,S. Curry makes 2-pt shot from 3 ft (assist by K. Durant),2,14-6,,
7:37.0,,,14-6,,R. Gobert misses 2-pt shot at rim
7:36.0,,,14-6,,Offensive rebound by S. Mack
7:24.0,,,14-6,,S. Mack misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by Z. Pachulia,,14-6,,
7:16.0,K. Durant misses 3-pt shot from 26 ft,,14-6,,
7:15.0,,,14-6,,Defensive rebound by G. Hayward
7:06.0,,,14-6,,R. Gobert misses 2-pt shot from 1 ft
7:05.0,Defensive rebound by Z. Pachulia,,14-6,,
7:00.0,Shooting foul by S. Mack (drawn by K. Thompson),,14-6,,
7:00.0,K. Thompson makes free throw 1 of 2,1,15-6,,
7:00.0,K. Thompson makes free throw 2 of 2,1,16-6,,
7:00.0,,,15-6,,J. Johnson enters the game for B. Diaw
7:00.0,,,15-6,,R. Hood enters the game for J. Ingles
7:00.0,,,15-6,,R. Neto enters the game for S. Mack
6:50.0,,,16-6,,G. Hayward misses 3-pt shot from 25 ft
6:49.0,,,16-6,,Offensive rebound by R. Gobert
6:48.0,,,16-6,,Shooting foul by K. Durant (drawn by R. Gobert)
6:48.0,,,16-7,1,R. Gobert makes free throw 1 of 2
6:48.0,,,16-7,,R. Gobert misses free throw 2 of 2
6:48.0,A. Iguodala enters the game for K. Durant,,16-7,,
6:47.0,Defensive rebound by D. Green,,16-7,,
6:30.0,Z. Pachulia misses 2-pt shot from 13 ft,,16-7,,
6:29.0,,,16-7,,Defensive rebound by R. Neto
6:24.0,,,16-7,,Turnover by R. Neto (lost ball; steal by A. Iguodala)
6:20.0,A. Iguodala misses 2-pt shot from 1 ft,,16-7,,
6:18.0,,,16-7,,Defensive rebound by R. Neto
6:05.0,,,16-7,,R. Hood misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by Z. Pachulia,,16-7,,
