time,Miami,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. H. Whiteside (T. Gibson gains possession)
11:42.0,,,0-2,2,D. Wade makes 2-pt shot from 8 ft
11:16.0,H. Whiteside makes 2-pt shot from 12 ft (assist by G. Dragic),2,2-2,,
10:57.0,,,2-2,,T. Gibson misses 2-pt shot from 3 ft
10:56.0,,,2-2,,Offensive rebound by R. Lopez
10:56.0,,,2-2,,R. Lopez misses 2-pt shot from 1 ft
10:54.0,,,2-2,,Offensive rebound by T. Gibson
10:54.0,,,2-4,2,T. Gibson makes 2-pt shot from 2 ft
10:41.0,G. Dragic misses 2-pt shot from 2 ft (block by R. Lopez),,2-4,,
10:40.0,,,2-4,,Defensive rebound by T. Gibson
10:35.0,,,2-4,,R. Rondo misses 2-pt shot from 19 ft
10:34.0,Defensive rebound by H. Whiteside,,2-4,,
10:14.0,W. Ellington misses 2-pt shot from 9 ft,,2-4,,
10:13.0,Offensive rebound by H. Whiteside,,2-4,,
10:13.0,H. Whiteside misses 2-pt shot from 2 ft,,2-4,,
10:12.0,,,2-4,,Defensive rebound by R. Lopez
10:04.0,,,2-6,2,R. Rondo makes 2-pt shot from 3 ft (assist by T. Gibson)
9:50.0,H. Whiteside makes 2-pt shot from 11 ft (assist by G. Dragic),2,4-6,,
9:33.0,,,4-8,2,J. Butler makes 2-pt shot from 11 ft
9:18.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,6-8,,
8:55.0,,,6-8,,D. Wade misses 2-pt shot from 2 ft
8:53.0,,,6-8,,Offensive rebound by R. Lopez
8:53.0,,,6-10,2,T. Gibson makes 2-pt shot from 3 ft (assist by R. Lopez)
8:36.0,G. Dragic misses 2-pt shot from 2 ft,,6-10,,
8:35.0,Offensive rebound by H. Whiteside,,6-10,,
8:35.0,H. Whiteside makes 2-pt shot from 2 ft,2,8-10,,
8:21.0,,,8-10,,Shooting foul by W. Ellington (drawn by D. Wade)
8:21.0,,,8-11,1,D. Wade makes free throw 1 of 2
8:21.0,,,8-11,,D. Wade misses free throw 2 of 2
8:18.0,Defensive rebound by J. McRoberts,,8-11,,
8:06.0,G. Dragic makes 2-pt shot from 11 ft,2,10-11,,
7:44.0,,,10-11,,R. Lopez misses 2-pt shot from 2 ft (block by H. Whiteside)
7:42.0,Defensive rebound by W. Ellington,,10-11,,
7:38.0,G. Dragic makes 2-pt shot from 2 ft (assist by W. Ellington),2,12-11,,
7:24.0,,,12-13,2,D. Wade makes 2-pt shot from 14 ft
7:12.0,Turnover by G. Dragic (bad pass; steal by D. Wade),,12-13,,
7:09.0,,,12-13,,Turnover by D. Wade (bad pass)
6:57.0,J. McRoberts misses 2-pt shot from 20 ft,,12-13,,
6:56.0,Offensive rebound by G. Dragic,,12-13,,
6:42.0,H. Whiteside misses 2-pt shot from 7 ft,,12-13,,
6:41.0,,,12-13,,Defensive rebound by T. Gibson
6:34.0,,,12-15,2,J. Butler makes 2-pt shot from 18 ft
6:13.0,W. Ellington misses 2-pt shot from 20 ft (block by D. Wade),,12-15,,
6:12.0,Offensive rebound by W. Ellington,,12-15,,
6:03.0,J. McRoberts makes 3-pt shot from 25 ft (assist by W. Ellington),3,15-15,,
5:47.0,,,15-15,,R. Lopez misses 2-pt shot from 18 ft
5:45.0,Defensive rebound by J. McRoberts,,15-15,,
5:34.0,Shooting foul by T. Gibson (drawn by H. Whiteside),,15-15,,
5:34.0,,,15-15,,Chicago full timeout
5:34.0,H. Whiteside makes free throw 1 of 2,1,16-15,,
5:34.0,H. Whiteside misses free throw 2 of 2,,16-15,,
5:34.0,,,15-15,,D. McDermott enters the game for D. Wade
5:34.0,,,15-15,,N. Mirotic enters the game for T. Gibson
5:34.0,T. Johnson enters the game for W. Ellington,,15-15,,
5:33.0,,,16-15,,Defensive rebound by R. Lopez
5:18.0,,,16-15,,J. Butler misses 2-pt shot from 13 ft
5:17.0,Defensive rebound by H. Whiteside,,16-15,,
5:04.0,G. Dragic misses 2-pt shot from 2 ft (block by N. Mirotic),,16-15,,
5:02.0,,,16-15,,Defensive rebound by R. Rondo
4:56.0,,,16-17,2,J. Butler makes 2-pt shot from 2 ft (assist by R. Rondo)
4:37.0,H. Whiteside makes 2-pt shot from 15 ft,2,18-17,,
4:28.0,,,18-17,,R. Rondo misses 2-pt shot from 2 ft
4:27.0,Defensive rebound by G. Dragic,,18-17,,
4:20.0,R. McGruder misses 2-pt shot from 6 ft,,18-17,,
4:17.0,,,18-17,,Defensive rebound by R. Lopez
4:09.0,,,18-17,,D. McDermott misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by H. Whiteside,,18-17,,
4:00.0,T. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic),3,21-17,,
3:45.0,,,21-17,,D. McDermott misses 2-pt shot from 2 ft
3:44.0,,,21-17,,Offensive rebound by Team
3:44.0,J. Richardson enters the game for G. Dragic,,21-17,,
3:32.0,,,21-19,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Butler)
3:15.0,J. Richardson makes 2-pt shot from 13 ft,2,23-19,,
2:59.0,Personal foul by R. McGruder (drawn by J. Butler),,23-19,,
2:59.0,Miami full timeout,,23-19,,
2:59.0,,,23-20,1,J. Butler makes free throw 1 of 2
2:59.0,,,23-21,1,J. Butler makes free throw 2 of 2
2:59.0,D. Williams enters the game for J. McRoberts,,23-19,,
2:43.0,J. Richardson misses 3-pt shot from 25 ft,,23-21,,
2:42.0,,,23-21,,Defensive rebound by N. Mirotic
2:25.0,,,23-21,,J. Butler misses 2-pt shot from 16 ft (block by R. McGruder)
2:23.0,Defensive rebound by T. Johnson,,23-21,,
2:05.0,D. Williams misses 2-pt shot from 2 ft (block by R. Lopez),,23-21,,
2:03.0,,,23-21,,Defensive rebound by J. Butler
2:00.0,,,23-21,,Turnover by J. Butler (bad pass; steal by J. Richardson)
1:56.0,H. Whiteside misses 2-pt shot from 8 ft,,23-21,,
1:54.0,,,23-21,,Defensive rebound by R. Lopez
1:46.0,,,23-23,2,J. Butler makes 2-pt shot from 7 ft
1:46.0,,,23-23,,Shooting foul by T. Johnson (drawn by J. Butler)
1:46.0,,,23-24,1,J. Butler makes free throw 1 of 1
1:46.0,,,23-23,,D. Valentine enters the game for R. Rondo
1:31.0,,,23-24,,Def 3 sec tech foul by N. Mirotic
1:31.0,T. Johnson makes technical free throw,1,24-24,,
1:31.0,,,24-24,,D. Wade enters the game for R. Lopez
1:31.0,,,24-24,,C. Felicio enters the game for J. Butler
1:31.0,W. Reed enters the game for H. Whiteside,,24-24,,
1:25.0,Turnover by D. Williams (lost ball),,24-24,,
1:14.0,Personal foul by J. Richardson (drawn by D. Valentine),,24-24,,
1:14.0,,,24-25,1,D. Valentine makes free throw 1 of 2
1:14.0,,,24-26,1,D. Valentine makes free throw 2 of 2
1:01.0,T. Johnson misses 3-pt shot from 25 ft,,24-26,,
1:00.0,,,24-26,,Defensive rebound by C. Felicio
0:50.0,,,24-26,,D. McDermott misses 2-pt shot from 3 ft (block by W. Reed)
0:49.0,Defensive rebound by Team,,24-26,,
0:49.0,W. Ellington enters the game for R. McGruder,,24-26,,
0:48.0,Jump ball: D. McDermott vs. W. Reed (J. Richardson gains possession),,,,Jump ball: D. McDermott vs. W. Reed (J. Richardson gains possession)
0:39.0,Shooting foul by D. McDermott (drawn by J. Richardson),,24-26,,
0:39.0,J. Richardson makes free throw 1 of 2,1,25-26,,
0:39.0,J. Richardson misses free throw 2 of 2,,25-26,,
0:37.0,,,25-26,,Defensive rebound by N. Mirotic
0:30.0,,,25-29,3,N. Mirotic makes 3-pt shot from 26 ft (assist by D. Wade)
0:13.0,J. Richardson misses 2-pt shot from 3 ft,,25-29,,
0:13.0,Offensive rebound by W. Reed,,25-29,,
0:13.0,W. Reed makes 2-pt shot from 2 ft,2,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Williams misses 3-pt shot from 25 ft,,27-29,,
11:41.0,,,27-29,,Defensive rebound by D. Valentine
11:35.0,,,27-29,,D. Wade misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by D. Williams,,27-29,,
11:26.0,Shooting foul by C. Felicio (drawn by D. Williams),,27-29,,
11:26.0,D. Williams misses free throw 1 of 2,,27-29,,
11:26.0,Offensive rebound by Team,,27-29,,
11:26.0,D. Williams makes free throw 2 of 2,1,28-29,,
11:16.0,,,28-29,,D. Wade misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by W. Reed,,28-29,,
11:08.0,Shooting foul by N. Mirotic (drawn by T. Johnson),,28-29,,
11:08.0,T. Johnson makes free throw 1 of 2,1,29-29,,
11:08.0,T. Johnson makes free throw 2 of 2,1,30-29,,
10:56.0,Personal foul by W. Reed (drawn by N. Mirotic),,30-29,,
10:51.0,Personal foul by J. Richardson (drawn by D. Wade),,30-29,,
10:44.0,,,30-29,,D. Wade misses 2-pt shot from 2 ft
10:43.0,,,30-29,,Offensive rebound by C. Felicio
10:43.0,,,30-29,,C. Felicio misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by W. Reed,,30-29,,
10:37.0,J. Richardson misses 3-pt shot from 24 ft,,30-29,,
10:35.0,,,30-29,,Defensive rebound by N. Mirotic
10:29.0,,,30-29,,D. Valentine misses 2-pt shot from 21 ft
10:28.0,Defensive rebound by T. Johnson,,30-29,,
10:22.0,Shooting foul by N. Mirotic (drawn by D. Williams),,30-29,,
10:22.0,D. Williams makes free throw 1 of 2,1,31-29,,
10:22.0,D. Williams misses free throw 2 of 2,,31-29,,
10:20.0,,,31-29,,Defensive rebound by N. Mirotic
10:13.0,,,31-29,,Shooting foul by T. Johnson (drawn by D. Wade)
10:13.0,,,31-30,1,D. Wade makes free throw 1 of 2
10:13.0,,,31-31,1,D. Wade makes free throw 2 of 2
9:59.0,Turnover by T. Johnson (bad pass; steal by C. Felicio),,31-31,,
9:48.0,,,31-31,,D. Wade misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by W. Ellington,,31-31,,
9:40.0,J. Richardson makes 2-pt shot from 11 ft (assist by T. Johnson),2,33-31,,
9:23.0,,,33-31,,D. Wade misses 2-pt shot from 3 ft
9:21.0,,,33-31,,Offensive rebound by C. Felicio
9:21.0,,,33-33,2,C. Felicio makes 2-pt shot from 1 ft
8:59.0,T. Johnson misses 2-pt shot from 19 ft,,33-33,,
8:58.0,,,33-33,,Defensive rebound by C. Felicio
8:48.0,,,33-35,2,D. McDermott makes 2-pt shot from 12 ft (assist by D. Wade)
8:40.0,Miami full timeout,,33-35,,
8:40.0,,,33-35,,J. Butler enters the game for D. Valentine
8:40.0,G. Dragic enters the game for T. Johnson,,33-35,,
8:23.0,J. Richardson misses 3-pt shot from 23 ft (block by D. Wade),,33-35,,
8:19.0,Offensive rebound by D. Williams,,33-35,,
8:19.0,D. Williams makes 2-pt shot from 9 ft,2,35-35,,
7:57.0,,,35-35,,Shooting foul by J. Richardson (drawn by J. Butler)
7:57.0,,,35-36,1,J. Butler makes free throw 1 of 2
7:57.0,,,35-37,1,J. Butler makes free throw 2 of 2
7:57.0,,,35-36,,T. Gibson enters the game for N. Mirotic
7:57.0,R. McGruder enters the game for J. Richardson,,35-36,,
7:43.0,W. Ellington misses 3-pt shot from 25 ft,,35-37,,
7:42.0,Offensive rebound by Team,,35-37,,
7:42.0,,,35-37,,R. Rondo enters the game for D. Wade
7:37.0,G. Dragic makes 2-pt shot from 3 ft (assist by D. Williams),2,37-37,,
7:17.0,,,37-37,,T. Gibson misses 2-pt shot from 2 ft
7:16.0,,,37-37,,Offensive rebound by C. Felicio
7:16.0,,,37-37,,Shooting foul by G. Dragic (drawn by C. Felicio)
7:16.0,,,37-38,1,C. Felicio makes free throw 1 of 2
7:16.0,,,37-39,1,C. Felicio makes free throw 2 of 2
7:16.0,H. Whiteside enters the game for W. Reed,,37-38,,
7:02.0,Turnover by H. Whiteside (bad pass; steal by D. McDermott),,37-39,,
6:44.0,,,37-39,,Turnover by R. Rondo (bad pass; steal by H. Whiteside)
6:29.0,Turnover by G. Dragic (bad pass; steal by J. Butler),,37-39,,
6:21.0,,,37-39,,D. McDermott misses 3-pt shot from 25 ft
6:20.0,,,37-39,,Offensive rebound by R. Rondo
6:17.0,,,37-39,,J. Butler misses 2-pt shot from 2 ft
6:16.0,,,37-39,,Offensive rebound by T. Gibson
6:16.0,,,37-41,2,T. Gibson makes 2-pt shot from 3 ft
5:58.0,W. Ellington makes 2-pt shot from 20 ft,2,39-41,,
5:50.0,,,39-41,,D. McDermott misses 2-pt shot from 11 ft (block by H. Whiteside)
5:48.0,Defensive rebound by G. Dragic,,39-41,,
5:40.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,41-41,,
5:19.0,,,41-41,,T. Gibson misses 2-pt shot from 9 ft
5:18.0,,,41-41,,Offensive rebound by C. Felicio
5:18.0,,,41-43,2,C. Felicio makes 2-pt shot from 2 ft
4:53.0,H. Whiteside misses 2-pt shot from 3 ft,,41-43,,
4:53.0,Offensive rebound by D. Williams,,41-43,,
4:53.0,D. Williams misses 2-pt shot from 2 ft,,41-43,,
4:51.0,,,41-43,,Defensive rebound by R. Rondo
4:46.0,,,41-45,2,R. Rondo makes 2-pt shot from 2 ft (assist by J. Butler)
4:19.0,G. Dragic misses 2-pt shot from 2 ft,,41-45,,
4:18.0,Offensive rebound by H. Whiteside,,41-45,,
4:18.0,Shooting foul by J. Butler (drawn by H. Whiteside),,41-45,,
4:18.0,Miami full timeout,,41-45,,
4:18.0,H. Whiteside misses free throw 1 of 2,,41-45,,
4:18.0,Offensive rebound by Team,,41-45,,
4:18.0,H. Whiteside makes free throw 2 of 2,1,42-45,,
4:18.0,,,41-45,,R. Lopez enters the game for C. Felicio
4:18.0,T. Johnson enters the game for W. Ellington,,41-45,,
4:02.0,,,42-45,,J. Butler misses 2-pt shot from 6 ft
4:01.0,Defensive rebound by D. Williams,,42-45,,
3:44.0,H. Whiteside misses 2-pt shot from 9 ft,,42-45,,
3:42.0,,,42-45,,Defensive rebound by J. Butler
3:29.0,,,42-47,2,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo)
3:08.0,H. Whiteside makes 2-pt shot from 8 ft (assist by G. Dragic),2,44-47,,
2:58.0,,,44-49,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Butler)
2:32.0,G. Dragic makes 2-pt shot from 2 ft,2,46-49,,
2:32.0,Shooting foul by R. Rondo (drawn by G. Dragic),,46-49,,
2:32.0,,,46-49,,Chicago full timeout
2:32.0,G. Dragic makes free throw 1 of 1,1,47-49,,
2:32.0,,,46-49,,D. Wade enters the game for D. McDermott
2:16.0,,,47-49,,J. Butler misses 2-pt shot from 9 ft
2:15.0,Defensive rebound by H. Whiteside,,47-49,,
2:11.0,G. Dragic makes 2-pt shot from 2 ft (assist by H. Whiteside),2,49-49,,
2:07.0,,,49-49,,Turnover by R. Rondo (bad pass; steal by R. McGruder)
1:51.0,G. Dragic makes 2-pt shot from 14 ft,2,51-49,,
1:37.0,,,51-49,,R. Lopez misses 2-pt shot from 5 ft
1:35.0,Defensive rebound by R. McGruder,,51-49,,
1:33.0,T. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,53-49,,
1:33.0,,,53-49,,Chicago full timeout
1:33.0,,,53-49,,N. Mirotic enters the game for T. Gibson
1:15.0,,,53-51,2,D. Wade makes 2-pt shot from 11 ft
1:00.0,G. Dragic makes 2-pt shot from 12 ft,2,55-51,,
0:48.0,,,55-53,2,D. Wade makes 2-pt shot from 5 ft
0:34.0,H. Whiteside misses 2-pt shot from 7 ft,,55-53,,
0:33.0,,,55-53,,Defensive rebound by N. Mirotic
0:14.0,,,55-55,2,N. Mirotic makes 2-pt shot from 8 ft (assist by J. Butler)
0:01.0,G. Dragic misses 2-pt shot from 2 ft (block by R. Lopez),,55-55,,
0:00.0,,,55-55,,Defensive rebound by D. Wade
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. McRoberts),3,58-55,,
11:18.0,,,58-57,2,D. Wade makes 2-pt shot from 12 ft
10:51.0,G. Dragic misses 3-pt shot from 25 ft,,58-57,,
10:51.0,,,58-57,,Defensive rebound by R. Lopez
10:51.0,Personal foul by H. Whiteside (drawn by R. Lopez),,58-57,,
10:38.0,,,58-57,,D. Wade misses 2-pt shot from 9 ft
10:38.0,,,58-57,,Offensive rebound by R. Lopez
10:38.0,Personal foul by H. Whiteside (drawn by R. Lopez),,58-57,,
10:18.0,,,58-59,2,J. Butler makes 2-pt shot from 12 ft
10:02.0,Turnover by G. Dragic (lost ball; steal by R. Rondo),,58-59,,
9:56.0,,,58-61,2,D. Wade makes 2-pt shot from 6 ft (assist by R. Rondo)
9:37.0,H. Whiteside misses 2-pt shot at rim,,58-61,,
9:36.0,,,58-61,,Defensive rebound by J. Butler
9:26.0,,,58-63,2,J. Butler makes 2-pt shot from 15 ft
9:09.0,G. Dragic makes 2-pt shot from 11 ft,2,60-63,,
9:03.0,,,60-65,2,D. Wade makes 2-pt shot at rim (assist by J. Butler)
9:03.0,,,60-65,,Shooting foul by H. Whiteside (drawn by D. Wade)
9:03.0,,,60-66,1,D. Wade makes free throw 1 of 1
8:52.0,W. Ellington misses 3-pt shot from 27 ft,,60-66,,
8:51.0,,,60-66,,Defensive rebound by R. Rondo
8:47.0,Personal foul by W. Ellington (drawn by T. Gibson),,60-66,,
8:40.0,,,60-68,2,D. Wade makes 2-pt shot from 2 ft
8:40.0,Miami full timeout,,60-68,,
8:40.0,T. Johnson enters the game for W. Ellington,,60-68,,
8:18.0,H. Whiteside misses 2-pt shot from 11 ft,,60-68,,
8:17.0,,,60-68,,Defensive rebound by T. Gibson
8:10.0,,,60-70,2,T. Gibson makes 2-pt shot from 5 ft (assist by R. Rondo)
7:47.0,H. Whiteside misses 2-pt shot from 2 ft,,60-70,,
7:46.0,,,60-70,,Defensive rebound by T. Gibson
7:37.0,,,60-70,,Shooting foul by J. McRoberts (drawn by T. Gibson)
7:37.0,,,60-70,,T. Gibson misses free throw 1 of 2
7:37.0,,,60-70,,Offensive rebound by Team
7:37.0,,,60-71,1,T. Gibson makes free throw 2 of 2
7:25.0,T. Johnson misses 2-pt shot from 20 ft,,60-71,,
7:22.0,,,60-71,,Defensive rebound by J. Butler
7:15.0,,,60-71,,D. Wade misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by T. Johnson,,60-71,,
7:00.0,R. McGruder misses 2-pt shot from 19 ft,,60-71,,
7:00.0,,,60-71,,Defensive rebound by J. Butler
