time,Miami,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,J. Winslow misses 2-pt shot from 7 ft,,0-0,,
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (G. Dragic gains possession)
11:41.0,Offensive rebound by H. Whiteside,,0-0,,
11:38.0,H. Whiteside makes 2-pt shot at rim,2,2-0,,
11:16.0,,,2-0,,E. Fournier misses 2-pt shot from 17 ft
11:15.0,Defensive rebound by H. Whiteside,,2-0,,
11:07.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,4-0,,
10:52.0,Personal foul by L. Babbitt (drawn by S. Ibaka),,4-0,,
10:46.0,,,4-0,,N. Vucevic misses 2-pt shot from 19 ft
10:44.0,,,4-0,,Offensive rebound by S. Ibaka
10:32.0,,,4-2,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
10:07.0,L. Babbitt misses 2-pt shot from 13 ft,,4-2,,
10:06.0,,,4-2,,Defensive rebound by N. Vucevic
9:56.0,,,4-2,,S. Ibaka misses 2-pt shot from 14 ft
9:54.0,,,4-2,,Offensive rebound by Team
9:40.0,,,4-4,2,N. Vucevic makes 2-pt shot from 11 ft
9:25.0,Turnover by G. Dragic (bad pass; steal by A. Gordon),,4-4,,
9:21.0,,,4-4,,A. Gordon misses 2-pt shot at rim
9:19.0,Defensive rebound by D. Waiters,,4-4,,
9:13.0,,,4-4,,Personal foul by N. Vucevic (drawn by H. Whiteside)
9:13.0,H. Whiteside misses free throw 1 of 2,,4-4,,
9:13.0,Offensive rebound by Team,,4-4,,
9:13.0,H. Whiteside misses free throw 2 of 2,,4-4,,
9:10.0,Offensive rebound by J. Winslow,,4-4,,
9:08.0,J. Winslow makes 2-pt shot from 2 ft,2,6-4,,
8:55.0,Def 3 sec tech foul by H. Whiteside,,6-4,,
8:55.0,,,6-4,,E. Fournier misses technical free throw
8:55.0,,,6-4,,Offensive rebound by Team
8:48.0,,,6-4,,E. Payton misses 2-pt shot from 8 ft
8:47.0,,,6-4,,Offensive rebound by N. Vucevic
8:47.0,,,6-4,,N. Vucevic misses 2-pt shot from 2 ft
8:46.0,,,6-4,,Offensive rebound by E. Payton
8:46.0,,,6-4,,Shooting foul by J. Winslow (drawn by E. Payton)
8:46.0,,,6-5,1,E. Payton makes free throw 1 of 2
8:46.0,,,6-6,1,E. Payton makes free throw 2 of 2
8:33.0,D. Waiters misses 3-pt shot from 26 ft,,6-6,,
8:31.0,Offensive rebound by G. Dragic,,6-6,,
8:29.0,Turnover by G. Dragic (bad pass),,6-6,,
8:16.0,,,6-6,,A. Gordon misses 2-pt shot from 5 ft
8:14.0,,,6-6,,Offensive rebound by N. Vucevic
8:12.0,,,6-8,2,N. Vucevic makes 2-pt shot from 2 ft
7:46.0,D. Waiters makes 2-pt shot from 8 ft,2,8-8,,
7:35.0,,,8-8,,N. Vucevic misses 2-pt shot from 22 ft
7:34.0,Defensive rebound by J. Winslow,,8-8,,
7:26.0,D. Waiters makes 2-pt shot from 3 ft,2,10-8,,
7:19.0,,,10-10,2,E. Payton makes 2-pt shot from 4 ft
7:05.0,G. Dragic misses 2-pt shot from 13 ft,,10-10,,
7:05.0,Offensive rebound by Team,,10-10,,
